,Home Financing
2020-05-24,81.81943879625864
2020-05-31,70.13094753965026
2020-06-07,80.14965433102887
2020-06-14,106.86620577470516
2020-06-21,118.55469703131354
2020-06-28,118.55469703131354
2020-07-05,133.58275721838146
2020-07-12,120.2244814965433
2020-07-19,166.9784465229768
2020-07-26,156.9597397315982
2020-08-02,100.1870679137861
2020-08-09,156.9597397315982
2020-08-16,145.27124847498985
2020-08-23,136.922326148841
2020-08-30,96.84749898332656
2020-09-06,111.87555917039447
2020-09-13,105.1964213094754
2020-09-20,103.52663684424563
2020-09-27,93.50793005286702
2020-10-04,101.85685237901586
2020-10-11,85.15900772671817
2020-10-18,78.4798698657991
2020-10-25,71.80073200488003
2020-11-01,68.4611630744205
2020-11-08,80.14965433102887
2020-11-15,83.4892232614884
2020-11-22,95.17771451809679
2020-11-29,88.49857665717771
2020-12-06,90.16836112240749
2020-12-13,95.17771451809679
2020-12-20,90.16836112240749
2020-12-27,83.4892232614884
2021-01-03,90.16836112240749
2021-01-10,88.49857665717771
2021-01-17,93.50793005286702
2021-01-24,88.49857665717771
2021-01-31,90.16836112240749
2021-02-07,88.49857665717771
2021-02-14,108.53599023993493
2021-02-21,85.15900772671817
2021-02-28,106.86620577470516
2021-03-07,103.52663684424563
2021-03-14,95.17771451809679
2021-03-21,110.2057747051647
2021-03-28,111.87555917039447
2021-04-04,100.1870679137861
2021-04-11,71.80073200488003
2021-04-18,91.83814558763726
2021-04-25,95.17771451809679
2021-05-02,98.51728344855633
2021-05-09,76.81008540056933
2021-05-16,100.1870679137861
2021-05-23,76.81008540056933
2021-05-30,106.86620577470516
2021-06-06,106.86620577470516
2021-06-13,106.86620577470516
2021-06-20,98.51728344855633
2021-06-27,103.52663684424563
2021-07-04,96.84749898332656
2021-07-11,111.87555917039447
2021-07-18,96.84749898332656
2021-07-25,98.51728344855633
2021-08-01,95.17771451809679
2021-08-08,101.85685237901586
2021-08-15,86.82879219194794
2021-08-22,70.13094753965026
2021-08-29,70.13094753965026
2021-09-05,96.84749898332656
2021-09-12,98.51728344855633
2021-09-19,88.49857665717771
2021-09-26,110.2057747051647
2021-10-03,101.85685237901586
2021-10-10,80.14965433102887
