,Resumes & Portfolios
2020-05-24,59.24819855884708
2020-05-31,64.47598078462771
2020-06-07,62.733386709367494
2020-06-14,64.47598078462771
2020-06-21,67.96116893514812
2020-06-28,74.93154523618895
2020-07-05,74.93154523618895
2020-07-12,81.90192153722978
2020-07-19,85.38710968775021
2020-07-26,78.41673338670937
2020-08-02,80.15932746196958
2020-08-09,78.41673338670937
2020-08-16,81.90192153722978
2020-08-23,78.41673338670937
2020-08-30,80.15932746196958
2020-09-06,85.38710968775021
2020-09-13,88.87229783827063
2020-09-20,85.38710968775021
2020-09-27,81.90192153722978
2020-10-04,80.15932746196958
2020-10-11,80.15932746196958
2020-10-18,76.67413931144917
2020-10-25,73.18895116092875
2020-11-01,73.18895116092875
2020-11-08,64.47598078462771
2020-11-15,69.70376301040832
2020-11-22,78.41673338670937
2020-11-29,78.41673338670937
2020-12-06,76.67413931144917
2020-12-13,83.64451561249
2020-12-20,80.15932746196958
2020-12-27,78.41673338670937
2021-01-03,85.38710968775021
2021-01-10,76.67413931144917
2021-01-17,83.64451561249
2021-01-24,83.64451561249
2021-01-31,88.87229783827063
2021-02-07,88.87229783827063
2021-02-14,88.87229783827063
2021-02-21,85.38710968775021
2021-02-28,87.12970376301041
2021-03-07,85.38710968775021
2021-03-14,87.12970376301041
2021-03-21,85.38710968775021
2021-03-28,80.15932746196958
2021-04-04,83.64451561249
2021-04-11,73.18895116092875
2021-04-18,74.93154523618895
2021-04-25,69.70376301040832
2021-05-02,73.18895116092875
2021-05-09,73.18895116092875
2021-05-16,73.18895116092875
2021-05-23,76.67413931144917
2021-05-30,88.87229783827063
2021-06-06,85.38710968775021
2021-06-13,88.87229783827063
2021-06-20,88.87229783827063
2021-06-27,95.84267413931146
2021-07-04,101.07045636509208
2021-07-11,99.32786228983187
2021-07-18,101.07045636509208
2021-07-25,109.78342674139311
2021-08-01,106.2982385908727
2021-08-08,99.32786228983187
2021-08-15,95.84267413931146
2021-08-22,101.07045636509208
2021-08-29,102.81305044035228
2021-09-05,102.81305044035228
2021-09-12,104.5556445156125
2021-09-19,106.2982385908727
2021-09-26,97.58526821457167
2021-10-03,92.35748598879104
2021-10-10,81.90192153722978
2021-10-17,95.84267413931146
2021-10-24,90.61489191353083
2021-10-31,67.96116893514812
2021-11-07,90.61489191353083
2021-11-14,99.32786228983187
2021-11-21,92.35748598879104
2021-11-28,87.12970376301041
2021-12-05,88.87229783827063
2021-12-12,92.35748598879104
2021-12-19,99.32786228983187
2021-12-26,88.87229783827063
2022-01-02,118.49639711769416
2022-01-09,104.5556445156125
2022-01-16,102.81305044035228
2022-01-23,111.52602081665333
2022-01-30,115.01120896717374
2022-02-06,116.75380304243396
2022-02-13,128.95196156925542
2022-02-20,125.46677341873499
2022-02-27,125.46677341873499
2022-03-06,135.92233787029625
2022-03-13,123.72417934347479
2022-03-20,132.43714971977582
2022-03-27,123.72417934347479
2022-04-03,123.72417934347479
2022-04-10,118.49639711769416
2022-04-17,127.2093674939952
2022-04-24,128.95196156925542
2022-05-01,120.23899119295437
2022-05-08,132.43714971977582
2022-05-15,125.46677341873499
2022-05-22,125.46677341873499
2022-05-29,125.46677341873499
2022-06-05,135.92233787029625
2022-06-12,132.43714971977582
2022-06-19,148.1204963971177
2022-06-26,148.1204963971177
2022-07-03,156.83346677341873
2022-07-10,148.1204963971177
2022-07-17,155.09087269815853
2022-07-24,160.31865492393916
2022-07-31,151.6056845476381
2022-08-07,132.43714971977582
2022-08-14,134.17974379503605
2022-08-21,163.80384307445956
2022-08-28,137.66493194555645
2022-09-04,121.98158526821457
2022-09-11,146.3779023218575
2022-09-18,146.3779023218575
2022-09-25,132.43714971977582
2022-10-02,116.75380304243396
2022-10-09,134.17974379503605
2022-10-16,125.46677341873499
2022-10-23,111.52602081665333
2022-10-30,135.92233787029625
2022-11-06,139.40752602081665
2022-11-13,132.43714971977582
2022-11-20,116.75380304243396
2022-11-27,127.2093674939952
2022-12-04,121.98158526821457
2022-12-11,128.95196156925542
2022-12-18,127.2093674939952
2022-12-25,128.95196156925542
2023-01-01,121.98158526821457
2023-01-08,125.46677341873499
2023-01-15,137.66493194555645
2023-01-22,130.69455564451562
2023-01-29,134.17974379503605
2023-02-05,137.66493194555645
2023-02-12,137.66493194555645
2023-02-19,146.3779023218575
2023-02-26,132.43714971977582
2023-03-05,121.98158526821457
2023-03-12,139.40752602081665
2023-03-19,135.92233787029625
2023-03-26,137.66493194555645
2023-04-02,130.69455564451562
2023-04-09,139.40752602081665
2023-04-16,127.2093674939952
2023-04-23,139.40752602081665
2023-04-30,137.66493194555645
2023-05-07,139.40752602081665
2023-05-14,137.66493194555645
2023-05-21,142.89271417133708
2023-05-28,149.8630904723779
2023-06-04,148.1204963971177
2023-06-11,156.83346677341873
2023-06-18,155.09087269815853
2023-06-25,160.31865492393916
2023-07-02,169.0316253002402
2023-07-09,174.25940752602082
2023-07-16,156.83346677341873
2023-07-23,165.5464371497198
2023-07-30,160.31865492393916
2023-08-06,162.06124899919936
2023-08-13,146.3779023218575
2023-08-20,155.09087269815853
2023-08-27,139.40752602081665
2023-09-03,139.40752602081665
2023-09-10,156.83346677341873
2023-09-17,139.40752602081665
2023-09-24,141.15012009607688
2023-10-01,141.15012009607688
2023-10-08,142.89271417133708
2023-10-15,128.95196156925542
2023-10-22,116.75380304243396
2023-10-29,128.95196156925542
2023-11-05,111.52602081665333
2023-11-12,108.04083266613291
