,Home Appliances
2014-12-28,0.0
2015-01-04,47.0
2015-01-11,42.0
2015-01-18,33.0
2015-01-25,47.0
2015-02-01,47.0
2015-02-08,33.0
2015-02-15,24.0
2015-02-22,30.0
2015-03-01,55.0
2015-03-08,36.0
2015-03-15,53.0
2015-03-22,45.0
2015-03-29,24.0
2015-04-05,58.0
2015-04-12,39.0
2015-04-19,49.0
2015-04-26,43.0
2015-05-03,57.0
2015-05-10,50.0
2015-05-17,47.0
2015-05-24,40.0
2015-05-31,53.0
2015-06-07,59.0
2015-06-14,58.0
2015-06-21,78.0
2015-06-28,38.0
2015-07-05,47.0
2015-07-12,34.0
2015-07-19,40.0
2015-07-26,45.0
2015-08-02,41.0
2015-08-09,43.0
2015-08-16,47.0
2015-08-23,40.0
2015-08-30,46.0
2015-09-06,30.0
2015-09-13,27.0
2015-09-20,44.0
2015-09-27,44.0
2015-10-04,47.0
2015-10-11,66.0
2015-10-18,58.0
2015-10-25,50.0
2015-11-01,36.0
2015-11-08,59.0
2015-11-15,41.0
2015-11-22,32.0
2015-11-29,43.0
2015-12-06,55.0
2015-12-13,47.0
2015-12-20,25.0
2015-12-27,39.0
2016-01-03,54.0
2016-01-10,26.0
2016-01-17,53.0
2016-01-24,37.0
2016-01-31,50.0
2016-02-07,26.0
2016-02-14,58.0
2016-02-21,40.0
2016-02-28,61.0
2016-03-06,42.0
2016-03-13,32.0
2016-03-20,49.0
2016-03-27,48.0
2016-04-03,48.0
2016-04-10,52.0
2016-04-17,60.0
2016-04-24,45.0
2016-05-01,60.0
2016-05-08,48.0
2016-05-15,69.0
2016-05-22,76.0
2016-05-29,53.0
2016-06-05,56.0
2016-06-12,55.0
2016-06-19,59.0
2016-06-26,46.0
2016-07-03,55.0
2016-07-10,38.0
2016-07-17,55.0
2016-07-24,55.0
2016-07-31,60.0
2016-08-07,63.0
2016-08-14,48.0
2016-08-21,61.0
2016-08-28,48.0
2016-09-04,52.0
2016-09-11,52.0
2016-09-18,27.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,27.0
2016-10-23,38.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,46.0
2016-11-20,0.0
2016-11-27,24.0
2016-12-04,0.0
2016-12-11,22.0
2016-12-18,24.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,25.0
2017-01-15,25.0
2017-01-22,27.0
2017-01-29,0.0
2017-02-05,63.0
2017-02-12,63.0
2017-02-19,48.0
2017-02-26,66.0
2017-03-05,43.0
2017-03-12,58.0
2017-03-19,60.0
2017-03-26,54.0
2017-04-02,54.0
2017-04-09,58.0
2017-04-16,60.0
2017-04-23,59.0
2017-04-30,53.0
2017-05-07,40.0
2017-05-14,55.0
2017-05-21,64.0
2017-05-28,65.0
2017-06-04,45.0
2017-06-11,64.0
2017-06-18,78.0
2017-06-25,37.0
2017-07-02,53.0
2017-07-09,71.0
2017-07-16,60.0
2017-07-23,47.0
2017-07-30,57.0
2017-08-06,37.0
2017-08-13,57.0
2017-08-20,49.0
2017-08-27,56.0
2017-09-03,61.0
2017-09-10,65.0
2017-09-17,50.0
2017-09-24,46.0
2017-10-01,72.0
2017-10-08,43.0
2017-10-15,44.0
2017-10-22,45.0
2017-10-29,69.0
2017-11-05,41.0
2017-11-12,68.0
2017-11-19,57.0
2017-11-26,52.0
2017-12-03,30.0
2017-12-10,44.0
2017-12-17,48.0
2017-12-24,61.0
2017-12-31,55.0
2018-01-07,61.0
2018-01-14,61.0
2018-01-21,45.0
2018-01-28,68.0
2018-02-04,62.0
2018-02-11,52.0
2018-02-18,64.0
2018-02-25,51.0
2018-03-04,61.0
2018-03-11,66.0
2018-03-18,65.0
2018-03-25,67.0
2018-04-01,85.0
2018-04-08,65.0
2018-04-15,88.0
2018-04-22,48.0
2018-04-29,84.0
2018-05-06,65.0
2018-05-13,63.0
2018-05-20,50.0
2018-05-27,49.0
2018-06-03,61.0
2018-06-10,47.0
2018-06-17,52.0
2018-06-24,58.0
2018-07-01,68.0
2018-07-08,64.0
2018-07-15,70.0
2018-07-22,54.0
2018-07-29,71.0
2018-08-05,81.0
2018-08-12,68.0
2018-08-19,66.0
2018-08-26,62.0
2018-09-02,63.0
2018-09-09,54.0
2018-09-16,76.0
2018-09-23,75.0
2018-09-30,60.0
2018-10-07,66.0
2018-10-14,68.0
2018-10-21,91.0
2018-10-28,62.0
2018-11-04,58.0
2018-11-11,83.0
2018-11-18,55.0
2018-11-25,54.0
2018-12-02,67.0
2018-12-09,60.0
2018-12-16,82.0
2018-12-23,68.0
2018-12-30,89.0
2019-01-06,61.0
2019-01-13,73.0
2019-01-20,63.0
2019-01-27,87.0
2019-02-03,83.0
2019-02-10,76.0
2019-02-17,87.0
2019-02-24,87.0
2019-03-03,65.0
2019-03-10,76.0
2019-03-17,100.0
2019-03-24,100.0
2019-03-31,81.0
2019-04-07,72.0
2019-04-14,65.0
2019-04-21,76.0
2019-04-28,72.0
