,Unemployment
2020-05-31,34.446115288220554
2020-06-07,34.446115288220554
2020-06-14,38.75187969924812
2020-06-21,43.05764411027569
2020-06-28,43.05764411027569
2020-07-05,21.528822055137844
2020-07-12,17.223057644110277
2020-07-19,34.446115288220554
2020-07-26,25.834586466165415
2020-08-02,25.834586466165415
2020-08-09,38.75187969924812
2020-08-16,430.5764411027569
2020-08-23,103.33834586466166
2020-08-30,94.72681704260653
2020-09-06,60.28070175438597
2020-09-13,60.28070175438597
2020-09-20,25.834586466165415
2020-09-27,34.446115288220554
2020-10-04,43.05764411027569
2020-10-11,34.446115288220554
2020-10-18,38.75187969924812
2020-10-25,25.834586466165415
2020-11-01,21.528822055137844
2020-11-08,25.834586466165415
2020-11-15,43.05764411027569
2020-11-22,51.66917293233083
2020-11-29,25.834586466165415
2020-12-06,21.528822055137844
2020-12-13,38.75187969924812
2020-12-20,0.0
2020-12-27,38.75187969924812
2021-01-03,30.140350877192986
2021-01-10,34.446115288220554
2021-01-17,34.446115288220554
2021-01-24,25.834586466165415
2021-01-31,38.75187969924812
2021-02-07,25.834586466165415
2021-02-14,21.528822055137844
2021-02-21,25.834586466165415
2021-02-28,25.834586466165415
2021-03-07,38.75187969924812
2021-03-14,30.140350877192986
2021-03-21,25.834586466165415
2021-03-28,34.446115288220554
2021-04-04,21.528822055137844
2021-04-11,0.0
2021-04-18,38.75187969924812
2021-04-25,25.834586466165415
2021-05-02,30.140350877192986
2021-05-09,25.834586466165415
2021-05-16,34.446115288220554
2021-05-23,25.834586466165415
2021-05-30,38.75187969924812
2021-06-06,34.446115288220554
2021-06-13,30.140350877192986
2021-06-20,25.834586466165415
2021-06-27,38.75187969924812
2021-07-04,30.140350877192986
2021-07-11,30.140350877192986
2021-07-18,25.834586466165415
2021-07-25,30.140350877192986
2021-08-01,34.446115288220554
2021-08-08,30.140350877192986
2021-08-15,34.446115288220554
2021-08-22,51.66917293233083
2021-08-29,30.140350877192986
2021-09-05,21.528822055137844
2021-09-12,30.140350877192986
2021-09-19,30.140350877192986
2021-09-26,38.75187969924812
2021-10-03,30.140350877192986
2021-10-10,30.140350877192986
2021-10-17,0.0
2021-10-24,25.834586466165415
2021-10-31,25.834586466165415
2021-11-07,30.140350877192986
2021-11-14,34.446115288220554
2021-11-21,25.834586466165415
2021-11-28,34.446115288220554
2021-12-05,21.528822055137844
2021-12-12,21.528822055137844
2021-12-19,30.140350877192986
2021-12-26,38.75187969924812
2022-01-02,43.05764411027569
2022-01-09,51.66917293233083
2022-01-16,47.36340852130326
2022-01-23,38.75187969924812
2022-01-30,55.9749373433584
2022-02-06,38.75187969924812
2022-02-13,68.89223057644111
2022-02-20,51.66917293233083
2022-02-27,38.75187969924812
2022-03-06,38.75187969924812
2022-03-13,47.36340852130326
2022-03-20,30.140350877192986
2022-03-27,47.36340852130326
2022-04-03,25.834586466165415
2022-04-10,21.528822055137844
2022-04-17,34.446115288220554
2022-04-24,38.75187969924812
2022-05-01,21.528822055137844
2022-05-08,38.75187969924812
2022-05-15,34.446115288220554
2022-05-22,43.05764411027569
2022-05-29,47.36340852130326
2022-06-05,38.75187969924812
2022-06-12,30.140350877192986
2022-06-19,21.528822055137844
2022-06-26,25.834586466165415
2022-07-03,25.834586466165415
2022-07-10,21.528822055137844
2022-07-17,25.834586466165415
2022-07-24,25.834586466165415
2022-07-31,30.140350877192986
2022-08-07,47.36340852130326
2022-08-14,38.75187969924812
2022-08-21,25.834586466165415
2022-08-28,47.36340852130326
2022-09-04,38.75187969924812
2022-09-11,43.05764411027569
2022-09-18,25.834586466165415
2022-09-25,25.834586466165415
2022-10-02,34.446115288220554
2022-10-09,34.446115288220554
2022-10-16,30.140350877192986
2022-10-23,34.446115288220554
2022-10-30,38.75187969924812
2022-11-06,51.66917293233083
2022-11-13,38.75187969924812
2022-11-20,38.75187969924812
2022-11-27,34.446115288220554
2022-12-04,34.446115288220554
2022-12-11,34.446115288220554
2022-12-18,25.834586466165415
2022-12-25,21.528822055137844
2023-01-01,25.834586466165415
2023-01-08,25.834586466165415
2023-01-15,34.446115288220554
2023-01-22,34.446115288220554
2023-01-29,30.140350877192986
2023-02-05,60.28070175438597
2023-02-12,21.528822055137844
2023-02-19,38.75187969924812
2023-02-26,25.834586466165415
2023-03-05,34.446115288220554
2023-03-12,38.75187969924812
2023-03-19,34.446115288220554
2023-03-26,21.528822055137844
2023-04-02,21.528822055137844
2023-04-09,17.223057644110277
2023-04-16,30.140350877192986
2023-04-23,21.528822055137844
2023-04-30,21.528822055137844
2023-05-07,25.834586466165415
2023-05-14,21.528822055137844
2023-05-21,30.140350877192986
2023-05-28,17.223057644110277
2023-06-04,38.75187969924812
2023-06-11,34.446115288220554
2023-06-18,30.140350877192986
2023-06-25,34.446115288220554
2023-07-02,21.528822055137844
2023-07-09,34.446115288220554
2023-07-16,30.140350877192986
2023-07-23,34.446115288220554
2023-07-30,21.528822055137844
2023-08-06,25.834586466165415
2023-08-13,38.75187969924812
2023-08-20,38.75187969924812
2023-08-27,25.834586466165415
2023-09-03,34.446115288220554
2023-09-10,21.528822055137844
2023-09-17,34.446115288220554
2023-09-24,21.528822055137844
2023-10-01,21.528822055137844
2023-10-08,21.528822055137844
2023-10-15,25.834586466165415
2023-10-22,12.917293233082708
2023-10-29,43.05764411027569
2023-11-05,30.140350877192986
2023-11-12,43.05764411027569
2023-11-19,30.140350877192986
2023-11-26,30.140350877192986
2023-12-03,25.834586466165415
2023-12-10,25.834586466165415
2023-12-17,21.528822055137844
2023-12-24,17.223057644110277
2023-12-31,17.223057644110277
2024-01-07,30.315477783233995
2024-01-14,35.66526798027529
2024-01-21,22.588003054174347
2024-01-28,28.53221438422023
2024-02-04,17.238212857133053
2024-02-11,36.85411024628446
2024-02-18,26.154529852201875
2024-02-25,32.693162315252344
2024-03-03,31.50432004924317
2024-03-10,25.560108719197288
2024-03-17,33.88200458126152
2024-03-24,23.776845320183526
2024-03-31,28.53221438422023
2024-04-07,0.0
2024-04-14,24.371266453188113
2024-04-21,23.182424187178935
2024-04-28,21.99358192116976
2024-05-05,30.315477783233995
2024-05-12,33.88200458126152
2024-05-19,16.643791724128466
2024-05-26,35.66526798027529
2024-06-02,25.560108719197288
2024-06-09,17.238212857133053
2024-06-16,32.693162315252344
2024-06-23,20.210318522155994
2024-06-30,17.832633990137644
2024-07-07,30.909898916238582
2024-07-14,19.02147625614682
2024-07-21,30.315477783233995
2024-07-28,29.126635517224816
2024-08-04,26.748950985206463
2024-08-11,26.154529852201875
2024-08-18,23.776845320183526
2024-08-25,34.47642571426611
2024-09-01,26.748950985206463
2024-09-08,41.015058177316575
2024-09-15,15.454949458119291
2024-09-22,18.42705512314223
2024-09-29,28.53221438422023
2024-10-06,0.0
2024-10-13,26.748950985206463
2024-10-20,17.832633990137644
2024-10-27,25.560108719197288
2024-11-03,28.53221438422023
2024-11-10,30.315477783233995
2024-11-17,29.126635517224816
2024-11-24,31.50432004924317
2024-12-01,17.832633990137644
2024-12-08,0.0
2024-12-15,17.832633990137644
2024-12-22,19.02147625614682
2024-12-29,0.0
2025-01-05,19.02147625614682
2025-01-12,26.154529852201875
2025-01-19,17.832633990137644
2025-01-26,17.832633990137644
2025-02-02,19.02147625614682
2025-02-09,19.02147625614682
2025-02-16,23.182424187178935
2025-02-23,28.53221438422023
2025-03-02,19.02147625614682
2025-03-09,21.399160788165172
2025-03-16,19.615897389151407
2025-03-23,23.776845320183526
2025-03-30,23.776845320183526
2025-04-06,0.0
2025-04-13,0.0
2025-04-20,19.615897389151407
2025-04-27,27.343372118211054
2025-05-04,20.210318522155994
2025-05-11,29.126635517224816
2025-05-18,16.04937059112388
2025-05-25,29.126635517224816
2025-06-01,21.399160788165172
2025-06-08,16.643791724128466
2025-06-15,0.0
2025-06-22,16.643791724128466
2025-06-29,0.0
2025-07-06,27.343372118211054
2025-07-13,21.99358192116976
2025-07-20,19.02147625614682
2025-07-27,0.0
2025-08-03,21.399160788165172
2025-08-10,0.0
2025-08-17,17.238212857133053
2025-08-24,0.0
2025-08-31,0.0
2025-09-07,0.0
2025-09-14,17.832633990137644
2025-09-21,16.04937059112388
2025-09-28,0.0
2025-10-05,17.238212857133053
2025-10-12,0.0
2025-10-19,19.615897389151407
2025-10-26,0.0
2025-11-02,29.126635517224816
2025-11-09,26.154529852201875
2025-11-16,29.721056650229404
2025-11-23,26.748950985206463
2025-11-30,41.015058177316575
2025-12-07,35.66526798027529
2025-12-14,35.66526798027529
2025-12-21,0.0
2025-12-28,0.0
2026-01-04,17.238212857133053
2026-01-11,30.315477783233995
2026-01-18,35.0708468472707
2026-01-25,29.126635517224816
