,Real Estate
2014-12-28,51.0
2015-01-04,44.0
2015-01-11,52.0
2015-01-18,52.0
2015-01-25,56.0
2015-02-01,51.0
2015-02-08,54.0
2015-02-15,59.0
2015-02-22,54.0
2015-03-01,53.0
2015-03-08,52.0
2015-03-15,53.0
2015-03-22,59.0
2015-03-29,50.0
2015-04-05,52.0
2015-04-12,45.0
2015-04-19,61.0
2015-04-26,54.0
2015-05-03,57.0
2015-05-10,63.0
2015-05-17,65.0
2015-05-24,60.0
2015-05-31,59.0
2015-06-07,62.0
2015-06-14,63.0
2015-06-21,64.0
2015-06-28,62.0
2015-07-05,65.0
2015-07-12,60.0
2015-07-19,64.0
2015-07-26,60.0
2015-08-02,63.0
2015-08-09,64.0
2015-08-16,61.0
2015-08-23,63.0
2015-08-30,68.0
2015-09-06,66.0
2015-09-13,62.0
2015-09-20,65.0
2015-09-27,63.0
2015-10-04,63.0
2015-10-11,65.0
2015-10-18,63.0
2015-10-25,62.0
2015-11-01,68.0
2015-11-08,67.0
2015-11-15,64.0
2015-11-22,66.0
2015-11-29,63.0
2015-12-06,64.0
2015-12-13,68.0
2015-12-20,61.0
2015-12-27,64.0
2016-01-03,71.0
2016-01-10,68.0
2016-01-17,73.0
2016-01-24,67.0
2016-01-31,72.0
2016-02-07,76.0
2016-02-14,76.0
2016-02-21,71.0
2016-02-28,71.0
2016-03-06,73.0
2016-03-13,66.0
2016-03-20,70.0
2016-03-27,71.0
2016-04-03,63.0
2016-04-10,56.0
2016-04-17,70.0
2016-04-24,74.0
2016-05-01,76.0
2016-05-08,78.0
2016-05-15,67.0
2016-05-22,77.0
2016-05-29,74.0
2016-06-05,78.0
2016-06-12,79.0
2016-06-19,70.0
2016-06-26,75.0
2016-07-03,79.0
2016-07-10,81.0
2016-07-17,85.0
2016-07-24,84.0
2016-07-31,87.0
2016-08-07,89.0
2016-08-14,82.0
2016-08-21,80.0
2016-08-28,77.0
2016-09-04,80.0
2016-09-11,76.0
2016-09-18,80.0
2016-09-25,80.0
2016-10-02,76.0
2016-10-09,78.0
2016-10-16,80.0
2016-10-23,77.0
2016-10-30,78.0
2016-11-06,75.0
2016-11-13,77.0
2016-11-20,82.0
2016-11-27,77.0
2016-12-04,78.0
2016-12-11,75.0
2016-12-18,78.0
2016-12-25,81.0
2017-01-01,80.0
2017-01-08,79.0
2017-01-15,85.0
2017-01-22,80.0
2017-01-29,82.0
2017-02-05,78.0
2017-02-12,79.0
2017-02-19,80.0
2017-02-26,78.0
2017-03-05,75.0
2017-03-12,77.0
2017-03-19,79.0
2017-03-26,76.0
2017-04-02,75.0
2017-04-09,62.0
2017-04-16,85.0
2017-04-23,77.0
2017-04-30,83.0
2017-05-07,73.0
2017-05-14,78.0
2017-05-21,74.0
2017-05-28,71.0
2017-06-04,71.0
2017-06-11,76.0
2017-06-18,77.0
2017-06-25,74.0
2017-07-02,80.0
2017-07-09,82.0
2017-07-16,79.0
2017-07-23,76.0
2017-07-30,78.0
2017-08-06,76.0
2017-08-13,80.0
2017-08-20,77.0
2017-08-27,75.0
2017-09-03,77.0
2017-09-10,77.0
2017-09-17,77.0
2017-09-24,76.0
2017-10-01,76.0
2017-10-08,78.0
2017-10-15,78.0
2017-10-22,80.0
2017-10-29,76.0
2017-11-05,77.0
2017-11-12,78.0
2017-11-19,76.0
2017-11-26,71.0
2017-12-03,68.0
2017-12-10,72.0
2017-12-17,78.0
2017-12-24,75.0
2017-12-31,80.0
2018-01-07,81.0
2018-01-14,81.0
2018-01-21,80.0
2018-01-28,81.0
2018-02-04,79.0
2018-02-11,82.0
2018-02-18,81.0
2018-02-25,78.0
2018-03-04,79.0
2018-03-11,78.0
2018-03-18,76.0
2018-03-25,78.0
2018-04-01,75.0
2018-04-08,64.0
2018-04-15,69.0
2018-04-22,74.0
2018-04-29,76.0
2018-05-06,77.0
2018-05-13,77.0
2018-05-20,77.0
2018-05-27,78.0
2018-06-03,75.0
2018-06-10,78.0
2018-06-17,73.0
2018-06-24,73.0
2018-07-01,82.0
2018-07-08,89.0
2018-07-15,85.0
2018-07-22,83.0
2018-07-29,83.0
2018-08-05,83.0
2018-08-12,85.0
2018-08-19,86.0
2018-08-26,81.0
2018-09-02,100.0
2018-09-09,81.0
2018-09-16,82.0
2018-09-23,78.0
2018-09-30,78.0
2018-10-07,81.0
2018-10-14,80.0
2018-10-21,79.0
2018-10-28,77.0
2018-11-04,77.0
2018-11-11,75.0
2018-11-18,76.0
2018-11-25,79.0
2018-12-02,82.0
2018-12-09,82.0
2018-12-16,84.0
2018-12-23,89.0
2018-12-30,86.0
2019-01-06,90.0
2019-01-13,82.0
2019-01-20,81.0
2019-01-27,81.0
2019-02-03,81.0
2019-02-10,84.0
2019-02-17,84.0
2019-02-24,83.0
2019-03-03,84.0
2019-03-10,86.0
2019-03-17,85.0
2019-03-24,81.0
2019-03-31,81.0
2019-04-07,71.0
2019-04-14,73.0
2019-04-21,63.0
2019-04-28,71.0
2019-05-05,72.0
2019-05-12,69.0
2019-05-19,75.0
2019-05-26,78.0
2019-06-02,77.0
2019-06-09,80.0
2019-06-16,80.0
2019-06-23,80.0
2019-06-30,85.0
2019-07-07,82.0
2019-07-14,87.0
2019-07-21,94.0
2019-07-28,82.0
2019-08-04,85.0
2019-08-11,80.0
2019-08-18,85.0
2019-08-25,84.0
2019-09-01,81.0
2019-09-08,86.0
2019-09-15,92.0
2019-09-22,78.0
2019-09-29,77.0
2019-10-06,78.0
2019-10-13,86.0
2019-10-20,84.0
2019-10-27,78.0
2019-11-03,74.0
2019-11-10,79.0
2019-11-17,83.0
2019-11-24,81.0
2019-12-01,80.0
2019-12-08,74.0
2019-12-15,84.0
2019-12-22,87.0
2019-12-29,87.0
2020-01-05,84.19486745628878
2020-01-12,87.75239706711788
2020-01-19,83.00902425267907
2020-01-26,77.07980823463058
2020-02-02,88.93824027072758
2020-02-09,83.00902425267907
2020-02-16,86.56655386350818
2020-02-23,84.19486745628878
2020-03-01,81.82318104906938
2020-03-08,67.59306260575296
2020-03-15,55.73463056965595
2020-03-22,45.06204173716864
2020-03-29,43.87619853355894
2020-04-05,53.36294416243655
2020-04-12,47.43372814438804
2020-04-19,50.99125775521715
2020-04-26,53.36294416243655
2020-05-03,55.73463056965595
2020-05-10,64.03553299492386
2020-05-17,84.19486745628878
2020-05-24,74.70812182741116
2020-05-31,78.26565143824027
2020-06-07,78.26565143824027
2020-06-14,86.56655386350818
2020-06-21,90.12408347433728
2020-06-28,85.38071065989848
2020-07-05,86.56655386350818
2020-07-12,87.75239706711788
2020-07-19,84.19486745628878
2020-07-26,85.38071065989848
2020-08-02,87.75239706711788
2020-08-09,85.38071065989848
2020-08-16,84.19486745628878
2020-08-23,79.45149464184998
2020-08-30,88.93824027072758
2020-09-06,83.00902425267907
2020-09-13,86.56655386350818
2020-09-20,84.19486745628878
2020-09-27,81.82318104906938
2020-10-04,77.07980823463058
2020-10-11,84.19486745628878
2020-10-18,78.26565143824027
2020-10-25,73.52227862380147
2020-11-01,64.03553299492386
2020-11-08,71.15059221658207
