,Fast Food
2020-05-24,68.9957805907173
2020-05-31,68.9957805907173
2020-06-07,63.24613220815753
2020-06-14,67.07923112986404
2020-06-21,65.1626816690108
2020-06-28,70.91233005157056
2020-07-05,61.32958274730427
2020-07-12,68.9957805907173
2020-07-19,76.66197843413033
2020-07-26,86.24472573839664
2020-08-02,91.99437412095641
2020-08-09,76.66197843413033
2020-08-16,72.82887951242382
2020-08-23,70.91233005157056
2020-08-30,72.82887951242382
2020-09-06,70.91233005157056
2020-09-13,59.41303328645101
2020-09-20,68.9957805907173
2020-09-27,74.74542897327709
2020-10-04,61.32958274730427
2020-10-11,68.9957805907173
2020-10-18,63.24613220815753
2020-10-25,65.1626816690108
2020-11-01,82.41162681669012
2020-11-08,74.74542897327709
2020-11-15,70.91233005157056
2020-11-22,76.66197843413033
2020-11-29,90.07782466010315
2020-12-06,86.24472573839664
2020-12-13,93.91092358180967
2020-12-20,111.15986872948899
2020-12-27,105.41022034692922
2021-01-03,70.91233005157056
2021-01-10,67.07923112986404
2021-01-17,68.9957805907173
2021-01-24,72.82887951242382
2021-01-31,67.07923112986404
2021-02-07,70.91233005157056
2021-02-14,86.24472573839664
2021-02-21,78.5785278949836
2021-02-28,74.74542897327709
2021-03-07,76.66197843413033
2021-03-14,72.82887951242382
2021-03-21,76.66197843413033
2021-03-28,78.5785278949836
2021-04-04,74.74542897327709
2021-04-11,80.49507735583686
2021-04-18,68.9957805907173
2021-04-25,76.66197843413033
2021-05-02,86.24472573839664
2021-05-09,101.5771214252227
2021-05-16,93.91092358180967
2021-05-23,97.74402250351618
2021-05-30,136.07501172058136
2021-06-06,126.49226441631507
2021-06-13,113.07641819034225
2021-06-20,107.32676980778248
2021-06-27,95.82747304266293
2021-07-04,82.41162681669012
2021-07-11,82.41162681669012
2021-07-18,95.82747304266293
2021-07-25,97.74402250351618
2021-08-01,90.07782466010315
2021-08-08,93.91092358180967
2021-08-15,99.66057196436944
2021-08-22,130.3253633380216
2021-08-29,122.65916549460854
2021-09-05,120.74261603375528
2021-09-12,111.15986872948899
2021-09-19,97.74402250351618
2021-09-26,134.15846225972808
2021-10-03,86.24472573839664
2021-10-10,80.49507735583686
2021-10-17,86.24472573839664
2021-10-24,101.5771214252227
2021-10-31,105.41022034692922
2021-11-07,101.5771214252227
2021-11-14,103.49367088607596
2021-11-21,93.91092358180967
2021-11-28,97.74402250351618
2021-12-05,107.32676980778248
2021-12-12,109.24331926863573
2021-12-19,139.90811064228788
2021-12-26,139.90811064228788
2022-01-02,120.74261603375528
2022-01-09,105.41022034692922
2022-01-16,105.41022034692922
2022-01-23,114.99296765119551
2022-01-30,126.49226441631507
2022-02-06,118.82606657290202
2022-02-13,153.32395686826067
2022-02-20,120.74261603375528
2022-02-27,114.99296765119551
2022-03-06,116.90951711204877
2022-03-13,118.82606657290202
2022-03-20,116.90951711204877
2022-03-27,109.24331926863573
2022-04-03,132.24191279887484
2022-04-10,139.90811064228788
2022-04-17,126.49226441631507
2022-04-24,130.3253633380216
2022-05-01,145.65775902484765
2022-05-08,155.24050632911394
2022-05-15,130.3253633380216
2022-05-22,126.49226441631507
2022-05-29,134.15846225972808
2022-06-05,122.65916549460854
2022-06-12,132.24191279887484
2022-06-19,134.15846225972808
2022-06-26,128.4088138771683
2022-07-03,137.9915611814346
2022-07-10,151.40740740740742
2022-07-17,134.15846225972808
2022-07-24,136.07501172058136
2022-07-31,147.5743084857009
2022-08-07,137.9915611814346
2022-08-14,128.4088138771683
2022-08-21,116.90951711204877
2022-08-28,124.5757149554618
2022-09-04,124.5757149554618
2022-09-11,114.99296765119551
2022-09-18,105.41022034692922
2022-09-25,126.49226441631507
2022-10-02,101.5771214252227
2022-10-09,116.90951711204877
2022-10-16,118.82606657290202
2022-10-23,116.90951711204877
2022-10-30,111.15986872948899
2022-11-06,113.07641819034225
2022-11-13,103.49367088607596
2022-11-20,111.15986872948899
2022-11-27,109.24331926863573
2022-12-04,128.4088138771683
2022-12-11,122.65916549460854
2022-12-18,143.74120956399437
2022-12-25,183.98874824191282
2023-01-01,118.82606657290202
2023-01-08,97.74402250351618
2023-01-15,107.32676980778248
2023-01-22,109.24331926863573
2023-01-29,109.24331926863573
2023-02-05,109.24331926863573
2023-02-12,130.3253633380216
2023-02-19,111.15986872948899
2023-02-26,97.74402250351618
2023-03-05,107.32676980778248
2023-03-12,113.07641819034225
2023-03-19,109.24331926863573
2023-03-26,107.32676980778248
2023-04-02,111.15986872948899
2023-04-09,120.74261603375528
2023-04-16,118.82606657290202
2023-04-23,120.74261603375528
2023-04-30,122.65916549460854
2023-05-07,122.65916549460854
2023-05-14,113.07641819034225
2023-05-21,128.4088138771683
2023-05-28,134.15846225972808
2023-06-04,128.4088138771683
2023-06-11,124.5757149554618
2023-06-18,130.3253633380216
2023-06-25,136.07501172058136
2023-07-02,128.4088138771683
2023-07-09,124.5757149554618
2023-07-16,113.07641819034225
2023-07-23,132.24191279887484
2023-07-30,155.24050632911394
2023-08-06,141.82466010314113
2023-08-13,132.24191279887484
2023-08-20,134.15846225972808
2023-08-27,134.15846225972808
2023-09-03,126.49226441631507
2023-09-10,118.82606657290202
2023-09-17,109.24331926863573
2023-09-24,130.3253633380216
2023-10-01,132.24191279887484
2023-10-08,114.99296765119551
2023-10-15,114.99296765119551
2023-10-22,118.82606657290202
2023-10-29,114.99296765119551
2023-11-05,145.65775902484765
2023-11-12,191.65494608532586
2023-11-19,164.82325363338023
2023-11-26,130.3253633380216
2023-12-03,164.82325363338023
2023-12-10,153.32395686826067
2023-12-17,147.5743084857009
2023-12-24,172.48945147679328
2023-12-31,137.9915611814346
2024-01-07,103.55790306909367
2024-01-14,113.71063866410286
2024-01-21,109.64954442609918
2024-01-28,119.80228002110836
2024-02-04,105.5884501880955
2024-02-11,129.95501561611755
2024-02-18,103.55790306909367
2024-02-25,97.46626171208817
2024-03-03,101.52735595009183
2024-03-10,93.4051674740845
2024-03-17,103.55790306909367
2024-03-24,178.68814647216163
2024-03-31,107.61899730709735
2024-04-07,140.10775121112673
2024-04-14,134.01610985412123
2024-04-21,115.7411857831047
2024-04-28,117.77173290210654
2024-05-05,115.7411857831047
2024-05-12,131.98556273511937
2024-05-19,129.95501561611755
2024-05-26,152.29103392513775
2024-06-02,129.95501561611755
2024-06-09,125.89392137811387
2024-06-16,123.86337425911204
2024-06-23,119.80228002110836
2024-06-30,127.92446849711571
2024-07-07,134.01610985412123
2024-07-14,142.13829833012858
2024-07-21,144.1688454491304
2024-07-28,131.98556273511937
2024-08-04,138.0772040921249
2024-08-11,138.0772040921249
2024-08-18,156.35212816314143
2024-08-25,140.10775121112673
2024-09-01,119.80228002110836
2024-09-08,121.8328271401102
2024-09-15,146.19939256813225
2024-09-22,142.13829833012858
2024-09-29,152.29103392513775
2024-10-06,138.0772040921249
2024-10-13,129.95501561611755
2024-10-20,123.86337425911204
2024-10-27,119.80228002110836
2024-11-03,113.71063866410286
2024-11-10,150.26048680613593
2024-11-17,119.80228002110836
2024-11-24,146.19939256813225
2024-12-01,113.71063866410286
2024-12-08,127.92446849711571
2024-12-15,146.19939256813225
2024-12-22,180.71869359116346
2024-12-29,164.47431663914878
2025-01-05,115.7411857831047
2025-01-12,113.71063866410286
2025-01-19,117.77173290210654
2025-01-26,103.55790306909367
2025-02-02,105.5884501880955
2025-02-09,131.98556273511937
2025-02-16,105.5884501880955
2025-02-23,109.64954442609918
2025-03-02,103.55790306909367
2025-03-09,113.71063866410286
