,Computer Hardware
2014-12-28,80.0
2015-01-04,68.0
2015-01-11,75.0
2015-01-18,81.0
2015-01-25,84.0
2015-02-01,89.0
2015-02-08,82.0
2015-02-15,82.0
2015-02-22,75.0
2015-03-01,96.0
2015-03-08,91.0
2015-03-15,78.0
2015-03-22,83.0
2015-03-29,85.0
2015-04-05,90.0
2015-04-12,82.0
2015-04-19,79.0
2015-04-26,83.0
2015-05-03,78.0
2015-05-10,81.0
2015-05-17,84.0
2015-05-24,79.0
2015-05-31,81.0
2015-06-07,79.0
2015-06-14,64.0
2015-06-21,73.0
2015-06-28,85.0
2015-07-05,82.0
2015-07-12,84.0
2015-07-19,85.0
2015-07-26,78.0
2015-08-02,98.0
2015-08-09,91.0
2015-08-16,100.0
2015-08-23,75.0
2015-08-30,89.0
2015-09-06,79.0
2015-09-13,84.0
2015-09-20,72.0
2015-09-27,86.0
2015-10-04,90.0
2015-10-11,91.0
2015-10-18,84.0
2015-10-25,75.0
2015-11-01,79.0
2015-11-08,78.0
2015-11-15,78.0
2015-11-22,82.0
2015-11-29,78.0
2015-12-06,72.0
2015-12-13,83.0
2015-12-20,84.0
2015-12-27,78.0
2016-01-03,79.0
2016-01-10,78.0
2016-01-17,88.0
2016-01-24,79.0
2016-01-31,78.0
2016-02-07,77.0
2016-02-14,78.0
2016-02-21,71.0
2016-02-28,79.0
2016-03-06,80.0
2016-03-13,74.0
2016-03-20,81.0
2016-03-27,84.0
2016-04-03,72.0
2016-04-10,75.0
2016-04-17,79.0
2016-04-24,79.0
2016-05-01,80.0
2016-05-08,78.0
2016-05-15,72.0
2016-05-22,69.0
2016-05-29,75.0
2016-06-05,64.0
2016-06-12,83.0
2016-06-19,78.0
2016-06-26,77.0
2016-07-03,83.0
2016-07-10,77.0
2016-07-17,78.0
2016-07-24,75.0
2016-07-31,95.0
2016-08-07,57.0
2016-08-14,87.0
2016-08-21,87.0
2016-08-28,52.0
2016-09-04,75.0
2016-09-11,70.0
2016-09-18,46.0
2016-09-25,29.0
2016-10-02,24.0
2016-10-09,27.0
2016-10-16,37.0
2016-10-23,30.0
2016-10-30,33.0
2016-11-06,26.0
2016-11-13,36.0
2016-11-20,30.0
2016-11-27,30.0
2016-12-04,30.0
2016-12-11,28.0
2016-12-18,31.0
2016-12-25,32.0
2017-01-01,37.0
2017-01-08,36.0
2017-01-15,32.0
2017-01-22,29.0
2017-01-29,49.0
2017-02-05,71.0
2017-02-12,65.0
2017-02-19,75.0
2017-02-26,74.0
2017-03-05,65.0
2017-03-12,68.0
2017-03-19,71.0
2017-03-26,82.0
2017-04-02,78.0
2017-04-09,79.0
2017-04-16,75.0
2017-04-23,74.0
2017-04-30,75.0
2017-05-07,65.0
2017-05-14,56.0
2017-05-21,64.0
2017-05-28,56.0
2017-06-04,56.0
2017-06-11,50.0
2017-06-18,54.0
2017-06-25,47.0
2017-07-02,67.0
2017-07-09,57.0
2017-07-16,73.0
2017-07-23,59.0
2017-07-30,61.0
2017-08-06,57.0
2017-08-13,65.0
2017-08-20,66.0
2017-08-27,50.0
2017-09-03,65.0
2017-09-10,76.0
2017-09-17,63.0
2017-09-24,56.0
2017-10-01,60.0
2017-10-08,69.0
2017-10-15,62.0
2017-10-22,66.0
2017-10-29,61.0
2017-11-05,64.0
2017-11-12,63.0
2017-11-19,64.0
2017-11-26,61.0
2017-12-03,65.0
2017-12-10,60.0
2017-12-17,70.0
2017-12-24,72.0
2017-12-31,64.0
2018-01-07,65.0
2018-01-14,72.0
2018-01-21,65.0
2018-01-28,60.0
2018-02-04,67.0
2018-02-11,75.0
2018-02-18,69.0
2018-02-25,70.0
2018-03-04,67.0
2018-03-11,69.0
2018-03-18,69.0
2018-03-25,70.0
2018-04-01,69.0
2018-04-08,66.0
2018-04-15,67.0
2018-04-22,65.0
2018-04-29,66.0
2018-05-06,63.0
2018-05-13,62.0
2018-05-20,67.0
2018-05-27,62.0
2018-06-03,69.0
2018-06-10,56.0
2018-06-17,59.0
2018-06-24,55.0
2018-07-01,63.0
2018-07-08,61.0
2018-07-15,65.0
2018-07-22,70.0
2018-07-29,65.0
2018-08-05,66.0
