,Food Production
2020-05-24,78.52474108170311
2020-05-31,70.82623705408515
2020-06-07,87.76294591484465
2020-06-14,81.60414269275029
2020-06-21,93.92174913693901
2020-06-28,78.52474108170311
2020-07-05,90.84234752589182
2020-07-12,93.92174913693901
2020-07-19,95.46144994246261
2020-07-26,90.84234752589182
2020-08-02,90.84234752589182
2020-08-09,83.14384349827388
2020-08-16,84.68354430379748
2020-08-23,80.06444188722669
2020-08-30,76.98504027617952
2020-09-06,83.14384349827388
2020-09-13,95.46144994246261
2020-09-20,80.06444188722669
2020-09-27,84.68354430379748
2020-10-04,83.14384349827388
2020-10-11,89.30264672036824
2020-10-18,80.06444188722669
2020-10-25,81.60414269275029
2020-11-01,80.06444188722669
2020-11-08,70.82623705408515
2020-11-15,89.30264672036824
2020-11-22,100.08055235903338
2020-11-29,84.68354430379748
2020-12-06,81.60414269275029
2020-12-13,95.46144994246261
2020-12-20,89.30264672036824
2020-12-27,83.14384349827388
2021-01-03,89.30264672036824
2021-01-10,101.62025316455696
2021-01-17,95.46144994246261
2021-01-24,92.38204833141542
2021-01-31,80.06444188722669
2021-02-07,95.46144994246261
2021-02-14,106.23935558112774
2021-02-21,78.52474108170311
2021-02-28,84.68354430379748
2021-03-07,89.30264672036824
2021-03-14,101.62025316455696
2021-03-21,110.85845799769851
2021-03-28,98.54085155350978
2021-04-04,106.23935558112774
2021-04-11,70.82623705408515
2021-04-18,112.39815880322209
2021-04-25,90.84234752589182
2021-05-02,92.38204833141542
2021-05-09,87.76294591484465
2021-05-16,93.92174913693901
2021-05-23,86.22324510932106
2021-05-30,104.69965477560415
2021-06-06,95.46144994246261
2021-06-13,115.47756041426928
2021-06-20,97.00115074798619
2021-06-27,117.01726121979287
2021-07-04,109.31875719217491
2021-07-11,104.69965477560415
2021-07-18,92.38204833141542
2021-07-25,92.38204833141542
2021-08-01,81.60414269275029
2021-08-08,93.92174913693901
2021-08-15,92.38204833141542
2021-08-22,113.93785960874568
2021-08-29,97.00115074798619
2021-09-05,109.31875719217491
2021-09-12,109.31875719217491
2021-09-19,93.92174913693901
2021-09-26,95.46144994246261
2021-10-03,98.54085155350978
2021-10-10,92.38204833141542
2021-10-17,84.68354430379748
2021-10-24,89.30264672036824
2021-10-31,87.76294591484465
2021-11-07,75.44533947065592
2021-11-14,84.68354430379748
2021-11-21,78.52474108170311
2021-11-28,84.68354430379748
2021-12-05,90.84234752589182
2021-12-12,87.76294591484465
2021-12-19,75.44533947065592
2021-12-26,81.60414269275029
2022-01-02,106.23935558112774
2022-01-09,127.795166858458
2022-01-16,95.46144994246261
2022-01-23,129.33486766398158
2022-01-30,121.63636363636364
2022-02-06,132.41426927502877
2022-02-13,153.97008055235904
2022-02-20,141.6524741081703
2022-02-27,138.57307249712312
2022-03-06,127.795166858458
2022-03-13,133.95397008055235
2022-03-20,140.11277330264673
2022-03-27,118.55696202531645
2022-04-03,87.76294591484465
2022-04-10,72.36593785960875
2022-04-17,107.77905638665132
2022-04-24,103.15995397008055
2022-05-01,117.01726121979287
2022-05-08,107.77905638665132
2022-05-15,106.23935558112774
2022-05-22,121.63636363636364
2022-05-29,129.33486766398158
2022-06-05,110.85845799769851
2022-06-12,127.795166858458
2022-06-19,124.71576524741081
2022-06-26,121.63636363636364
2022-07-03,113.93785960874568
2022-07-10,109.31875719217491
2022-07-17,126.25546605293441
2022-07-24,110.85845799769851
2022-07-31,120.09666283084005
2022-08-07,113.93785960874568
2022-08-14,129.33486766398158
2022-08-21,109.31875719217491
2022-08-28,130.8745684695052
2022-09-04,118.55696202531645
2022-09-11,120.09666283084005
2022-09-18,141.6524741081703
2022-09-25,118.55696202531645
2022-10-02,124.71576524741081
2022-10-09,118.55696202531645
2022-10-16,124.71576524741081
2022-10-23,124.71576524741081
2022-10-30,123.17606444188723
2022-11-06,126.25546605293441
2022-11-13,137.03337169159954
2022-11-20,132.41426927502877
2022-11-27,117.01726121979287
2022-12-04,129.33486766398158
2022-12-11,127.795166858458
2022-12-18,117.01726121979287
2022-12-25,121.63636363636364
2023-01-01,109.31875719217491
2023-01-08,121.63636363636364
2023-01-15,127.795166858458
2023-01-22,127.795166858458
2023-01-29,124.71576524741081
2023-02-05,143.1921749136939
2023-02-12,137.03337169159954
2023-02-19,138.57307249712312
2023-02-26,129.33486766398158
2023-03-05,120.09666283084005
2023-03-12,124.71576524741081
2023-03-19,117.01726121979287
2023-03-26,118.55696202531645
2023-04-02,121.63636363636364
