,Laundry
2014-12-28,49.0
2015-01-04,36.0
2015-01-11,35.0
2015-01-18,48.0
2015-01-25,38.0
2015-02-01,30.0
2015-02-08,44.0
2015-02-15,42.0
2015-02-22,30.0
2015-03-01,42.0
2015-03-08,34.0
2015-03-15,29.0
2015-03-22,46.0
2015-03-29,29.0
2015-04-05,41.0
2015-04-12,28.0
2015-04-19,39.0
2015-04-26,33.0
2015-05-03,42.0
2015-05-10,54.0
2015-05-17,56.0
2015-05-24,45.0
2015-05-31,44.0
2015-06-07,58.0
2015-06-14,60.0
2015-06-21,39.0
2015-06-28,36.0
2015-07-05,44.0
2015-07-12,44.0
2015-07-19,35.0
2015-07-26,48.0
2015-08-02,41.0
2015-08-09,52.0
2015-08-16,46.0
2015-08-23,59.0
2015-08-30,45.0
2015-09-06,47.0
2015-09-13,39.0
2015-09-20,51.0
2015-09-27,52.0
2015-10-04,46.0
2015-10-11,46.0
2015-10-18,50.0
2015-10-25,52.0
2015-11-01,50.0
2015-11-08,48.0
2015-11-15,61.0
2015-11-22,45.0
2015-11-29,53.0
2015-12-06,52.0
2015-12-13,50.0
2015-12-20,43.0
2015-12-27,49.0
2016-01-03,52.0
2016-01-10,53.0
2016-01-17,37.0
2016-01-24,39.0
2016-01-31,43.0
2016-02-07,54.0
2016-02-14,47.0
2016-02-21,40.0
2016-02-28,41.0
2016-03-06,50.0
2016-03-13,43.0
2016-03-20,46.0
2016-03-27,37.0
2016-04-03,47.0
2016-04-10,34.0
2016-04-17,41.0
2016-04-24,47.0
2016-05-01,45.0
2016-05-08,47.0
2016-05-15,64.0
2016-05-22,58.0
2016-05-29,62.0
2016-06-05,64.0
2016-06-12,57.0
2016-06-19,47.0
2016-06-26,44.0
2016-07-03,52.0
2016-07-10,49.0
2016-07-17,70.0
2016-07-24,65.0
2016-07-31,45.0
2016-08-07,57.0
2016-08-14,44.0
2016-08-21,45.0
2016-08-28,56.0
2016-09-04,76.0
2016-09-11,46.0
2016-09-18,60.0
2016-09-25,56.0
2016-10-02,55.0
2016-10-09,65.0
2016-10-16,50.0
2016-10-23,64.0
2016-10-30,65.0
2016-11-06,60.0
2016-11-13,53.0
2016-11-20,63.0
2016-11-27,61.0
2016-12-04,53.0
2016-12-11,50.0
2016-12-18,48.0
