,Manufacturing
2020-05-24,117.10866443274293
2020-05-31,127.75490665390139
2020-06-07,123.496409765438
2020-06-14,125.6256582096697
2020-06-21,119.23791287697462
2020-06-28,132.01340354236476
2020-07-05,121.36716132120631
2020-07-12,112.85016754427956
2020-07-19,114.97941598851125
2020-07-26,119.23791287697462
2020-08-02,187.3738630923887
2020-08-09,119.23791287697462
2020-08-16,114.97941598851125
2020-08-23,114.97941598851125
2020-08-30,112.85016754427956
2020-09-06,117.10866443274293
2020-09-13,212.92484442316896
2020-09-20,108.59167065581617
2020-09-27,95.81617999042604
2020-10-04,106.46242221158448
2020-10-11,100.07467687888942
2020-10-18,104.33317376735279
2020-10-25,95.81617999042604
2020-11-01,91.55768310196265
2020-11-08,80.91144088080421
2020-11-15,87.29918621349928
2020-11-22,91.55768310196265
2020-11-29,87.29918621349928
2020-12-06,89.42843465773096
2020-12-13,93.68693154619434
2020-12-20,102.2039253231211
2020-12-27,89.42843465773096
2021-01-03,97.94542843465773
2021-01-10,85.16993776926759
2021-01-17,91.55768310196265
2021-01-24,85.16993776926759
2021-01-31,91.55768310196265
2021-02-07,93.68693154619434
2021-02-14,91.55768310196265
2021-02-21,100.07467687888942
2021-02-28,97.94542843465773
2021-03-07,95.81617999042604
2021-03-14,104.33317376735279
2021-03-21,102.2039253231211
2021-03-28,95.81617999042604
2021-04-04,163.9521302058401
2021-04-11,112.85016754427956
2021-04-18,121.36716132120631
2021-04-25,119.23791287697462
2021-05-02,119.23791287697462
2021-05-09,112.85016754427956
2021-05-16,110.72091910004787
2021-05-23,106.46242221158448
2021-05-30,106.46242221158448
2021-06-06,110.72091910004787
2021-06-13,100.07467687888942
2021-06-20,117.10866443274293
2021-06-27,108.59167065581617
2021-07-04,106.46242221158448
2021-07-11,104.33317376735279
2021-07-18,114.97941598851125
2021-07-25,110.72091910004787
2021-08-01,108.59167065581617
2021-08-08,117.10866443274293
2021-08-15,110.72091910004787
2021-08-22,108.59167065581617
2021-08-29,106.46242221158448
2021-09-05,106.46242221158448
2021-09-12,114.97941598851125
2021-09-19,104.33317376735279
2021-09-26,104.33317376735279
2021-10-03,97.94542843465773
2021-10-10,85.16993776926759
2021-10-17,91.55768310196265
2021-10-24,93.68693154619434
2021-10-31,68.13595021541407
2021-11-07,89.42843465773096
2021-11-14,93.68693154619434
2021-11-21,100.07467687888942
2021-11-28,104.33317376735279
2021-12-05,95.81617999042604
2021-12-12,97.94542843465773
2021-12-19,102.2039253231211
2021-12-26,97.94542843465773
2022-01-02,125.6256582096697
2022-01-09,112.85016754427956
2022-01-16,112.85016754427956
2022-01-23,121.36716132120631
2022-01-30,119.23791287697462
2022-02-06,110.72091910004787
2022-02-13,112.85016754427956
2022-02-20,117.10866443274293
2022-02-27,119.23791287697462
2022-03-06,119.23791287697462
2022-03-13,110.72091910004787
2022-03-20,125.6256582096697
2022-03-27,121.36716132120631
2022-04-03,129.88415509813308
2022-04-10,114.97941598851125
2022-04-17,121.36716132120631
2022-04-24,117.10866443274293
2022-05-01,110.72091910004787
2022-05-08,114.97941598851125
2022-05-15,112.85016754427956
2022-05-22,112.85016754427956
2022-05-29,114.97941598851125
2022-06-05,119.23791287697462
2022-06-12,117.10866443274293
2022-06-19,121.36716132120631
2022-06-26,117.10866443274293
2022-07-03,119.23791287697462
2022-07-10,117.10866443274293
2022-07-17,117.10866443274293
2022-07-24,119.23791287697462
2022-07-31,112.85016754427956
2022-08-07,104.33317376735279
2022-08-14,104.33317376735279
2022-08-21,117.10866443274293
2022-08-28,106.46242221158448
2022-09-04,108.59167065581617
2022-09-11,119.23791287697462
2022-09-18,119.23791287697462
2022-09-25,114.97941598851125
2022-10-02,97.94542843465773
2022-10-09,110.72091910004787
2022-10-16,106.46242221158448
2022-10-23,80.91144088080421
2022-10-30,102.2039253231211
2022-11-06,104.33317376735279
2022-11-13,112.85016754427956
2022-11-20,106.46242221158448
2022-11-27,100.07467687888942
2022-12-04,104.33317376735279
2022-12-11,108.59167065581617
2022-12-18,132.01340354236476
2022-12-25,123.496409765438
2023-01-01,106.46242221158448
2023-01-08,104.33317376735279
2023-01-15,104.33317376735279
2023-01-22,100.07467687888942
2023-01-29,106.46242221158448
2023-02-05,108.59167065581617
2023-02-12,104.33317376735279
2023-02-19,114.97941598851125
2023-02-26,110.72091910004787
2023-03-05,97.94542843465773
2023-03-12,110.72091910004787
2023-03-19,110.72091910004787
2023-03-26,110.72091910004787
2023-04-02,106.46242221158448
2023-04-09,110.72091910004787
2023-04-16,110.72091910004787
2023-04-23,102.2039253231211
2023-04-30,102.2039253231211
2023-05-07,102.2039253231211
2023-05-14,110.72091910004787
2023-05-21,106.46242221158448
2023-05-28,102.2039253231211
2023-06-04,108.59167065581617
2023-06-11,112.85016754427956
2023-06-18,112.85016754427956
2023-06-25,106.46242221158448
2023-07-02,112.85016754427956
2023-07-09,112.85016754427956
2023-07-16,112.85016754427956
2023-07-23,110.72091910004787
2023-07-30,108.59167065581617
2023-08-06,112.85016754427956
2023-08-13,106.46242221158448
2023-08-20,108.59167065581617
2023-08-27,108.59167065581617
2023-09-03,108.59167065581617
2023-09-10,106.46242221158448
2023-09-17,100.07467687888942
2023-09-24,108.59167065581617
2023-10-01,104.33317376735279
2023-10-08,110.72091910004787
2023-10-15,104.33317376735279
2023-10-22,91.55768310196265
2023-10-29,100.07467687888942
2023-11-05,95.81617999042604
2023-11-12,83.0406893250359
2023-11-19,102.2039253231211
2023-11-26,106.46242221158448
2023-12-03,110.72091910004787
2023-12-10,112.85016754427956
2023-12-17,119.23791287697462
2023-12-24,121.36716132120631
2023-12-31,110.72091910004787
2024-01-07,105.06370596838477
2024-01-14,103.49559095393126
2024-01-21,95.65501588166373
2024-01-28,111.33616602619878
2024-02-04,106.63182098283826
2024-02-11,106.63182098283826
2024-02-18,111.33616602619878
2024-02-25,114.47239605510578
2024-03-03,106.63182098283826
2024-03-10,114.47239605510578
2024-03-17,112.90428104065228
2024-03-24,98.79124591057075
2024-03-31,109.76805101174527
2024-04-07,103.49559095393126
2024-04-14,101.92747593947774
2024-04-21,114.47239605510578
2024-04-28,112.90428104065228
2024-05-05,106.63182098283826
2024-05-12,108.19993599729176
2024-05-19,111.33616602619878
2024-05-26,109.76805101174527
2024-06-02,101.92747593947774
2024-06-09,106.63182098283826
2024-06-16,111.33616602619878
2024-06-23,109.76805101174527
2024-06-30,109.76805101174527
2024-07-07,114.47239605510578
2024-07-14,116.04051106955929
2024-07-21,117.6086260840128
2024-07-28,120.74485611291979
2024-08-04,114.47239605510578
2024-08-11,106.63182098283826
2024-08-18,109.76805101174527
2024-08-25,117.6086260840128
2024-09-01,114.47239605510578
2024-09-08,111.33616602619878
2024-09-15,109.76805101174527
2024-09-22,114.47239605510578
2024-09-29,105.06370596838477
2024-10-06,94.08690086721023
2024-10-13,106.63182098283826
2024-10-20,112.90428104065228
2024-10-27,84.67821078048921
2024-11-03,100.35936092502425
2024-11-10,105.06370596838477
2024-11-17,111.33616602619878
2024-11-24,108.19993599729176
2024-12-01,103.49559095393126
2024-12-08,101.92747593947774
2024-12-15,106.63182098283826
2024-12-22,109.76805101174527
2024-12-29,101.92747593947774
2025-01-05,103.49559095393126
2025-01-12,98.79124591057075
2025-01-19,109.76805101174527
2025-01-26,109.76805101174527
2025-02-02,103.49559095393126
2025-02-09,103.49559095393126
2025-02-16,108.19993599729176
2025-02-23,105.06370596838477
2025-03-02,103.49559095393126
2025-03-09,95.65501588166373
2025-03-16,108.19993599729176
2025-03-23,100.35936092502425
2025-03-30,105.06370596838477
2025-04-06,100.35936092502425
2025-04-13,98.79124591057075
2025-04-20,103.49559095393126
2025-04-27,97.22313089611724
2025-05-04,94.08690086721023
2025-05-11,105.06370596838477
2025-05-18,116.04051106955929
2025-05-25,106.63182098283826
