,Tobacco Products
2020-05-24,55.40024135156878
2020-05-31,71.22888173773129
2020-06-07,53.81737731295253
2020-06-14,61.73169750603378
2020-06-21,63.31456154465003
2020-06-28,71.22888173773129
2020-07-05,63.31456154465003
2020-07-12,56.98310539018503
2020-07-19,63.31456154465003
2020-07-26,79.14320193081255
2020-08-02,71.22888173773129
2020-08-09,69.64601769911503
2020-08-16,72.81174577634754
2020-08-23,83.8917940466613
2020-08-30,60.14883346741753
2020-09-06,72.81174577634754
2020-09-13,74.39460981496379
2020-09-20,47.48592115848753
2020-09-27,56.98310539018503
2020-10-04,60.14883346741753
2020-10-11,63.31456154465003
2020-10-18,53.81737731295253
2020-10-25,75.97747385358005
2020-11-01,75.97747385358005
2020-11-08,71.22888173773129
2020-11-15,44.32019308125503
2020-11-22,53.81737731295253
2020-11-29,66.48028962188253
2020-12-06,56.98310539018503
2020-12-13,50.65164923572003
2020-12-20,66.48028962188253
2020-12-27,64.89742558326628
2021-01-03,72.81174577634754
2021-01-10,47.48592115848753
2021-01-17,63.31456154465003
2021-01-24,64.89742558326628
2021-01-31,64.89742558326628
2021-02-07,60.14883346741753
2021-02-14,60.14883346741753
2021-02-21,121.88053097345131
2021-02-28,71.22888173773129
2021-03-07,66.48028962188253
2021-03-14,90.2232502011263
2021-03-21,75.97747385358005
2021-03-28,83.8917940466613
2021-04-04,64.89742558326628
2021-04-11,53.81737731295253
2021-04-18,63.31456154465003
2021-04-25,60.14883346741753
2021-05-02,64.89742558326628
2021-05-09,66.48028962188253
2021-05-16,93.3889782783588
2021-05-23,58.56596942880128
2021-05-30,87.0575221238938
2021-06-06,102.88616251005631
2021-06-13,80.7260659694288
2021-06-20,71.22888173773129
2021-06-27,68.06315366049878
2021-07-04,79.14320193081255
2021-07-11,71.22888173773129
2021-07-18,74.39460981496379
2021-07-25,75.97747385358005
2021-08-01,66.48028962188253
2021-08-08,64.89742558326628
2021-08-15,58.56596942880128
2021-08-22,53.81737731295253
2021-08-29,64.89742558326628
2021-09-05,60.14883346741753
2021-09-12,53.81737731295253
2021-09-19,63.31456154465003
2021-09-26,58.56596942880128
2021-10-03,69.64601769911503
2021-10-10,71.22888173773129
2021-10-17,58.56596942880128
2021-10-24,63.31456154465003
2021-10-31,85.47465808527755
2021-11-07,93.3889782783588
2021-11-14,74.39460981496379
2021-11-21,74.39460981496379
2021-11-28,72.81174577634754
2021-12-05,80.7260659694288
2021-12-12,80.7260659694288
2021-12-19,60.14883346741753
2021-12-26,69.64601769911503
2022-01-02,90.2232502011263
2022-01-09,104.46902654867256
2022-01-16,87.0575221238938
2022-01-23,85.47465808527755
