,Construction Consulting & Contracting
2020-05-24,59.73626373626374
2020-05-31,60.98076923076923
2020-06-07,56.002747252747255
2020-06-14,54.75824175824176
2020-06-21,63.46978021978022
2020-06-28,60.98076923076923
2020-07-05,56.002747252747255
2020-07-12,64.71428571428572
2020-07-19,67.2032967032967
2020-07-26,63.46978021978022
2020-08-02,59.73626373626374
2020-08-09,84.62637362637363
2020-08-16,70.93681318681318
2020-08-23,73.42582417582418
2020-08-30,62.22527472527473
2020-09-06,83.38186813186813
2020-09-13,73.42582417582418
2020-09-20,73.42582417582418
2020-09-27,68.4478021978022
2020-10-04,82.13736263736264
2020-10-11,65.95879120879121
2020-10-18,68.4478021978022
2020-10-25,68.4478021978022
2020-11-01,46.0467032967033
2020-11-08,51.02472527472528
2020-11-15,59.73626373626374
2020-11-22,70.93681318681318
2020-11-29,85.87087912087912
2020-12-06,60.98076923076923
2020-12-13,65.95879120879121
2020-12-20,67.2032967032967
2020-12-27,70.93681318681318
2021-01-03,60.98076923076923
2021-01-10,58.49175824175824
2021-01-17,59.73626373626374
2021-01-24,77.15934065934066
2021-01-31,77.15934065934066
2021-02-07,68.4478021978022
2021-02-14,80.89285714285714
2021-02-21,65.95879120879121
2021-02-28,64.71428571428572
2021-03-07,68.4478021978022
2021-03-14,95.82692307692308
2021-03-21,80.89285714285714
2021-03-28,77.15934065934066
2021-04-04,73.42582417582418
2021-04-11,73.42582417582418
2021-04-18,72.18131868131869
2021-04-25,97.07142857142857
2021-05-02,102.04945054945055
2021-05-09,78.40384615384616
2021-05-16,95.82692307692308
2021-05-23,69.6923076923077
2021-05-30,87.11538461538461
2021-06-06,82.13736263736264
2021-06-13,87.11538461538461
2021-06-20,109.51648351648352
2021-06-27,73.42582417582418
2021-07-04,95.82692307692308
2021-07-11,112.00549450549451
2021-07-18,124.45054945054946
2021-07-25,113.25
2021-08-01,87.11538461538461
2021-08-08,79.64835164835165
2021-08-15,95.82692307692308
2021-08-22,102.04945054945055
2021-08-29,65.95879120879121
2021-09-05,79.64835164835165
2021-09-12,88.35989010989012
2021-09-19,92.0934065934066
2021-09-26,107.02747252747253
2021-10-03,98.31593406593407
2021-10-10,89.6043956043956
2021-10-17,87.11538461538461
2021-10-24,95.82692307692308
2021-10-31,90.8489010989011
2021-11-07,78.40384615384616
2021-11-14,94.58241758241758
2021-11-21,80.89285714285714
2021-11-28,100.80494505494505
2021-12-05,73.42582417582418
2021-12-12,69.6923076923077
2021-12-19,88.35989010989012
2021-12-26,42.31318681318682
2022-01-02,104.53846153846155
2022-01-09,92.0934065934066
2022-01-16,85.87087912087912
2022-01-23,78.40384615384616
2022-01-30,100.80494505494505
2022-02-06,89.6043956043956
2022-02-13,90.8489010989011
2022-02-20,88.35989010989012
2022-02-27,92.0934065934066
2022-03-06,97.07142857142857
2022-03-13,97.07142857142857
2022-03-20,103.29395604395604
2022-03-27,84.62637362637363
2022-04-03,94.58241758241758
2022-04-10,56.002747252747255
2022-04-17,90.8489010989011
2022-04-24,75.91483516483517
2022-05-01,94.58241758241758
2022-05-08,64.71428571428572
2022-05-15,75.91483516483517
2022-05-22,85.87087912087912
2022-05-29,88.35989010989012
2022-06-05,99.56043956043956
2022-06-12,70.93681318681318
2022-06-19,90.8489010989011
2022-06-26,90.8489010989011
2022-07-03,98.31593406593407
2022-07-10,79.64835164835165
2022-07-17,92.0934065934066
2022-07-24,68.4478021978022
2022-07-31,93.33791208791209
2022-08-07,69.6923076923077
2022-08-14,89.6043956043956
2022-08-21,67.2032967032967
2022-08-28,93.33791208791209
2022-09-04,65.95879120879121
2022-09-11,104.53846153846155
2022-09-18,90.8489010989011
2022-09-25,84.62637362637363
2022-10-02,83.38186813186813
2022-10-09,94.58241758241758
2022-10-16,100.80494505494505
2022-10-23,92.0934065934066
2022-10-30,89.6043956043956
2022-11-06,78.40384615384616
2022-11-13,84.62637362637363
2022-11-20,74.67032967032966
2022-11-27,84.62637362637363
2022-12-04,69.6923076923077
2022-12-11,83.38186813186813
2022-12-18,74.67032967032966
2022-12-25,80.89285714285714
2023-01-01,72.18131868131869
2023-01-08,92.0934065934066
2023-01-15,78.40384615384616
2023-01-22,74.67032967032966
2023-01-29,98.31593406593407
2023-02-05,68.4478021978022
2023-02-12,67.2032967032967
2023-02-19,87.11538461538461
2023-02-26,89.6043956043956
2023-03-05,70.93681318681318
2023-03-12,90.8489010989011
2023-03-19,69.6923076923077
2023-03-26,69.6923076923077
2023-04-02,72.18131868131869
2023-04-09,64.71428571428572
2023-04-16,65.95879120879121
2023-04-23,70.93681318681318
2023-04-30,69.6923076923077
2023-05-07,78.40384615384616
2023-05-14,83.38186813186813
2023-05-21,77.15934065934066
2023-05-28,53.51373626373626
2023-06-04,70.93681318681318
2023-06-11,92.0934065934066
2023-06-18,84.62637362637363
2023-06-25,69.6923076923077
2023-07-02,89.6043956043956
2023-07-09,88.35989010989012
2023-07-16,79.64835164835165
2023-07-23,74.67032967032966
2023-07-30,82.13736263736264
2023-08-06,83.38186813186813
2023-08-13,87.11538461538461
2023-08-20,54.75824175824176
2023-08-27,65.95879120879121
2023-09-03,93.33791208791209
2023-09-10,89.6043956043956
2023-09-17,82.13736263736264
2023-09-24,75.91483516483517
2023-10-01,74.67032967032966
2023-10-08,60.98076923076923
2023-10-15,64.71428571428572
2023-10-22,84.62637362637363
2023-10-29,70.93681318681318
2023-11-05,78.40384615384616
2023-11-12,79.64835164835165
2023-11-19,82.13736263736264
2023-11-26,88.35989010989012
2023-12-03,82.13736263736264
2023-12-10,84.62637362637363
2023-12-17,64.71428571428572
2023-12-24,84.62637362637363
2023-12-31,87.11538461538461
2024-01-07,98.59962100452378
2024-01-14,98.59962100452378
2024-01-21,81.19968788607841
2024-01-28,76.55970572115965
2024-02-04,88.15966113345657
2024-02-11,80.03969234484872
2024-02-18,85.83967005099719
2024-02-25,115.99955412296916
2024-03-03,100.91961208698316
2024-03-10,113.67956304050978
2024-03-17,99.75961654575347
2024-03-24,104.39959871067225
2024-03-31,75.39971017992995
2024-04-07,59.15977260271427
2024-04-14,70.75972801501119
2024-04-21,61.47976368517366
2024-04-28,89.31965667468626
2024-05-05,86.99966559222688
2024-05-12,88.15966113345657
2024-05-19,88.15966113345657
2024-05-26,83.51967896853779
2024-06-02,66.11974585009243
2024-06-09,82.3596834273081
2024-06-16,92.79964329837533
2024-06-23,84.6796745097675
2024-06-30,93.95963883960502
2024-07-07,80.03969234484872
2024-07-14,82.3596834273081
2024-07-21,92.79964329837533
2024-07-28,85.83967005099719
2024-08-04,96.2796299220644
2024-08-11,84.6796745097675
2024-08-18,90.47965221591595
2024-08-25,92.79964329837533
2024-09-01,88.15966113345657
2024-09-08,78.87969680361903
2024-09-15,61.47976368517366
2024-09-22,75.39971017992995
2024-09-29,89.31965667468626
2024-10-06,68.43973693255181
2024-10-13,88.15966113345657
2024-10-20,89.31965667468626
2024-10-27,91.63964775714564
2024-11-03,82.3596834273081
2024-11-10,75.39971017992995
2024-11-17,75.39971017992995
2024-11-24,71.91972355624088
2024-12-01,82.3596834273081
2024-12-08,92.79964329837533
2024-12-15,90.47965221591595
2024-12-22,78.87969680361903
2024-12-29,83.51967896853779
2025-01-05,90.47965221591595
2025-01-12,67.27974139132212
2025-01-19,83.51967896853779
2025-01-26,110.1995764168207
2025-02-02,106.71958979313163
2025-02-09,73.07971909747057
2025-02-16,96.2796299220644
2025-02-23,84.6796745097675
2025-03-02,93.95963883960502
2025-03-09,80.03969234484872
2025-03-16,75.39971017992995
2025-03-23,76.55970572115965
2025-03-30,77.71970126238934
2025-04-06,89.31965667468626
2025-04-13,70.75972801501119
2025-04-20,90.47965221591595
2025-04-27,77.71970126238934
2025-05-04,89.31965667468626
2025-05-11,80.03969234484872
2025-05-18,88.15966113345657
2025-05-25,73.07971909747057
2025-06-01,104.39959871067225
2025-06-08,83.51967896853779
2025-06-15,92.79964329837533
2025-06-22,86.99966559222688
2025-06-29,90.47965221591595
2025-07-06,68.43973693255181
2025-07-13,95.11963438083471
2025-07-20,78.87969680361903
2025-07-27,89.31965667468626
2025-08-03,86.99966559222688
2025-08-10,103.23960316944256
2025-08-17,85.83967005099719
2025-08-24,80.03969234484872
2025-08-31,66.11974585009243
2025-09-07,77.71970126238934
2025-09-14,86.99966559222688
2025-09-21,77.71970126238934
2025-09-28,67.27974139132212
2025-10-05,66.11974585009243
2025-10-12,83.51967896853779
2025-10-19,64.95975030886274
2025-10-26,76.55970572115965
2025-11-02,78.87969680361903
2025-11-09,67.27974139132212
2025-11-16,84.6796745097675
2025-11-23,77.71970126238934
2025-11-30,63.79975476763304
2025-12-07,85.83967005099719
2025-12-14,78.87969680361903
2025-12-21,81.19968788607841
2025-12-28,81.19968788607841
