,Aviation
2014-12-28,49.0
2015-01-04,46.0
2015-01-11,25.0
2015-01-18,39.0
2015-01-25,0.0
2015-02-01,38.0
2015-02-08,25.0
2015-02-15,45.0
2015-02-22,35.0
2015-03-01,29.0
2015-03-08,37.0
2015-03-15,43.0
2015-03-22,52.0
2015-03-29,0.0
2015-04-05,29.0
2015-04-12,46.0
2015-04-19,25.0
2015-04-26,29.0
2015-05-03,27.0
2015-05-10,23.0
2015-05-17,23.0
2015-05-24,30.0
2015-05-31,21.0
2015-06-07,19.0
2015-06-14,0.0
2015-06-21,30.0
2015-06-28,21.0
2015-07-05,23.0
2015-07-12,26.0
2015-07-19,25.0
2015-07-26,0.0
2015-08-02,0.0
2015-08-09,29.0
2015-08-16,27.0
2015-08-23,20.0
2015-08-30,0.0
2015-09-06,0.0
2015-09-13,25.0
2015-09-20,29.0
2015-09-27,30.0
2015-10-04,23.0
2015-10-11,18.0
2015-10-18,33.0
2015-10-25,44.0
2015-11-01,36.0
2015-11-08,31.0
2015-11-15,36.0
2015-11-22,22.0
2015-11-29,29.0
2015-12-06,0.0
2015-12-13,39.0
2015-12-20,47.0
2015-12-27,34.0
2016-01-03,32.0
2016-01-10,27.0
2016-01-17,26.0
2016-01-24,32.0
2016-01-31,18.0
2016-02-07,34.0
2016-02-14,43.0
2016-02-21,20.0
2016-02-28,18.0
2016-03-06,29.0
2016-03-13,26.0
2016-03-20,39.0
2016-03-27,47.0
2016-04-03,34.0
2016-04-10,32.0
2016-04-17,30.0
2016-04-24,27.0
2016-05-01,54.0
2016-05-08,0.0
2016-05-15,37.0
2016-05-22,30.0
2016-05-29,34.0
2016-06-05,33.0
2016-06-12,24.0
2016-06-19,34.0
2016-06-26,20.0
2016-07-03,32.0
2016-07-10,41.0
2016-07-17,20.0
2016-07-24,37.0
2016-07-31,52.0
2016-08-07,32.0
2016-08-14,39.0
2016-08-21,35.0
2016-08-28,32.0
2016-09-04,22.0
2016-09-11,23.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,21.0
