,Legal Services
2018-08-05,13.0
2018-08-12,14.0
2018-08-19,20.0
2018-08-26,23.0
2018-09-02,19.0
2018-09-09,22.0
2018-09-16,18.0
2018-09-23,20.0
2018-09-30,17.0
2018-10-07,24.0
2018-10-14,23.0
2018-10-21,24.0
2018-10-28,24.0
2018-11-04,24.0
2018-11-11,27.0
2018-11-18,25.0
2018-11-25,33.0
2018-12-02,33.0
2018-12-09,26.0
2018-12-16,26.0
2018-12-23,25.0
2018-12-30,23.0
2019-01-06,18.0
2019-01-13,20.0
2019-01-20,16.0
2019-01-27,18.0
2019-02-03,19.0
2019-02-10,21.0
2019-02-17,17.0
2019-02-24,24.0
2019-03-03,16.0
2019-03-10,19.0
2019-03-17,23.0
2019-03-24,21.0
2019-03-31,19.0
2019-04-07,18.0
2019-04-14,16.0
2019-04-21,17.0
2019-04-28,20.0
2019-05-05,19.0
2019-05-12,22.0
2019-05-19,21.0
2019-05-26,22.0
2019-06-02,22.0
2019-06-09,24.0
2019-06-16,23.0
2019-06-23,25.0
2019-06-30,25.0
2019-07-07,25.0
2019-07-14,23.0
2019-07-21,25.0
2019-07-28,26.0
2019-08-04,27.0
2019-08-11,19.0
2019-08-18,21.0
2019-08-25,22.0
2019-09-01,27.0
2019-09-08,22.0
2019-09-15,20.0
2019-09-22,23.0
2019-09-29,20.0
2019-10-06,24.0
2019-10-13,31.0
2019-10-20,24.0
2019-10-27,27.0
2019-11-03,23.0
2019-11-10,31.0
2019-11-17,32.0
2019-11-24,27.0
2019-12-01,25.0
2019-12-08,24.0
2019-12-15,26.0
2019-12-22,22.0
2019-12-29,24.0
2020-01-05,19.098360655737707
2020-01-12,21.268628912071534
2020-01-19,21.268628912071534
2020-01-26,21.702682563338303
2020-02-02,21.268628912071534
2020-02-09,23.438897168405365
2020-02-16,23.0048435171386
2020-02-23,23.87295081967213
2020-03-01,18.230253353204173
2020-03-08,18.230253353204173
2020-03-15,16.059985096870342
2020-03-22,16.928092399403877
2020-03-29,15.625931445603577
2020-04-05,15.625931445603577
2020-04-12,15.191877794336811
2020-04-19,13.455663189269748
2020-04-26,14.757824143070046
2020-05-03,15.625931445603577
2020-05-10,16.928092399403877
2020-05-17,17.796199701937407
2020-05-24,14.757824143070046
2020-05-31,16.49403874813711
2020-06-07,21.268628912071534
2020-06-14,23.0048435171386
2020-06-21,24.3070044709389
2020-06-28,23.0048435171386
2020-07-05,25.17511177347243
2020-07-12,23.438897168405365
2020-07-19,19.532414307004473
2020-07-26,19.966467958271238
2020-08-02,27.34538002980626
2020-08-09,25.17511177347243
2020-08-16,24.3070044709389
2020-08-23,23.87295081967213
2020-08-30,25.609165424739196
2020-09-06,23.87295081967213
2020-09-13,23.0048435171386
2020-09-20,23.438897168405365
2020-09-27,20.400521609538004
2020-10-04,24.741058122205665
2020-10-11,16.928092399403877
2020-10-18,21.268628912071534
2020-10-25,23.0048435171386
2020-11-01,22.13673621460507
2020-11-08,21.268628912071534
2020-11-15,20.400521609538004
2020-11-22,20.400521609538004
2020-11-29,21.702682563338303
2020-12-06,23.0048435171386
2020-12-13,27.34538002980626
2020-12-20,20.83457526080477
2020-12-27,22.570789865871834
2021-01-03,26.477272727272727
2021-01-10,19.966467958271238
2021-01-17,18.66430700447094
2021-01-24,20.83457526080477
2021-01-31,20.400521609538004
2021-02-07,24.741058122205665
2021-02-14,31.685916542473922
2021-02-21,25.609165424739196
2021-02-28,32.55402384500745
2021-03-07,32.98807749627422
2021-03-14,32.55402384500745
2021-03-21,31.251862891207153
2021-03-28,35.15834575260805
2021-04-04,35.15834575260805
2021-04-11,27.34538002980626
2021-04-18,38.196721311475414
2021-04-25,36.02645305514158
2021-05-02,33.85618479880775
2021-05-09,41.66915052160954
2021-05-16,35.592399403874815
2021-05-23,29.949701937406857
2021-05-30,38.63077496274218
2021-06-06,36.02645305514158
2021-06-13,37.32861400894188
2021-06-20,34.724292101341284
2021-06-27,41.66915052160954
2021-07-04,36.460506706408346
2021-07-11,32.119970193740684
2021-07-18,32.55402384500745
2021-07-25,38.196721311475414
2021-08-01,32.119970193740684
2021-08-08,29.949701937406857
2021-08-15,31.685916542473922
2021-08-22,28.647540983606557
2021-08-29,29.081594634873326
2021-09-05,28.647540983606557
2021-09-12,37.76266766020864
2021-09-19,32.119970193740684
2021-09-26,42.97131147540984
2021-10-03,42.53725782414307
2021-10-10,29.949701937406857
2021-10-17,26.911326378539496
2021-10-24,36.460506706408346
2021-10-31,34.724292101341284
2021-11-07,38.196721311475414
2021-11-14,32.98807749627422
2021-11-21,40.36698956780924
2021-11-28,31.251862891207153
2021-12-05,31.685916542473922
2021-12-12,28.647540983606557
2021-12-19,29.081594634873326
2021-12-26,33.42213114754099
2022-01-02,30.817809239940388
2022-01-09,25.609165424739196
2022-01-16,24.741058122205665
2022-01-23,24.741058122205665
2022-01-30,30.817809239940388
2022-02-06,25.609165424739196
2022-02-13,29.949701937406857
2022-02-20,27.34538002980626
2022-02-27,43.40536512667661
2022-03-06,29.51564828614009
2022-03-13,27.779433681073026
2022-03-20,28.647540983606557
2022-03-27,20.400521609538004
2022-04-03,23.87295081967213
2022-04-10,16.49403874813711
2022-04-17,29.949701937406857
2022-04-24,30.383755588673623
2022-05-01,28.647540983606557
2022-05-08,26.911326378539496
2022-05-15,31.251862891207153
2022-05-22,29.949701937406857
2022-05-29,39.064828614008945
2022-06-05,33.42213114754099
2022-06-12,24.741058122205665
2022-06-19,23.87295081967213
2022-06-26,33.42213114754099
2022-07-03,33.85618479880775
2022-07-10,28.647540983606557
2022-07-17,32.119970193740684
2022-07-24,31.685916542473922
2022-07-31,33.42213114754099
2022-08-07,30.383755588673623
2022-08-14,36.89456035767511
2022-08-21,36.460506706408346
2022-08-28,27.779433681073026
2022-09-04,30.383755588673623
2022-09-11,30.383755588673623
2022-09-18,26.911326378539496
2022-09-25,25.609165424739196
2022-10-02,26.477272727272727
2022-10-09,25.17511177347243
2022-10-16,29.51564828614009
2022-10-23,24.741058122205665
2022-10-30,27.779433681073026
2022-11-06,30.817809239940388
2022-11-13,33.85618479880775
2022-11-20,24.3070044709389
2022-11-27,24.741058122205665
2022-12-04,23.87295081967213
2022-12-11,26.477272727272727
2022-12-18,25.17511177347243
2022-12-25,23.87295081967213
2023-01-01,23.0048435171386
2023-01-08,26.04321907600596
2023-01-15,27.34538002980626
2023-01-22,26.911326378539496
2023-01-29,24.3070044709389
2023-02-05,24.3070044709389
2023-02-12,23.438897168405365
2023-02-19,28.213487332339792
2023-02-26,30.383755588673623
2023-03-05,25.17511177347243
2023-03-12,23.87295081967213
2023-03-19,24.3070044709389
2023-03-26,26.911326378539496
2023-04-02,24.3070044709389
2023-04-09,19.532414307004473
2023-04-16,19.098360655737707
2023-04-23,24.741058122205665
2023-04-30,21.702682563338303
2023-05-07,22.13673621460507
2023-05-14,19.966467958271238
2023-05-21,26.04321907600596
2023-05-28,23.0048435171386
2023-06-04,26.04321907600596
2023-06-11,22.13673621460507
2023-06-18,23.0048435171386
2023-06-25,24.741058122205665
2023-07-02,25.17511177347243
2023-07-09,27.779433681073026
2023-07-16,29.081594634873326
2023-07-23,28.647540983606557
2023-07-30,25.609165424739196
2023-08-06,27.779433681073026
2023-08-13,27.34538002980626
2023-08-20,23.87295081967213
2023-08-27,25.17511177347243
2023-09-03,22.13673621460507
2023-09-10,26.477272727272727
2023-09-17,23.0048435171386
2023-09-24,23.0048435171386
2023-10-01,21.268628912071534
2023-10-08,24.3070044709389
2023-10-15,19.966467958271238
2023-10-22,20.400521609538004
2023-10-29,22.13673621460507
2023-11-05,25.17511177347243
2023-11-12,24.741058122205665
2023-11-19,20.400521609538004
2023-11-26,22.570789865871834
2023-12-03,23.87295081967213
2023-12-10,19.966467958271238
2023-12-17,26.477272727272727
2023-12-24,21.702682563338303
2023-12-31,22.570789865871834
2024-01-07,22.435675888823813
2024-01-14,23.50404140733923
2024-01-21,21.36731037030839
2024-01-28,27.06525980239063
2024-02-04,28.84586899991633
2024-02-11,24.92852876535979
2024-02-18,24.21628508634951
2024-02-25,26.70913796288549
2024-03-03,20.655066691298114
2024-03-10,23.50404140733923
2024-03-17,25.64077244437007
2024-03-24,28.48974716041119
2024-03-31,24.92852876535979
2024-04-07,21.011188530803253
2024-04-14,20.655066691298114
2024-04-21,20.655066691298114
2024-04-28,20.655066691298114
2024-05-05,31.694843715957447
2024-05-12,27.06525980239063
2024-05-19,21.011188530803253
2024-05-26,24.21628508634951
2024-06-02,21.36731037030839
2024-06-09,35.61218395051399
2024-06-16,25.99689428387521
2024-06-23,24.21628508634951
2024-06-30,24.92852876535979
2024-07-07,24.92852876535979
2024-07-14,27.06525980239063
2024-07-21,27.42138164189577
2024-07-28,22.079554049318673
2024-08-04,23.50404140733923
2024-08-11,27.06525980239063
2024-08-18,23.860163246844373
2024-08-25,28.84586899991633
2024-09-01,29.914234518431748
2024-09-08,23.50404140733923
2024-09-15,25.284650604864932
2024-09-22,29.914234518431748
2024-09-29,24.21628508634951
2024-10-06,30.27035635793689
2024-10-13,31.338721876452308
2024-10-20,31.338721876452308
2024-10-27,28.84586899991633
2024-11-03,22.79179772832895
2024-11-10,31.338721876452308
2024-11-17,24.92852876535979
2024-11-24,24.57240692585465
2024-12-01,24.57240692585465
2024-12-08,25.99689428387521
2024-12-15,27.06525980239063
2024-12-22,26.35301612338035
2024-12-29,21.36731037030839
2025-01-05,23.860163246844373
2025-01-12,29.55811267892661
2025-01-19,30.62647819744203
2025-01-26,25.99689428387521
2025-02-02,24.57240692585465
2025-02-09,28.13362532090605
2025-02-16,23.860163246844373
2025-02-23,28.48974716041119
2025-03-02,22.079554049318673
2025-03-09,31.338721876452308
2025-03-16,29.914234518431748
2025-03-23,24.92852876535979
2025-03-30,27.06525980239063
2025-04-06,23.14791956783409
2025-04-13,19.586701172782693
2025-04-20,27.77750348140091
2025-04-27,24.92852876535979
2025-05-04,31.694843715957447
2025-05-11,23.860163246844373
2025-05-18,23.14791956783409
2025-05-25,19.942823012287832
2025-06-01,27.42138164189577
2025-06-08,28.48974716041119
2025-06-15,33.11933107397801
2025-06-22,29.55811267892661
2025-06-29,28.84586899991633
2025-07-06,24.21628508634951
2025-07-13,21.36731037030839
2025-07-20,23.14791956783409
2025-07-27,28.48974716041119
2025-08-03,28.48974716041119
2025-08-10,27.42138164189577
2025-08-17,33.475452913483146
2025-08-24,28.13362532090605
2025-08-31,26.35301612338035
2025-09-07,24.21628508634951
2025-09-14,29.914234518431748
2025-09-21,24.57240692585465
2025-09-28,25.64077244437007
2025-10-05,30.62647819744203
2025-10-12,29.55811267892661
2025-10-19,24.57240692585465
2025-10-26,30.27035635793689
2025-11-02,26.70913796288549
2025-11-09,24.92852876535979
2025-11-16,24.57240692585465
2025-11-23,17.806091975256994
2025-11-30,18.162213814762133
2025-12-07,22.435675888823813
2025-12-14,25.64077244437007
2025-12-21,23.860163246844373
2025-12-28,25.64077244437007
