,Energy & Utilities
2014-12-28,41.0
2015-01-04,38.0
2015-01-11,43.0
2015-01-18,49.0
2015-01-25,48.0
2015-02-01,44.0
2015-02-08,54.0
2015-02-15,55.0
2015-02-22,48.0
2015-03-01,50.0
2015-03-08,52.0
2015-03-15,53.0
2015-03-22,51.0
2015-03-29,54.0
2015-04-05,46.0
2015-04-12,32.0
2015-04-19,52.0
2015-04-26,46.0
2015-05-03,53.0
2015-05-10,56.0
2015-05-17,55.0
2015-05-24,56.0
2015-05-31,52.0
2015-06-07,59.0
2015-06-14,54.0
2015-06-21,54.0
2015-06-28,52.0
2015-07-05,52.0
2015-07-12,55.0
2015-07-19,56.0
2015-07-26,53.0
2015-08-02,54.0
2015-08-09,53.0
2015-08-16,48.0
2015-08-23,52.0
2015-08-30,54.0
2015-09-06,59.0
2015-09-13,50.0
2015-09-20,49.0
2015-09-27,61.0
2015-10-04,57.0
2015-10-11,57.0
2015-10-18,60.0
2015-10-25,55.0
2015-11-01,50.0
2015-11-08,51.0
2015-11-15,55.0
2015-11-22,55.0
2015-11-29,55.0
2015-12-06,51.0
2015-12-13,52.0
2015-12-20,43.0
2015-12-27,48.0
2016-01-03,60.0
2016-01-10,51.0
2016-01-17,53.0
2016-01-24,51.0
2016-01-31,48.0
2016-02-07,62.0
2016-02-14,62.0
2016-02-21,60.0
2016-02-28,62.0
2016-03-06,55.0
2016-03-13,91.0
2016-03-20,60.0
2016-03-27,64.0
2016-04-03,53.0
2016-04-10,32.0
2016-04-17,59.0
2016-04-24,54.0
2016-05-01,65.0
2016-05-08,68.0
2016-05-15,66.0
2016-05-22,61.0
2016-05-29,65.0
2016-06-05,68.0
2016-06-12,55.0
2016-06-19,62.0
2016-06-26,63.0
2016-07-03,63.0
2016-07-10,65.0
2016-07-17,63.0
2016-07-24,58.0
2016-07-31,60.0
2016-08-07,65.0
2016-08-14,58.0
2016-08-21,59.0
2016-08-28,56.0
2016-09-04,67.0
2016-09-11,54.0
2016-09-18,65.0
2016-09-25,66.0
2016-10-02,64.0
2016-10-09,67.0
2016-10-16,73.0
2016-10-23,60.0
2016-10-30,66.0
2016-11-06,64.0
2016-11-13,62.0
2016-11-20,59.0
2016-11-27,60.0
2016-12-04,58.0
2016-12-11,47.0
2016-12-18,52.0
2016-12-25,55.0
2017-01-01,63.0
2017-01-08,61.0
2017-01-15,69.0
2017-01-22,67.0
2017-01-29,65.0
2017-02-05,65.0
2017-02-12,71.0
2017-02-19,67.0
2017-02-26,73.0
2017-03-05,72.0
2017-03-12,71.0
2017-03-19,72.0
2017-03-26,74.0
2017-04-02,64.0
2017-04-09,52.0
2017-04-16,91.0
2017-04-23,88.0
2017-04-30,80.0
2017-05-07,70.0
2017-05-14,75.0
2017-05-21,83.0
2017-05-28,93.0
2017-06-04,74.0
2017-06-11,94.0
2017-06-18,84.0
2017-06-25,78.0
2017-07-02,82.0
2017-07-09,88.0
2017-07-16,87.0
2017-07-23,100.0
2017-07-30,89.0
2017-08-06,82.0
2017-08-13,81.0
