,Enterprise Resource Planning (ERP)
2014-12-28,39.0
2015-01-04,30.0
2015-01-11,39.0
2015-01-18,44.0
2015-01-25,42.0
2015-02-01,30.0
2015-02-08,37.0
2015-02-15,56.0
2015-02-22,38.0
2015-03-01,45.0
2015-03-08,34.0
2015-03-15,56.0
2015-03-22,46.0
2015-03-29,32.0
2015-04-05,40.0
2015-04-12,31.0
2015-04-19,43.0
2015-04-26,38.0
2015-05-03,45.0
2015-05-10,39.0
2015-05-17,43.0
2015-05-24,41.0
2015-05-31,39.0
2015-06-07,50.0
2015-06-14,53.0
2015-06-21,56.0
2015-06-28,36.0
2015-07-05,100.0
2015-07-12,65.0
2015-07-19,45.0
2015-07-26,34.0
2015-08-02,53.0
2015-08-09,42.0
2015-08-16,28.0
2015-08-23,37.0
2015-08-30,39.0
2015-09-06,44.0
2015-09-13,36.0
2015-09-20,38.0
2015-09-27,42.0
2015-10-04,50.0
2015-10-11,45.0
2015-10-18,40.0
2015-10-25,48.0
2015-11-01,48.0
2015-11-08,43.0
2015-11-15,52.0
2015-11-22,41.0
2015-11-29,55.0
2015-12-06,56.0
2015-12-13,51.0
2015-12-20,51.0
2015-12-27,59.0
2016-01-03,46.0
2016-01-10,52.0
2016-01-17,52.0
2016-01-24,54.0
2016-01-31,52.0
2016-02-07,58.0
2016-02-14,53.0
2016-02-21,52.0
2016-02-28,70.0
2016-03-06,59.0
2016-03-13,52.0
2016-03-20,53.0
2016-03-27,57.0
2016-04-03,62.0
2016-04-10,47.0
2016-04-17,53.0
2016-04-24,59.0
2016-05-01,67.0
2016-05-08,65.0
2016-05-15,63.0
2016-05-22,61.0
2016-05-29,59.0
2016-06-05,67.0
2016-06-12,58.0
2016-06-19,47.0
2016-06-26,67.0
2016-07-03,69.0
2016-07-10,74.0
2016-07-17,58.0
2016-07-24,73.0
2016-07-31,95.0
2016-08-07,63.0
2016-08-14,62.0
2016-08-21,59.0
2016-08-28,48.0
2016-09-04,54.0
2016-09-11,50.0
2016-09-18,47.0
2016-09-25,45.0
2016-10-02,55.0
2016-10-09,55.0
2016-10-16,62.0
2016-10-23,39.0
2016-10-30,56.0
2016-11-06,57.0
2016-11-13,48.0
2016-11-20,59.0
2016-11-27,47.0
2016-12-04,58.0
2016-12-11,46.0
2016-12-18,61.0
2016-12-25,63.0
2017-01-01,70.0
2017-01-08,51.0
2017-01-15,55.0
2017-01-22,58.0
2017-01-29,62.0
2017-02-05,55.0
2017-02-12,63.0
2017-02-19,62.0
2017-02-26,72.0
2017-03-05,62.0
2017-03-12,60.0
2017-03-19,63.0
2017-03-26,57.0
2017-04-02,63.0
2017-04-09,50.0
2017-04-16,55.0
2017-04-23,59.0
2017-04-30,47.0
2017-05-07,47.0
2017-05-14,60.0
2017-05-21,58.0
2017-05-28,38.0
2017-06-04,35.0
2017-06-11,42.0
2017-06-18,40.0
2017-06-25,47.0
2017-07-02,42.0
2017-07-09,46.0
2017-07-16,45.0
2017-07-23,52.0
2017-07-30,41.0
2017-08-06,39.0
2017-08-13,53.0
2017-08-20,58.0
2017-08-27,64.0
2017-09-03,57.0
2017-09-10,46.0
2017-09-17,54.0
2017-09-24,58.0
2017-10-01,42.0
2017-10-08,45.0
2017-10-15,47.0
2017-10-22,55.0
2017-10-29,58.0
2017-11-05,60.0
2017-11-12,62.0
2017-11-19,61.0
2017-11-26,51.0
2017-12-03,47.0
2017-12-10,66.0
2017-12-17,80.0
2017-12-24,58.0
2017-12-31,58.0
2018-01-07,64.0
2018-01-14,59.0
2018-01-21,49.0
2018-01-28,55.0
2018-02-04,41.0
2018-02-11,42.0
2018-02-18,57.0
2018-02-25,51.0
2018-03-04,48.0
2018-03-11,47.0
2018-03-18,47.0
2018-03-25,41.0
2018-04-01,51.0
2018-04-08,40.0
2018-04-15,51.0
2018-04-22,42.0
2018-04-29,47.0
2018-05-06,43.0
2018-05-13,55.0
2018-05-20,67.0
2018-05-27,41.0
2018-06-03,53.0
2018-06-10,50.0
2018-06-17,47.0
2018-06-24,49.0
2018-07-01,37.0
2018-07-08,47.0
2018-07-15,50.0
2018-07-22,46.0
2018-07-29,47.0
2018-08-05,43.0
2018-08-12,44.0
2018-08-19,46.0
2018-08-26,54.0
2018-09-02,55.0
2018-09-09,52.0
2018-09-16,58.0
2018-09-23,58.0
2018-09-30,89.0
2018-10-07,59.0
2018-10-14,59.0
2018-10-21,40.0
2018-10-28,54.0
2018-11-04,61.0
2018-11-11,45.0
2018-11-18,47.0
2018-11-25,51.0
2018-12-02,57.0
2018-12-09,64.0
2018-12-16,54.0
2018-12-23,42.0
2018-12-30,57.0
2019-01-06,55.0
2019-01-13,56.0
2019-01-20,50.0
2019-01-27,45.0
2019-02-03,48.0
2019-02-10,59.0
2019-02-17,50.0
2019-02-24,56.0
2019-03-03,45.0
2019-03-10,59.0
2019-03-17,50.0
2019-03-24,48.0
2019-03-31,48.0
2019-04-07,35.0
2019-04-14,47.0
2019-04-21,38.0
2019-04-28,34.0
2019-05-05,49.0
2019-05-12,44.0
2019-05-19,53.0
2019-05-26,47.0
2019-06-02,62.0
2019-06-09,60.0
2019-06-16,52.0
2019-06-23,55.0
2019-06-30,64.0
2019-07-07,51.0
2019-07-14,51.0
2019-07-21,53.0
2019-07-28,63.0
2019-08-04,49.0
2019-08-11,49.0
2019-08-18,46.0
2019-08-25,48.0
2019-09-01,50.0
2019-09-08,37.0
2019-09-15,54.0
2019-09-22,53.0
2019-09-29,62.0
2019-10-06,51.0
2019-10-13,71.0
2019-10-20,60.0
2019-10-27,77.0
2019-11-03,60.0
2019-11-10,47.0
2019-11-17,66.0
2019-11-24,50.0
2019-12-01,50.0
2019-12-08,52.0
2019-12-15,60.0
2019-12-22,47.0
2019-12-29,63.0
2020-01-05,55.90303857972005
2020-01-12,53.10788665073404
2020-01-19,55.90303857972005
2020-01-26,59.629907818368046
2020-02-02,48.44930010242404
2020-02-09,52.17616934107204
2020-02-16,59.629907818368046
2020-02-23,58.69819050870605
2020-03-01,45.65414817343804
2020-03-08,48.44930010242404
2020-03-15,40.06384431546603
2020-03-22,35.40525776715603
2020-03-29,34.473540457494025
2020-04-05,37.268692386480026
2020-04-12,41.92727893479003
2020-04-19,33.54182314783203
2020-04-26,34.473540457494025
2020-05-03,39.13212700580403
2020-05-10,39.13212700580403
2020-05-17,46.58586548310004
2020-05-24,37.268692386480026
2020-05-31,46.58586548310004
2020-06-07,40.99556162512803
2020-06-14,45.65414817343804
2020-06-21,49.38101741208604
2020-06-28,46.58586548310004
2020-07-05,55.90303857972005
2020-07-12,46.58586548310004
2020-07-19,52.17616934107204
2020-07-26,53.10788665073404
2020-08-02,40.06384431546603
2020-08-09,48.44930010242404
2020-08-16,51.24445203141004
2020-08-23,59.629907818368046
2020-08-30,54.97132127005804
2020-09-06,57.76647319904404
2020-09-13,60.561625128030045
2020-09-20,52.17616934107204
2020-09-27,54.97132127005804
2020-10-04,50.312734721748036
2020-10-11,56.834755889382045
2020-10-18,48.44930010242404
2020-10-25,47.517582792762035
2020-11-01,39.13212700580403
2020-11-08,49.38101741208604
2020-11-15,53.10788665073404
2020-11-22,46.58586548310004
2020-11-29,48.44930010242404
2020-12-06,50.312734721748036
2020-12-13,45.65414817343804
2020-12-20,47.517582792762035
2020-12-27,54.97132127005804
2021-01-03,51.24445203141004
2021-01-10,50.312734721748036
2021-01-17,48.44930010242404
2021-01-24,34.473540457494025
2021-01-31,40.06384431546603
2021-02-07,49.38101741208604
2021-02-14,45.65414817343804
2021-02-21,44.72243086377603
2021-02-28,52.17616934107204
2021-03-07,40.99556162512803
2021-03-14,53.10788665073404
2021-03-21,59.629907818368046
2021-03-28,60.561625128030045
2021-04-04,52.17616934107204
2021-04-11,45.65414817343804
2021-04-18,58.69819050870605
2021-04-25,44.72243086377603
2021-05-02,61.49334243769205
2021-05-09,54.03960396039604
2021-05-16,50.312734721748036
2021-05-23,45.65414817343804
2021-05-30,53.10788665073404
2021-06-06,58.69819050870605
2021-06-13,60.561625128030045
2021-06-20,45.65414817343804
2021-06-27,49.38101741208604
2021-07-04,50.312734721748036
2021-07-11,52.17616934107204
2021-07-18,41.92727893479003
2021-07-25,48.44930010242404
2021-08-01,47.517582792762035
2021-08-08,47.517582792762035
2021-08-15,52.17616934107204
2021-08-22,43.790713554114035
2021-08-29,39.13212700580403
2021-09-05,54.03960396039604
2021-09-12,58.69819050870605
2021-09-19,51.24445203141004
2021-09-26,53.10788665073404
2021-10-03,56.834755889382045
2021-10-10,48.44930010242404
2021-10-17,42.85899624445204
2021-10-24,57.76647319904404
2021-10-31,46.58586548310004
2021-11-07,47.517582792762035
2021-11-14,61.49334243769205
2021-11-21,62.42505974735405
2021-11-28,43.790713554114035
2021-12-05,54.97132127005804
2021-12-12,43.790713554114035
