,Recruitment
2020-05-24,37.076327822722476
2020-05-31,39.393598311642634
2020-06-07,49.821315511783325
2020-06-14,38.234963067182555
2020-06-21,44.02813928948294
2020-06-28,48.66268026732325
2020-07-05,44.02813928948294
2020-07-12,47.504045022863174
2020-07-19,61.4076679563841
2020-07-26,40.552233556102706
2020-08-02,50.979950756243404
2020-08-09,59.090397467463944
2020-08-16,85.73900809004573
2020-08-23,64.88357368976433
2020-08-30,49.821315511783325
2020-09-06,69.51811466760464
2020-09-13,54.455856489623635
2020-09-20,62.566303200844175
2020-09-27,54.455856489623635
2020-10-04,35.9176925782624
2020-10-11,54.455856489623635
2020-10-18,44.02813928948294
2020-10-25,47.504045022863174
2020-11-01,35.9176925782624
2020-11-08,47.504045022863174
2020-11-15,48.66268026732325
2020-11-22,54.455856489623635
2020-11-29,38.234963067182555
2020-12-06,48.66268026732325
2020-12-13,53.297221245163556
2020-12-20,44.02813928948294
2020-12-27,44.02813928948294
2021-01-03,50.979950756243404
2021-01-10,54.455856489623635
2021-01-17,45.186774533943016
2021-01-24,55.614491734083714
2021-01-31,49.821315511783325
2021-02-07,54.455856489623635
2021-02-14,57.93176222300387
2021-02-21,46.345409778403095
2021-02-28,50.979950756243404
2021-03-07,55.614491734083714
2021-03-14,53.297221245163556
2021-03-21,49.821315511783325
2021-03-28,54.455856489623635
2021-04-04,52.138586000703484
2021-04-11,35.9176925782624
2021-04-18,55.614491734083714
2021-04-25,47.504045022863174
2021-05-02,55.614491734083714
2021-05-09,52.138586000703484
2021-05-16,53.297221245163556
2021-05-23,47.504045022863174
2021-05-30,52.138586000703484
2021-06-06,57.93176222300387
2021-06-13,60.24903271192402
2021-06-20,54.455856489623635
2021-06-27,49.821315511783325
2021-07-04,57.93176222300387
2021-07-11,44.02813928948294
2021-07-18,53.297221245163556
2021-07-25,62.566303200844175
2021-08-01,59.090397467463944
2021-08-08,47.504045022863174
2021-08-15,48.66268026732325
2021-08-22,55.614491734083714
2021-08-29,50.979950756243404
2021-09-05,48.66268026732325
2021-09-12,54.455856489623635
2021-09-19,57.93176222300387
2021-09-26,66.0422089342244
2021-10-03,57.93176222300387
2021-10-10,60.24903271192402
2021-10-17,60.24903271192402
2021-10-24,56.77312697854379
2021-10-31,47.504045022863174
2021-11-07,61.4076679563841
2021-11-14,53.297221245163556
2021-11-21,67.20084417868449
2021-11-28,54.455856489623635
2021-12-05,66.0422089342244
2021-12-12,66.0422089342244
2021-12-19,40.552233556102706
2021-12-26,55.614491734083714
2022-01-02,79.94583186774534
2022-01-09,60.24903271192402
2022-01-16,69.51811466760464
2022-01-23,88.05627857896587
2022-01-30,68.35947942314456
2022-02-06,76.46992613436511
2022-02-13,75.31129088990502
2022-02-20,63.724938445304254
2022-02-27,69.51811466760464
2022-03-06,68.35947942314456
2022-03-13,75.31129088990502
2022-03-20,78.78719662328527
2022-03-27,55.614491734083714
2022-04-03,57.93176222300387
2022-04-10,50.979950756243404
2022-04-17,68.35947942314456
2022-04-24,76.46992613436511
2022-05-01,61.4076679563841
2022-05-08,53.297221245163556
2022-05-15,55.614491734083714
2022-05-22,81.10446711220541
2022-05-29,82.2631023566655
2022-06-05,86.8976433345058
2022-06-12,75.31129088990502
2022-06-19,66.0422089342244
2022-06-26,79.94583186774534
2022-07-03,71.8353851565248
2022-07-10,57.93176222300387
2022-07-17,61.4076679563841
2022-07-24,53.297221245163556
2022-07-31,72.99402040098488
2022-08-07,77.62856137882518
2022-08-14,68.35947942314456
2022-08-21,83.42173760112557
2022-08-28,71.8353851565248
2022-09-04,74.15265564544495
2022-09-11,115.86352444600774
2022-09-18,86.8976433345058
2022-09-25,83.42173760112557
2022-10-02,92.69081955680619
2022-10-09,77.62856137882518
2022-10-16,76.46992613436511
2022-10-23,60.24903271192402
2022-10-30,68.35947942314456
2022-11-06,68.35947942314456
2022-11-13,77.62856137882518
2022-11-20,75.31129088990502
2022-11-27,64.88357368976433
2022-12-04,67.20084417868449
2022-12-11,68.35947942314456
2022-12-18,56.77312697854379
2022-12-25,59.090397467463944
2023-01-01,68.35947942314456
2023-01-08,62.566303200844175
2023-01-15,69.51811466760464
2023-01-22,83.42173760112557
2023-01-29,71.8353851565248
2023-02-05,72.99402040098488
2023-02-12,68.35947942314456
2023-02-19,77.62856137882518
2023-02-26,60.24903271192402
2023-03-05,71.8353851565248
2023-03-12,69.51811466760464
2023-03-19,72.99402040098488
2023-03-26,78.78719662328527
2023-04-02,66.0422089342244
2023-04-09,56.77312697854379
2023-04-16,63.724938445304254
2023-04-23,64.88357368976433
2023-04-30,66.0422089342244
2023-05-07,70.67674991206472
2023-05-14,89.21491382342596
2023-05-21,84.58037284558564
2023-05-28,76.46992613436511
2023-06-04,81.10446711220541
2023-06-11,85.73900809004573
2023-06-18,81.10446711220541
2023-06-25,74.15265564544495
2023-07-02,74.15265564544495
2023-07-09,66.0422089342244
2023-07-16,76.46992613436511
2023-07-23,69.51811466760464
2023-07-30,75.31129088990502
2023-08-06,71.8353851565248
2023-08-13,74.15265564544495
2023-08-20,67.20084417868449
2023-08-27,75.31129088990502
2023-09-03,69.51811466760464
2023-09-10,70.67674991206472
2023-09-17,84.58037284558564
2023-09-24,66.0422089342244
2023-10-01,66.0422089342244
2023-10-08,78.78719662328527
2023-10-15,78.78719662328527
2023-10-22,72.99402040098488
2023-10-29,70.67674991206472
2023-11-05,67.20084417868449
2023-11-12,93.84945480126626
2023-11-19,82.2631023566655
2023-11-26,78.78719662328527
2023-12-03,76.46992613436511
2023-12-10,68.35947942314456
2023-12-17,67.20084417868449
2023-12-24,57.93176222300387
2023-12-31,57.93176222300387
2024-01-07,75.36946385711401
2024-01-14,71.6009906642583
2024-01-21,65.00616257676083
2024-01-28,59.35345278747728
2024-02-04,75.36946385711401
2024-02-11,56.527097892835506
2024-02-18,52.758624699979805
2024-02-25,60.29557108569121
2024-03-03,72.54310896247223
2024-03-10,80.08005534818363
2024-03-17,64.0640442785469
2024-03-24,66.89039917318868
2024-03-31,60.29557108569121
2024-04-07,45.2216783142684
2024-04-14,55.58497959462158
2024-04-21,55.58497959462158
2024-04-28,71.6009906642583
2024-05-05,78.19581875175578
2024-05-12,69.71675406783046
2024-05-19,56.527097892835506
2024-05-26,55.58497959462158
2024-06-02,61.237689383905135
2024-06-09,59.35345278747728
2024-06-16,59.35345278747728
2024-06-23,51.816506401765885
2024-06-30,65.00616257676083
2024-07-07,60.29557108569121
2024-07-14,59.35345278747728
2024-07-21,61.237689383905135
2024-07-28,64.0640442785469
2024-08-04,53.70074299819373
2024-08-11,58.41133448926336
2024-08-18,54.64286129640766
2024-08-25,49.93226980533803
2024-09-01,50.87438810355196
2024-09-08,52.758624699979805
2024-09-15,36.74261363034308
2024-09-22,47.10591491069626
2024-09-29,60.29557108569121
2024-10-06,40.51108682319878
2024-10-13,45.2216783142684
2024-10-20,56.527097892835506
2024-10-27,67.83251747140261
