,Office Supplies
2020-06-21,73.51008968609867
2020-06-28,77.96524663677131
2020-07-05,81.30661434977578
2020-07-12,80.19282511210763
2020-07-19,83.53419282511211
2020-07-26,80.19282511210763
2020-08-02,91.33071748878925
2020-08-09,92.4445067264574
2020-08-16,84.64798206278027
2020-08-23,83.53419282511211
2020-08-30,87.98934977578476
2020-09-06,85.76177130044843
2020-09-13,85.76177130044843
2020-09-20,81.30661434977578
2020-09-27,81.30661434977578
2020-10-04,83.53419282511211
2020-10-11,81.30661434977578
2020-10-18,80.19282511210763
2020-10-25,75.73766816143498
2020-11-01,72.3963004484305
2020-11-08,66.82735426008969
2020-11-15,66.82735426008969
2020-11-22,74.62387892376682
2020-11-29,72.3963004484305
2020-12-06,76.85145739910314
2020-12-13,73.51008968609867
2020-12-20,77.96524663677131
2020-12-27,72.3963004484305
2021-01-03,80.19282511210763
2021-01-10,69.05493273542601
2021-01-17,77.96524663677131
2021-01-24,71.28251121076234
2021-01-31,73.51008968609867
2021-02-07,74.62387892376682
2021-02-14,72.3963004484305
2021-02-21,75.73766816143498
2021-02-28,76.85145739910314
2021-03-07,73.51008968609867
2021-03-14,74.62387892376682
2021-03-21,72.3963004484305
2021-03-28,70.16872197309418
2021-04-04,73.51008968609867
2021-04-11,64.59977578475336
2021-04-18,67.94114349775785
2021-04-25,62.37219730941705
2021-05-02,67.94114349775785
2021-05-09,66.82735426008969
2021-05-16,69.05493273542601
2021-05-23,71.28251121076234
2021-05-30,75.73766816143498
2021-06-06,77.96524663677131
2021-06-13,77.96524663677131
2021-06-20,76.85145739910314
2021-06-27,82.42040358744396
2021-07-04,82.42040358744396
2021-07-11,83.53419282511211
2021-07-18,89.10313901345292
2021-07-25,87.98934977578476
2021-08-01,84.64798206278027
2021-08-08,85.76177130044843
2021-08-15,79.07903587443947
2021-08-22,79.07903587443947
2021-08-29,82.42040358744396
2021-09-05,79.07903587443947
2021-09-12,83.53419282511211
2021-09-19,75.73766816143498
2021-09-26,79.07903587443947
2021-10-03,76.85145739910314
2021-10-10,65.71356502242153
2021-10-17,69.05493273542601
2021-10-24,76.85145739910314
2021-10-31,60.144618834080724
2021-11-07,69.05493273542601
2021-11-14,76.85145739910314
2021-11-21,74.62387892376682
2021-11-28,77.96524663677131
2021-12-05,74.62387892376682
2021-12-12,77.96524663677131
2021-12-19,82.42040358744396
2021-12-26,75.73766816143498
2022-01-02,94.67208520179373
2022-01-09,87.98934977578476
2022-01-16,81.30661434977578
2022-01-23,85.76177130044843
2022-01-30,89.10313901345292
2022-02-06,85.76177130044843
2022-02-13,92.4445067264574
2022-02-20,93.55829596412556
2022-02-27,90.21692825112109
2022-03-06,92.4445067264574
2022-03-13,79.07903587443947
2022-03-20,86.8755605381166
2022-03-27,86.8755605381166
2022-04-03,87.98934977578476
2022-04-10,84.64798206278027
2022-04-17,86.8755605381166
2022-04-24,86.8755605381166
2022-05-01,86.8755605381166
2022-05-08,90.21692825112109
2022-05-15,86.8755605381166
2022-05-22,90.21692825112109
2022-05-29,87.98934977578476
2022-06-05,87.98934977578476
2022-06-12,93.55829596412556
2022-06-19,96.89966367713005
2022-06-26,101.3548206278027
2022-07-03,103.58239910313902
2022-07-10,104.69618834080718
2022-07-17,103.58239910313902
2022-07-24,105.80997757847534
2022-07-31,104.69618834080718
2022-08-07,98.01345291479821
2022-08-14,98.01345291479821
2022-08-21,108.03755605381167
2022-08-28,98.01345291479821
2022-09-04,101.3548206278027
2022-09-11,108.03755605381167
2022-09-18,108.03755605381167
2022-09-25,98.01345291479821
2022-10-02,90.21692825112109
2022-10-09,100.24103139013454
2022-10-16,96.89966367713005
2022-10-23,79.07903587443947
2022-10-30,96.89966367713005
2022-11-06,96.89966367713005
2022-11-13,96.89966367713005
2022-11-20,95.78587443946189
2022-11-27,93.55829596412556
2022-12-04,91.33071748878925
2022-12-11,99.12724215246638
2022-12-18,101.3548206278027
2022-12-25,100.24103139013454
2023-01-01,102.46860986547085
2023-01-08,93.55829596412556
2023-01-15,96.89966367713005
2023-01-22,93.55829596412556
2023-01-29,99.12724215246638
2023-02-05,101.3548206278027
2023-02-12,102.46860986547085
2023-02-19,106.92376681614351
2023-02-26,104.69618834080718
2023-03-05,92.4445067264574
2023-03-12,99.12724215246638
2023-03-19,94.67208520179373
2023-03-26,99.12724215246638
2023-04-02,95.78587443946189
2023-04-09,92.4445067264574
2023-04-16,86.8755605381166
2023-04-23,89.10313901345292
2023-04-30,92.4445067264574
2023-05-07,91.33071748878925
2023-05-14,90.21692825112109
2023-05-21,95.78587443946189
2023-05-28,95.78587443946189
2023-06-04,99.12724215246638
2023-06-11,103.58239910313902
2023-06-18,106.92376681614351
2023-06-25,102.46860986547085
2023-07-02,111.37892376681616
2023-07-09,104.69618834080718
2023-07-16,103.58239910313902
2023-07-23,106.92376681614351
2023-07-30,108.03755605381167
2023-08-06,109.15134529147983
2023-08-13,102.46860986547085
2023-08-20,106.92376681614351
2023-08-27,99.12724215246638
2023-09-03,105.80997757847534
2023-09-10,105.80997757847534
2023-09-17,100.24103139013454
2023-09-24,96.89966367713005
2023-10-01,102.46860986547085
2023-10-08,101.3548206278027
2023-10-15,91.33071748878925
2023-10-22,86.8755605381166
2023-10-29,94.67208520179373
2023-11-05,89.10313901345292
2023-11-12,77.96524663677131
2023-11-19,87.98934977578476
2023-11-26,104.69618834080718
2023-12-03,96.89966367713005
2023-12-10,100.24103139013454
2023-12-17,103.58239910313902
2023-12-24,106.92376681614351
2023-12-31,105.80997757847534
2024-01-07,99.34497160615048
2024-01-14,94.61425867252427
2024-01-21,85.15283280527184
2024-01-28,99.34497160615048
2024-02-04,106.4410410065898
2024-02-11,108.80639747340291
2024-02-18,114.71978864043567
2024-02-25,102.89300630637014
2024-03-03,102.89300630637014
2024-03-10,95.79693690593082
2024-03-17,94.61425867252427
2024-03-24,87.51818927208494
2024-03-31,98.16229337274393
2024-04-07,88.7008675054915
2024-04-14,89.88354573889805
2024-04-21,91.0662239723046
2024-04-28,96.97961513933737
2024-05-05,91.0662239723046
2024-05-12,92.24890220571116
2024-05-19,89.88354573889805
2024-05-26,96.97961513933737
2024-06-02,98.16229337274393
2024-06-09,99.34497160615048
2024-06-16,93.43158043911771
2024-06-23,100.52764983955703
2024-06-30,106.4410410065898
2024-07-07,102.89300630637014
2024-07-14,118.26782334065533
2024-07-21,112.35443217362257
2024-07-28,108.80639747340291
2024-08-04,106.4410410065898
2024-08-11,100.52764983955703
2024-08-18,105.25836277318325
2024-08-25,112.35443217362257
2024-09-01,107.62371923999635
2024-09-08,105.25836277318325
2024-09-15,100.52764983955703
2024-09-22,104.07568453977669
2024-09-29,99.34497160615048
2024-10-06,104.07568453977669
2024-10-13,101.71032807296359
2024-10-20,100.52764983955703
2024-10-27,80.42211987164562
2024-11-03,92.24890220571116
2024-11-10,100.52764983955703
2024-11-17,95.79693690593082
2024-11-24,99.34497160615048
2024-12-01,91.0662239723046
2024-12-08,95.79693690593082
2024-12-15,98.16229337274393
2024-12-22,107.62371923999635
2024-12-29,100.52764983955703
2025-01-05,96.97961513933737
2025-01-12,94.61425867252427
2025-01-19,104.07568453977669
2025-01-26,98.16229337274393
2025-02-02,95.79693690593082
2025-02-09,98.16229337274393
2025-02-16,102.89300630637014
2025-02-23,92.24890220571116
2025-03-02,92.24890220571116
2025-03-09,76.87408517142596
2025-03-16,92.24890220571116
2025-03-23,88.7008675054915
2025-03-30,96.97961513933737
2025-04-06,101.71032807296359
2025-04-13,94.61425867252427
2025-04-20,93.43158043911771
2025-04-27,93.43158043911771
2025-05-04,86.33551103867839
2025-05-11,92.24890220571116
2025-05-18,93.43158043911771
2025-05-25,93.43158043911771
2025-06-01,94.61425867252427
2025-06-08,95.79693690593082
2025-06-15,100.52764983955703
2025-06-22,105.25836277318325
2025-06-29,105.25836277318325
2025-07-06,101.71032807296359
2025-07-13,102.89300630637014
2025-07-20,101.71032807296359
2025-07-27,99.34497160615048
2025-08-03,106.4410410065898
2025-08-10,96.97961513933737
2025-08-17,98.16229337274393
2025-08-24,95.79693690593082
2025-08-31,95.79693690593082
2025-09-07,96.97961513933737
2025-09-14,96.97961513933737
2025-09-21,95.79693690593082
2025-09-28,87.51818927208494
2025-10-05,95.79693690593082
2025-10-12,95.79693690593082
2025-10-19,74.50872870461286
2025-10-26,88.7008675054915
2025-11-02,93.43158043911771
2025-11-09,91.0662239723046
2025-11-16,86.33551103867839
2025-11-23,98.16229337274393
2025-11-30,106.4410410065898
2025-12-07,91.0662239723046
2025-12-14,98.16229337274393
2025-12-21,95.79693690593082
2025-12-28,93.43158043911771
2026-01-04,93.43158043911771
