,World News
2014-12-28,16.0
2015-01-04,22.0
2015-01-11,18.0
2015-01-18,12.0
2015-01-25,11.0
2015-02-01,12.0
2015-02-08,12.0
2015-02-15,13.0
2015-02-22,13.0
2015-03-01,14.0
2015-03-08,11.0
2015-03-15,11.0
2015-03-22,12.0
2015-03-29,12.0
2015-04-05,9.0
2015-04-12,10.0
2015-04-19,12.0
2015-04-26,16.0
2015-05-03,13.0
2015-05-10,13.0
2015-05-17,10.0
2015-05-24,17.0
2015-05-31,12.0
2015-06-07,12.0
2015-06-14,11.0
2015-06-21,9.0
2015-06-28,14.0
2015-07-05,14.0
2015-07-12,13.0
2015-07-19,12.0
2015-07-26,12.0
2015-08-02,10.0
2015-08-09,12.0
2015-08-16,19.0
2015-08-23,9.0
2015-08-30,12.0
2015-09-06,10.0
2015-09-13,12.0
2015-09-20,10.0
2015-09-27,16.0
2015-10-04,13.0
2015-10-11,13.0
2015-10-18,9.0
2015-10-25,12.0
2015-11-01,12.0
2015-11-08,19.0
2015-11-15,17.0
2015-11-22,13.0
2015-11-29,12.0
2015-12-06,12.0
2015-12-13,10.0
2015-12-20,12.0
2015-12-27,12.0
2016-01-03,9.0
2016-01-10,11.0
2016-01-17,11.0
2016-01-24,10.0
2016-01-31,11.0
2016-02-07,12.0
2016-02-14,10.0
2016-02-21,10.0
2016-02-28,14.0
2016-03-06,13.0
2016-03-13,11.0
2016-03-20,13.0
2016-03-27,13.0
2016-04-03,12.0
2016-04-10,9.0
2016-04-17,9.0
2016-04-24,10.0
2016-05-01,9.0
2016-05-08,8.0
2016-05-15,12.0
2016-05-22,10.0
2016-05-29,11.0
2016-06-05,12.0
2016-06-12,9.0
2016-06-19,14.0
2016-06-26,12.0
2016-07-03,14.0
2016-07-10,13.0
2016-07-17,15.0
2016-07-24,11.0
2016-07-31,14.0
2016-08-07,13.0
2016-08-14,12.0
2016-08-21,10.0
2016-08-28,12.0
2016-09-04,11.0
2016-09-11,11.0
2016-09-18,12.0
2016-09-25,11.0
2016-10-02,11.0
2016-10-09,11.0
2016-10-16,11.0
2016-10-23,10.0
2016-10-30,12.0
2016-11-06,26.0
2016-11-13,13.0
2016-11-20,13.0
2016-11-27,12.0
2016-12-04,15.0
2016-12-11,12.0
2016-12-18,13.0
2016-12-25,13.0
2017-01-01,12.0
2017-01-08,9.0
2017-01-15,12.0
2017-01-22,12.0
2017-01-29,12.0
2017-02-05,10.0
2017-02-12,12.0
2017-02-19,13.0
2017-02-26,10.0
2017-03-05,10.0
2017-03-12,12.0
2017-03-19,14.0
2017-03-26,10.0
2017-04-02,12.0
2017-04-09,9.0
2017-04-16,14.0
2017-04-23,11.0
2017-04-30,12.0
2017-05-07,11.0
2017-05-14,12.0
2017-05-21,16.0
