,Maritime Transport
2014-12-28,38.0
2015-01-04,36.0
2015-01-11,35.0
2015-01-18,35.0
2015-01-25,34.0
2015-02-01,35.0
2015-02-08,37.0
2015-02-15,38.0
2015-02-22,41.0
2015-03-01,37.0
2015-03-08,39.0
2015-03-15,37.0
2015-03-22,38.0
2015-03-29,37.0
2015-04-05,40.0
2015-04-12,37.0
2015-04-19,37.0
2015-04-26,36.0
2015-05-03,37.0
2015-05-10,40.0
2015-05-17,40.0
2015-05-24,39.0
2015-05-31,44.0
2015-06-07,42.0
2015-06-14,40.0
2015-06-21,45.0
2015-06-28,48.0
2015-07-05,49.0
2015-07-12,47.0
2015-07-19,51.0
2015-07-26,50.0
2015-08-02,52.0
2015-08-09,45.0
2015-08-16,46.0
2015-08-23,42.0
2015-08-30,44.0
2015-09-06,43.0
2015-09-13,38.0
2015-09-20,42.0
2015-09-27,40.0
2015-10-04,44.0
2015-10-11,41.0
2015-10-18,35.0
2015-10-25,42.0
2015-11-01,40.0
2015-11-08,29.0
2015-11-15,40.0
2015-11-22,41.0
2015-11-29,40.0
2015-12-06,40.0
2015-12-13,42.0
2015-12-20,38.0
2015-12-27,39.0
2016-01-03,39.0
2016-01-10,38.0
2016-01-17,38.0
2016-01-24,35.0
2016-01-31,38.0
2016-02-07,40.0
2016-02-14,40.0
2016-02-21,38.0
2016-02-28,39.0
2016-03-06,40.0
2016-03-13,40.0
2016-03-20,33.0
2016-03-27,40.0
2016-04-03,40.0
2016-04-10,39.0
2016-04-17,39.0
2016-04-24,39.0
2016-05-01,44.0
2016-05-08,42.0
2016-05-15,42.0
2016-05-22,44.0
2016-05-29,45.0
2016-06-05,45.0
2016-06-12,43.0
2016-06-19,45.0
2016-06-26,49.0
2016-07-03,43.0
2016-07-10,46.0
2016-07-17,46.0
2016-07-24,49.0
2016-07-31,49.0
2016-08-07,49.0
2016-08-14,40.0
2016-08-21,45.0
2016-08-28,48.0
2016-09-04,40.0
2016-09-11,43.0
2016-09-18,46.0
2016-09-25,45.0
2016-10-02,41.0
2016-10-09,39.0
2016-10-16,45.0
2016-10-23,40.0
2016-10-30,37.0
2016-11-06,38.0
2016-11-13,37.0
2016-11-20,40.0
2016-11-27,41.0
2016-12-04,40.0
2016-12-11,41.0
2016-12-18,43.0
2016-12-25,43.0
2017-01-01,46.0
2017-01-08,40.0
2017-01-15,43.0
2017-01-22,40.0
2017-01-29,43.0
2017-02-05,47.0
2017-02-12,50.0
2017-02-19,48.0
2017-02-26,49.0
2017-03-05,46.0
2017-03-12,42.0
2017-03-19,47.0
2017-03-26,47.0
2017-04-02,48.0
2017-04-09,46.0
2017-04-16,49.0
2017-04-23,50.0
2017-04-30,46.0
2017-05-07,46.0
2017-05-14,47.0
2017-05-21,49.0
2017-05-28,52.0
2017-06-04,53.0
2017-06-11,55.0
2017-06-18,53.0
2017-06-25,53.0
2017-07-02,54.0
2017-07-09,54.0
2017-07-16,56.0
2017-07-23,56.0
2017-07-30,59.0
2017-08-06,56.0
2017-08-13,51.0
2017-08-20,50.0
2017-08-27,52.0
2017-09-03,53.0
2017-09-10,54.0
2017-09-17,57.0
2017-09-24,50.0
2017-10-01,52.0
2017-10-08,53.0
2017-10-15,36.0
2017-10-22,61.0
2017-10-29,57.0
2017-11-05,58.0
2017-11-12,60.0
2017-11-19,59.0
2017-11-26,61.0
2017-12-03,62.0
2017-12-10,62.0
2017-12-17,66.0
2017-12-24,64.0
2017-12-31,60.0
2018-01-07,63.0
2018-01-14,65.0
2018-01-21,54.0
2018-01-28,66.0
2018-02-04,63.0
2018-02-11,64.0
2018-02-18,65.0
2018-02-25,56.0
2018-03-04,72.0
2018-03-11,73.0
2018-03-18,71.0
2018-03-25,72.0
2018-04-01,70.0
2018-04-08,75.0
2018-04-15,74.0
2018-04-22,70.0
2018-04-29,68.0
2018-05-06,70.0
2018-05-13,69.0
2018-05-20,71.0
2018-05-27,82.0
2018-06-03,72.0
2018-06-10,75.0
2018-06-17,70.0
2018-06-24,75.0
2018-07-01,74.0
2018-07-08,78.0
2018-07-15,81.0
2018-07-22,80.0
2018-07-29,90.0
2018-08-05,89.0
2018-08-12,75.0
2018-08-19,83.0
2018-08-26,81.0
2018-09-02,85.0
2018-09-09,80.0
2018-09-16,80.0
2018-09-23,82.0
2018-09-30,77.0
2018-10-07,81.0
2018-10-14,70.0
2018-10-21,79.0
2018-10-28,79.0
2018-11-04,43.0
2018-11-11,77.0
2018-11-18,84.0
2018-11-25,84.0
2018-12-02,89.0
2018-12-09,92.0
2018-12-16,94.0
2018-12-23,95.0
2018-12-30,92.0
2019-01-06,100.0
2019-01-13,96.0
2019-01-20,82.0
2019-01-27,83.0
2019-02-03,81.0
2019-02-10,83.0
2019-02-17,82.0
2019-02-24,79.0
2019-03-03,79.0
