,Finance
2014-12-28,58.0
2015-01-04,54.0
2015-01-11,53.0
2015-01-18,52.0
2015-01-25,61.0
2015-02-01,59.0
2015-02-08,56.0
2015-02-15,54.0
2015-02-22,52.0
2015-03-01,58.0
2015-03-08,54.0
2015-03-15,55.0
2015-03-22,50.0
2015-03-29,65.0
2015-04-05,59.0
2015-04-12,53.0
2015-04-19,53.0
2015-04-26,56.0
2015-05-03,61.0
2015-05-10,55.0
2015-05-17,57.0
2015-05-24,60.0
2015-05-31,61.0
2015-06-07,55.0
2015-06-14,47.0
2015-06-21,49.0
2015-06-28,69.0
2015-07-05,61.0
2015-07-12,52.0
2015-07-19,49.0
2015-07-26,52.0
2015-08-02,66.0
2015-08-09,65.0
2015-08-16,64.0
2015-08-23,61.0
2015-08-30,64.0
2015-09-06,62.0
2015-09-13,58.0
2015-09-20,42.0
2015-09-27,60.0
2015-10-04,58.0
2015-10-11,57.0
2015-10-18,57.0
2015-10-25,59.0
2015-11-01,64.0
2015-11-08,57.0
2015-11-15,56.0
2015-11-22,55.0
2015-11-29,65.0
2015-12-06,57.0
2015-12-13,56.0
2015-12-20,53.0
2015-12-27,59.0
2016-01-03,65.0
2016-01-10,61.0
2016-01-17,61.0
2016-01-24,72.0
2016-01-31,71.0
2016-02-07,63.0
2016-02-14,61.0
2016-02-21,60.0
2016-02-28,72.0
2016-03-06,72.0
2016-03-13,64.0
2016-03-20,59.0
2016-03-27,66.0
2016-04-03,71.0
2016-04-10,55.0
2016-04-17,58.0
2016-04-24,63.0
2016-05-01,63.0
2016-05-08,57.0
2016-05-15,61.0
2016-05-22,62.0
2016-05-29,65.0
2016-06-05,58.0
2016-06-12,59.0
2016-06-19,60.0
2016-06-26,78.0
2016-07-03,66.0
2016-07-10,62.0
2016-07-17,65.0
2016-07-24,57.0
2016-07-31,71.0
2016-08-07,56.0
2016-08-14,65.0
2016-08-21,63.0
2016-08-28,42.0
2016-09-04,70.0
2016-09-11,51.0
2016-09-18,34.0
2016-09-25,25.0
2016-10-02,26.0
2016-10-09,27.0
2016-10-16,23.0
2016-10-23,28.0
2016-10-30,29.0
2016-11-06,30.0
2016-11-13,30.0
2016-11-20,24.0
2016-11-27,25.0
2016-12-04,26.0
2016-12-11,26.0
2016-12-18,27.0
2016-12-25,31.0
2017-01-01,29.0
2017-01-08,28.0
2017-01-15,27.0
2017-01-22,29.0
2017-01-29,42.0
2017-02-05,68.0
2017-02-12,68.0
2017-02-19,59.0
2017-02-26,71.0
2017-03-05,66.0
2017-03-12,65.0
2017-03-19,63.0
2017-03-26,76.0
2017-04-02,78.0
2017-04-09,69.0
2017-04-16,59.0
2017-04-23,65.0
2017-04-30,68.0
2017-05-07,70.0
2017-05-14,56.0
2017-05-21,63.0
2017-05-28,56.0
2017-06-04,54.0
2017-06-11,55.0
2017-06-18,52.0
2017-06-25,44.0
2017-07-02,64.0
2017-07-09,62.0
2017-07-16,55.0
2017-07-23,49.0
2017-07-30,70.0
2017-08-06,67.0
2017-08-13,55.0
2017-08-20,54.0
2017-08-27,56.0
2017-09-03,52.0
2017-09-10,62.0
2017-09-17,58.0
2017-09-24,63.0
2017-10-01,66.0
2017-10-08,60.0
2017-10-15,56.0
2017-10-22,58.0
2017-10-29,72.0
2017-11-05,68.0
2017-11-12,73.0
2017-11-19,71.0
2017-11-26,72.0
2017-12-03,72.0
2017-12-10,65.0
2017-12-17,61.0
2017-12-24,74.0
2017-12-31,73.0
2018-01-07,73.0
2018-01-14,68.0
2018-01-21,66.0
2018-01-28,76.0
2018-02-04,77.0
2018-02-11,73.0
2018-02-18,69.0
2018-02-25,79.0
2018-03-04,75.0
2018-03-11,70.0
2018-03-18,68.0
2018-03-25,78.0
2018-04-01,79.0
2018-04-08,77.0
2018-04-15,68.0
2018-04-22,71.0
2018-04-29,78.0
2018-05-06,74.0
2018-05-13,63.0
2018-05-20,69.0
2018-05-27,70.0
2018-06-03,71.0
2018-06-10,63.0
2018-06-17,61.0
2018-06-24,72.0
2018-07-01,80.0
2018-07-08,74.0
2018-07-15,76.0
2018-07-22,67.0
2018-07-29,80.0
2018-08-05,76.0
2018-08-12,86.0
2018-08-19,57.0
2018-08-26,82.0
2018-09-02,93.0
2018-09-09,82.0
2018-09-16,73.0
2018-09-23,76.0
2018-09-30,99.0
2018-10-07,80.0
2018-10-14,81.0
2018-10-21,81.0
2018-10-28,86.0
2018-11-04,80.0
2018-11-11,74.0
2018-11-18,72.0
2018-11-25,85.0
2018-12-02,87.0
2018-12-09,81.0
2018-12-16,79.0
2018-12-23,83.0
2018-12-30,83.0
2019-01-06,83.0
2019-01-13,80.0
2019-01-20,77.0
2019-01-27,90.0
2019-02-03,93.0
2019-02-10,96.0
2019-02-17,81.0
2019-02-24,89.0
2019-03-03,91.0
2019-03-10,80.0
2019-03-17,87.0
2019-03-24,92.0
2019-03-31,95.0
2019-04-07,82.0
2019-04-14,80.0
2019-04-21,81.0
2019-04-28,89.0
2019-05-05,78.0
2019-05-12,80.0
2019-05-19,71.0
2019-05-26,74.0
2019-06-02,66.0
2019-06-09,80.0
2019-06-16,79.0
2019-06-23,82.0
2019-06-30,91.0
2019-07-07,91.0
2019-07-14,84.0
2019-07-21,85.0
2019-07-28,94.0
2019-08-04,93.0
2019-08-11,72.0
2019-08-18,85.0
2019-08-25,94.0
2019-09-01,100.0
2019-09-08,93.0
2019-09-15,87.0
2019-09-22,86.0
2019-09-29,92.0
2019-10-06,85.0
2019-10-13,86.0
2019-10-20,81.0
2019-10-27,85.0
2019-11-03,80.0
2019-11-10,81.0
2019-11-17,76.0
2019-11-24,80.0
2019-12-01,89.0
2019-12-08,83.0
2019-12-15,88.0
2019-12-22,93.0
2019-12-29,96.0
2020-01-05,97.36913620187642
2020-01-12,93.0734390164995
2020-01-19,88.77774183112261
2020-01-26,95.93723714008411
2020-02-02,95.93723714008411
2020-02-09,100.23293432546102
2020-02-16,85.91394370753801
2020-02-23,98.80103526366871
2020-03-01,113.12002588159172
2020-03-08,103.09673244904562
2020-03-15,100.23293432546102
2020-03-22,81.61824652216112
2020-03-29,87.34584276933032
2020-04-05,88.77774183112261
2020-04-12,60.139760595276606
2020-04-19,54.41216434810741
2020-04-26,57.27596247169201
2020-05-03,60.139760595276606
2020-05-10,55.84406340989971
2020-05-17,58.707861533484305
2020-05-24,51.54836622452281
2020-05-31,61.571659657068906
2020-06-07,55.84406340989971
2020-06-14,55.84406340989971
2020-06-21,60.139760595276606
2020-06-28,67.29925590423811
2020-07-05,68.7311549660304
2020-07-12,64.43545778065351
2020-07-19,63.00355871886121
2020-07-26,52.98026528631511
2020-08-02,61.571659657068906
2020-08-09,71.594953089615
2020-08-16,60.139760595276606
2020-08-23,52.98026528631511
2020-08-30,57.27596247169201
2020-09-06,60.139760595276606
2020-09-13,63.00355871886121
2020-09-20,57.27596247169201
2020-09-27,64.43545778065351
2020-10-04,70.16305402782271
2020-10-11,71.594953089615
2020-10-18,67.29925590423811
2020-10-25,80.18634746036881
2020-11-01,74.4587512131996
2020-11-08,73.02685215140731
2020-11-15,67.29925590423811
2020-11-22,77.3225493367842
2020-11-29,80.18634746036881
2020-12-06,74.4587512131996
2020-12-13,78.75444839857651
2020-12-20,85.91394370753801
2020-12-27,95.93723714008411
2021-01-03,93.0734390164995
2021-01-10,88.77774183112261
2021-01-17,88.77774183112261
2021-01-24,93.0734390164995
2021-01-31,101.66483338725331
2021-02-07,98.80103526366871
2021-02-14,88.77774183112261
2021-02-21,94.50533807829181
2021-02-28,110.25622775800711
2021-03-07,104.52863151083791
2021-03-14,94.50533807829181
2021-03-21,100.23293432546102
2021-03-28,114.55192494338402
2021-04-04,104.52863151083791
2021-04-11,85.91394370753801
2021-04-18,91.64153995470721
2021-04-25,91.64153995470721
2021-05-02,94.50533807829181
2021-05-09,91.64153995470721
2021-05-16,81.61824652216112
2021-05-23,84.48204464574572
2021-05-30,94.50533807829181
2021-06-06,97.36913620187642
2021-06-13,101.66483338725331
2021-06-20,100.23293432546102
2021-06-27,110.25622775800711
2021-07-04,95.93723714008411
2021-07-11,85.91394370753801
2021-07-18,68.7311549660304
2021-07-25,73.02685215140731
2021-08-01,97.36913620187642
2021-08-08,98.80103526366871
2021-08-15,95.93723714008411
2021-08-22,94.50533807829181
2021-08-29,110.25622775800711
2021-09-05,105.96053057263022
2021-09-12,98.80103526366871
2021-09-19,85.91394370753801
2021-09-26,94.50533807829181
2021-10-03,97.36913620187642
2021-10-10,87.34584276933032
2021-10-17,90.20964089291492
2021-10-24,95.93723714008411
2021-10-31,104.52863151083791
2021-11-07,98.80103526366871
2021-11-14,103.09673244904562
2021-11-21,98.80103526366871
2021-11-28,117.41572306696861
2021-12-05,115.98382400517632
2021-12-12,105.96053057263022
2021-12-19,108.82432869621482
2021-12-26,113.12002588159172
2022-01-02,108.82432869621482
2022-01-09,101.66483338725331
2022-01-16,93.0734390164995
2022-01-23,105.96053057263022
2022-01-30,114.55192494338402
2022-02-06,107.39242963442251
2022-02-13,97.36913620187642
2022-02-20,103.09673244904562
2022-02-27,123.14331931413781
2022-03-06,121.71142025234552
2022-03-13,111.68812681979942
2022-03-20,105.96053057263022
2022-03-27,108.82432869621482
2022-04-03,107.39242963442251
2022-04-10,110.25622775800711
2022-04-17,100.23293432546102
2022-04-24,110.25622775800711
2022-05-01,90.20964089291492
2022-05-08,113.12002588159172
2022-05-15,115.98382400517632
2022-05-22,111.68812681979942
2022-05-29,110.25622775800711
2022-06-05,108.82432869621482
2022-06-12,108.82432869621482
2022-06-19,101.66483338725331
2022-06-26,113.12002588159172
2022-07-03,108.82432869621482
