,Chemicals Industry
2014-12-28,36.0
2015-01-04,26.0
2015-01-11,26.0
2015-01-18,69.0
2015-01-25,39.0
2015-02-01,40.0
2015-02-08,55.0
2015-02-15,39.0
2015-02-22,51.0
2015-03-01,43.0
2015-03-08,37.0
2015-03-15,42.0
2015-03-22,28.0
2015-03-29,46.0
2015-04-05,42.0
2015-04-12,40.0
2015-04-19,36.0
2015-04-26,45.0
2015-05-03,46.0
2015-05-10,32.0
2015-05-17,25.0
2015-05-24,50.0
2015-05-31,29.0
2015-06-07,52.0
2015-06-14,48.0
2015-06-21,31.0
2015-06-28,46.0
2015-07-05,32.0
2015-07-12,33.0
2015-07-19,35.0
2015-07-26,39.0
2015-08-02,51.0
2015-08-09,58.0
2015-08-16,43.0
2015-08-23,61.0
2015-08-30,64.0
2015-09-06,51.0
2015-09-13,36.0
2015-09-20,47.0
2015-09-27,43.0
2015-10-04,60.0
2015-10-11,61.0
2015-10-18,47.0
2015-10-25,46.0
2015-11-01,52.0
2015-11-08,54.0
2015-11-15,50.0
2015-11-22,47.0
2015-11-29,47.0
2015-12-06,38.0
2015-12-13,45.0
2015-12-20,39.0
2015-12-27,33.0
2016-01-03,57.0
2016-01-10,53.0
2016-01-17,60.0
2016-01-24,54.0
2016-01-31,44.0
2016-02-07,39.0
2016-02-14,59.0
2016-02-21,46.0
2016-02-28,52.0
2016-03-06,54.0
2016-03-13,57.0
2016-03-20,56.0
2016-03-27,60.0
2016-04-03,68.0
2016-04-10,49.0
2016-04-17,63.0
2016-04-24,60.0
2016-05-01,59.0
2016-05-08,61.0
2016-05-15,55.0
2016-05-22,45.0
2016-05-29,39.0
2016-06-05,42.0
2016-06-12,44.0
2016-06-19,61.0
2016-06-26,58.0
2016-07-03,54.0
2016-07-10,47.0
2016-07-17,51.0
2016-07-24,54.0
2016-07-31,62.0
2016-08-07,48.0
2016-08-14,57.0
2016-08-21,84.0
2016-08-28,33.0
2016-09-04,53.0
2016-09-11,66.0
2016-09-18,30.0
2016-09-25,34.0
2016-10-02,20.0
2016-10-09,25.0
2016-10-16,25.0
2016-10-23,25.0
2016-10-30,20.0
2016-11-06,31.0
2016-11-13,18.0
2016-11-20,24.0
2016-11-27,21.0
2016-12-04,17.0
2016-12-11,0.0
2016-12-18,21.0
2016-12-25,22.0
2017-01-01,19.0
2017-01-08,0.0
2017-01-15,37.0
2017-01-22,30.0
2017-01-29,30.0
2017-02-05,49.0
2017-02-12,67.0
2017-02-19,62.0
2017-02-26,63.0
2017-03-05,55.0
2017-03-12,42.0
2017-03-19,63.0
2017-03-26,61.0
2017-04-02,58.0
2017-04-09,39.0
2017-04-16,55.0
2017-04-23,63.0
2017-04-30,57.0
2017-05-07,67.0
2017-05-14,51.0
2017-05-21,45.0
