,Business Services
2014-12-28,70.0
2015-01-04,61.0
2015-01-11,64.0
2015-01-18,70.0
2015-01-25,72.0
2015-02-01,62.0
2015-02-08,66.0
2015-02-15,67.0
2015-02-22,70.0
2015-03-01,64.0
2015-03-08,65.0
2015-03-15,70.0
2015-03-22,69.0
2015-03-29,65.0
2015-04-05,62.0
2015-04-12,48.0
2015-04-19,67.0
2015-04-26,64.0
2015-05-03,68.0
2015-05-10,73.0
2015-05-17,79.0
2015-05-24,72.0
2015-05-31,72.0
2015-06-07,73.0
2015-06-14,73.0
2015-06-21,69.0
2015-06-28,67.0
2015-07-05,69.0
2015-07-12,70.0
2015-07-19,75.0
2015-07-26,76.0
2015-08-02,75.0
2015-08-09,77.0
2015-08-16,75.0
2015-08-23,78.0
2015-08-30,78.0
2015-09-06,77.0
2015-09-13,76.0
2015-09-20,78.0
2015-09-27,74.0
2015-10-04,74.0
2015-10-11,75.0
2015-10-18,70.0
2015-10-25,67.0
2015-11-01,74.0
2015-11-08,69.0
2015-11-15,74.0
2015-11-22,71.0
2015-11-29,73.0
2015-12-06,71.0
2015-12-13,71.0
2015-12-20,62.0
2015-12-27,67.0
2016-01-03,70.0
2016-01-10,70.0
2016-01-17,68.0
2016-01-24,73.0
2016-01-31,71.0
2016-02-07,78.0
2016-02-14,80.0
2016-02-21,72.0
2016-02-28,77.0
2016-03-06,75.0
2016-03-13,73.0
2016-03-20,74.0
2016-03-27,71.0
2016-04-03,65.0
2016-04-10,44.0
2016-04-17,63.0
2016-04-24,70.0
2016-05-01,74.0
2016-05-08,75.0
2016-05-15,65.0
2016-05-22,74.0
2016-05-29,77.0
2016-06-05,76.0
2016-06-12,77.0
2016-06-19,78.0
2016-06-26,81.0
2016-07-03,78.0
2016-07-10,80.0
2016-07-17,78.0
2016-07-24,83.0
2016-07-31,80.0
2016-08-07,83.0
2016-08-14,81.0
2016-08-21,80.0
2016-08-28,79.0
2016-09-04,75.0
2016-09-11,71.0
2016-09-18,82.0
2016-09-25,80.0
2016-10-02,78.0
2016-10-09,77.0
2016-10-16,80.0
2016-10-23,78.0
2016-10-30,83.0
2016-11-06,80.0
2016-11-13,81.0
2016-11-20,88.0
2016-11-27,84.0
2016-12-04,85.0
2016-12-11,73.0
2016-12-18,79.0
2016-12-25,75.0
2017-01-01,84.0
2017-01-08,74.0
2017-01-15,77.0
2017-01-22,79.0
2017-01-29,75.0
2017-02-05,72.0
2017-02-12,81.0
2017-02-19,75.0
2017-02-26,80.0
2017-03-05,77.0
2017-03-12,76.0
2017-03-19,77.0
2017-03-26,80.0
2017-04-02,75.0
2017-04-09,52.0
2017-04-16,74.0
2017-04-23,78.0
2017-04-30,77.0
2017-05-07,66.0
2017-05-14,77.0
2017-05-21,75.0
2017-05-28,75.0
2017-06-04,71.0
2017-06-11,77.0
2017-06-18,75.0
2017-06-25,74.0
2017-07-02,78.0
2017-07-09,79.0
2017-07-16,77.0
2017-07-23,75.0
2017-07-30,76.0
2017-08-06,75.0
2017-08-13,79.0
2017-08-20,78.0
2017-08-27,77.0
2017-09-03,75.0
2017-09-10,76.0
2017-09-17,78.0
2017-09-24,79.0
