,Business & Industrial
2020-05-24,73.69745135653605
2020-05-31,77.44477939161415
2020-06-07,79.94299808166622
2020-06-14,79.94299808166622
2020-06-21,86.18854480679639
2020-06-28,89.9358728418745
2020-07-05,82.44121677171829
2020-07-12,86.18854480679639
2020-07-19,88.68676349684846
2020-07-26,91.18498218690053
2020-08-02,84.93943546177036
2020-08-09,84.93943546177036
2020-08-16,86.18854480679639
2020-08-23,87.43765415182243
2020-08-30,89.9358728418745
2020-09-06,92.43409153192657
2020-09-13,87.43765415182243
2020-09-20,87.43765415182243
2020-09-27,82.44121677171829
2020-10-04,86.18854480679639
2020-10-11,88.68676349684846
2020-10-18,83.69032611674432
2020-10-25,81.19210742669225
2020-11-01,79.94299808166622
2020-11-08,71.19923266648398
2020-11-15,78.69388873664019
2020-11-22,79.94299808166622
2020-11-29,79.94299808166622
2020-12-06,86.18854480679639
2020-12-13,89.9358728418745
2020-12-20,89.9358728418745
2020-12-27,88.68676349684846
2021-01-03,84.93943546177036
2021-01-10,78.69388873664019
2021-01-17,86.18854480679639
2021-01-24,82.44121677171829
2021-01-31,87.43765415182243
2021-02-07,84.93943546177036
2021-02-14,86.18854480679639
2021-02-21,86.18854480679639
2021-02-28,87.43765415182243
2021-03-07,84.93943546177036
2021-03-14,89.9358728418745
2021-03-21,88.68676349684846
2021-03-28,81.19210742669225
2021-04-04,82.44121677171829
2021-04-11,76.19567004658812
2021-04-18,76.19567004658812
2021-04-25,74.94656070156208
2021-05-02,79.94299808166622
2021-05-09,78.69388873664019
2021-05-16,88.68676349684846
2021-05-23,87.43765415182243
2021-05-30,92.43409153192657
2021-06-06,92.43409153192657
2021-06-13,99.92874760208278
2021-06-20,92.43409153192657
2021-06-27,94.93231022197864
2021-07-04,97.43052891203071
2021-07-11,96.18141956700467
2021-07-18,101.17785694710881
2021-07-25,94.93231022197864
2021-08-01,98.67963825705674
2021-08-08,104.9251849821869
2021-08-15,94.93231022197864
2021-08-22,91.18498218690053
2021-08-29,88.68676349684846
2021-09-05,86.18854480679639
2021-09-12,91.18498218690053
2021-09-19,93.6832008769526
2021-09-26,92.43409153192657
2021-10-03,91.18498218690053
2021-10-10,79.94299808166622
2021-10-17,87.43765415182243
2021-10-24,86.18854480679639
2021-10-31,67.45190463140587
2021-11-07,87.43765415182243
2021-11-14,87.43765415182243
2021-11-21,86.18854480679639
2021-11-28,86.18854480679639
2021-12-05,84.93943546177036
2021-12-12,89.9358728418745
2021-12-19,93.6832008769526
2021-12-26,89.9358728418745
2022-01-02,99.92874760208278
2022-01-09,96.18141956700467
2022-01-16,92.43409153192657
2022-01-23,93.6832008769526
2022-01-30,96.18141956700467
2022-02-06,93.6832008769526
2022-02-13,103.67607563716088
2022-02-20,98.67963825705674
2022-02-27,98.67963825705674
2022-03-06,101.17785694710881
2022-03-13,94.93231022197864
2022-03-20,102.42696629213484
2022-03-27,102.42696629213484
2022-04-03,101.17785694710881
2022-04-10,99.92874760208278
2022-04-17,98.67963825705674
2022-04-24,101.17785694710881
2022-05-01,101.17785694710881
2022-05-08,107.42340367223898
2022-05-15,103.67607563716088
2022-05-22,103.67607563716088
2022-05-29,101.17785694710881
2022-06-05,102.42696629213484
2022-06-12,106.17429432721295
2022-06-19,106.17429432721295
2022-06-26,104.9251849821869
2022-07-03,106.17429432721295
2022-07-10,103.67607563716088
2022-07-17,103.67607563716088
2022-07-24,109.92162236229105
2022-07-31,108.67251301726502
2022-08-07,99.92874760208278
2022-08-14,97.43052891203071
2022-08-21,109.92162236229105
2022-08-28,101.17785694710881
2022-09-04,93.6832008769526
2022-09-11,107.42340367223898
2022-09-18,113.66895039736916
2022-09-25,103.67607563716088
2022-10-02,94.93231022197864
2022-10-09,103.67607563716088
2022-10-16,99.92874760208278
2022-10-23,82.44121677171829
2022-10-30,102.42696629213484
2022-11-06,97.43052891203071
2022-11-13,98.67963825705674
2022-11-20,96.18141956700467
2022-11-27,93.6832008769526
2022-12-04,103.67607563716088
2022-12-11,102.42696629213484
2022-12-18,112.41984105234312
2022-12-25,99.92874760208278
2023-01-01,96.18141956700467
