,Internet & Telecom
2020-05-24,65.76820954431288
2020-05-31,66.79583781844278
2020-06-07,67.82346609257266
2020-06-14,64.74058127018299
2020-06-21,67.82346609257266
2020-06-28,62.685324721923216
2020-07-05,60.63006817366344
2020-07-12,66.79583781844278
2020-07-19,61.65769644779333
2020-07-26,59.60243989953355
2020-08-02,56.519555077143885
2020-08-09,61.65769644779333
2020-08-16,54.46429852888411
2020-08-23,53.43667025475422
2020-08-30,53.43667025475422
2020-09-06,54.46429852888411
2020-09-13,53.43667025475422
2020-09-20,57.54718335127377
2020-09-27,55.491926803013996
2020-10-04,60.63006817366344
2020-10-11,67.82346609257266
2020-10-18,65.76820954431288
2020-10-25,62.685324721923216
2020-11-01,61.65769644779333
2020-11-08,66.79583781844278
2020-11-15,67.82346609257266
2020-11-22,68.85109436670255
2020-11-29,66.79583781844278
2020-12-06,77.07212055974166
2020-12-13,71.93397918909221
2020-12-20,66.79583781844278
2020-12-27,62.685324721923216
2021-01-03,64.74058127018299
2021-01-10,65.76820954431288
2021-01-17,63.712952996053104
2021-01-24,62.685324721923216
2021-01-31,60.63006817366344
2021-02-07,61.65769644779333
2021-02-14,63.712952996053104
2021-02-21,59.60243989953355
2021-02-28,63.712952996053104
2021-03-07,61.65769644779333
2021-03-14,60.63006817366344
2021-03-21,61.65769644779333
2021-03-28,61.65769644779333
2021-04-04,54.46429852888411
2021-04-11,43.160387513455326
2021-04-18,58.57481162540366
2021-04-25,66.79583781844278
2021-05-02,73.98923573735199
2021-05-09,81.18263365626122
2021-05-16,84.26551847865088
2021-05-23,76.04449228561177
2021-05-30,88.37603157517043
2021-06-06,91.4589163975601
2021-06-13,90.4312881234302
2021-06-20,93.51417294581988
2021-06-27,93.51417294581988
2021-07-04,93.51417294581988
2021-07-11,83.237890204521
2021-07-18,76.04449228561177
2021-07-25,78.09974883387154
2021-08-01,69.87872264083244
2021-08-08,78.09974883387154
2021-08-15,72.96160746322211
2021-08-22,71.93397918909221
2021-08-29,77.07212055974166
2021-09-05,77.07212055974166
2021-09-12,84.26551847865088
2021-09-19,80.15500538213132
2021-09-26,84.26551847865088
2021-10-03,79.12737710800144
2021-10-10,78.09974883387154
2021-10-17,71.93397918909221
2021-10-24,73.98923573735199
2021-10-31,77.07212055974166
2021-11-07,75.01686401148189
2021-11-14,69.87872264083244
2021-11-21,68.85109436670255
2021-11-28,67.82346609257266
2021-12-05,68.85109436670255
2021-12-12,68.85109436670255
2021-12-19,68.85109436670255
2021-12-26,75.01686401148189
2022-01-02,89.40365984930033
2022-01-09,87.34840330104055
2022-01-16,72.96160746322211
2022-01-23,81.18263365626122
2022-01-30,87.34840330104055
2022-02-06,87.34840330104055
2022-02-13,84.26551847865088
2022-02-20,87.34840330104055
2022-02-27,86.32077502691065
2022-03-06,80.15500538213132
2022-03-13,80.15500538213132
2022-03-20,82.2102619303911
2022-03-27,76.04449228561177
2022-04-03,80.15500538213132
2022-04-10,65.76820954431288
2022-04-17,78.09974883387154
2022-04-24,81.18263365626122
2022-05-01,78.09974883387154
2022-05-08,81.18263365626122
2022-05-15,79.12737710800144
2022-05-22,92.48654467168998
2022-05-29,93.51417294581988
2022-06-05,86.32077502691065
2022-06-12,84.26551847865088
2022-06-19,98.65231431646933
2022-06-26,93.51417294581988
2022-07-03,97.62468604233943
2022-07-10,94.54180121994976
2022-07-17,102.76282741298888
2022-07-24,90.4312881234302
2022-07-31,98.65231431646933
2022-08-07,91.4589163975601
2022-08-14,94.54180121994976
2022-08-21,94.54180121994976
2022-08-28,88.37603157517043
