,Education
2020-05-24,44.59986082115518
2020-05-31,66.89979123173278
2020-06-07,62.964509394572026
2020-06-14,87.88796102992346
2020-06-21,81.32915796798886
2020-06-28,77.39387613082812
2020-07-05,81.32915796798886
2020-07-12,81.32915796798886
2020-07-19,72.14683368128044
2020-07-26,51.15866388308977
2020-08-02,64.27627000695894
2020-08-09,81.32915796798886
2020-08-16,68.2115518441197
2020-08-23,65.58803061934586
2020-08-30,60.340988169798194
2020-09-06,69.52331245650662
2020-09-13,70.83507306889354
2020-09-20,78.70563674321504
2020-09-27,69.52331245650662
2020-10-04,70.83507306889354
2020-10-11,65.58803061934586
2020-10-18,64.27627000695894
2020-10-25,72.14683368128044
2020-11-01,64.27627000695894
2020-11-08,60.340988169798194
2020-11-15,59.029227557411275
2020-11-22,61.65274878218511
2020-11-29,57.717466945024356
2020-12-06,53.782185107863604
2020-12-13,53.782185107863604
2020-12-20,48.535142658315934
2020-12-27,55.093945720250524
2021-01-03,61.65274878218511
2021-01-10,64.27627000695894
2021-01-17,70.83507306889354
2021-01-24,73.45859429366736
2021-01-31,78.70563674321504
2021-02-07,78.70563674321504
2021-02-14,87.88796102992346
2021-02-21,86.57620041753654
2021-02-28,91.8232428670842
2021-03-07,81.32915796798886
2021-03-14,83.9526791927627
2021-03-21,82.64091858037578
2021-03-28,87.88796102992346
2021-04-04,68.2115518441197
2021-04-11,55.093945720250524
2021-04-18,69.52331245650662
2021-04-25,81.32915796798886
2021-05-02,78.70563674321504
2021-05-09,66.89979123173278
2021-05-16,73.45859429366736
2021-05-23,78.70563674321504
2021-05-30,82.64091858037578
2021-06-06,85.26443980514962
2021-06-13,70.83507306889354
2021-06-20,73.45859429366736
2021-06-27,61.65274878218511
2021-07-04,68.2115518441197
2021-07-11,66.89979123173278
2021-07-18,48.535142658315934
2021-07-25,53.782185107863604
2021-08-01,69.52331245650662
2021-08-08,98.38204592901879
2021-08-15,93.13500347947112
2021-08-22,93.13500347947112
2021-08-29,97.07028531663187
2021-09-05,89.19972164231037
2021-09-12,91.8232428670842
2021-09-19,78.70563674321504
2021-09-26,85.26443980514962
2021-10-03,77.39387613082812
2021-10-10,70.83507306889354
2021-10-17,68.2115518441197
2021-10-24,85.26443980514962
2021-10-31,78.70563674321504
2021-11-07,80.01739735560194
2021-11-14,91.8232428670842
2021-11-21,83.9526791927627
2021-11-28,94.44676409185804
2021-12-05,90.51148225469728
2021-12-12,77.39387613082812
2021-12-19,77.39387613082812
2021-12-26,65.58803061934586
2022-01-02,68.2115518441197
2022-01-09,69.52331245650662
2022-01-16,76.0821155184412
2022-01-23,80.01739735560194
2022-01-30,82.64091858037578
2022-02-06,83.9526791927627
2022-02-13,89.19972164231037
2022-02-20,93.13500347947112
2022-02-27,85.26443980514962
2022-03-06,81.32915796798886
2022-03-13,90.51148225469728
2022-03-20,90.51148225469728
2022-03-27,73.45859429366736
2022-04-03,72.14683368128044
2022-04-10,91.8232428670842
2022-04-17,77.39387613082812
2022-04-24,78.70563674321504
2022-05-01,72.14683368128044
2022-05-08,102.31732776617955
2022-05-15,103.62908837856646
2022-05-22,98.38204592901879
2022-05-29,104.94084899095338
2022-06-05,103.62908837856646
2022-06-12,97.07028531663187
2022-06-19,86.57620041753654
2022-06-26,81.32915796798886
2022-07-03,61.65274878218511
2022-07-10,49.84690327070285
2022-07-17,73.45859429366736
2022-07-24,61.65274878218511
2022-07-31,87.88796102992346
2022-08-07,104.94084899095338
2022-08-14,116.74669450243563
2022-08-21,112.81141266527489
2022-08-28,106.25260960334029
2022-09-04,106.25260960334029
2022-09-11,98.38204592901879
2022-09-18,98.38204592901879
2022-09-25,85.26443980514962
2022-10-02,86.57620041753654
2022-10-09,82.64091858037578
2022-10-16,99.6938065414057
2022-10-23,83.9526791927627
2022-10-30,86.57620041753654
2022-11-06,95.75852470424496
2022-11-13,102.31732776617955
2022-11-20,89.19972164231037
2022-11-27,87.88796102992346
2022-12-04,83.9526791927627
2022-12-11,80.01739735560194
2022-12-18,73.45859429366736
2022-12-25,65.58803061934586
2023-01-01,64.27627000695894
2023-01-08,91.8232428670842
2023-01-15,102.31732776617955
2023-01-22,98.38204592901879
2023-01-29,90.51148225469728
2023-02-05,93.13500347947112
2023-02-12,91.8232428670842
2023-02-19,95.75852470424496
2023-02-26,90.51148225469728
2023-03-05,87.88796102992346
2023-03-12,90.51148225469728
2023-03-19,70.83507306889354
2023-03-26,80.01739735560194
2023-04-02,83.9526791927627
2023-04-09,87.88796102992346
2023-04-16,69.52331245650662
2023-04-23,83.9526791927627
2023-04-30,101.00556715379263
2023-05-07,97.07028531663187
2023-05-14,104.94084899095338
2023-05-21,98.38204592901879
2023-05-28,106.25260960334029
2023-06-04,90.51148225469728
2023-06-11,81.32915796798886
2023-06-18,73.45859429366736
2023-06-25,47.22338204592902
2023-07-02,66.89979123173278
2023-07-09,61.65274878218511
2023-07-16,62.964509394572026
2023-07-23,56.40570633263744
2023-07-30,82.64091858037578
2023-08-06,112.81141266527489
2023-08-13,131.17606123869172
2023-08-20,119.37021572720947
2023-08-27,114.12317327766179
2023-09-03,107.56437021572721
2023-09-10,104.94084899095338
2023-09-17,115.43493389004871
2023-09-24,102.31732776617955
2023-10-01,103.62908837856646
2023-10-08,107.56437021572721
2023-10-15,91.8232428670842
2023-10-22,114.12317327766179
2023-10-29,110.18789144050105
2023-11-05,110.18789144050105
2023-11-12,118.05845511482255
2023-11-19,119.37021572720947
2023-11-26,115.43493389004871
2023-12-03,115.43493389004871
2023-12-10,98.38204592901879
2023-12-17,97.07028531663187
2023-12-24,73.45859429366736
2023-12-31,77.39387613082812
2024-01-07,108.51224804671641
2024-01-14,111.44501150743847
2024-01-21,118.77692015924363
2024-01-28,129.04159227177087
2024-02-04,121.7096836199657
2024-02-11,109.97862977707743
2024-02-18,120.24330188960467
2024-02-25,115.84415669852156
2024-03-03,107.04586631635537
2024-03-10,87.98290382166195
2024-03-17,104.1131028556333
2024-03-24,98.24757593418917
2024-03-31,86.51652209130091
2024-04-07,67.45355959660749
2024-04-14,114.37777496816054
2024-04-21,105.57948458599434
2024-04-28,120.24330188960467
2024-05-05,98.24757593418917
2024-05-12,92.38204901274504
2024-05-19,99.71395766455021
2024-05-26,124.64244708068776
2024-06-02,118.77692015924363
2024-06-09,99.71395766455021
2024-06-16,58.6552692144413
2024-06-23,102.64672112527228
2024-06-30,105.57948458599434
2024-07-07,107.04586631635537
2024-07-14,114.37777496816054
2024-07-21,120.24330188960467
2024-07-28,107.04586631635537
2024-08-04,121.7096836199657
2024-08-11,146.63817303610324
2024-08-18,130.5079740021319
2024-08-25,129.04159227177087
2024-09-01,120.24330188960467
2024-09-08,130.5079740021319
2024-09-15,118.77692015924363
2024-09-22,101.18033939491124
2024-09-29,95.31481247346711
2024-10-06,126.1088288110488
2024-10-13,115.84415669852156
2024-10-20,104.1131028556333
2024-10-27,112.9113932377995
2024-11-03,98.24757593418917
2024-11-10,92.38204901274504
2024-11-17,101.18033939491124
2024-11-24,107.04586631635537
2024-12-01,111.44501150743847
2024-12-08,109.97862977707743
2024-12-15,101.18033939491124
2024-12-22,83.58375863057886
2024-12-29,79.18461343949575
2025-01-05,107.04586631635537
2025-01-12,108.51224804671641
2025-01-19,120.24330188960467
2025-01-26,123.17606535032672
2025-02-02,123.17606535032672
2025-02-09,136.37350092357602
2025-02-16,95.31481247346711
2025-02-23,87.98290382166195
2025-03-02,79.18461343949575
2025-03-09,76.25184997877369
2025-03-16,65.98717786624645
2025-03-23,64.52079613588543
2025-03-30,67.45355959660749
2025-04-06,126.1088288110488
2025-04-13,129.04159227177087
2025-04-20,126.1088288110488
2025-04-27,127.57521054140983
2025-05-04,126.1088288110488
2025-05-11,114.37777496816054
2025-05-18,114.37777496816054
2025-05-25,107.04586631635537
2025-06-01,92.38204901274504
2025-06-08,95.31481247346711
2025-06-15,111.44501150743847
2025-06-22,117.3105384288826
2025-06-29,112.9113932377995
2025-07-06,126.1088288110488
2025-07-13,102.64672112527228
2025-07-20,82.11737690021782
2025-07-27,71.8527047876906
2025-08-03,89.44928555202299
2025-08-10,107.04586631635537
2025-08-17,126.1088288110488
2025-08-24,112.9113932377995
2025-08-31,98.24757593418917
2025-09-07,105.57948458599434
2025-09-14,109.97862977707743
2025-09-21,98.24757593418917
2025-09-28,109.97862977707743
2025-10-05,118.77692015924363
2025-10-12,114.37777496816054
2025-10-19,120.24330188960467
2025-10-26,105.57948458599434
2025-11-02,92.38204901274504
2025-11-09,101.18033939491124
2025-11-16,112.9113932377995
2025-11-23,108.51224804671641
2025-11-30,117.3105384288826
2025-12-07,120.24330188960467
2025-12-14,96.78119420382815
2025-12-21,93.84843074310608
2025-12-28,77.71823170913473
2026-01-04,83.58375863057886
