,Exportation
2020-05-24,85.76102322450353
2020-05-31,89.54459777852576
2020-06-07,85.76102322450353
2020-06-14,85.76102322450353
2020-06-21,81.97744867048132
2020-06-28,90.80578929653315
2020-07-05,90.80578929653315
2020-07-12,78.1938741164591
2020-07-19,94.58936385055537
2020-07-26,87.02221474251094
2020-08-02,64.32076741837766
2020-08-09,95.85055536856278
2020-08-16,102.1565129585998
2020-08-23,99.63412992258499
2020-08-30,76.9326825984517
2020-09-06,99.63412992258499
2020-09-13,100.8953214405924
2020-09-20,97.11174688657017
2020-09-27,81.97744867048132
2020-10-04,75.6714910804443
2020-10-11,73.14910804442948
2020-10-18,60.53719286435543
2020-10-25,66.84315045439246
2020-11-01,66.84315045439246
2020-11-08,69.36553349040727
2020-11-15,74.41029956243689
2020-11-22,73.14910804442948
2020-11-29,73.14910804442948
2020-12-06,71.88791652642207
2020-12-13,69.36553349040727
2020-12-20,51.7088522383036
2020-12-27,59.27600134634803
2021-01-03,65.58195893638505
2021-01-10,60.53719286435543
2021-01-17,76.9326825984517
2021-01-24,65.58195893638505
2021-01-31,71.88791652642207
2021-02-07,78.1938741164591
2021-02-14,65.58195893638505
2021-02-21,79.45506563446651
2021-02-28,73.14910804442948
2021-03-07,69.36553349040727
2021-03-14,69.36553349040727
2021-03-21,63.05957590037025
2021-03-28,64.32076741837766
2021-04-04,76.9326825984517
2021-04-11,47.92527768428139
2021-04-18,59.27600134634803
2021-04-25,61.79838438236284
2021-05-02,58.014809828340624
2021-05-09,60.53719286435543
2021-05-16,70.62672500841468
2021-05-23,58.014809828340624
2021-05-30,65.58195893638505
2021-06-06,65.58195893638505
2021-06-13,65.58195893638505
2021-06-20,51.7088522383036
2021-06-27,61.79838438236284
2021-07-04,69.36553349040727
2021-07-11,71.88791652642207
2021-07-18,55.492426792325816
2021-07-25,64.32076741837766
2021-08-01,69.36553349040727
2021-08-08,61.79838438236284
2021-08-15,64.32076741837766
2021-08-22,81.97744867048132
2021-08-29,69.36553349040727
2021-09-05,69.36553349040727
2021-09-12,80.71625715247391
2021-09-19,76.9326825984517
2021-09-26,85.76102322450353
2021-10-03,78.1938741164591
2021-10-10,73.14910804442948
2021-10-17,64.32076741837766
2021-10-24,59.27600134634803
2021-10-31,64.32076741837766
2021-11-07,65.58195893638505
2021-11-14,60.53719286435543
2021-11-21,75.6714910804443
2021-11-28,64.32076741837766
2021-12-05,68.10434197239987
2021-12-12,61.79838438236284
2021-12-19,49.18646920228879
2021-12-26,70.62672500841468
2022-01-02,85.76102322450353
2022-01-09,85.76102322450353
2022-01-16,93.32817233254796
2022-01-23,95.85055536856278
2022-01-30,89.54459777852576
2022-02-06,99.63412992258499
2022-02-13,95.85055536856278
2022-02-20,102.1565129585998
2022-02-27,113.50723662066645
2022-03-06,126.1191518007405
2022-03-13,113.50723662066645
2022-03-20,102.1565129585998
2022-03-27,83.23864018848873
2022-04-03,76.9326825984517
2022-04-10,70.62672500841468
2022-04-17,93.32817233254796
2022-04-24,94.58936385055537
2022-05-01,89.54459777852576
2022-05-08,76.9326825984517
2022-05-15,90.80578929653315
2022-05-22,99.63412992258499
2022-05-29,105.94008751262201
2022-06-05,98.37293840457758
2022-06-12,83.23864018848873
2022-06-19,94.58936385055537
2022-06-26,94.58936385055537
2022-07-03,90.80578929653315
2022-07-10,85.76102322450353
2022-07-17,76.9326825984517
2022-07-24,83.23864018848873
2022-07-31,81.97744867048132
2022-08-07,79.45506563446651
2022-08-14,92.06698081454056
2022-08-21,97.11174688657017
2022-08-28,87.02221474251094
2022-09-04,93.32817233254796
2022-09-11,102.1565129585998
2022-09-18,94.58936385055537
2022-09-25,89.54459777852576
2022-10-02,95.85055536856278
2022-10-09,99.63412992258499
2022-10-16,85.76102322450353
2022-10-23,81.97744867048132
2022-10-30,87.02221474251094
2022-11-06,76.9326825984517
2022-11-13,95.85055536856278
2022-11-20,87.02221474251094
2022-11-27,83.23864018848873
2022-12-04,81.97744867048132
2022-12-11,87.02221474251094
2022-12-18,81.97744867048132
2022-12-25,69.36553349040727
2023-01-01,76.9326825984517
2023-01-08,88.28340626051835
2023-01-15,93.32817233254796
2023-01-22,90.80578929653315
2023-01-29,84.49983170649612
2023-02-05,98.37293840457758
2023-02-12,87.02221474251094
2023-02-19,95.85055536856278
2023-02-26,97.11174688657017
2023-03-05,94.58936385055537
2023-03-12,104.6788959946146
2023-03-19,93.32817233254796
2023-03-26,98.37293840457758
2023-04-02,80.71625715247391
2023-04-09,69.36553349040727
2023-04-16,94.58936385055537
2023-04-23,83.23864018848873
2023-04-30,69.36553349040727
2023-05-07,90.80578929653315
2023-05-14,89.54459777852576
2023-05-21,94.58936385055537
2023-05-28,93.32817233254796
2023-06-04,92.06698081454056
2023-06-11,92.06698081454056
2023-06-18,100.8953214405924
2023-06-25,79.45506563446651
