,Games
2018-04-15,61.0
2018-04-22,60.0
2018-04-29,60.0
2018-05-06,62.0
2018-05-13,62.0
2018-05-20,61.0
2018-05-27,61.0
2018-06-03,63.0
2018-06-10,68.0
2018-06-17,72.0
2018-06-24,71.0
2018-07-01,77.0
2018-07-08,75.0
2018-07-15,70.0
2018-07-22,65.0
2018-07-29,64.0
2018-08-05,70.0
2018-08-12,71.0
2018-08-19,71.0
2018-08-26,68.0
2018-09-02,65.0
2018-09-09,64.0
2018-09-16,62.0
2018-09-23,65.0
2018-09-30,65.0
2018-10-07,71.0
2018-10-14,71.0
2018-10-21,65.0
2018-10-28,69.0
2018-11-04,61.0
2018-11-11,64.0
2018-11-18,62.0
2018-11-25,61.0
2018-12-02,67.0
2018-12-09,72.0
2018-12-16,74.0
2018-12-23,74.0
2018-12-30,70.0
2019-01-06,65.0
2019-01-13,66.0
2019-01-20,63.0
2019-01-27,60.0
2019-02-03,65.0
2019-02-10,63.0
2019-02-17,67.0
2019-02-24,69.0
2019-03-03,66.0
2019-03-10,67.0
2019-03-17,61.0
2019-03-24,64.0
2019-03-31,65.0
2019-04-07,66.0
2019-04-14,59.0
2019-04-21,71.0
2019-04-28,66.0
2019-05-05,67.0
2019-05-12,62.0
2019-05-19,63.0
2019-05-26,73.0
2019-06-02,72.0
2019-06-09,70.0
2019-06-16,69.0
2019-06-23,72.0
2019-06-30,78.0
2019-07-07,69.0
2019-07-14,68.0
2019-07-21,70.0
2019-07-28,72.0
2019-08-04,73.0
2019-08-11,72.0
2019-08-18,73.0
2019-08-25,71.0
2019-09-01,67.0
2019-09-08,67.0
2019-09-15,63.0
2019-09-22,67.0
2019-09-29,67.0
2019-10-06,67.0
2019-10-13,66.0
2019-10-20,64.0
2019-10-27,62.0
2019-11-03,63.0
2019-11-10,60.0
2019-11-17,57.0
2019-11-24,62.0
2019-12-01,67.0
2019-12-08,67.0
2019-12-15,71.0
2019-12-22,77.0
2019-12-29,73.0
2020-01-05,63.6123595505618
2020-01-12,61.16573033707865
2020-01-19,62.389044943820224
2020-01-26,63.6123595505618
2020-02-02,62.389044943820224
2020-02-09,59.942415730337075
2020-02-16,66.05898876404494
2020-02-23,64.83567415730337
2020-03-01,63.6123595505618
2020-03-08,64.83567415730337
2020-03-15,62.389044943820224
2020-03-22,56.27247191011236
2020-03-29,57.49578651685393
2020-04-05,66.05898876404494
2020-04-12,61.16573033707865
2020-04-19,55.049157303370784
2020-04-26,55.049157303370784
2020-05-03,55.049157303370784
2020-05-10,53.82584269662921
2020-05-17,57.49578651685393
2020-05-24,55.049157303370784
2020-05-31,59.942415730337075
2020-06-07,61.16573033707865
2020-06-14,64.83567415730337
2020-06-21,67.28230337078651
2020-06-28,64.83567415730337
2020-07-05,63.6123595505618
2020-07-12,74.62219101123596
2020-07-19,69.72893258426966
2020-07-26,69.72893258426966
2020-08-02,64.83567415730337
2020-08-09,67.28230337078651
2020-08-16,64.83567415730337
2020-08-23,62.389044943820224
2020-08-30,63.6123595505618
2020-09-06,61.16573033707865
2020-09-13,61.16573033707865
2020-09-20,62.389044943820224
2020-09-27,63.6123595505618
2020-10-04,70.95224719101124
2020-10-11,74.62219101123596
2020-10-18,72.1755617977528
2020-10-25,70.95224719101124
2020-11-01,67.28230337078651
2020-11-08,70.95224719101124
2020-11-15,67.28230337078651
2020-11-22,70.95224719101124
2020-11-29,69.72893258426966
2020-12-06,74.62219101123596
2020-12-13,73.39887640449437
2020-12-20,79.51544943820224
2020-12-27,74.62219101123596
2021-01-03,74.62219101123596
2021-01-10,68.50561797752809
2021-01-17,68.50561797752809
2021-01-24,66.05898876404494
2021-01-31,70.95224719101124
2021-02-07,67.28230337078651
2021-02-14,70.95224719101124
2021-02-21,68.50561797752809
2021-02-28,70.95224719101124
2021-03-07,69.72893258426966
2021-03-14,68.50561797752809
2021-03-21,67.28230337078651
2021-03-28,70.95224719101124
2021-04-04,70.95224719101124
2021-04-11,58.71910112359551
2021-04-18,70.95224719101124
2021-04-25,79.51544943820224
2021-05-02,81.96207865168539
2021-05-09,77.0688202247191
2021-05-16,70.95224719101124
2021-05-23,64.83567415730337
2021-05-30,70.95224719101124
2021-06-06,69.72893258426966
2021-06-13,70.95224719101124
2021-06-20,72.1755617977528
2021-06-27,86.85533707865169
2021-07-04,84.40870786516854
2021-07-11,81.96207865168539
2021-07-18,88.07865168539325
2021-07-25,81.96207865168539
2021-08-01,78.29213483146067
2021-08-08,80.73876404494382
2021-08-15,81.96207865168539
2021-08-22,66.05898876404494
2021-08-29,70.95224719101124
2021-09-05,67.28230337078651
2021-09-12,78.29213483146067
2021-09-19,73.39887640449437
2021-09-26,78.29213483146067
2021-10-03,91.74859550561797
2021-10-10,91.74859550561797
2021-10-17,74.62219101123596
2021-10-24,75.84550561797752
2021-10-31,78.29213483146067
2021-11-07,77.0688202247191
2021-11-14,73.39887640449437
2021-11-21,74.62219101123596
2021-11-28,74.62219101123596
2021-12-05,74.62219101123596
2021-12-12,77.0688202247191
2021-12-19,80.73876404494382
2021-12-26,90.5252808988764
2022-01-02,105.20505617977528
2022-01-09,96.64185393258427
2022-01-16,89.30196629213484
2022-01-23,97.86516853932584
2022-01-30,97.86516853932584
2022-02-06,102.75842696629213
2022-02-13,103.9817415730337
2022-02-20,101.53511235955055
2022-02-27,102.75842696629213
2022-03-06,99.08848314606742
2022-03-13,97.86516853932584
2022-03-20,95.41853932584269
2022-03-27,89.30196629213484
2022-04-03,95.41853932584269
2022-04-10,86.85533707865169
2022-04-17,92.97191011235955
2022-04-24,97.86516853932584
2022-05-01,99.08848314606742
2022-05-08,94.19522471910112
2022-05-15,94.19522471910112
2022-05-22,96.64185393258427
2022-05-29,99.08848314606742
2022-06-05,89.30196629213484
2022-06-12,92.97191011235955
2022-06-19,99.08848314606742
2022-06-26,101.53511235955055
2022-07-03,103.9817415730337
2022-07-10,99.08848314606742
2022-07-17,106.42837078651685
2022-07-24,94.19522471910112
2022-07-31,106.42837078651685
2022-08-07,99.08848314606742
2022-08-14,95.41853932584269
2022-08-21,94.19522471910112
2022-08-28,92.97191011235955
2022-09-04,94.19522471910112
2022-09-11,94.19522471910112
2022-09-18,96.64185393258427
2022-09-25,92.97191011235955
2022-10-02,85.6320224719101
2022-10-09,96.64185393258427
2022-10-16,96.64185393258427
2022-10-23,92.97191011235955
2022-10-30,95.41853932584269
2022-11-06,95.41853932584269
2022-11-13,96.64185393258427
2022-11-20,108.875
2022-11-27,110.09831460674157
2022-12-04,108.875
2022-12-11,108.875
2022-12-18,110.09831460674157
2022-12-25,111.32162921348315
2023-01-01,102.75842696629213
2023-01-08,92.97191011235955
2023-01-15,96.64185393258427
2023-01-22,101.53511235955055
2023-01-29,101.53511235955055
2023-02-05,99.08848314606742
2023-02-12,103.9817415730337
2023-02-19,100.31179775280899
2023-02-26,96.64185393258427
2023-03-05,100.31179775280899
2023-03-12,99.08848314606742
2023-03-19,100.31179775280899
2023-03-26,99.08848314606742
2023-04-02,105.20505617977528
2023-04-09,99.08848314606742
2023-04-16,92.97191011235955
2023-04-23,97.86516853932584
2023-04-30,96.64185393258427
2023-05-07,101.53511235955055
2023-05-14,105.20505617977528
2023-05-21,96.64185393258427
2023-05-28,100.31179775280899
2023-06-04,105.20505617977528
2023-06-11,105.20505617977528
2023-06-18,105.20505617977528
2023-06-25,110.09831460674157
2023-07-02,105.20505617977528
2023-07-09,101.53511235955055
2023-07-16,105.20505617977528
2023-07-23,100.31179775280899
2023-07-30,102.75842696629213
2023-08-06,103.9817415730337
2023-08-13,106.42837078651685
2023-08-20,111.32162921348315
2023-08-27,103.9817415730337
2023-09-03,105.20505617977528
2023-09-10,100.31179775280899
2023-09-17,105.20505617977528
2023-09-24,106.42837078651685
2023-10-01,102.75842696629213
2023-10-08,110.09831460674157
2023-10-15,110.09831460674157
2023-10-22,111.32162921348315
2023-10-29,106.42837078651685
2023-11-05,113.76825842696628
2023-11-12,105.20505617977528
2023-11-19,105.20505617977528
2023-11-26,101.53511235955055
2023-12-03,105.20505617977528
2023-12-10,107.65168539325842
2023-12-17,113.76825842696628
2023-12-24,122.3314606741573
2023-12-31,114.99157303370787
2024-01-07,107.7570712820428
2024-01-14,111.7979614551194
2024-01-21,106.41010789101726
2024-01-28,110.45099806409387
2024-02-04,105.06314449999172
2024-02-11,105.06314449999172
2024-02-18,98.32832754486405
2024-02-25,98.32832754486405
2024-03-03,109.10403467306833
2024-03-10,103.7161811089662
2024-03-17,103.7161811089662
2024-03-24,102.36921771794066
2024-03-31,103.7161811089662
2024-04-07,102.36921771794066
2024-04-14,90.24654719871084
2024-04-21,102.36921771794066
2024-04-28,103.7161811089662
2024-05-05,105.06314449999172
2024-05-12,103.7161811089662
2024-05-19,91.59351058973638
2024-05-26,99.67529093588959
2024-06-02,98.32832754486405
2024-06-09,105.06314449999172
2024-06-16,105.06314449999172
2024-06-23,103.7161811089662
2024-06-30,107.7570712820428
2024-07-07,102.36921771794066
2024-07-14,105.06314449999172
2024-07-21,103.7161811089662
2024-07-28,101.02225432691512
2024-08-04,103.7161811089662
2024-08-11,109.10403467306833
2024-08-18,105.06314449999172
2024-08-25,105.06314449999172
2024-09-01,106.41010789101726
2024-09-08,102.36921771794066
2024-09-15,99.67529093588959
2024-09-22,91.59351058973638
2024-09-29,95.63440076281299
2024-10-06,99.67529093588959
2024-10-13,99.67529093588959
2024-10-20,98.32832754486405
2024-10-27,105.06314449999172
2024-11-03,102.36921771794066
2024-11-10,105.06314449999172
2024-11-17,99.67529093588959
2024-11-24,106.41010789101726
2024-12-01,103.7161811089662
2024-12-08,110.45099806409387
2024-12-15,114.49188823717047
2024-12-22,125.26759536537475
2024-12-29,119.87974180127262
2025-01-05,109.10403467306833
2025-01-12,106.41010789101726
2025-01-19,110.45099806409387
2025-01-26,109.10403467306833
2025-02-02,106.41010789101726
2025-02-09,102.36921771794066
2025-02-16,107.7570712820428
2025-02-23,107.7570712820428
2025-03-02,109.10403467306833
2025-03-09,107.7570712820428
2025-03-16,113.14492484614493
2025-03-23,109.10403467306833
2025-03-30,118.53277841024708
2025-04-06,107.7570712820428
2025-04-13,105.06314449999172
2025-04-20,105.06314449999172
2025-04-27,110.45099806409387
2025-05-04,109.10403467306833
2025-05-11,98.32832754486405
2025-05-18,122.57366858332368
2025-05-25,109.10403467306833
2025-06-01,106.41010789101726
2025-06-08,102.36921771794066
2025-06-15,114.49188823717047
2025-06-22,113.14492484614493
2025-06-29,114.49188823717047
2025-07-06,115.83885162819601
2025-07-13,114.49188823717047
2025-07-20,113.14492484614493
2025-07-27,118.53277841024708
2025-08-03,122.57366858332368
2025-08-10,119.87974180127262
2025-08-17,119.87974180127262
2025-08-24,106.41010789101726
2025-08-31,107.7570712820428
2025-09-07,103.7161811089662
2025-09-14,106.41010789101726
2025-09-21,107.7570712820428
2025-09-28,109.10403467306833
2025-10-05,127.96152214742582
2025-10-12,122.57366858332368
2025-10-19,126.61455875640029
2025-10-26,115.83885162819601
2025-11-02,134.6963391025535
2025-11-09,126.61455875640029
2025-11-16,123.92063197434922
2025-11-23,123.92063197434922
2025-11-30,117.18581501922154
2025-12-07,130.6554489294769
2025-12-14,122.57366858332368
2025-12-21,133.34937571152795
2025-12-28,133.34937571152795
2026-01-04,117.18581501922154
