,Ticket Sales
2020-05-24,18.122448979591837
2020-05-31,18.122448979591837
2020-06-07,18.122448979591837
2020-06-14,18.122448979591837
2020-06-21,27.183673469387756
2020-06-28,18.122448979591837
2020-07-05,18.122448979591837
2020-07-12,18.122448979591837
2020-07-19,18.122448979591837
2020-07-26,27.183673469387756
2020-08-02,18.122448979591837
2020-08-09,18.122448979591837
2020-08-16,18.122448979591837
2020-08-23,18.122448979591837
2020-08-30,27.183673469387756
2020-09-06,18.122448979591837
2020-09-13,27.183673469387756
2020-09-20,18.122448979591837
2020-09-27,18.122448979591837
2020-10-04,18.122448979591837
2020-10-11,18.122448979591837
2020-10-18,18.122448979591837
2020-10-25,18.122448979591837
2020-11-01,18.122448979591837
2020-11-08,27.183673469387756
2020-11-15,18.122448979591837
2020-11-22,18.122448979591837
2020-11-29,18.122448979591837
2020-12-06,18.122448979591837
2020-12-13,18.122448979591837
2020-12-20,27.183673469387756
2020-12-27,27.183673469387756
2021-01-03,117.79591836734694
2021-01-10,117.79591836734694
2021-01-17,54.36734693877551
2021-01-24,27.183673469387756
2021-01-31,27.183673469387756
2021-02-07,18.122448979591837
2021-02-14,36.244897959183675
2021-02-21,27.183673469387756
2021-02-28,27.183673469387756
2021-03-07,27.183673469387756
2021-03-14,18.122448979591837
2021-03-21,36.244897959183675
2021-03-28,45.30612244897959
2021-04-04,45.30612244897959
2021-04-11,45.30612244897959
2021-04-18,27.183673469387756
2021-04-25,27.183673469387756
2021-05-02,18.122448979591837
2021-05-09,18.122448979591837
2021-05-16,18.122448979591837
2021-05-23,18.122448979591837
2021-05-30,36.244897959183675
2021-06-06,27.183673469387756
2021-06-13,27.183673469387756
2021-06-20,27.183673469387756
2021-06-27,36.244897959183675
2021-07-04,27.183673469387756
2021-07-11,27.183673469387756
2021-07-18,27.183673469387756
2021-07-25,18.122448979591837
2021-08-01,27.183673469387756
2021-08-08,18.122448979591837
2021-08-15,27.183673469387756
2021-08-22,18.122448979591837
2021-08-29,18.122448979591837
2021-09-05,9.061224489795919
2021-09-12,27.183673469387756
2021-09-19,18.122448979591837
2021-09-26,18.122448979591837
2021-10-03,18.122448979591837
2021-10-10,27.183673469387756
2021-10-17,27.183673469387756
2021-10-24,45.30612244897959
2021-10-31,90.61224489795919
2021-11-07,45.30612244897959
2021-11-14,27.183673469387756
2021-11-21,63.42857142857143
2021-11-28,54.36734693877551
2021-12-05,72.48979591836735
2021-12-12,99.6734693877551
2021-12-19,99.6734693877551
2021-12-26,72.48979591836735
2022-01-02,63.42857142857143
2022-01-09,63.42857142857143
2022-01-16,54.36734693877551
2022-01-23,36.244897959183675
2022-01-30,63.42857142857143
2022-02-06,54.36734693877551
2022-02-13,72.48979591836735
2022-02-20,144.9795918367347
2022-02-27,81.55102040816327
2022-03-06,90.61224489795919
2022-03-13,72.48979591836735
2022-03-20,108.73469387755102
2022-03-27,81.55102040816327
2022-04-03,144.9795918367347
2022-04-10,289.9591836734694
