,Swimming Pools & Spas
2020-05-24,55.57585044437634
2020-05-31,68.31198283787926
2020-06-07,65.9963224026969
2020-06-14,83.36377566656452
2020-06-21,83.36377566656452
2020-06-28,75.2589641434263
2020-07-05,74.10113392583513
2020-07-12,62.52283174992339
2020-07-19,77.57462457860865
2020-07-26,82.20594544897335
2020-08-02,81.04811523138217
2020-08-09,69.46981305547044
2020-08-16,74.10113392583513
2020-08-23,68.31198283787926
2020-08-30,76.41679436101748
2020-09-06,81.04811523138217
2020-09-13,57.891510879558695
2020-09-20,59.04934109714987
2020-09-27,69.46981305547044
2020-10-04,55.57585044437634
2020-10-11,59.04934109714987
2020-10-18,50.94452957401165
2020-10-25,49.78669935642048
2020-11-01,62.52283174992339
2020-11-08,49.78669935642048
2020-11-15,57.891510879558695
2020-11-22,64.83849218510574
2020-11-29,50.94452957401165
2020-12-06,62.52283174992339
2020-12-13,70.62764327306161
2020-12-20,62.52283174992339
2020-12-27,67.15415262028809
2021-01-03,75.2589641434263
2021-01-10,49.78669935642048
2021-01-17,72.94330370824396
2021-01-24,71.78547349065278
2021-01-31,70.62764327306161
2021-02-07,71.78547349065278
2021-02-14,75.2589641434263
2021-02-21,79.890285013791
2021-02-28,79.890285013791
2021-03-07,78.73245479619982
2021-03-14,70.62764327306161
2021-03-21,86.83726631933804
2021-03-28,86.83726631933804
2021-04-04,91.46858718970273
2021-04-11,93.78424762488508
2021-04-18,83.36377566656452
2021-04-25,78.73245479619982
2021-05-02,63.68066196751457
2021-05-09,69.46981305547044
2021-05-16,68.31198283787926
2021-05-23,56.73368066196752
2021-05-30,71.78547349065278
2021-06-06,65.9963224026969
2021-06-13,68.31198283787926
2021-06-20,78.73245479619982
2021-06-27,67.15415262028809
2021-07-04,82.20594544897335
2021-07-11,70.62764327306161
2021-07-18,84.52160588415569
2021-07-25,79.890285013791
2021-08-01,76.41679436101748
2021-08-08,75.2589641434263
2021-08-15,69.46981305547044
2021-08-22,56.73368066196752
2021-08-29,54.418020226785174
2021-09-05,65.9963224026969
2021-09-12,77.57462457860865
2021-09-19,75.2589641434263
2021-09-26,63.68066196751457
2021-10-03,64.83849218510574
2021-10-10,78.73245479619982
2021-10-17,91.46858718970273
2021-10-24,74.10113392583513
2021-10-31,79.890285013791
2021-11-07,69.46981305547044
2021-11-14,79.890285013791
2021-11-21,70.62764327306161
2021-11-28,81.04811523138217
2021-12-05,82.20594544897335
2021-12-12,87.99509653692921
2021-12-19,106.520380018388
2021-12-26,105.36254980079683
2022-01-02,103.04688936561448
2022-01-09,108.83604045357035
2022-01-16,104.20471958320564
2022-01-23,83.36377566656452
2022-01-30,100.73122893043212
2022-02-06,83.36377566656452
2022-02-13,94.94207784247625
2022-02-20,92.62641740729391
2022-02-27,98.41556849524979
2022-03-06,91.46858718970273
2022-03-13,87.99509653692921
2022-03-20,92.62641740729391
2022-03-27,71.78547349065278
2022-04-03,74.10113392583513
2022-04-10,92.62641740729391
2022-04-17,79.890285013791
2022-04-24,70.62764327306161
2022-05-01,104.20471958320564
2022-05-08,83.36377566656452
2022-05-15,74.10113392583513
2022-05-22,85.67943610174687
2022-05-29,87.99509653692921
2022-06-05,87.99509653692921
2022-06-12,87.99509653692921
2022-06-19,72.94330370824396
2022-06-26,92.62641740729391
2022-07-03,74.10113392583513
2022-07-10,83.36377566656452
2022-07-17,99.57339871284096
2022-07-24,100.73122893043212
2022-07-31,81.04811523138217
2022-08-07,101.8890591480233
2022-08-14,98.41556849524979
2022-08-21,107.67821023597917
2022-08-28,87.99509653692921
2022-09-04,82.20594544897335
2022-09-11,85.67943610174687
2022-09-18,103.04688936561448
2022-09-25,96.09990806006743
2022-10-02,82.20594544897335
2022-10-09,94.94207784247625
2022-10-16,82.20594544897335
2022-10-23,77.57462457860865
2022-10-30,76.41679436101748
2022-11-06,83.36377566656452
2022-11-13,78.73245479619982
2022-11-20,71.78547349065278
2022-11-27,84.52160588415569
2022-12-04,79.890285013791
2022-12-11,78.73245479619982
2022-12-18,91.46858718970273
2022-12-25,99.57339871284096
2023-01-01,90.31075697211156
2023-01-08,90.31075697211156
2023-01-15,76.41679436101748
