,Consumer Electronics
2014-12-28,78.0
2015-01-04,67.0
2015-01-11,68.0
2015-01-18,70.0
2015-01-25,67.0
2015-02-01,68.0
2015-02-08,72.0
2015-02-15,74.0
2015-02-22,67.0
2015-03-01,75.0
2015-03-08,70.0
2015-03-15,69.0
2015-03-22,71.0
2015-03-29,73.0
2015-04-05,80.0
2015-04-12,65.0
2015-04-19,82.0
2015-04-26,69.0
2015-05-03,74.0
2015-05-10,78.0
2015-05-17,80.0
2015-05-24,76.0
2015-05-31,73.0
2015-06-07,78.0
2015-06-14,74.0
2015-06-21,83.0
2015-06-28,76.0
2015-07-05,87.0
2015-07-12,81.0
2015-07-19,82.0
2015-07-26,74.0
2015-08-02,79.0
2015-08-09,83.0
2015-08-16,72.0
2015-08-23,77.0
2015-08-30,76.0
2015-09-06,77.0
2015-09-13,75.0
2015-09-20,73.0
2015-09-27,73.0
2015-10-04,80.0
2015-10-11,82.0
2015-10-18,73.0
2015-10-25,67.0
2015-11-01,74.0
2015-11-08,75.0
2015-11-15,75.0
2015-11-22,74.0
2015-11-29,75.0
2015-12-06,71.0
2015-12-13,82.0
2015-12-20,82.0
2015-12-27,81.0
2016-01-03,73.0
2016-01-10,72.0
2016-01-17,74.0
2016-01-24,71.0
2016-01-31,75.0
2016-02-07,72.0
2016-02-14,75.0
2016-02-21,72.0
2016-02-28,72.0
2016-03-06,75.0
2016-03-13,71.0
2016-03-20,76.0
2016-03-27,77.0
2016-04-03,79.0
2016-04-10,65.0
2016-04-17,80.0
2016-04-24,75.0
2016-05-01,72.0
2016-05-08,76.0
2016-05-15,72.0
2016-05-22,70.0
2016-05-29,75.0
2016-06-05,79.0
2016-06-12,78.0
2016-06-19,77.0
2016-06-26,86.0
2016-07-03,80.0
2016-07-10,75.0
2016-07-17,77.0
2016-07-24,81.0
2016-07-31,87.0
2016-08-07,90.0
2016-08-14,85.0
2016-08-21,91.0
2016-08-28,80.0
2016-09-04,83.0
2016-09-11,84.0
2016-09-18,83.0
2016-09-25,87.0
2016-10-02,80.0
2016-10-09,82.0
2016-10-16,83.0
2016-10-23,85.0
2016-10-30,88.0
2016-11-06,83.0
