,Tourist Destinations
2014-12-28,65.0
2015-01-04,66.0
2015-01-11,65.0
2015-01-18,69.0
2015-01-25,76.0
2015-02-01,69.0
2015-02-08,68.0
2015-02-15,60.0
2015-02-22,68.0
2015-03-01,68.0
2015-03-08,66.0
2015-03-15,66.0
2015-03-22,67.0
2015-03-29,80.0
2015-04-05,76.0
2015-04-12,70.0
2015-04-19,69.0
2015-04-26,77.0
2015-05-03,74.0
2015-05-10,68.0
2015-05-17,70.0
2015-05-24,75.0
2015-05-31,70.0
2015-06-07,63.0
2015-06-14,59.0
2015-06-21,61.0
2015-06-28,76.0
2015-07-05,73.0
2015-07-12,74.0
2015-07-19,75.0
2015-07-26,72.0
2015-08-02,79.0
2015-08-09,79.0
2015-08-16,77.0
2015-08-23,68.0
2015-08-30,76.0
2015-09-06,69.0
2015-09-13,76.0
2015-09-20,59.0
2015-09-27,74.0
2015-10-04,75.0
2015-10-11,71.0
2015-10-18,75.0
2015-10-25,78.0
2015-11-01,80.0
2015-11-08,76.0
2015-11-15,71.0
2015-11-22,68.0
2015-11-29,75.0
2015-12-06,70.0
2015-12-13,67.0
2015-12-20,77.0
2015-12-27,80.0
2016-01-03,73.0
2016-01-10,71.0
2016-01-17,75.0
2016-01-24,81.0
2016-01-31,78.0
2016-02-07,78.0
2016-02-14,80.0
2016-02-21,71.0
2016-02-28,80.0
2016-03-06,81.0
2016-03-13,83.0
2016-03-20,76.0
2016-03-27,87.0
2016-04-03,87.0
2016-04-10,81.0
2016-04-17,86.0
2016-04-24,84.0
2016-05-01,89.0
2016-05-08,78.0
2016-05-15,84.0
2016-05-22,71.0
2016-05-29,74.0
2016-06-05,70.0
2016-06-12,71.0
2016-06-19,76.0
2016-06-26,82.0
2016-07-03,79.0
2016-07-10,88.0
2016-07-17,85.0
2016-07-24,79.0
2016-07-31,87.0
2016-08-07,59.0
2016-08-14,82.0
2016-08-21,86.0
2016-08-28,55.0
2016-09-04,80.0
2016-09-11,68.0
2016-09-18,42.0
2016-09-25,28.0
2016-10-02,27.0
2016-10-09,29.0
2016-10-16,28.0
2016-10-23,27.0
2016-10-30,34.0
2016-11-06,33.0
2016-11-13,33.0
2016-11-20,29.0
