,Gifts & Special Event Items
2020-05-24,49.821797323135755
2020-05-31,57.74799235181645
2020-06-07,57.74799235181645
2020-06-14,58.88030592734226
2020-06-21,63.40956022944551
2020-06-28,52.08642447418738
2020-07-05,52.08642447418738
2020-07-12,54.35105162523901
2020-07-19,53.218738049713195
2020-07-26,56.615678776290636
2020-08-02,50.95411089866157
2020-08-09,50.95411089866157
2020-08-16,52.08642447418738
2020-08-23,52.08642447418738
2020-08-30,50.95411089866157
2020-09-06,53.218738049713195
2020-09-13,50.95411089866157
2020-09-20,49.821797323135755
2020-09-27,58.88030592734226
2020-10-04,64.54187380497132
2020-10-11,54.35105162523901
2020-10-18,53.218738049713195
2020-10-25,50.95411089866157
2020-11-01,50.95411089866157
2020-11-08,61.14493307839388
2020-11-15,54.35105162523901
2020-11-22,53.218738049713195
2020-11-29,58.88030592734226
2020-12-06,58.88030592734226
2020-12-13,58.88030592734226
2020-12-20,67.93881453154876
2020-12-27,69.07112810707457
2021-01-03,56.615678776290636
2021-01-10,57.74799235181645
2021-01-17,55.48336520076482
2021-01-24,53.218738049713195
2021-01-31,56.615678776290636
2021-02-07,72.46806883365201
2021-02-14,58.88030592734226
2021-02-21,49.821797323135755
2021-02-28,50.95411089866157
2021-03-07,52.08642447418738
2021-03-14,50.95411089866157
2021-03-21,50.95411089866157
2021-03-28,52.08642447418738
2021-04-04,49.821797323135755
2021-04-11,69.07112810707457
2021-04-18,48.68948374760995
2021-04-25,50.95411089866157
2021-05-02,58.88030592734226
2021-05-09,70.20344168260038
2021-05-16,57.74799235181645
2021-05-23,75.86500956022945
2021-05-30,61.14493307839388
2021-06-06,65.67418738049713
2021-06-13,71.3357552581262
2021-06-20,79.2619502868069
2021-06-27,63.40956022944551
2021-07-04,65.67418738049713
2021-07-11,62.2772466539197
2021-07-18,60.01261950286807
2021-07-25,60.01261950286807
2021-08-01,57.74799235181645
2021-08-08,55.48336520076482
2021-08-15,55.48336520076482
2021-08-22,56.615678776290636
2021-08-29,60.01261950286807
2021-09-05,63.40956022944551
2021-09-12,66.80650095602294
2021-09-19,60.01261950286807
2021-09-26,62.2772466539197
2021-10-03,88.32045889101339
2021-10-10,57.74799235181645
2021-10-17,56.615678776290636
2021-10-24,57.74799235181645
2021-10-31,64.54187380497132
2021-11-07,54.35105162523901
2021-11-14,54.35105162523901
2021-11-21,53.218738049713195
2021-11-28,57.74799235181645
2021-12-05,58.88030592734226
2021-12-12,57.74799235181645
2021-12-19,63.40956022944551
2021-12-26,65.67418738049713
2022-01-02,64.54187380497132
2022-01-09,66.80650095602294
2022-01-16,57.74799235181645
2022-01-23,64.54187380497132
2022-01-30,65.67418738049713
2022-02-06,67.93881453154876
2022-02-13,67.93881453154876
2022-02-20,53.218738049713195
2022-02-27,58.88030592734226
2022-03-06,57.74799235181645
2022-03-13,54.35105162523901
2022-03-20,53.218738049713195
2022-03-27,52.08642447418738
2022-04-03,50.95411089866157
2022-04-10,106.43747609942639
2022-04-17,62.2772466539197
2022-04-24,55.48336520076482
2022-05-01,71.3357552581262
2022-05-08,79.2619502868069
2022-05-15,70.20344168260038
2022-05-22,61.14493307839388
2022-05-29,56.615678776290636
2022-06-05,54.35105162523901
2022-06-12,62.2772466539197
2022-06-19,67.93881453154876
2022-06-26,53.218738049713195
2022-07-03,58.88030592734226
2022-07-10,58.88030592734226
2022-07-17,63.40956022944551
2022-07-24,61.14493307839388
2022-07-31,60.01261950286807
2022-08-07,63.40956022944551
2022-08-14,62.2772466539197
2022-08-21,58.88030592734226
2022-08-28,63.40956022944551
2022-09-04,63.40956022944551
2022-09-11,62.2772466539197
2022-09-18,61.14493307839388
2022-09-25,62.2772466539197
2022-10-02,113.23135755258127
2022-10-09,60.01261950286807
2022-10-16,60.01261950286807
2022-10-23,62.2772466539197
2022-10-30,60.01261950286807
2022-11-06,56.615678776290636
2022-11-13,60.01261950286807
2022-11-20,53.218738049713195
2022-11-27,55.48336520076482
2022-12-04,57.74799235181645
2022-12-11,64.54187380497132
2022-12-18,66.80650095602294
2022-12-25,71.3357552581262
2023-01-01,58.88030592734226
2023-01-08,56.615678776290636
2023-01-15,58.88030592734226
2023-01-22,58.88030592734226
2023-01-29,61.14493307839388
2023-02-05,61.14493307839388
2023-02-12,62.2772466539197
2023-02-19,54.35105162523901
2023-02-26,55.48336520076482
2023-03-05,56.615678776290636
2023-03-12,56.615678776290636
2023-03-19,55.48336520076482
2023-03-26,54.35105162523901
2023-04-02,52.08642447418738
2023-04-09,97.3789674952199
2023-04-16,55.48336520076482
2023-04-23,55.48336520076482
2023-04-30,67.93881453154876
2023-05-07,67.93881453154876
2023-05-14,71.3357552581262
2023-05-21,63.40956022944551
2023-05-28,55.48336520076482
2023-06-04,57.74799235181645
2023-06-11,57.74799235181645
2023-06-18,67.93881453154876
2023-06-25,56.615678776290636
2023-07-02,55.48336520076482
2023-07-09,60.01261950286807
2023-07-16,55.48336520076482
2023-07-23,67.93881453154876
2023-07-30,56.615678776290636
2023-08-06,53.218738049713195
2023-08-13,58.88030592734226
2023-08-20,53.218738049713195
2023-08-27,57.74799235181645
2023-09-03,60.01261950286807
2023-09-10,58.88030592734226
2023-09-17,55.48336520076482
2023-09-24,60.01261950286807
2023-10-01,103.04053537284895
2023-10-08,57.74799235181645
2023-10-15,61.14493307839388
2023-10-22,56.615678776290636
2023-10-29,50.95411089866157
2023-11-05,52.08642447418738
2023-11-12,60.01261950286807
2023-11-19,56.615678776290636
2023-11-26,55.48336520076482
2023-12-03,57.74799235181645
2023-12-10,58.88030592734226
2023-12-17,64.54187380497132
2023-12-24,64.54187380497132
2023-12-31,66.80650095602294
2024-01-07,52.74104898388152
2024-01-14,56.87760184536242
2024-01-21,56.87760184536242
2024-01-28,55.8434636299922
2024-02-04,56.87760184536242
2024-02-11,62.048292922213555
2024-02-18,51.70691076851129
2024-02-25,51.70691076851129
2024-03-03,56.87760184536242
2024-03-10,51.70691076851129
2024-03-17,53.77518719925175
2024-03-24,53.77518719925175
2024-03-31,53.77518719925175
2024-04-07,78.59450436813717
2024-04-14,52.74104898388152
2024-04-21,51.70691076851129
2024-04-28,55.8434636299922
2024-05-05,63.082431137583775
2024-05-12,71.35553686054558
2024-05-19,57.91174006073265
2024-05-26,54.80932541462197
2024-06-02,56.87760184536242
2024-06-09,58.945878276102874
2024-06-16,57.91174006073265
2024-06-23,51.70691076851129
2024-06-30,53.77518719925175
2024-07-07,54.80932541462197
2024-07-14,55.8434636299922
2024-07-21,61.01415470684333
2024-07-28,54.80932541462197
2024-08-04,51.70691076851129
2024-08-11,51.70691076851129
2024-08-18,51.70691076851129
2024-08-25,52.74104898388152
2024-09-01,53.77518719925175
2024-09-08,52.74104898388152
2024-09-15,46.536219691660165
2024-09-22,50.672772553141066
2024-09-29,65.15070756832424
2024-10-06,68.25312221443491
2024-10-13,52.74104898388152
2024-10-20,52.74104898388152
2024-10-27,61.01415470684333
2024-11-03,52.74104898388152
2024-11-10,51.70691076851129
2024-11-17,53.77518719925175
2024-11-24,54.80932541462197
2024-12-01,55.8434636299922
2024-12-08,57.91174006073265
2024-12-15,57.91174006073265
2024-12-22,63.082431137583775
2024-12-29,66.18484578369446
2025-01-05,54.80932541462197
2025-01-12,59.9800164914731
2025-01-19,55.8434636299922
2025-01-26,56.87760184536242
2025-02-02,54.80932541462197
2025-02-09,62.048292922213555
2025-02-16,51.70691076851129
2025-02-23,50.672772553141066
2025-03-02,54.80932541462197
2025-03-09,49.63863433777084
2025-03-16,49.63863433777084
2025-03-23,51.70691076851129
2025-03-30,52.74104898388152
2025-04-06,50.672772553141066
2025-04-13,72.38967507591582
2025-04-20,47.57035790703039
2025-04-27,50.672772553141066
2025-05-04,61.01415470684333
2025-05-11,65.15070756832424
2025-05-18,50.672772553141066
2025-05-25,50.672772553141066
2025-06-01,51.70691076851129
2025-06-08,55.8434636299922
2025-06-15,56.87760184536242
2025-06-22,49.63863433777084
2025-06-29,49.63863433777084
2025-07-06,47.57035790703039
2025-07-13,48.60449612240062
2025-07-20,48.60449612240062
2025-07-27,48.60449612240062
2025-08-03,50.672772553141066
2025-08-10,47.57035790703039
2025-08-17,49.63863433777084
2025-08-24,51.70691076851129
2025-08-31,49.63863433777084
2025-09-07,47.57035790703039
2025-09-14,45.50208147628994
2025-09-21,52.74104898388152
2025-09-28,58.945878276102874
2025-10-05,63.082431137583775
2025-10-12,52.74104898388152
2025-10-19,54.80932541462197
2025-10-26,48.60449612240062
2025-11-02,47.57035790703039
2025-11-09,46.536219691660165
2025-11-16,48.60449612240062
2025-11-23,44.46794326091971
2025-11-30,41.36552861480904
2025-12-07,50.672772553141066
2025-12-14,54.80932541462197
2025-12-21,63.082431137583775
2025-12-28,64.116569352954
