,Footwear
2025-08-31,80.18972332015812
2025-09-07,76.43083003952572
2025-09-14,68.91304347826089
2025-09-21,92.71936758893283
2025-09-28,81.44268774703559
2025-10-05,86.45454545454548
2025-10-12,97.73122529644272
2025-10-19,93.9723320158103
2025-10-26,93.9723320158103
2025-11-02,80.18972332015812
2025-11-09,80.18972332015812
2025-11-16,88.96047430830042
2025-11-23,106.50197628458501
2025-11-30,80.18972332015812
2025-12-07,91.46640316205536
2025-12-14,107.75494071146248
2025-12-21,111.51383399209489
2025-12-28,125.29644268774706
2026-01-04,109.00790513833995
