,Investing
2020-05-31,74.75028121484813
2020-06-07,64.49043869516309
2020-06-14,58.62767154105736
2020-06-21,80.61304836895387
2020-06-28,39.57367829021372
2020-07-05,64.49043869516309
2020-07-12,63.024746906636665
2020-07-19,68.8875140607424
2020-07-26,70.35320584926883
2020-08-02,76.21597300337457
2020-08-09,73.2845894263217
2020-08-16,67.42182227221596
2020-08-23,52.76490438695163
2020-08-30,60.093363329583795
2020-09-06,79.14735658042744
2020-09-13,63.024746906636665
2020-09-20,64.49043869516309
2020-09-27,79.14735658042744
2020-10-04,64.49043869516309
2020-10-11,82.0787401574803
2020-10-18,76.21597300337457
2020-10-25,82.0787401574803
2020-11-01,65.95613048368953
2020-11-08,76.21597300337457
2020-11-15,71.81889763779526
2020-11-22,79.14735658042744
2020-11-29,71.81889763779526
2020-12-06,80.61304836895387
2020-12-13,79.14735658042744
2020-12-20,73.2845894263217
2020-12-27,115.78965129358829
2021-01-03,93.80427446569178
2021-01-10,121.65241844769402
2021-01-17,92.33858267716535
2021-01-24,86.47581552305961
2021-01-31,95.2699662542182
2021-02-07,115.78965129358829
2021-02-14,92.33858267716535
2021-02-21,127.51518560179976
2021-02-28,96.73565804274465
2021-03-07,115.78965129358829
2021-03-14,93.80427446569178
2021-03-21,105.52980877390326
2021-03-28,101.13273340832394
2021-04-04,99.66704161979752
2021-04-11,104.06411698537681
2021-04-18,86.47581552305961
2021-04-25,77.681664791901
2021-05-02,86.47581552305961
2021-05-09,85.01012373453317
2021-05-16,80.61304836895387
2021-05-23,79.14735658042744
2021-05-30,89.40719910011248
2021-06-06,74.75028121484813
2021-06-13,71.81889763779526
2021-06-20,67.42182227221596
2021-06-27,74.75028121484813
2021-07-04,67.42182227221596
2021-07-11,86.47581552305961
2021-07-18,70.35320584926883
2021-07-25,63.024746906636665
2021-08-01,74.75028121484813
2021-08-08,83.54443194600674
2021-08-15,111.39257592800898
2021-08-22,115.78965129358829
2021-08-29,105.52980877390326
2021-09-05,120.18672665916759
2021-09-12,134.84364454443192
2021-09-19,98.20134983127107
2021-09-26,106.99550056242968
2021-10-03,121.65241844769402
2021-10-10,102.59842519685039
2021-10-17,127.51518560179976
2021-10-24,101.13273340832394
2021-10-31,109.92688413948255
2021-11-07,93.80427446569178
2021-11-14,117.25534308211472
2021-11-21,106.99550056242968
2021-11-28,96.73565804274465
2021-12-05,112.85826771653542
2021-12-12,117.25534308211472
2021-12-19,123.11811023622046
2021-12-26,109.92688413948255
2022-01-02,140.70641169853766
2022-01-09,95.2699662542182
2022-01-16,105.52980877390326
2022-01-23,124.58380202474689
2022-01-30,89.40719910011248
2022-02-06,123.11811023622046
2022-02-13,108.46119235095611
2022-02-20,121.65241844769402
2022-02-27,117.25534308211472
2022-03-06,120.18672665916759
2022-03-13,124.58380202474689
2022-03-20,117.25534308211472
2022-03-27,115.78965129358829
2022-04-03,117.25534308211472
2022-04-10,112.85826771653542
2022-04-17,118.72103487064115
2022-04-24,105.52980877390326
2022-05-01,90.8728908886389
2022-05-08,112.85826771653542
2022-05-15,115.78965129358829
2022-05-22,111.39257592800898
2022-05-29,99.66704161979752
2022-06-05,101.13273340832394
2022-06-12,111.39257592800898
2022-06-19,83.54443194600674
2022-06-26,92.33858267716535
2022-07-03,98.20134983127107
2022-07-10,82.0787401574803
2022-07-17,96.73565804274465
2022-07-24,96.73565804274465
2022-07-31,98.20134983127107
2022-08-07,82.0787401574803
2022-08-14,143.63779527559052
2022-08-21,114.32395950506185
2022-08-28,96.73565804274465
2022-09-04,108.46119235095611
2022-09-11,115.78965129358829
2022-09-18,99.66704161979752
2022-09-25,96.73565804274465
2022-10-02,96.73565804274465
2022-10-09,115.78965129358829
2022-10-16,89.40719910011248
2022-10-23,102.59842519685039
2022-10-30,99.66704161979752
2022-11-06,92.33858267716535
2022-11-13,117.25534308211472
2022-11-20,83.54443194600674
2022-11-27,80.61304836895387
2022-12-04,98.20134983127107
2022-12-11,109.92688413948255
2022-12-18,105.52980877390326
2022-12-25,112.85826771653542
2023-01-01,101.13273340832394
2023-01-08,124.58380202474689
2023-01-15,106.99550056242968
2023-01-22,101.13273340832394
2023-01-29,128.98087739032619
2023-02-05,114.32395950506185
2023-02-12,109.92688413948255
2023-02-19,112.85826771653542
2023-02-26,106.99550056242968
2023-03-05,123.11811023622046
2023-03-12,126.04949381327333
2023-03-19,108.46119235095611
2023-03-26,101.13273340832394
2023-04-02,115.78965129358829
2023-04-09,106.99550056242968
2023-04-16,90.8728908886389
2023-04-23,114.32395950506185
2023-04-30,92.33858267716535
2023-05-07,95.2699662542182
2023-05-14,120.18672665916759
2023-05-21,89.40719910011248
2023-05-28,114.32395950506185
2023-06-04,83.54443194600674
2023-06-11,115.78965129358829
2023-06-18,101.13273340832394
2023-06-25,95.2699662542182
2023-07-02,86.47581552305961
2023-07-09,111.39257592800898
2023-07-16,137.7750281214848
2023-07-23,126.04949381327333
2023-07-30,127.51518560179976
2023-08-06,126.04949381327333
2023-08-13,115.78965129358829
2023-08-20,117.25534308211472
2023-08-27,101.13273340832394
2023-09-03,104.06411698537681
2023-09-10,102.59842519685039
2023-09-17,101.13273340832394
2023-09-24,71.81889763779526
2023-10-01,93.80427446569178
2023-10-08,83.54443194600674
2023-10-15,114.32395950506185
2023-10-22,104.06411698537681
2023-10-29,111.39257592800898
2023-11-05,124.58380202474689
2023-11-12,82.0787401574803
2023-11-19,120.18672665916759
2023-11-26,112.85826771653542
2023-12-03,146.5691788526434
2023-12-10,133.37795275590548
2023-12-17,131.91226096737907
2023-12-24,130.44656917885263
2023-12-31,114.32395950506185
2024-01-07,122.76646759035862
2024-01-14,159.5964078674662
2024-01-21,110.48982083132276
2024-01-28,118.67425200401334
2024-02-04,149.365868901603
2024-02-11,137.08922214256714
2024-02-18,104.35149745180483
2024-02-25,124.81257538353127
2024-03-03,139.13532993573978
2024-03-10,114.58203641766805
2024-03-17,112.5359286244954
2024-03-24,114.58203641766805
2024-03-31,126.8586831767039
2024-04-07,126.8586831767039
2024-04-14,135.04311434939447
2024-04-21,122.76646759035862
2024-04-28,106.39760524497747
2024-05-05,120.72035979718598
2024-05-12,120.72035979718598
2024-05-19,124.81257538353127
2024-05-26,104.35149745180483
2024-06-02,132.99700655622183
2024-06-09,122.76646759035862
2024-06-16,98.2131740722869
2024-06-23,147.31976110843036
2024-06-30,108.44371303815012
2024-07-07,147.31976110843036
2024-07-14,130.9508987630492
2024-07-21,139.13532993573978
2024-07-28,155.5041922811209
2024-08-04,157.55030007429357
2024-08-11,132.99700655622183
2024-08-18,132.99700655622183
2024-08-25,137.08922214256714
2024-09-01,128.90479096987656
2024-09-08,108.44371303815012
2024-09-15,132.99700655622183
2024-09-22,110.48982083132276
2024-09-29,124.81257538353127
2024-10-06,124.81257538353127
2024-10-13,145.2736533152577
2024-10-20,147.31976110843036
2024-10-27,147.31976110843036
2024-11-03,126.8586831767039
2024-11-10,155.5041922811209
2024-11-17,132.99700655622183
2024-11-24,155.5041922811209
2024-12-01,135.04311434939447
2024-12-08,137.08922214256714
2024-12-15,157.55030007429357
2024-12-22,118.67425200401334
2024-12-29,124.81257538353127
2025-01-05,165.73473124698413
2025-01-12,135.04311434939447
2025-01-19,126.8586831767039
2025-01-26,169.82694683332943
2025-02-02,163.6886234538115
2025-02-09,126.8586831767039
2025-02-16,124.81257538353127
2025-02-23,145.2736533152577
2025-03-02,124.81257538353127
2025-03-09,132.99700655622183
2025-03-16,124.81257538353127
2025-03-23,118.67425200401334
2025-03-30,143.22754552208505
2025-04-06,204.61077931726436
2025-04-13,175.96527021284734
2025-04-20,153.45808448794827
2025-04-27,130.9508987630492
2025-05-04,130.9508987630492
2025-05-11,155.5041922811209
2025-05-18,151.41197669477563
2025-05-25,122.76646759035862
2025-06-01,132.99700655622183
2025-06-08,122.76646759035862
2025-06-15,145.2736533152577
2025-06-22,147.31976110843036
2025-06-29,110.48982083132276
2025-07-06,132.99700655622183
2025-07-13,122.76646759035862
2025-07-20,116.62814421084069
2025-07-27,85.93652731325103
2025-08-03,124.81257538353127
2025-08-10,137.08922214256714
2025-08-17,106.39760524497747
2025-08-24,110.48982083132276
2025-08-31,102.30538965863218
2025-09-07,108.44371303815012
2025-09-14,114.58203641766805
2025-09-21,114.58203641766805
2025-09-28,141.1814377289124
2025-10-05,141.1814377289124
2025-10-12,155.5041922811209
2025-10-19,141.1814377289124
2025-10-26,145.2736533152577
2025-11-02,139.13532993573978
2025-11-09,124.81257538353127
2025-11-16,139.13532993573978
2025-11-23,104.35149745180483
2025-11-30,128.90479096987656
2025-12-07,112.5359286244954
2025-12-14,124.81257538353127
2025-12-21,155.5041922811209
2025-12-28,155.5041922811209
2026-01-04,120.72035979718598
