,Arts & Entertainment
2014-12-28,77.0
2015-01-04,72.0
2015-01-11,67.0
2015-01-18,61.0
2015-01-25,62.0
2015-02-01,68.0
2015-02-08,69.0
2015-02-15,70.0
2015-02-22,68.0
2015-03-01,69.0
2015-03-08,67.0
2015-03-15,67.0
2015-03-22,71.0
2015-03-29,73.0
2015-04-05,72.0
2015-04-12,68.0
2015-04-19,71.0
2015-04-26,72.0
2015-05-03,70.0
2015-05-10,74.0
2015-05-17,75.0
2015-05-24,73.0
2015-05-31,74.0
2015-06-07,75.0
2015-06-14,75.0
2015-06-21,73.0
2015-06-28,76.0
2015-07-05,75.0
2015-07-12,80.0
2015-07-19,79.0
2015-07-26,77.0
2015-08-02,82.0
2015-08-09,81.0
2015-08-16,77.0
2015-08-23,74.0
2015-08-30,80.0
2015-09-06,81.0
2015-09-13,74.0
2015-09-20,75.0
2015-09-27,72.0
2015-10-04,79.0
2015-10-11,78.0
2015-10-18,75.0
2015-10-25,73.0
2015-11-01,77.0
2015-11-08,79.0
2015-11-15,73.0
2015-11-22,76.0
2015-11-29,77.0
2015-12-06,76.0
2015-12-13,80.0
2015-12-20,82.0
2015-12-27,88.0
2016-01-03,79.0
2016-01-10,82.0
2016-01-17,79.0
2016-01-24,79.0
2016-01-31,81.0
2016-02-07,79.0
2016-02-14,83.0
2016-02-21,80.0
2016-02-28,85.0
2016-03-06,81.0
2016-03-13,76.0
2016-03-20,83.0
2016-03-27,83.0
2016-04-03,78.0
2016-04-10,80.0
2016-04-17,81.0
2016-04-24,83.0
2016-05-01,86.0
2016-05-08,83.0
2016-05-15,79.0
2016-05-22,80.0
2016-05-29,85.0
2016-06-05,82.0
2016-06-12,81.0
2016-06-19,82.0
2016-06-26,82.0
2016-07-03,92.0
2016-07-10,89.0
2016-07-17,95.0
2016-07-24,93.0
2016-07-31,95.0
2016-08-07,100.0
2016-08-14,97.0
2016-08-21,95.0
2016-08-28,88.0
2016-09-04,90.0
2016-09-11,93.0
2016-09-18,90.0
2016-09-25,92.0
2016-10-02,93.0
2016-10-09,92.0
2016-10-16,91.0
2016-10-23,91.0
2016-10-30,94.0
2016-11-06,87.0
2016-11-13,89.0
2016-11-20,86.0
2016-11-27,85.0
2016-12-04,85.0
2016-12-11,86.0
2016-12-18,93.0
2016-12-25,99.0
2017-01-01,94.0
2017-01-08,89.0
2017-01-15,83.0
2017-01-22,86.0
2017-01-29,82.0
2017-02-05,86.0
2017-02-12,86.0
2017-02-19,83.0
2017-02-26,88.0
2017-03-05,86.0
2017-03-12,81.0
2017-03-19,84.0
2017-03-26,86.0
2017-04-02,87.0
2017-04-09,87.0
2017-04-16,89.0
2017-04-23,87.0
2017-04-30,85.0
2017-05-07,86.0
2017-05-14,85.0
2017-05-21,83.0
2017-05-28,81.0
2017-06-04,81.0
2017-06-11,85.0
2017-06-18,86.0
2017-06-25,86.0
2017-07-02,89.0
2017-07-09,87.0
2017-07-16,90.0
2017-07-23,87.0
2017-07-30,87.0
2017-08-06,88.0
2017-08-13,90.0
2017-08-20,85.0
2017-08-27,84.0
2017-09-03,84.0
2017-09-10,80.0
2017-09-17,86.0
2017-09-24,86.0
2017-10-01,88.0
2017-10-08,88.0
2017-10-15,84.0
2017-10-22,86.0
2017-10-29,85.0
2017-11-05,82.0
