,Home Improvement
2014-12-28,46.0
2015-01-04,41.0
2015-01-11,44.0
2015-01-18,41.0
2015-01-25,42.0
2015-02-01,46.0
2015-02-08,43.0
2015-02-15,61.0
2015-02-22,38.0
2015-03-01,52.0
2015-03-08,52.0
2015-03-15,45.0
2015-03-22,41.0
2015-03-29,61.0
2015-04-05,44.0
2015-04-12,59.0
2015-04-19,48.0
2015-04-26,54.0
2015-05-03,38.0
2015-05-10,52.0
2015-05-17,59.0
2015-05-24,39.0
2015-05-31,42.0
2015-06-07,52.0
2015-06-14,45.0
2015-06-21,44.0
2015-06-28,46.0
2015-07-05,45.0
2015-07-12,43.0
2015-07-19,47.0
2015-07-26,36.0
2015-08-02,67.0
2015-08-09,65.0
2015-08-16,54.0
2015-08-23,54.0
2015-08-30,45.0
2015-09-06,54.0
2015-09-13,47.0
2015-09-20,42.0
2015-09-27,42.0
2015-10-04,55.0
2015-10-11,45.0
2015-10-18,55.0
2015-10-25,62.0
2015-11-01,57.0
2015-11-08,57.0
2015-11-15,51.0
2015-11-22,53.0
2015-11-29,41.0
2015-12-06,44.0
2015-12-13,48.0
2015-12-20,59.0
2015-12-27,51.0
2016-01-03,54.0
2016-01-10,54.0
2016-01-17,51.0
2016-01-24,52.0
2016-01-31,62.0
2016-02-07,54.0
2016-02-14,61.0
2016-02-21,47.0
2016-02-28,62.0
2016-03-06,63.0
2016-03-13,63.0
2016-03-20,53.0
2016-03-27,58.0
2016-04-03,61.0
2016-04-10,56.0
2016-04-17,63.0
2016-04-24,67.0
2016-05-01,65.0
2016-05-08,69.0
2016-05-15,63.0
2016-05-22,69.0
2016-05-29,62.0
2016-06-05,60.0
2016-06-12,60.0
2016-06-19,62.0
2016-06-26,42.0
2016-07-03,55.0
2016-07-10,65.0
2016-07-17,64.0
2016-07-24,48.0
2016-07-31,59.0
2016-08-07,53.0
2016-08-14,68.0
2016-08-21,64.0
2016-08-28,43.0
2016-09-04,61.0
2016-09-11,42.0
2016-09-18,32.0
2016-09-25,17.0
2016-10-02,20.0
2016-10-09,21.0
2016-10-16,29.0
2016-10-23,31.0
