,Luggage
2020-06-14,20.716574424701427
2020-06-21,23.824060588406642
2020-06-28,14.501602097291
2020-07-05,14.501602097291
2020-07-12,30.03903291581707
2020-07-19,17.609088260996213
2020-07-26,30.03903291581707
2020-08-02,16.573259539761143
2020-08-09,30.03903291581707
2020-08-16,32.110690358287215
2020-08-23,18.644916982231287
2020-08-30,0.0
2020-09-06,31.07486163705214
2020-09-13,32.110690358287215
2020-09-20,23.824060588406642
2020-09-27,23.824060588406642
2020-10-04,23.824060588406642
2020-10-11,13.465773376055928
2020-10-18,17.609088260996213
2020-10-25,24.859889309641716
2020-11-01,21.7524031459365
2020-11-08,22.78823186717157
2020-11-15,19.680745703466357
2020-11-22,20.716574424701427
2020-11-29,17.609088260996213
2020-12-06,25.895718030876786
2020-12-13,25.895718030876786
2020-12-20,26.931546752111856
2020-12-27,24.859889309641716
2021-01-03,24.859889309641716
2021-01-10,17.609088260996213
2021-01-17,25.895718030876786
2021-01-24,17.609088260996213
2021-01-31,22.78823186717157
2021-02-07,24.859889309641716
2021-02-14,20.716574424701427
2021-02-21,29.003204194582
2021-02-28,30.03903291581707
2021-03-07,33.146519079522285
2021-03-14,18.644916982231287
2021-03-21,24.859889309641716
2021-03-28,30.03903291581707
2021-04-04,23.824060588406642
2021-04-11,30.03903291581707
2021-04-18,29.003204194582
2021-04-25,0.0
2021-05-02,22.78823186717157
2021-05-09,15.53743081852607
2021-05-16,22.78823186717157
2021-05-23,23.824060588406642
2021-05-30,17.609088260996213
2021-06-06,23.824060588406642
2021-06-13,17.609088260996213
2021-06-20,18.644916982231287
2021-06-27,36.254005243227496
2021-07-04,22.78823186717157
2021-07-11,32.110690358287215
2021-07-18,16.573259539761143
2021-07-25,29.003204194582
2021-08-01,23.824060588406642
2021-08-08,24.859889309641716
2021-08-15,34.182347800757356
2021-08-22,26.931546752111856
2021-08-29,35.218176521992426
2021-09-05,30.03903291581707
2021-09-12,38.325662685697644
2021-09-19,36.254005243227496
2021-09-26,33.146519079522285
2021-10-03,32.110690358287215
2021-10-10,41.433148849402855
2021-10-17,33.146519079522285
2021-10-24,31.07486163705214
2021-10-31,26.931546752111856
2021-11-07,40.397320128167785
2021-11-14,51.79143606175357
2021-11-21,50.7556073405185
2021-11-28,50.7556073405185
2021-12-05,55.93475094669385
2021-12-12,60.07806583163414
2021-12-19,47.648121176813284
2021-12-26,52.82726478298864
2022-01-02,34.182347800757356
2022-01-09,41.433148849402855
2022-01-16,44.54063501310807
2022-01-23,68.36469560151471
2022-01-30,65.2572094378095
2022-02-06,74.57966792892515
2022-02-13,71.47218176521993
2022-02-20,49.71977861928343
2022-02-27,60.07806583163414
2022-03-06,55.93475094669385
2022-03-13,51.79143606175357
2022-03-20,50.7556073405185
2022-03-27,51.79143606175357
2022-04-03,35.218176521992426
2022-04-10,45.57646373434314
2022-04-17,44.54063501310807
2022-04-24,52.82726478298864
2022-05-01,51.79143606175357
2022-05-08,39.361491406932714
2022-05-15,54.89892222545878
2022-05-22,58.006408389164
2022-05-29,59.04223711039907
2022-06-05,53.86309350422371
2022-06-12,56.97057966792893
2022-06-19,55.93475094669385
2022-06-26,68.36469560151471
2022-07-03,68.36469560151471
2022-07-10,55.93475094669385
2022-07-17,49.71977861928343
2022-07-24,66.29303815904457
2022-07-31,71.47218176521993
2022-08-07,78.72298281386543
2022-08-14,66.29303815904457
2022-08-21,67.32886688027965
2022-08-28,72.50801048645499
2022-09-04,59.04223711039907
2022-09-11,81.83046897757065
2022-09-18,70.43635304398485
2022-09-25,61.11389455286921
2022-10-02,75.61549665016021
2022-10-09,61.11389455286921
2022-10-16,58.006408389164
2022-10-23,51.79143606175357
2022-10-30,66.29303815904457
2022-11-06,52.82726478298864
2022-11-13,67.32886688027965
2022-11-20,69.40052432274979
2022-11-27,65.2572094378095
2022-12-04,77.68715409263035
2022-12-11,64.22138071657443
2022-12-18,70.43635304398485
2022-12-25,63.18555199533936
2023-01-01,70.43635304398485
2023-01-08,78.72298281386543
2023-01-15,85.97378386251093
2023-01-22,79.7588115351005
2023-01-29,72.50801048645499
2023-02-05,77.68715409263035
2023-02-12,71.47218176521993
2023-02-19,78.72298281386543
2023-02-26,79.7588115351005
2023-03-05,74.57966792892515
2023-03-12,69.40052432274979
2023-03-19,75.61549665016021
2023-03-26,68.36469560151471
2023-04-02,70.43635304398485
2023-04-09,76.65132537139529
2023-04-16,71.47218176521993
2023-04-23,70.43635304398485
2023-04-30,87.009612583746
2023-05-07,79.7588115351005
2023-05-14,80.79464025633557
2023-05-21,67.32886688027965
2023-05-28,67.32886688027965
2023-06-04,80.79464025633557
2023-06-11,80.79464025633557
2023-06-18,83.90212642004079
2023-06-25,84.93795514127585
2023-07-02,84.93795514127585
2023-07-09,87.009612583746
2023-07-16,97.36789979609671
2023-07-23,87.009612583746
2023-07-30,96.33207107486164
2023-08-06,92.18875618992135
2023-08-13,102.54704340227207
2023-08-20,103.58287212350714
2023-08-27,81.83046897757065
2023-09-03,98.40372851733179
2023-09-10,87.009612583746
2023-09-17,95.29624235362657
2023-09-24,100.47538595980193
2023-10-01,80.79464025633557
2023-10-08,74.57966792892515
2023-10-15,70.43635304398485
2023-10-22,63.18555199533936
2023-10-29,64.22138071657443
2023-11-05,75.61549665016021
2023-11-12,80.79464025633557
2023-11-19,80.79464025633557
2023-11-26,82.86629769880571
2023-12-03,93.22458491115643
2023-12-10,90.11709874745121
