,Rail Transport
2023-10-08,15.634306134603932
2023-10-15,14.070875521143538
2023-10-22,18.13579511614056
2023-10-29,15.94699225729601
2023-11-05,16.885050625372244
2023-11-12,15.634306134603932
2023-11-19,20.011911852293032
2023-11-26,20.32459797498511
2023-12-03,20.011911852293032
2023-12-10,20.949970220369266
2023-12-17,22.82608695652174
2023-12-24,25.01488981536629
2023-12-31,21.262656343061348
2024-01-07,19.782732409251658
2024-01-14,18.922613608849414
2024-01-21,21.7896762768569
2024-01-28,17.202376008044922
2024-02-04,17.202376008044922
2024-02-11,19.209319875650163
2024-02-18,18.922613608849414
2024-02-25,17.489082274845668
2024-03-03,14.048607073236685
2024-03-10,20.069438676052407
2024-03-17,18.062494808447166
2024-03-24,16.915669741244173
2024-03-31,16.628963474443424
2024-04-07,20.929557476454654
2024-04-14,20.642851209653905
2024-04-21,17.775788541646417
2024-04-28,19.209319875650163
2024-05-05,17.775788541646417
2024-05-12,18.062494808447166
2024-05-19,16.628963474443424
2024-05-26,16.628963474443424
2024-06-02,17.489082274845668
2024-06-09,15.768844674041178
2024-06-16,17.202376008044922
2024-06-23,15.482138407240429
2024-06-30,14.335313340037434
2024-07-07,15.768844674041178
2024-07-14,17.202376008044922
2024-07-21,17.489082274845668
2024-07-28,18.635907342048665
2024-08-04,19.782732409251658
2024-08-11,20.929557476454654
2024-08-18,21.7896762768569
2024-08-25,18.635907342048665
2024-09-01,15.19543214043968
2024-09-08,22.363088810458397
2024-09-15,18.635907342048665
2024-09-22,15.482138407240429
2024-09-29,16.915669741244173
2024-10-06,14.90872587363893
2024-10-13,14.335313340037434
2024-10-20,16.055550940841925
2024-10-27,19.209319875650163
2024-11-03,18.635907342048665
2024-11-10,21.50297001005615
2024-11-17,25.230151478465885
2024-11-24,24.083326411262888
2024-12-01,22.363088810458397
2024-12-08,21.216263743255404
2024-12-15,22.363088810458397
2024-12-22,27.81050787967262
2024-12-29,22.936501344059895
2025-01-05,23.223207610860644
2025-01-12,22.649795077259146
2025-01-19,19.209319875650163
2025-01-26,21.7896762768569
2025-02-02,18.922613608849414
2025-02-09,18.062494808447166
2025-02-16,22.363088810458397
2025-02-23,20.356144942853156
2025-03-02,18.922613608849414
2025-03-09,23.79662014446214
2025-03-16,21.216263743255404
2025-03-23,19.49602614245091
2025-03-30,20.069438676052407
2025-04-06,20.642851209653905
2025-04-13,23.79662014446214
2025-04-20,21.216263743255404
2025-04-27,17.775788541646417
2025-05-04,20.356144942853156
2025-05-11,20.069438676052407
2025-05-18,18.635907342048665
2025-05-25,17.489082274845668
2025-06-01,18.349201075247915
2025-06-08,20.069438676052407
2025-06-15,16.628963474443424
2025-06-22,16.915669741244173
2025-06-29,18.062494808447166
2025-07-06,19.49602614245091
2025-07-13,22.076382543657648
2025-07-20,20.069438676052407
2025-07-27,24.083326411262888
2025-08-03,23.223207610860644
2025-08-10,28.670626680074868
2025-08-17,24.943445211665136
2025-08-24,20.069438676052407
2025-08-31,20.642851209653905
2025-09-07,18.062494808447166
2025-09-14,20.356144942853156
2025-09-21,18.349201075247915
2025-09-28,20.929557476454654
2025-10-05,19.209319875650163
2025-10-12,18.349201075247915
2025-10-19,18.349201075247915
2025-10-26,19.49602614245091
2025-11-02,20.356144942853156
2025-11-09,22.649795077259146
2025-11-16,22.936501344059895
2025-11-23,21.216263743255404
2025-11-30,11.754956938830695
2025-12-07,10.034719338026203
2025-12-14,12.328369472432193
2025-12-21,14.90872587363893
2025-12-28,14.048607073236685
