,Financial Planning
2014-12-28,44.0
2015-01-04,0.0
2015-01-11,55.0
2015-01-18,57.0
2015-01-25,61.0
2015-02-01,32.0
2015-02-08,40.0
2015-02-15,61.0
2015-02-22,32.0
2015-03-01,0.0
2015-03-08,42.0
2015-03-15,60.0
2015-03-22,50.0
2015-03-29,44.0
2015-04-05,35.0
2015-04-12,0.0
2015-04-19,37.0
2015-04-26,36.0
2015-05-03,54.0
2015-05-10,54.0
2015-05-17,45.0
2015-05-24,100.0
2015-05-31,45.0
2015-06-07,43.0
2015-06-14,46.0
2015-06-21,59.0
2015-06-28,63.0
2015-07-05,38.0
2015-07-12,0.0
2015-07-19,49.0
2015-07-26,32.0
2015-08-02,68.0
2015-08-09,50.0
2015-08-16,38.0
2015-08-23,65.0
2015-08-30,65.0
2015-09-06,67.0
2015-09-13,0.0
2015-09-20,63.0
2015-09-27,30.0
2015-10-04,57.0
2015-10-11,44.0
2015-10-18,32.0
2015-10-25,30.0
2015-11-01,47.0
2015-11-08,0.0
2015-11-15,51.0
2015-11-22,53.0
2015-11-29,69.0
2015-12-06,53.0
2015-12-13,43.0
2015-12-20,0.0
2015-12-27,39.0
2016-01-03,46.0
2016-01-10,41.0
2016-01-17,48.0
2016-01-24,66.0
2016-01-31,0.0
2016-02-07,45.0
2016-02-14,81.0
2016-02-21,65.0
2016-02-28,62.0
2016-03-06,56.0
2016-03-13,80.0
2016-03-20,43.0
2016-03-27,38.0
2016-04-03,35.0
2016-04-10,0.0
2016-04-17,36.0
2016-04-24,44.0
2016-05-01,0.0
2016-05-08,0.0
2016-05-15,44.0
2016-05-22,36.0
2016-05-29,36.0
2016-06-05,34.0
2016-06-12,67.0
2016-06-19,58.0
2016-06-26,50.0
2016-07-03,61.0
2016-07-10,43.0
2016-07-17,48.0
2016-07-24,37.0
2016-07-31,41.0
2016-08-07,50.0
2016-08-14,42.0
2016-08-21,49.0
2016-08-28,69.0
2016-09-04,40.0
2016-09-11,54.0
2016-09-18,58.0
2016-09-25,49.0
2016-10-02,46.0
2016-10-09,50.0
2016-10-16,44.0
2016-10-23,68.0
2016-10-30,67.0
2016-11-06,53.0
2016-11-13,51.0
2016-11-20,46.0
2016-11-27,54.0
2016-12-04,61.0
2016-12-11,51.0
2016-12-18,47.0
2016-12-25,0.0
2017-01-01,49.0
2017-01-08,48.0
2017-01-15,81.0
2017-01-22,49.0
2017-01-29,44.0
