,Consulting
2014-12-28,60.0
2015-01-04,67.0
2015-01-11,62.0
2015-01-18,67.0
2015-01-25,60.0
2015-02-01,66.0
2015-02-08,62.0
2015-02-15,68.0
2015-02-22,65.0
2015-03-01,61.0
2015-03-08,64.0
2015-03-15,64.0
2015-03-22,66.0
2015-03-29,68.0
2015-04-05,69.0
2015-04-12,64.0
2015-04-19,64.0
2015-04-26,63.0
2015-05-03,62.0
2015-05-10,70.0
2015-05-17,69.0
2015-05-24,64.0
2015-05-31,68.0
2015-06-07,71.0
2015-06-14,70.0
2015-06-21,75.0
2015-06-28,88.0
2015-07-05,87.0
2015-07-12,85.0
2015-07-19,87.0
2015-07-26,84.0
2015-08-02,85.0
2015-08-09,81.0
2015-08-16,85.0
2015-08-23,75.0
2015-08-30,79.0
2015-09-06,83.0
2015-09-13,72.0
2015-09-20,77.0
2015-09-27,72.0
2015-10-04,77.0
2015-10-11,74.0
2015-10-18,60.0
2015-10-25,69.0
2015-11-01,64.0
2015-11-08,44.0
2015-11-15,69.0
2015-11-22,70.0
2015-11-29,72.0
2015-12-06,70.0
2015-12-13,71.0
2015-12-20,65.0
2015-12-27,63.0
2016-01-03,65.0
2016-01-10,62.0
2016-01-17,66.0
2016-01-24,62.0
2016-01-31,69.0
2016-02-07,68.0
2016-02-14,69.0
2016-02-21,67.0
2016-02-28,65.0
2016-03-06,65.0
2016-03-13,64.0
2016-03-20,55.0
2016-03-27,64.0
2016-04-03,66.0
2016-04-10,63.0
2016-04-17,63.0
2016-04-24,65.0
2016-05-01,70.0
2016-05-08,70.0
2016-05-15,65.0
2016-05-22,72.0
2016-05-29,73.0
2016-06-05,70.0
2016-06-12,76.0
2016-06-19,76.0
2016-06-26,77.0
2016-07-03,76.0
2016-07-10,81.0
2016-07-17,83.0
2016-07-24,83.0
2016-07-31,81.0
2016-08-07,77.0
2016-08-14,64.0
2016-08-21,79.0
2016-08-28,77.0
2016-09-04,66.0
2016-09-11,74.0
2016-09-18,79.0
2016-09-25,69.0
2016-10-02,64.0
2016-10-09,58.0
2016-10-16,68.0
2016-10-23,53.0
2016-10-30,55.0
2016-11-06,61.0
2016-11-13,65.0
2016-11-20,65.0
2016-11-27,68.0
2016-12-04,68.0
2016-12-11,65.0
2016-12-18,69.0
2016-12-25,65.0
2017-01-01,75.0
2017-01-08,68.0
2017-01-15,70.0
2017-01-22,68.0
2017-01-29,72.0
2017-02-05,71.0
2017-02-12,72.0
2017-02-19,72.0
2017-02-26,71.0
2017-03-05,65.0
2017-03-12,65.0
2017-03-19,75.0
2017-03-26,69.0
2017-04-02,71.0
2017-04-09,75.0
2017-04-16,73.0
2017-04-23,72.0
2017-04-30,69.0
2017-05-07,74.0
2017-05-14,72.0
2017-05-21,79.0
2017-05-28,76.0
2017-06-04,76.0
2017-06-11,83.0
2017-06-18,84.0
2017-06-25,79.0
2017-07-02,89.0
2017-07-09,90.0
2017-07-16,89.0
2017-07-23,86.0
2017-07-30,80.0
2017-08-06,80.0
2017-08-13,78.0
2017-08-20,80.0
2017-08-27,75.0
2017-09-03,80.0
2017-09-10,83.0
2017-09-17,79.0
2017-09-24,64.0
2017-10-01,69.0
2017-10-08,71.0
2017-10-15,47.0
2017-10-22,76.0
2017-10-29,76.0
2017-11-05,78.0
2017-11-12,77.0
2017-11-19,73.0
2017-11-26,71.0
2017-12-03,76.0
2017-12-10,71.0
2017-12-17,75.0
2017-12-24,70.0
2017-12-31,72.0
2018-01-07,78.0
2018-01-14,72.0
2018-01-21,69.0
2018-01-28,76.0
2018-02-04,74.0
2018-02-11,74.0
2018-02-18,76.0
2018-02-25,63.0
2018-03-04,75.0
2018-03-11,78.0
2018-03-18,81.0
2018-03-25,77.0
2018-04-01,76.0
2018-04-08,76.0
2018-04-15,75.0
2018-04-22,74.0
2018-04-29,77.0
2018-05-06,76.0
2018-05-13,80.0
2018-05-20,80.0
2018-05-27,85.0
