,Professional & Trade Associations
2014-12-28,0.0
2015-01-04,0.0
2015-01-11,45.0
2015-01-18,52.0
2015-01-25,70.0
2015-02-01,44.0
2015-02-08,32.0
2015-02-15,41.0
2015-02-22,43.0
2015-03-01,53.0
2015-03-08,0.0
2015-03-15,57.0
2015-03-22,39.0
2015-03-29,0.0
2015-04-05,75.0
2015-04-12,0.0
2015-04-19,44.0
2015-04-26,40.0
2015-05-03,46.0
2015-05-10,32.0
2015-05-17,50.0
2015-05-24,57.0
2015-05-31,74.0
2015-06-07,79.0
2015-06-14,51.0
2015-06-21,54.0
2015-06-28,0.0
2015-07-05,48.0
2015-07-12,55.0
2015-07-19,31.0
2015-07-26,0.0
2015-08-02,53.0
2015-08-09,47.0
2015-08-16,33.0
2015-08-23,38.0
2015-08-30,45.0
2015-09-06,0.0
2015-09-13,0.0
2015-09-20,0.0
2015-09-27,46.0
2015-10-04,47.0
2015-10-11,41.0
2015-10-18,48.0
2015-10-25,31.0
2015-11-01,41.0
2015-11-08,40.0
2015-11-15,30.0
2015-11-22,82.0
2015-11-29,64.0
2015-12-06,29.0
2015-12-13,0.0
2015-12-20,0.0
2015-12-27,0.0
2016-01-03,0.0
2016-01-10,0.0
2016-01-17,39.0
2016-01-24,44.0
2016-01-31,58.0
2016-02-07,75.0
2016-02-14,49.0
2016-02-21,0.0
2016-02-28,35.0
2016-03-06,35.0
2016-03-13,0.0
2016-03-20,38.0
2016-03-27,37.0
2016-04-03,30.0
2016-04-10,39.0
2016-04-17,33.0
2016-04-24,0.0
2016-05-01,33.0
2016-05-08,48.0
2016-05-15,34.0
2016-05-22,59.0
2016-05-29,30.0
2016-06-05,35.0
2016-06-12,40.0
2016-06-19,48.0
2016-06-26,58.0
2016-07-03,47.0
2016-07-10,78.0
2016-07-17,51.0
2016-07-24,0.0
2016-07-31,68.0
2016-08-07,0.0
2016-08-14,0.0
2016-08-21,37.0
2016-08-28,0.0
2016-09-04,0.0
2016-09-11,0.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,35.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,28.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,49.0
2017-02-05,46.0
2017-02-12,37.0
2017-02-19,64.0
2017-02-26,78.0
2017-03-05,27.0
2017-03-12,35.0
2017-03-19,0.0
2017-03-26,53.0
2017-04-02,41.0
2017-04-09,41.0
2017-04-16,81.0
2017-04-23,36.0
2017-04-30,0.0
2017-05-07,75.0
2017-05-14,71.0
2017-05-21,33.0
2017-05-28,0.0
2017-06-04,0.0
2017-06-11,0.0
2017-06-18,43.0
2017-06-25,0.0
2017-07-02,51.0
2017-07-09,61.0
2017-07-16,51.0
2017-07-23,34.0
2017-07-30,56.0
2017-08-06,58.0
2017-08-13,71.0
2017-08-20,72.0
2017-08-27,0.0
2017-09-03,47.0
2017-09-10,34.0
2017-09-17,57.0
2017-09-24,56.0
2017-10-01,37.0
2017-10-08,72.0
2017-10-15,52.0
2017-10-22,66.0
2017-10-29,56.0
2017-11-05,47.0
2017-11-12,40.0
2017-11-19,0.0
2017-11-26,28.0
2017-12-03,49.0
2017-12-10,0.0
2017-12-17,0.0
2017-12-24,0.0
2017-12-31,0.0
2018-01-07,0.0
2018-01-14,33.0
2018-01-21,48.0
2018-01-28,60.0
2018-02-04,68.0
2018-02-11,47.0
2018-02-18,0.0
2018-02-25,40.0
2018-03-04,36.0
2018-03-11,60.0
2018-03-18,0.0
2018-03-25,57.0
2018-04-01,65.0
2018-04-08,86.0
2018-04-15,64.0
2018-04-22,52.0
2018-04-29,37.0
2018-05-06,82.0
2018-05-13,65.0
2018-05-20,37.0
2018-05-27,59.0
2018-06-03,41.0
2018-06-10,0.0
2018-06-17,0.0
2018-06-24,75.0
2018-07-01,33.0
2018-07-08,57.0
2018-07-15,55.0
2018-07-22,54.0
2018-07-29,33.0
2018-08-05,43.0
2018-08-12,0.0
2018-08-19,0.0
2018-08-26,46.0
2018-09-02,44.0
2018-09-09,41.0
2018-09-16,46.0
2018-09-23,37.0
2018-09-30,62.0
