,Building Materials & Supplies
2020-05-24,95.99174564353409
2020-05-31,69.39162335677163
2020-06-07,74.0177315805564
2020-06-14,72.8612045246102
2020-06-21,70.54815041271782
2020-06-28,72.8612045246102
2020-07-05,68.23509630082543
2020-07-12,67.07856924487923
2020-07-19,63.60898807704066
2020-07-26,67.07856924487923
2020-08-02,68.23509630082543
2020-08-09,68.23509630082543
2020-08-16,68.23509630082543
2020-08-23,67.07856924487923
2020-08-30,67.07856924487923
2020-09-06,70.54815041271782
2020-09-13,67.07856924487923
2020-09-20,67.07856924487923
2020-09-27,64.76551513298685
2020-10-04,65.92204218893305
2020-10-11,68.23509630082543
2020-10-18,64.76551513298685
2020-10-25,62.452461021094464
2020-11-01,63.60898807704066
2020-11-08,54.356771629471105
2020-11-15,54.356771629471105
2020-11-22,58.98287985325588
2020-11-29,57.82635279730969
2020-12-06,60.13940690920207
2020-12-13,62.452461021094464
2020-12-20,65.92204218893305
2020-12-27,63.60898807704066
2021-01-03,63.60898807704066
2021-01-10,56.669825741363496
2021-01-17,64.76551513298685
2021-01-24,63.60898807704066
2021-01-31,65.92204218893305
2021-02-07,64.76551513298685
2021-02-14,64.76551513298685
2021-02-21,71.70467746866402
2021-02-28,77.48731274839498
2021-03-07,76.33078569244879
2021-03-14,78.64383980434117
2021-03-21,76.33078569244879
2021-03-28,89.05258330785692
2021-04-04,86.73952919596454
2021-04-11,78.64383980434117
2021-04-18,70.54815041271782
2021-04-25,71.70467746866402
2021-05-02,68.23509630082543
2021-05-09,65.92204218893305
2021-05-16,63.60898807704066
2021-05-23,68.23509630082543
2021-05-30,74.0177315805564
2021-06-06,90.20911036380312
2021-06-13,75.1742586365026
2021-06-20,76.33078569244879
2021-06-27,83.26994802812595
2021-07-04,79.80036686028737
2021-07-11,78.64383980434117
2021-07-18,80.95689391623357
2021-07-25,74.0177315805564
2021-08-01,68.23509630082543
2021-08-08,72.8612045246102
2021-08-15,68.23509630082543
2021-08-22,65.92204218893305
2021-08-29,64.76551513298685
2021-09-05,77.48731274839498
2021-09-12,68.23509630082543
2021-09-19,67.07856924487923
2021-09-26,65.92204218893305
2021-10-03,67.07856924487923
2021-10-10,57.82635279730969
2021-10-17,61.29593396514827
2021-10-24,60.13940690920207
2021-10-31,53.20024457352491
2021-11-07,57.82635279730969
2021-11-14,58.98287985325588
2021-11-21,58.98287985325588
2021-11-28,60.13940690920207
2021-12-05,61.29593396514827
2021-12-12,62.452461021094464
2021-12-19,64.76551513298685
2021-12-26,63.60898807704066
2022-01-02,70.54815041271782
2022-01-09,62.452461021094464
2022-01-16,62.452461021094464
2022-01-23,68.23509630082543
2022-01-30,67.07856924487923
2022-02-06,67.07856924487923
2022-02-13,75.1742586365026
2022-02-20,77.48731274839498
2022-02-27,80.95689391623357
2022-03-06,85.58300214001834
2022-03-13,99.46132681137266
2022-03-20,101.77438092326506
2022-03-27,99.46132681137266
2022-04-03,99.46132681137266
2022-04-10,99.46132681137266
2022-04-17,102.93090797921124
2022-04-24,104.08743503515744
2022-05-01,93.67869153164169
2022-05-08,89.05258330785692
2022-05-15,95.99174564353409
2022-05-22,86.73952919596454
2022-05-29,84.42647508407214
2022-06-05,86.73952919596454
2022-06-12,87.89605625191072
2022-06-19,80.95689391623357
2022-06-26,91.3656374197493
2022-07-03,86.73952919596454
2022-07-10,84.42647508407214
2022-07-17,80.95689391623357
2022-07-24,79.80036686028737
2022-07-31,79.80036686028737
2022-08-07,75.1742586365026
2022-08-14,74.0177315805564
2022-08-21,77.48731274839498
2022-08-28,78.64383980434117
2022-09-04,76.33078569244879
2022-09-11,77.48731274839498
2022-09-18,79.80036686028737
2022-09-25,78.64383980434117
2022-10-02,69.39162335677163
2022-10-09,76.33078569244879
2022-10-16,76.33078569244879
2022-10-23,58.98287985325588
2022-10-30,76.33078569244879
2022-11-06,72.8612045246102
2022-11-13,74.0177315805564
2022-11-20,75.1742586365026
2022-11-27,70.54815041271782
2022-12-04,69.39162335677163
2022-12-11,75.1742586365026
2022-12-18,76.33078569244879
2022-12-25,77.48731274839498
2023-01-01,76.33078569244879
2023-01-08,71.70467746866402
2023-01-15,70.54815041271782
2023-01-22,69.39162335677163
2023-01-29,74.0177315805564
2023-02-05,76.33078569244879
2023-02-12,75.1742586365026
2023-02-19,82.11342097217975
2023-02-26,85.58300214001834
2023-03-05,75.1742586365026
2023-03-12,84.42647508407214
2023-03-19,78.64383980434117
2023-03-26,80.95689391623357
2023-04-02,85.58300214001834
2023-04-09,102.93090797921124
2023-04-16,115.65270559461938
2023-04-23,89.05258330785692
2023-04-30,76.33078569244879
2023-05-07,86.73952919596454
2023-05-14,107.55701620299602
2023-05-21,100.61785386731886
2023-05-28,89.05258330785692
2023-06-04,95.99174564353409
2023-06-11,105.24396209110363
2023-06-18,99.46132681137266
2023-06-25,85.58300214001834
2023-07-02,87.89605625191072
2023-07-09,83.26994802812595
2023-07-16,84.42647508407214
2023-07-23,83.26994802812595
2023-07-30,79.80036686028737
2023-08-06,83.26994802812595
2023-08-13,75.1742586365026
2023-08-20,80.95689391623357
2023-08-27,77.48731274839498
2023-09-03,75.1742586365026
2023-09-10,76.33078569244879
2023-09-17,76.33078569244879
2023-09-24,74.0177315805564
2023-10-01,74.0177315805564
2023-10-08,80.95689391623357
2023-10-15,75.1742586365026
2023-10-22,63.60898807704066
2023-10-29,72.8612045246102
2023-11-05,68.23509630082543
2023-11-12,57.82635279730969
2023-11-19,65.92204218893305
2023-11-26,70.54815041271782
2023-12-03,69.39162335677163
2023-12-10,77.48731274839498
2023-12-17,75.1742586365026
2023-12-24,76.33078569244879
2023-12-31,75.1742586365026
2024-01-07,72.8612045246102
2024-01-14,69.39162335677163
2024-01-21,67.07856924487923
2024-01-28,72.8612045246102
2024-02-04,75.1742586365026
2024-02-11,75.1742586365026
2024-02-18,76.33078569244879
2024-02-25,78.64383980434117
2024-03-03,75.1742586365026
2024-03-10,85.58300214001834
2024-03-17,82.11342097217975
2024-03-24,89.05258330785692
2024-03-31,102.93090797921124
2024-04-07,94.83521858758789
2024-04-14,100.61785386731886
2024-04-21,101.77438092326506
2024-04-28,108.71354325894221
2024-05-05,97.14827269948027
2024-05-12,91.3656374197493
2024-05-19,105.24396209110363
2024-05-26,112.1831244267808
2024-06-02,91.3656374197493
2024-06-09,95.99174564353409
2024-06-16,99.46132681137266
2024-06-23,82.11342097217975
2024-06-30,82.11342097217975
2024-07-07,75.1742586365026
2024-07-14,83.26994802812595
2024-07-21,85.58300214001834
2024-07-28,79.80036686028737
2024-08-04,76.33078569244879
2024-08-11,77.48731274839498
2024-08-18,75.1742586365026
2024-08-25,77.48731274839498
2024-09-01,77.48731274839498
2024-09-08,78.64383980434117
2024-09-15,75.1742586365026
2024-09-22,84.42647508407214
2024-09-29,78.64383980434117
2024-10-06,67.07856924487923
2024-10-13,71.70467746866402
2024-10-20,75.1742586365026
2024-10-27,61.29593396514827
2024-11-03,67.07856924487923
2024-11-10,68.23509630082543
2024-11-17,72.8612045246102
2024-11-24,71.70467746866402
2024-12-01,64.76551513298685
2024-12-08,71.70467746866402
2024-12-15,70.54815041271782
2024-12-22,76.33078569244879
2024-12-29,71.70467746866402
2025-01-05,69.39162335677163
2025-01-12,64.76551513298685
2025-01-19,71.70467746866402
2025-01-26,74.0177315805564
2025-02-02,72.8612045246102
