,Food & Drink
2020-05-24,89.64014687882496
2020-05-31,90.95838433292533
2020-06-07,85.68543451652387
2020-06-14,84.3671970624235
2020-06-21,84.3671970624235
2020-06-28,85.68543451652387
2020-07-05,84.3671970624235
2020-07-12,90.95838433292533
2020-07-19,90.95838433292533
2020-07-26,92.2766217870257
2020-08-02,90.95838433292533
2020-08-09,83.04895960832313
2020-08-16,80.4124847001224
2020-08-23,77.77600979192167
2020-08-30,79.09424724602204
2020-09-06,84.3671970624235
2020-09-13,80.4124847001224
2020-09-20,79.09424724602204
2020-09-27,76.4577723378213
2020-10-04,83.04895960832313
2020-10-11,85.68543451652387
2020-10-18,88.3219094247246
2020-10-25,85.68543451652387
2020-11-01,84.3671970624235
2020-11-08,93.59485924112607
2020-11-15,88.3219094247246
2020-11-22,89.64014687882496
2020-11-29,89.64014687882496
2020-12-06,92.2766217870257
2020-12-13,90.95838433292533
2020-12-20,101.50428396572828
2020-12-27,97.54957160342717
2021-01-03,88.3219094247246
2021-01-10,84.3671970624235
2021-01-17,84.3671970624235
2021-01-24,83.04895960832313
2021-01-31,83.04895960832313
2021-02-07,77.77600979192167
2021-02-14,89.64014687882496
2021-02-21,84.3671970624235
2021-02-28,84.3671970624235
2021-03-07,87.00367197062424
2021-03-14,85.68543451652387
2021-03-21,85.68543451652387
2021-03-28,90.95838433292533
2021-04-04,84.3671970624235
2021-04-11,79.09424724602204
2021-04-18,87.00367197062424
2021-04-25,89.64014687882496
2021-05-02,94.91309669522644
2021-05-09,94.91309669522644
2021-05-16,97.54957160342717
2021-05-23,94.91309669522644
2021-05-30,106.77723378212974
2021-06-06,110.73194614443085
2021-06-13,113.36842105263158
2021-06-20,98.86780905752754
2021-06-27,101.50428396572828
2021-07-04,98.86780905752754
2021-07-11,96.2313341493268
2021-07-18,98.86780905752754
2021-07-25,96.2313341493268
2021-08-01,88.3219094247246
2021-08-08,90.95838433292533
2021-08-15,94.91309669522644
2021-08-22,101.50428396572828
2021-08-29,102.82252141982865
2021-09-05,101.50428396572828
2021-09-12,102.82252141982865
2021-09-19,101.50428396572828
2021-09-26,102.82252141982865
2021-10-03,92.2766217870257
2021-10-10,93.59485924112607
2021-10-17,88.3219094247246
2021-10-24,90.95838433292533
2021-10-31,90.95838433292533
2021-11-07,93.59485924112607
2021-11-14,89.64014687882496
2021-11-21,90.95838433292533
2021-11-28,87.00367197062424
2021-12-05,92.2766217870257
2021-12-12,93.59485924112607
2021-12-19,105.45899632802937
2021-12-26,113.36842105263158
2022-01-02,110.73194614443085
2022-01-09,104.140758873929
2022-01-16,97.54957160342717
2022-01-23,104.140758873929
2022-01-30,110.73194614443085
2022-02-06,109.41370869033048
2022-02-13,116.00489596083231
2022-02-20,108.09547123623011
2022-02-27,109.41370869033048
2022-03-06,112.0501835985312
2022-03-13,104.140758873929
2022-03-20,101.50428396572828
2022-03-27,94.91309669522644
2022-04-03,97.54957160342717
2022-04-10,97.54957160342717
2022-04-17,101.50428396572828
2022-04-24,104.140758873929
2022-05-01,102.82252141982865
2022-05-08,105.45899632802937
2022-05-15,101.50428396572828
2022-05-22,104.140758873929
2022-05-29,109.41370869033048
2022-06-05,97.54957160342717
2022-06-12,97.54957160342717
2022-06-19,106.77723378212974
2022-06-26,102.82252141982865
2022-07-03,104.140758873929
2022-07-10,112.0501835985312
2022-07-17,113.36842105263158
2022-07-24,106.77723378212974
2022-07-31,106.77723378212974
2022-08-07,110.73194614443085
2022-08-14,112.0501835985312
2022-08-21,106.77723378212974
2022-08-28,102.82252141982865
2022-09-04,105.45899632802937
2022-09-11,98.86780905752754
2022-09-18,100.18604651162791
2022-09-25,102.82252141982865
2022-10-02,98.86780905752754
2022-10-09,97.54957160342717
2022-10-16,102.82252141982865
2022-10-23,104.140758873929
2022-10-30,101.50428396572828
2022-11-06,102.82252141982865
2022-11-13,102.82252141982865
2022-11-20,97.54957160342717
2022-11-27,94.91309669522644
2022-12-04,100.18604651162791
2022-12-11,105.45899632802937
2022-12-18,112.0501835985312
2022-12-25,125.23255813953489
2023-01-01,102.82252141982865
2023-01-08,96.2313341493268
2023-01-15,96.2313341493268
2023-01-22,105.45899632802937
2023-01-29,101.50428396572828
2023-02-05,97.54957160342717
2023-02-12,110.73194614443085
2023-02-19,106.77723378212974
2023-02-26,100.18604651162791
2023-03-05,98.86780905752754
2023-03-12,98.86780905752754
2023-03-19,98.86780905752754
2023-03-26,92.2766217870257
2023-04-02,100.18604651162791
2023-04-09,101.50428396572828
2023-04-16,104.140758873929
2023-04-23,105.45899632802937
2023-04-30,97.54957160342717
2023-05-07,101.50428396572828
2023-05-14,100.18604651162791
2023-05-21,101.50428396572828
2023-05-28,101.50428396572828
2023-06-04,102.82252141982865
2023-06-11,105.45899632802937
2023-06-18,104.140758873929
2023-06-25,106.77723378212974
2023-07-02,101.50428396572828
2023-07-09,109.41370869033048
2023-07-16,106.77723378212974
2023-07-23,108.09547123623011
2023-07-30,109.41370869033048
2023-08-06,116.00489596083231
2023-08-13,113.36842105263158
2023-08-20,108.09547123623011
2023-08-27,109.41370869033048
2023-09-03,118.64137086903305
2023-09-10,97.54957160342717
2023-09-17,106.77723378212974
2023-09-24,105.45899632802937
2023-10-01,105.45899632802937
2023-10-08,97.54957160342717
2023-10-15,98.86780905752754
2023-10-22,100.18604651162791
2023-10-29,101.50428396572828
2023-11-05,105.45899632802937
2023-11-12,113.36842105263158
2023-11-19,110.73194614443085
2023-11-26,102.82252141982865
2023-12-03,108.09547123623011
2023-12-10,113.36842105263158
2023-12-17,121.27784577723378
2023-12-24,131.8237454100367
2023-12-31,117.32313341493268
