,Apartments & Residential Rentals
2014-12-28,45.0
2015-01-04,39.0
2015-01-11,45.0
2015-01-18,53.0
2015-01-25,63.0
2015-02-01,51.0
2015-02-08,54.0
2015-02-15,50.0
2015-02-22,53.0
2015-03-01,49.0
2015-03-08,50.0
2015-03-15,52.0
2015-03-22,64.0
2015-03-29,41.0
2015-04-05,41.0
2015-04-12,41.0
2015-04-19,55.0
2015-04-26,55.0
2015-05-03,46.0
2015-05-10,54.0
2015-05-17,63.0
2015-05-24,55.0
2015-05-31,49.0
2015-06-07,55.0
2015-06-14,51.0
2015-06-21,54.0
2015-06-28,57.0
2015-07-05,66.0
2015-07-12,58.0
2015-07-19,63.0
2015-07-26,56.0
2015-08-02,60.0
2015-08-09,50.0
2015-08-16,56.0
2015-08-23,55.0
2015-08-30,58.0
2015-09-06,52.0
2015-09-13,51.0
2015-09-20,58.0
2015-09-27,53.0
2015-10-04,59.0
2015-10-11,60.0
2015-10-18,52.0
2015-10-25,60.0
2015-11-01,63.0
2015-11-08,65.0
2015-11-15,59.0
2015-11-22,65.0
2015-11-29,65.0
2015-12-06,62.0
2015-12-13,60.0
2015-12-20,61.0
2015-12-27,63.0
2016-01-03,77.0
2016-01-10,67.0
2016-01-17,73.0
2016-01-24,65.0
2016-01-31,66.0
2016-02-07,60.0
2016-02-14,58.0
2016-02-21,61.0
2016-02-28,66.0
2016-03-06,67.0
2016-03-13,59.0
2016-03-20,70.0
2016-03-27,66.0
2016-04-03,58.0
2016-04-10,55.0
2016-04-17,73.0
2016-04-24,70.0
2016-05-01,74.0
2016-05-08,75.0
2016-05-15,63.0
2016-05-22,75.0
2016-05-29,72.0
2016-06-05,68.0
2016-06-12,68.0
2016-06-19,64.0
2016-06-26,65.0
2016-07-03,74.0
2016-07-10,75.0
2016-07-17,76.0
2016-07-24,72.0
2016-07-31,82.0
2016-08-07,83.0
2016-08-14,69.0
2016-08-21,87.0
2016-08-28,78.0
2016-09-04,87.0
2016-09-11,70.0
2016-09-18,72.0
2016-09-25,80.0
2016-10-02,77.0
2016-10-09,79.0
2016-10-16,80.0
2016-10-23,82.0
2016-10-30,82.0
2016-11-06,73.0
2016-11-13,74.0
2016-11-20,76.0
2016-11-27,78.0
2016-12-04,80.0
2016-12-11,69.0
2016-12-18,81.0
2016-12-25,79.0
2017-01-01,84.0
2017-01-08,76.0
2017-01-15,89.0
2017-01-22,81.0
2017-01-29,83.0
2017-02-05,69.0
2017-02-12,82.0
2017-02-19,83.0
2017-02-26,82.0
2017-03-05,79.0
2017-03-12,81.0
2017-03-19,75.0
2017-03-26,80.0
2017-04-02,69.0
2017-04-09,55.0
2017-04-16,84.0
2017-04-23,77.0
2017-04-30,78.0
2017-05-07,77.0
2017-05-14,76.0
2017-05-21,76.0
2017-05-28,74.0
2017-06-04,74.0
2017-06-11,72.0
2017-06-18,74.0
2017-06-25,83.0
2017-07-02,85.0
2017-07-09,84.0
2017-07-16,84.0
2017-07-23,80.0
2017-07-30,84.0
2017-08-06,82.0
2017-08-13,83.0
2017-08-20,81.0
2017-08-27,74.0
2017-09-03,77.0
2017-09-10,69.0
2017-09-17,71.0
2017-09-24,73.0
2017-10-01,81.0
2017-10-08,76.0
2017-10-15,79.0
2017-10-22,84.0
2017-10-29,78.0
2017-11-05,74.0
2017-11-12,83.0
2017-11-19,77.0
2017-11-26,73.0
2017-12-03,78.0
2017-12-10,77.0
2017-12-17,86.0
2017-12-24,72.0
2017-12-31,82.0
2018-01-07,85.0
2018-01-14,78.0
2018-01-21,82.0
2018-01-28,82.0
2018-02-04,80.0
2018-02-11,81.0
2018-02-18,83.0
2018-02-25,74.0
2018-03-04,76.0
2018-03-11,70.0
2018-03-18,72.0
2018-03-25,74.0
2018-04-01,67.0
2018-04-08,57.0
2018-04-15,64.0
2018-04-22,76.0
2018-04-29,79.0
2018-05-06,79.0
2018-05-13,73.0
2018-05-20,83.0
2018-05-27,83.0
2018-06-03,85.0
2018-06-10,79.0
2018-06-17,77.0
2018-06-24,85.0
2018-07-01,87.0
2018-07-08,90.0
2018-07-15,86.0
2018-07-22,77.0
2018-07-29,85.0
2018-08-05,90.0
2018-08-12,86.0
2018-08-19,82.0
2018-08-26,84.0
2018-09-02,90.0
2018-09-09,83.0
2018-09-16,86.0
2018-09-23,77.0
2018-09-30,79.0
2018-10-07,86.0
2018-10-14,71.0
2018-10-21,83.0
2018-10-28,83.0
2018-11-04,73.0
2018-11-11,84.0
2018-11-18,80.0
2018-11-25,96.0
2018-12-02,97.0
2018-12-09,96.0
2018-12-16,94.0
2018-12-23,98.0
2018-12-30,97.0
2019-01-06,97.0
2019-01-13,93.0
2019-01-20,91.0
2019-01-27,88.0
2019-02-03,92.0
2019-02-10,90.0
2019-02-17,87.0
2019-02-24,93.0
2019-03-03,89.0
2019-03-10,96.0
2019-03-17,84.0
2019-03-24,83.0
2019-03-31,84.0
2019-04-07,68.0
2019-04-14,68.0
2019-04-21,58.0
2019-04-28,74.0
2019-05-05,78.0
2019-05-12,69.0
2019-05-19,76.0
2019-05-26,79.0
2019-06-02,78.0
2019-06-09,89.0
2019-06-16,83.0
2019-06-23,88.0
2019-06-30,88.0
2019-07-07,96.0
2019-07-14,97.0
2019-07-21,92.0
2019-07-28,94.0
2019-08-04,90.0
2019-08-11,88.0
2019-08-18,93.0
2019-08-25,90.0
2019-09-01,84.0
2019-09-08,89.0
2019-09-15,94.0
2019-09-22,84.0
2019-09-29,88.0
2019-10-06,87.0
2019-10-13,84.0
2019-10-20,89.0
2019-10-27,82.0
2019-11-03,85.0
2019-11-10,84.0
2019-11-17,89.0
2019-11-24,89.0
2019-12-01,96.0
2019-12-08,81.0
2019-12-15,96.0
2019-12-22,90.0
2019-12-29,100.0
2020-01-05,97.79377301640442
2020-01-12,88.76665550719785
2020-01-19,93.28021426180113
2020-01-26,91.77569467693337
2020-02-02,93.28021426180113
2020-02-09,96.28925343153665
2020-02-16,93.28021426180113
2020-02-23,93.28021426180113
2020-03-01,90.2711750920656
2020-03-08,78.23501841312353
2020-03-15,60.1807833947104
2020-03-22,36.10847003682625
2020-03-29,30.0903916973552
2020-04-05,39.11750920656176
2020-04-12,40.62202879142952
2020-04-19,43.631067961165044
2020-04-26,46.64010713090057
2020-05-03,49.64914630063608
2020-05-10,63.189822564445926
2020-05-17,72.2169400736525
2020-05-24,78.23501841312353
2020-05-31,84.25309675259457
2020-06-07,81.24405758285904
2020-06-14,94.78473384666889
2020-06-21,91.77569467693337
2020-06-28,90.2711750920656
2020-07-05,88.76665550719785
2020-07-12,99.29829260127217
2020-07-19,87.26213592233009
2020-07-26,79.73953799799129
2020-08-02,90.2711750920656
2020-08-09,93.28021426180113
2020-08-16,93.28021426180113
2020-08-23,88.76665550719785
2020-08-30,94.78473384666889
2020-09-06,93.28021426180113
2020-09-13,90.2711750920656
2020-09-20,90.2711750920656
2020-09-27,90.2711750920656
2020-10-04,87.26213592233009
2020-10-11,84.25309675259457
2020-10-18,79.73953799799129
2020-10-25,70.71242048878473
2020-11-01,57.17174422497489
2020-11-08,66.19886173418145
2020-11-15,73.72145965852025
2020-11-22,73.72145965852025
2020-11-29,81.24405758285904
2020-12-06,85.75761633746232
2020-12-13,85.75761633746232
2020-12-20,87.26213592233009
2020-12-27,85.75761633746232
2021-01-03,91.77569467693337
2021-01-10,87.26213592233009
2021-01-17,85.75761633746232
2021-01-24,78.23501841312353
2021-01-31,79.73953799799129
2021-02-07,93.28021426180113
2021-02-14,91.77569467693337
2021-02-21,94.78473384666889
2021-02-28,85.75761633746232
2021-03-07,82.74857716772681
2021-03-14,97.79377301640442
2021-03-21,97.79377301640442
2021-03-28,96.28925343153665
2021-04-04,85.75761633746232
2021-04-11,76.73049882825576
2021-04-18,100.80281218613993
2021-04-25,97.79377301640442
2021-05-02,88.76665550719785
2021-05-09,85.75761633746232
2021-05-16,84.25309675259457
2021-05-23,70.71242048878473
2021-05-30,76.73049882825576
2021-06-06,84.25309675259457
2021-06-13,88.76665550719785
2021-06-20,96.28925343153665
2021-06-27,102.3073317710077
2021-07-04,97.79377301640442
2021-07-11,106.82089052561098
2021-07-18,112.83896886508201
2021-07-25,94.78473384666889
2021-08-01,90.2711750920656
2021-08-08,88.76665550719785
2021-08-15,90.2711750920656
2021-08-22,81.24405758285904
2021-08-29,90.2711750920656
2021-09-05,87.26213592233009
2021-09-12,100.80281218613993
2021-09-19,96.28925343153665
2021-09-26,96.28925343153665
2021-10-03,106.82089052561098
2021-10-10,97.79377301640442
2021-10-17,100.80281218613993
2021-10-24,100.80281218613993
2021-10-31,102.3073317710077
2021-11-07,111.33444928021426
2021-11-14,109.8299296953465
2021-11-21,111.33444928021426
2021-11-28,108.32541011047873
2021-12-05,112.83896886508201
2021-12-12,109.8299296953465
2021-12-19,111.33444928021426
2021-12-26,112.83896886508201
2022-01-02,144.433880147305
2022-01-09,132.3977234683629
2022-01-16,124.87512554402409
2022-01-23,133.90224305323065
2022-01-30,133.90224305323065
2022-02-06,132.3977234683629
2022-02-13,150.45195848677602
2022-02-20,138.41580180783393
2022-02-27,123.37060595915634
2022-03-06,127.88416471375962
2022-03-13,130.89320388349515
2022-03-20,136.91128222296618
2022-03-27,124.87512554402409
2022-04-03,96.28925343153665
2022-04-10,93.28021426180113
2022-04-17,138.41580180783393
2022-04-24,136.91128222296618
2022-05-01,136.91128222296618
2022-05-08,108.32541011047873
2022-05-15,112.83896886508201
2022-05-22,123.37060595915634
2022-05-29,112.83896886508201
2022-06-05,115.84800803481754
2022-06-12,111.33444928021426
2022-06-19,111.33444928021426
2022-06-26,112.83896886508201
2022-07-03,108.32541011047873
2022-07-10,105.31637094074321
2022-07-17,111.33444928021426
2022-07-24,117.35252761968529
2022-07-31,114.34348844994977
2022-08-07,121.86608637428857
2022-08-14,124.87512554402409
2022-08-21,118.85704720455306
2022-08-28,120.3615667894208
2022-09-04,118.85704720455306
2022-09-11,118.85704720455306
2022-09-18,112.83896886508201
2022-09-25,123.37060595915634
2022-10-02,121.86608637428857
2022-10-09,123.37060595915634
2022-10-16,120.3615667894208
2022-10-23,123.37060595915634
2022-10-30,118.85704720455306
2022-11-06,117.35252761968529
2022-11-13,120.3615667894208
2022-11-20,118.85704720455306
2022-11-27,115.84800803481754
2022-12-04,112.83896886508201
2022-12-11,115.84800803481754
2022-12-18,120.3615667894208
2022-12-25,121.86608637428857
2023-01-01,123.37060595915634
2023-01-08,126.37964512889185
2023-01-15,121.86608637428857
2023-01-22,118.85704720455306
2023-01-29,127.88416471375962
2023-02-05,126.37964512889185
2023-02-12,124.87512554402409
2023-02-19,115.84800803481754
2023-02-26,120.3615667894208
2023-03-05,112.83896886508201
2023-03-12,112.83896886508201
2023-03-19,118.85704720455306
2023-03-26,102.3073317710077
2023-04-02,121.86608637428857
2023-04-09,85.75761633746232
2023-04-16,120.3615667894208
2023-04-23,121.86608637428857
2023-04-30,124.87512554402409
2023-05-07,127.88416471375962
2023-05-14,136.91128222296618
2023-05-21,136.91128222296618
2023-05-28,127.88416471375962
2023-06-04,133.90224305323065
2023-06-11,135.40676263809843
2023-06-18,127.88416471375962
2023-06-25,126.37964512889185
2023-07-02,135.40676263809843
