,Welfare & Unemployment
2016-12-18,41.0
2016-12-25,41.0
2017-01-01,43.0
2017-01-08,36.0
2017-01-15,40.0
2017-01-22,35.0
2017-01-29,40.0
2017-02-05,40.0
2017-02-12,43.0
2017-02-19,41.0
2017-02-26,37.0
2017-03-05,34.0
2017-03-12,33.0
2017-03-19,38.0
2017-03-26,38.0
2017-04-02,36.0
2017-04-09,38.0
2017-04-16,38.0
2017-04-23,45.0
2017-04-30,40.0
2017-05-07,39.0
2017-05-14,40.0
2017-05-21,41.0
2017-05-28,37.0
2017-06-04,40.0
2017-06-11,46.0
2017-06-18,42.0
2017-06-25,44.0
2017-07-02,54.0
2017-07-09,42.0
2017-07-16,42.0
2017-07-23,41.0
2017-07-30,37.0
2017-08-06,35.0
2017-08-13,38.0
2017-08-20,34.0
2017-08-27,33.0
2017-09-03,35.0
2017-09-10,33.0
2017-09-17,33.0
2017-09-24,32.0
2017-10-01,30.0
2017-10-08,32.0
2017-10-15,30.0
2017-10-22,42.0
2017-10-29,45.0
2017-11-05,38.0
2017-11-12,37.0
2017-11-19,36.0
2017-11-26,34.0
2017-12-03,39.0
2017-12-10,38.0
2017-12-17,41.0
2017-12-24,40.0
2017-12-31,42.0
2018-01-07,40.0
2018-01-14,45.0
2018-01-21,44.0
2018-01-28,48.0
2018-02-04,49.0
2018-02-11,48.0
2018-02-18,48.0
2018-02-25,40.0
2018-03-04,46.0
2018-03-11,46.0
2018-03-18,48.0
2018-03-25,51.0
2018-04-01,47.0
2018-04-08,51.0
2018-04-15,49.0
2018-04-22,51.0
2018-04-29,53.0
2018-05-06,49.0
2018-05-13,55.0
2018-05-20,55.0
2018-05-27,57.0
2018-06-03,57.0
2018-06-10,58.0
2018-06-17,58.0
2018-06-24,61.0
2018-07-01,63.0
2018-07-08,68.0
2018-07-15,69.0
2018-07-22,64.0
2018-07-29,65.0
2018-08-05,66.0
2018-08-12,68.0
2018-08-19,71.0
2018-08-26,71.0
2018-09-02,74.0
2018-09-09,68.0
2018-09-16,68.0
2018-09-23,68.0
2018-09-30,64.0
2018-10-07,68.0
2018-10-14,63.0
2018-10-21,69.0
2018-10-28,66.0
2018-11-04,56.0
2018-11-11,61.0
2018-11-18,58.0
2018-11-25,64.0
2018-12-02,70.0
2018-12-09,66.0
2018-12-16,65.0
2018-12-23,64.0
2018-12-30,59.0
2019-01-06,58.0
2019-01-13,56.0
2019-01-20,60.0
2019-01-27,58.0
2019-02-03,54.0
2019-02-10,63.0
2019-02-17,61.0
2019-02-24,55.0
2019-03-03,54.0
2019-03-10,57.0
2019-03-17,53.0
2019-03-24,55.0
2019-03-31,52.0
2019-04-07,47.0
2019-04-14,46.0
2019-04-21,50.0
2019-04-28,47.0
2019-05-05,50.0
2019-05-12,47.0
2019-05-19,51.0
2019-05-26,56.0
2019-06-02,55.0
2019-06-09,51.0
2019-06-16,50.0
2019-06-23,55.0
2019-06-30,50.0
2019-07-07,52.0
2019-07-14,55.0
2019-07-21,57.0
2019-07-28,54.0
2019-08-04,49.0
2019-08-11,44.0
2019-08-18,50.0
2019-08-25,53.0
2019-09-01,54.0
2019-09-08,57.0
2019-09-15,52.0
2019-09-22,46.0
2019-09-29,48.0
2019-10-06,45.0
2019-10-13,48.0
2019-10-20,43.0
2019-10-27,40.0
2019-11-03,45.0
2019-11-10,42.0
2019-11-17,45.0
2019-11-24,42.0
2019-12-01,43.0
2019-12-08,43.0
2019-12-15,46.0
2019-12-22,45.0
2019-12-29,45.0
2020-01-05,46.022498803255154
2020-01-12,39.718046912398286
2020-01-19,43.500718046912404
2020-01-26,42.87027285782672
2020-02-02,41.609382479655345
2020-02-09,39.718046912398286
2020-02-16,39.087601723312595
2020-02-23,41.609382479655345
2020-03-01,40.978937290569654
2020-03-08,39.718046912398286
2020-03-15,38.45715653422691
2020-03-22,32.78314983245573
2020-03-29,32.78314983245573
2020-04-05,33.41359502154141
2020-04-12,35.30493058879847
2020-04-19,32.78314983245573
2020-04-26,31.522259454284352
2020-05-03,33.41359502154141
2020-05-10,33.41359502154141
2020-05-17,32.78314983245573
2020-05-24,34.0440402106271
2020-05-31,37.82671134514122
2020-06-07,35.93537577788416
2020-06-14,34.0440402106271
2020-06-21,35.30493058879847
2020-06-28,36.565820966969845
2020-07-05,40.34849210148397
2020-07-12,37.82671134514122
2020-07-19,38.45715653422691
2020-07-26,42.23982766874103
2020-08-02,41.609382479655345
2020-08-09,45.39205361416947
2020-08-16,43.500718046912404
2020-08-23,39.718046912398286
2020-08-30,40.978937290569654
2020-09-06,43.500718046912404
2020-09-13,55.479176639540455
2020-09-20,40.978937290569654
2020-09-27,39.087601723312595
2020-10-04,37.196266156055536
2020-10-11,40.34849210148397
2020-10-18,37.82671134514122
2020-10-25,35.93537577788416
2020-11-01,35.30493058879847
2020-11-08,32.78314983245573
2020-11-15,34.0440402106271
2020-11-22,42.23982766874103
2020-11-29,36.565820966969845
2020-12-06,40.978937290569654
2020-12-13,42.87027285782672
2020-12-20,44.76160842508378
2020-12-27,41.609382479655345
2021-01-03,40.34849210148397
2021-01-10,36.565820966969845
2021-01-17,39.087601723312595
2021-01-24,37.196266156055536
2021-01-31,37.82671134514122
2021-02-07,39.718046912398286
2021-02-14,40.978937290569654
2021-02-21,42.23982766874103
2021-02-28,40.978937290569654
2021-03-07,37.196266156055536
2021-03-14,40.978937290569654
2021-03-21,39.087601723312595
2021-03-28,36.565820966969845
2021-04-04,40.34849210148397
2021-04-11,35.30493058879847
2021-04-18,33.41359502154141
2021-04-25,32.78314983245573
2021-05-02,32.152704643370036
2021-05-09,35.93537577788416
2021-05-16,35.30493058879847
2021-05-23,34.674485399712786
2021-05-30,37.196266156055536
2021-06-06,39.087601723312595
2021-06-13,39.718046912398286
2021-06-20,39.718046912398286
2021-06-27,39.087601723312595
2021-07-04,39.087601723312595
2021-07-11,42.23982766874103
2021-07-18,40.34849210148397
2021-07-25,42.23982766874103
2021-08-01,43.500718046912404
2021-08-08,42.23982766874103
2021-08-15,40.34849210148397
2021-08-22,40.34849210148397
2021-08-29,37.82671134514122
2021-09-05,41.609382479655345
2021-09-12,48.5442795595979
2021-09-19,42.87027285782672
2021-09-26,42.23982766874103
2021-10-03,41.609382479655345
2021-10-10,35.93537577788416
2021-10-17,39.718046912398286
2021-10-24,39.718046912398286
2021-10-31,34.0440402106271
2021-11-07,38.45715653422691
2021-11-14,38.45715653422691
2021-11-21,37.82671134514122
2021-11-28,41.609382479655345
2021-12-05,39.087601723312595
2021-12-12,42.23982766874103
2021-12-19,44.131163235998095
2021-12-26,49.80516993776928
2022-01-02,46.022498803255154
2022-01-09,41.609382479655345
2022-01-16,39.087601723312595
2022-01-23,39.087601723312595
2022-01-30,41.609382479655345
2022-02-06,38.45715653422691
2022-02-13,42.23982766874103
2022-02-20,44.131163235998095
2022-02-27,42.23982766874103
2022-03-06,41.609382479655345
2022-03-13,37.82671134514122
2022-03-20,45.39205361416947
2022-03-27,40.34849210148397
2022-04-03,42.87027285782672
2022-04-10,43.500718046912404
2022-04-17,40.978937290569654
2022-04-24,42.23982766874103
2022-05-01,41.609382479655345
2022-05-08,42.23982766874103
2022-05-15,43.500718046912404
2022-05-22,43.500718046912404
2022-05-29,44.131163235998095
2022-06-05,43.500718046912404
2022-06-12,46.65294399234084
2022-06-19,44.131163235998095
2022-06-26,46.65294399234084
2022-07-03,45.39205361416947
2022-07-10,46.022498803255154
2022-07-17,46.022498803255154
2022-07-24,45.39205361416947
2022-07-31,47.28338918142653
2022-08-07,43.500718046912404
2022-08-14,46.65294399234084
2022-08-21,46.022498803255154
2022-08-28,44.76160842508378
2022-09-04,48.5442795595979
2022-09-11,48.5442795595979
2022-09-18,47.28338918142653
2022-09-25,47.28338918142653
2022-10-02,47.91383437051221
2022-10-09,47.28338918142653
2022-10-16,42.87027285782672
2022-10-23,35.93537577788416
2022-10-30,46.022498803255154
2022-11-06,42.87027285782672
2022-11-13,42.87027285782672
2022-11-20,40.978937290569654
2022-11-27,40.978937290569654
2022-12-04,42.23982766874103
2022-12-11,44.76160842508378
2022-12-18,47.28338918142653
2022-12-25,47.91383437051221
2023-01-01,46.65294399234084
2023-01-08,45.39205361416947
2023-01-15,43.500718046912404
2023-01-22,44.131163235998095
2023-01-29,46.022498803255154
2023-02-05,42.87027285782672
2023-02-12,43.500718046912404
2023-02-19,43.500718046912404
2023-02-26,44.131163235998095
2023-03-05,46.022498803255154
2023-03-12,52.95739588319771
2023-03-19,44.131163235998095
2023-03-26,44.76160842508378
2023-04-02,47.28338918142653
2023-04-09,43.500718046912404
2023-04-16,41.609382479655345
2023-04-23,42.87027285782672
2023-04-30,42.23982766874103
2023-05-07,43.500718046912404
2023-05-14,44.76160842508378
2023-05-21,44.76160842508378
2023-05-28,46.65294399234084
2023-06-04,45.39205361416947
2023-06-11,46.65294399234084
2023-06-18,47.28338918142653
2023-06-25,45.39205361416947
2023-07-02,44.131163235998095
2023-07-09,46.65294399234084
2023-07-16,45.39205361416947
2023-07-23,47.28338918142653
2023-07-30,47.28338918142653
2023-08-06,45.39205361416947
2023-08-13,43.500718046912404
2023-08-20,46.65294399234084
2023-08-27,43.500718046912404
2023-09-03,45.39205361416947
2023-09-10,46.022498803255154
2023-09-17,47.28338918142653
2023-09-24,44.76160842508378
2023-10-01,40.978937290569654
2023-10-08,42.87027285782672
2023-10-15,42.23982766874103
2023-10-22,37.82671134514122
2023-10-29,42.23982766874103
2023-11-05,42.23982766874103
2023-11-12,35.93537577788416
2023-11-19,41.609382479655345
2023-11-26,44.131163235998095
2023-12-03,44.131163235998095
2023-12-10,44.131163235998095
2023-12-17,44.76160842508378
2023-12-24,46.022498803255154
2023-12-31,45.39205361416947
2024-01-07,41.134485812743485
2024-01-14,38.84923660092441
2024-01-21,37.135299692060094
2024-01-28,42.8484227216078
2024-02-04,44.56235963047211
2024-02-11,39.991861206833946
2024-02-18,40.56317350978872
2024-02-25,40.56317350978872
2024-03-03,41.134485812743485
2024-03-10,41.134485812743485
2024-03-17,41.134485812743485
2024-03-24,35.99267508615055
2024-03-31,41.134485812743485
2024-04-07,38.27792429796963
2024-04-14,39.42054890387917
2024-04-21,40.56317350978872
2024-04-28,42.27711041865303
2024-05-05,39.991861206833946
2024-05-12,41.134485812743485
2024-05-19,39.991861206833946
2024-05-26,41.70579811569826
2024-06-02,41.70579811569826
2024-06-09,45.70498423638165
2024-06-16,45.13367193342688
2024-06-23,45.70498423638165
2024-06-30,45.13367193342688
2024-07-07,45.70498423638165
2024-07-14,43.41973502456257
2024-07-21,42.8484227216078
2024-07-28,42.27711041865303
2024-08-04,42.8484227216078
2024-08-11,42.8484227216078
2024-08-18,42.27711041865303
2024-08-25,41.134485812743485
2024-09-01,41.134485812743485
2024-09-08,39.991861206833946
2024-09-15,41.70579811569826
2024-09-22,45.13367193342688
2024-09-29,39.991861206833946
2024-10-06,35.99267508615055
2024-10-13,37.70661199501486
2024-10-20,39.991861206833946
2024-10-27,34.278738177286236
2024-11-03,38.27792429796963
2024-11-10,41.134485812743485
2024-11-17,39.991861206833946
2024-11-24,39.42054890387917
2024-12-01,39.42054890387917
2024-12-08,42.27711041865303
2024-12-15,40.56317350978872
2024-12-22,47.41892114524596
2024-12-29,43.41973502456257
2025-01-05,42.8484227216078
2025-01-12,41.134485812743485
2025-01-19,42.27711041865303
2025-01-26,42.8484227216078
2025-02-02,41.70579811569826
2025-02-09,40.56317350978872
2025-02-16,44.56235963047211
2025-02-23,40.56317350978872
2025-03-02,40.56317350978872
2025-03-09,38.84923660092441
2025-03-16,46.847608842291194
2025-03-23,43.41973502456257
2025-03-30,43.41973502456257
2025-04-06,43.41973502456257
2025-04-13,42.27711041865303
2025-04-20,55.98860568956752
2025-04-27,57.13123029547707
2025-05-04,46.27629653933642
2025-05-11,43.99104732751734
2025-05-18,46.27629653933642
2025-05-25,45.70498423638165
2025-06-01,46.847608842291194
2025-06-08,47.99023344820073
2025-06-15,46.27629653933642
2025-06-22,47.41892114524596
2025-06-29,48.561545751155506
2025-07-06,43.99104732751734
2025-07-13,46.847608842291194
2025-07-20,45.13367193342688
2025-07-27,45.13367193342688
2025-08-03,45.13367193342688
2025-08-10,43.41973502456257
2025-08-17,47.99023344820073
2025-08-24,43.99104732751734
2025-08-31,41.70579811569826
2025-09-07,46.27629653933642
2025-09-14,45.13367193342688
2025-09-21,45.70498423638165
2025-09-28,38.27792429796963
2025-10-05,41.70579811569826
2025-10-12,42.8484227216078
2025-10-19,33.1361135713767
2025-10-26,43.99104732751734
2025-11-02,43.41973502456257
2025-11-09,42.8484227216078
2025-11-16,45.13367193342688
2025-11-23,45.13367193342688
2025-11-30,53.13204417479367
2025-12-07,47.99023344820073
2025-12-14,46.27629653933642
2025-12-21,42.27711041865303
2025-12-28,43.41973502456257
2026-01-04,44.56235963047211
