,Insurance
2014-12-28,49.0
2015-01-04,45.0
2015-01-11,47.0
2015-01-18,53.0
2015-01-25,52.0
2015-02-01,49.0
2015-02-08,62.0
2015-02-15,55.0
2015-02-22,69.0
2015-03-01,55.0
2015-03-08,68.0
2015-03-15,62.0
2015-03-22,70.0
2015-03-29,53.0
2015-04-05,56.0
2015-04-12,35.0
2015-04-19,53.0
2015-04-26,59.0
2015-05-03,64.0
2015-05-10,59.0
2015-05-17,58.0
2015-05-24,60.0
2015-05-31,57.0
2015-06-07,64.0
2015-06-14,63.0
2015-06-21,64.0
2015-06-28,62.0
2015-07-05,62.0
2015-07-12,61.0
2015-07-19,62.0
2015-07-26,59.0
2015-08-02,61.0
2015-08-09,65.0
2015-08-16,55.0
2015-08-23,54.0
2015-08-30,53.0
2015-09-06,63.0
2015-09-13,64.0
2015-09-20,62.0
2015-09-27,67.0
2015-10-04,69.0
2015-10-11,57.0
2015-10-18,57.0
2015-10-25,58.0
2015-11-01,57.0
2015-11-08,59.0
2015-11-15,63.0
2015-11-22,58.0
2015-11-29,65.0
2015-12-06,59.0
2015-12-13,64.0
2015-12-20,53.0
2015-12-27,69.0
2016-01-03,65.0
2016-01-10,62.0
2016-01-17,59.0
2016-01-24,62.0
2016-01-31,63.0
2016-02-07,85.0
2016-02-14,93.0
2016-02-21,71.0
2016-02-28,73.0
2016-03-06,65.0
2016-03-13,53.0
2016-03-20,64.0
2016-03-27,69.0
2016-04-03,59.0
2016-04-10,37.0
2016-04-17,52.0
2016-04-24,71.0
2016-05-01,67.0
2016-05-08,62.0
2016-05-15,59.0
2016-05-22,63.0
2016-05-29,72.0
2016-06-05,61.0
2016-06-12,67.0
2016-06-19,68.0
2016-06-26,76.0
2016-07-03,68.0
2016-07-10,68.0
2016-07-17,73.0
2016-07-24,71.0
2016-07-31,74.0
2016-08-07,73.0
2016-08-14,64.0
2016-08-21,69.0
2016-08-28,64.0
2016-09-04,65.0
2016-09-11,64.0
2016-09-18,62.0
2016-09-25,71.0
2016-10-02,65.0
2016-10-09,64.0
2016-10-16,62.0
2016-10-23,61.0
2016-10-30,75.0
2016-11-06,64.0
2016-11-13,68.0
2016-11-20,64.0
2016-11-27,62.0
2016-12-04,71.0
2016-12-11,59.0
2016-12-18,72.0
2016-12-25,73.0
2017-01-01,69.0
2017-01-08,55.0
2017-01-15,68.0
2017-01-22,63.0
2017-01-29,68.0
2017-02-05,57.0
2017-02-12,67.0
2017-02-19,64.0
2017-02-26,68.0
2017-03-05,71.0
2017-03-12,77.0
2017-03-19,71.0
2017-03-26,74.0
2017-04-02,58.0
2017-04-09,35.0
2017-04-16,69.0
2017-04-23,78.0
2017-04-30,77.0
2017-05-07,62.0
2017-05-14,70.0
2017-05-21,70.0
2017-05-28,72.0
2017-06-04,67.0
2017-06-11,72.0
2017-06-18,68.0
2017-06-25,71.0
2017-07-02,73.0
2017-07-09,80.0
2017-07-16,72.0
2017-07-23,67.0
2017-07-30,74.0
2017-08-06,70.0
2017-08-13,70.0
2017-08-20,65.0
2017-08-27,63.0
2017-09-03,62.0
2017-09-10,68.0
2017-09-17,69.0
2017-09-24,80.0
2017-10-01,61.0
2017-10-08,69.0
2017-10-15,66.0
2017-10-22,81.0
2017-10-29,76.0
2017-11-05,69.0
2017-11-12,72.0
2017-11-19,66.0
2017-11-26,64.0
2017-12-03,73.0
2017-12-10,67.0
2017-12-17,80.0
2017-12-24,71.0
2017-12-31,63.0
2018-01-07,80.0
2018-01-14,65.0
2018-01-21,70.0
2018-01-28,75.0
2018-02-04,70.0
2018-02-11,69.0
2018-02-18,70.0
2018-02-25,70.0
2018-03-04,69.0
