,Photo & Video Services
2020-05-24,69.48192276088744
2020-05-31,82.40879211175022
2020-06-07,75.94535743631883
2020-06-14,71.09778142974528
2020-06-21,82.40879211175022
2020-06-28,71.09778142974528
2020-07-05,84.02465078060806
2020-07-12,72.71364009860314
2020-07-19,77.56121610517667
2020-07-26,80.79293344289236
2020-08-02,69.48192276088744
2020-08-09,71.09778142974528
2020-08-16,66.25020542317174
2020-08-23,74.32949876746098
2020-08-30,84.02465078060806
2020-09-06,74.32949876746098
2020-09-13,75.94535743631883
2020-09-20,74.32949876746098
2020-09-27,72.71364009860314
2020-10-04,56.555053410024655
2020-10-11,74.32949876746098
2020-10-18,75.94535743631883
2020-10-25,74.32949876746098
2020-11-01,67.86606409202959
2020-11-08,72.71364009860314
2020-11-15,71.09778142974528
2020-11-22,74.32949876746098
2020-11-29,71.09778142974528
2020-12-06,72.71364009860314
2020-12-13,69.48192276088744
2020-12-20,58.1709120788825
2020-12-27,85.64050944946591
2021-01-03,80.79293344289236
2021-01-10,66.25020542317174
2021-01-17,77.56121610517667
2021-01-24,71.09778142974528
2021-01-31,77.56121610517667
2021-02-07,75.94535743631883
2021-02-14,75.94535743631883
2021-02-21,69.48192276088744
2021-02-28,72.71364009860314
2021-03-07,92.1039441248973
2021-03-14,75.94535743631883
2021-03-21,74.32949876746098
2021-03-28,77.56121610517667
2021-04-04,72.71364009860314
2021-04-11,59.78677074774035
2021-04-18,95.33566146261299
2021-04-25,84.02465078060806
2021-05-02,93.71980279375515
2021-05-09,100.18323746918654
2021-05-16,82.40879211175022
2021-05-23,82.40879211175022
2021-05-30,93.71980279375515
2021-06-06,96.95152013147084
2021-06-13,90.48808545603946
2021-06-20,93.71980279375515
2021-06-27,98.56737880032868
2021-07-04,87.25636811832376
2021-07-11,82.40879211175022
2021-07-18,88.8722267871816
2021-07-25,69.48192276088744
2021-08-01,85.64050944946591
2021-08-08,80.79293344289236
2021-08-15,82.40879211175022
2021-08-22,92.1039441248973
2021-08-29,84.02465078060806
2021-09-05,92.1039441248973
2021-09-12,90.48808545603946
2021-09-19,100.18323746918654
2021-09-26,109.87838948233362
2021-10-03,98.56737880032868
2021-10-10,95.33566146261299
2021-10-17,79.17707477403452
2021-10-24,96.95152013147084
2021-10-31,98.56737880032868
2021-11-07,98.56737880032868
2021-11-14,72.71364009860314
2021-11-21,85.64050944946591
2021-11-28,87.25636811832376
2021-12-05,72.71364009860314
2021-12-12,79.17707477403452
2021-12-19,75.94535743631883
2021-12-26,90.48808545603946
2022-01-02,119.5735414954807
2022-01-09,116.341824157765
2022-01-16,88.8722267871816
2022-01-23,108.26253081347578
2022-01-30,130.88455217748563
2022-02-06,113.11010682004931
2022-02-13,121.18940016433855
2022-02-20,108.26253081347578
2022-02-27,119.5735414954807
2022-03-06,113.11010682004931
2022-03-13,116.341824157765
2022-03-20,126.0369761709121
2022-03-27,100.18323746918654
2022-04-03,106.64667214461792
2022-04-10,82.40879211175022
2022-04-17,121.18940016433855
2022-04-24,126.0369761709121
2022-05-01,127.65283483976994
2022-05-08,105.03081347576008
2022-05-15,116.341824157765
2022-05-22,135.73212818405918
2022-05-29,135.73212818405918
2022-06-05,134.11626951520134
2022-06-12,126.0369761709121
2022-06-19,138.96384552177489
2022-06-26,119.5735414954807
2022-07-03,127.65283483976994
2022-07-10,124.42111750205424
2022-07-17,137.34798685291702
2022-07-24,121.18940016433855
2022-07-31,124.42111750205424
2022-08-07,124.42111750205424
2022-08-14,132.50041084634347
2022-08-21,143.8114215283484
2022-08-28,122.8052588331964
2022-09-04,134.11626951520134
2022-09-11,135.73212818405918
2022-09-18,129.2686935086278
