,Apparel
2014-12-28,57.0
2015-01-04,52.0
2015-01-11,54.0
2015-01-18,54.0
2015-01-25,51.0
2015-02-01,56.0
2015-02-08,61.0
2015-02-15,61.0
2015-02-22,58.0
2015-03-01,63.0
2015-03-08,61.0
2015-03-15,63.0
2015-03-22,62.0
2015-03-29,63.0
2015-04-05,65.0
2015-04-12,51.0
2015-04-19,60.0
2015-04-26,59.0
2015-05-03,60.0
2015-05-10,64.0
2015-05-17,72.0
2015-05-24,63.0
2015-05-31,64.0
2015-06-07,71.0
2015-06-14,62.0
2015-06-21,66.0
2015-06-28,66.0
2015-07-05,70.0
2015-07-12,70.0
2015-07-19,77.0
2015-07-26,69.0
2015-08-02,76.0
2015-08-09,75.0
2015-08-16,73.0
2015-08-23,71.0
2015-08-30,70.0
2015-09-06,67.0
2015-09-13,68.0
2015-09-20,68.0
2015-09-27,65.0
2015-10-04,72.0
2015-10-11,66.0
2015-10-18,71.0
2015-10-25,70.0
2015-11-01,69.0
2015-11-08,74.0
2015-11-15,72.0
2015-11-22,71.0
2015-11-29,72.0
2015-12-06,77.0
2015-12-13,80.0
2015-12-20,76.0
2015-12-27,77.0
2016-01-03,75.0
2016-01-10,74.0
2016-01-17,76.0
2016-01-24,71.0
2016-01-31,70.0
2016-02-07,76.0
2016-02-14,78.0
2016-02-21,75.0
2016-02-28,78.0
2016-03-06,79.0
2016-03-13,72.0
2016-03-20,75.0
2016-03-27,75.0
2016-04-03,75.0
2016-04-10,53.0
2016-04-17,75.0
2016-04-24,80.0
2016-05-01,88.0
2016-05-08,85.0
2016-05-15,73.0
2016-05-22,81.0
2016-05-29,81.0
2016-06-05,84.0
2016-06-12,88.0
2016-06-19,87.0
2016-06-26,85.0
2016-07-03,91.0
2016-07-10,90.0
2016-07-17,87.0
2016-07-24,91.0
2016-07-31,93.0
2016-08-07,94.0
2016-08-14,95.0
2016-08-21,95.0
2016-08-28,93.0
2016-09-04,92.0
2016-09-11,84.0
2016-09-18,85.0
2016-09-25,88.0
2016-10-02,87.0
2016-10-09,89.0
2016-10-16,93.0
2016-10-23,92.0
2016-10-30,93.0
2016-11-06,87.0
2016-11-13,92.0
2016-11-20,95.0
2016-11-27,91.0
2016-12-04,94.0
2016-12-11,93.0
2016-12-18,100.0
2016-12-25,96.0
2017-01-01,89.0
2017-01-08,86.0
2017-01-15,86.0
2017-01-22,86.0
2017-01-29,84.0
2017-02-05,80.0
2017-02-12,82.0
2017-02-19,88.0
2017-02-26,87.0
2017-03-05,86.0
2017-03-12,86.0
2017-03-19,87.0
2017-03-26,86.0
2017-04-02,86.0
2017-04-09,69.0
2017-04-16,80.0
2017-04-23,83.0
2017-04-30,85.0
2017-05-07,82.0
2017-05-14,87.0
2017-05-21,85.0
2017-05-28,82.0
2017-06-04,92.0
2017-06-11,91.0
2017-06-18,81.0
2017-06-25,82.0
2017-07-02,86.0
2017-07-09,91.0
2017-07-16,92.0
2017-07-23,83.0
2017-07-30,87.0
2017-08-06,88.0
2017-08-13,93.0
2017-08-20,95.0
2017-08-27,87.0
2017-09-03,87.0
2017-09-10,82.0
2017-09-17,85.0
2017-09-24,89.0
2017-10-01,88.0
2017-10-08,94.0
2017-10-15,90.0
2017-10-22,89.0
2017-10-29,90.0
2017-11-05,91.0
2017-11-12,93.0
2017-11-19,91.0
2017-11-26,90.0
2017-12-03,88.0
2017-12-10,91.0
2017-12-17,100.0
2017-12-24,89.0
2017-12-31,82.0
2018-01-07,87.0
2018-01-14,85.0
2018-01-21,82.0
2018-01-28,81.0
2018-02-04,82.0
