,Birthday
2020-05-24,63.95618556701031
2020-05-31,75.83376288659794
2020-06-07,71.26546391752576
2020-06-14,74.9201030927835
2020-06-21,78.57474226804123
2020-06-28,63.95618556701031
2020-07-05,69.4381443298969
2020-07-12,64.86984536082474
2020-07-19,68.52448453608247
2020-07-26,62.128865979381445
2020-08-02,61.215206185567006
2020-08-09,63.04252577319588
2020-08-16,63.95618556701031
2020-08-23,58.47422680412371
2020-08-30,67.61082474226804
2020-09-06,63.95618556701031
2020-09-13,61.215206185567006
2020-09-20,57.56056701030928
2020-09-27,63.95618556701031
2020-10-04,58.47422680412371
2020-10-11,65.78350515463917
2020-10-18,64.86984536082474
2020-10-25,66.6971649484536
2020-11-01,72.17912371134021
2020-11-08,66.6971649484536
2020-11-15,70.35180412371133
2020-11-22,67.61082474226804
2020-11-29,70.35180412371133
2020-12-06,67.61082474226804
2020-12-13,65.78350515463917
2020-12-20,71.26546391752576
2020-12-27,65.78350515463917
2021-01-03,70.35180412371133
2021-01-10,64.86984536082474
2021-01-17,60.301546391752574
2021-01-24,62.128865979381445
2021-01-31,63.95618556701031
2021-02-07,62.128865979381445
2021-02-14,63.04252577319588
2021-02-21,68.52448453608247
2021-02-28,63.95618556701031
2021-03-07,60.301546391752574
2021-03-14,60.301546391752574
2021-03-21,56.646907216494846
2021-03-28,58.47422680412371
2021-04-04,61.215206185567006
2021-04-11,55.733247422680414
2021-04-18,57.56056701030928
2021-04-25,57.56056701030928
2021-05-02,52.07860824742268
2021-05-09,60.301546391752574
2021-05-16,59.38788659793814
2021-05-23,68.52448453608247
2021-05-30,68.52448453608247
2021-06-06,69.4381443298969
2021-06-13,73.09278350515464
2021-06-20,65.78350515463917
2021-06-27,63.95618556701031
2021-07-04,61.215206185567006
2021-07-11,61.215206185567006
2021-07-18,60.301546391752574
2021-07-25,63.95618556701031
2021-08-01,56.646907216494846
2021-08-08,55.733247422680414
2021-08-15,56.646907216494846
2021-08-22,65.78350515463917
2021-08-29,75.83376288659794
2021-09-05,78.57474226804123
2021-09-12,77.6610824742268
2021-09-19,69.4381443298969
2021-09-26,67.61082474226804
2021-10-03,65.78350515463917
2021-10-10,73.09278350515464
2021-10-17,63.95618556701031
2021-10-24,60.301546391752574
2021-10-31,63.95618556701031
2021-11-07,67.61082474226804
2021-11-14,61.215206185567006
2021-11-21,57.56056701030928
2021-11-28,64.86984536082474
2021-12-05,61.215206185567006
