,Mass Merchants & Department Stores
2014-12-28,0.0
2015-01-04,54.0
2015-01-11,39.0
2015-01-18,58.0
2015-01-25,54.0
2015-02-01,64.0
2015-02-08,58.0
2015-02-15,55.0
2015-02-22,72.0
2015-03-01,0.0
2015-03-08,71.0
2015-03-15,42.0
2015-03-22,72.0
2015-03-29,57.0
2015-04-05,54.0
2015-04-12,64.0
2015-04-19,68.0
2015-04-26,51.0
2015-05-03,44.0
2015-05-10,0.0
2015-05-17,66.0
2015-05-24,74.0
2015-05-31,47.0
2015-06-07,51.0
2015-06-14,0.0
2015-06-21,67.0
2015-06-28,64.0
2015-07-05,64.0
2015-07-12,60.0
2015-07-19,74.0
2015-07-26,87.0
2015-08-02,56.0
2015-08-09,58.0
2015-08-16,63.0
2015-08-23,57.0
2015-08-30,37.0
2015-09-06,66.0
2015-09-13,74.0
2015-09-20,44.0
2015-09-27,51.0
2015-10-04,43.0
2015-10-11,47.0
2015-10-18,100.0
2015-10-25,89.0
2015-11-01,70.0
2015-11-08,53.0
2015-11-15,54.0
2015-11-22,35.0
2015-11-29,90.0
2015-12-06,73.0
2015-12-13,83.0
2015-12-20,50.0
2015-12-27,51.0
2016-01-03,49.0
2016-01-10,73.0
2016-01-17,67.0
2016-01-24,64.0
2016-01-31,52.0
2016-02-07,61.0
2016-02-14,79.0
2016-02-21,77.0
2016-02-28,84.0
2016-03-06,53.0
2016-03-13,57.0
2016-03-20,70.0
2016-03-27,41.0
2016-04-03,69.0
2016-04-10,68.0
2016-04-17,63.0
2016-04-24,75.0
2016-05-01,40.0
2016-05-08,54.0
2016-05-15,83.0
2016-05-22,56.0
2016-05-29,47.0
2016-06-05,55.0
2016-06-12,0.0
2016-06-19,52.0
2016-06-26,44.0
2016-07-03,43.0
2016-07-10,53.0
2016-07-17,66.0
2016-07-24,48.0
2016-07-31,42.0
2016-08-07,57.0
2016-08-14,56.0
2016-08-21,72.0
2016-08-28,0.0
2016-09-04,83.0
2016-09-11,51.0
2016-09-18,39.0
2016-09-25,0.0
2016-10-02,40.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,44.0
2016-11-27,0.0
2016-12-04,0.0
2016-12-11,36.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,37.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,44.0
2017-02-12,51.0
2017-02-19,61.0
2017-02-26,60.0
2017-03-05,56.0
2017-03-12,49.0
2017-03-19,35.0
2017-03-26,85.0
2017-04-02,46.0
2017-04-09,68.0
2017-04-16,0.0
2017-04-23,75.0
2017-04-30,50.0
2017-05-07,0.0
2017-05-14,61.0
2017-05-21,0.0
2017-05-28,51.0
2017-06-04,64.0
2017-06-11,65.0
2017-06-18,46.0
2017-06-25,0.0
2017-07-02,53.0
2017-07-09,39.0
2017-07-16,37.0
2017-07-23,0.0
2017-07-30,64.0
2017-08-06,0.0
2017-08-13,0.0
2017-08-20,46.0
2017-08-27,56.0
2017-09-03,48.0
2017-09-10,42.0
2017-09-17,51.0
2017-09-24,44.0
2017-10-01,37.0
2017-10-08,38.0
2017-10-15,53.0
2017-10-22,43.0
2017-10-29,62.0
2017-11-05,76.0
2017-11-12,53.0
2017-11-19,68.0
2017-11-26,94.0
2017-12-03,69.0
2017-12-10,79.0
2017-12-17,81.0
2017-12-24,86.0
2017-12-31,63.0
2018-01-07,54.0
2018-01-14,56.0
2018-01-21,50.0
2018-01-28,48.0
2018-02-04,64.0
2018-02-11,64.0
2018-02-18,36.0
2018-02-25,59.0
2018-03-04,54.0
2018-03-11,66.0
2018-03-18,32.0
2018-03-25,80.0
2018-04-01,67.0
2018-04-08,53.0
2018-04-15,44.0
2018-04-22,59.0
2018-04-29,58.0
2018-05-06,46.0
2018-05-13,92.0
2018-05-20,60.0
2018-05-27,58.0
2018-06-03,72.0
2018-06-10,36.0
2018-06-17,0.0
2018-06-24,50.0
2018-07-01,47.0
2018-07-08,46.0
2018-07-15,56.0
2018-07-22,67.0
2018-07-29,67.0
2018-08-05,44.0
2018-08-12,70.0
2018-08-19,58.0
2018-08-26,52.0
2018-09-02,70.0
2018-09-09,65.0
2018-09-16,49.0
2018-09-23,66.0
2018-09-30,63.0
2018-10-07,76.0
2018-10-14,50.0
2018-10-21,80.0
2018-10-28,98.0
2018-11-04,70.0
2018-11-11,57.0
2018-11-18,85.0
2018-11-25,84.0
2018-12-02,56.0
2018-12-09,71.0
2018-12-16,46.0
2018-12-23,92.0
2018-12-30,78.0
2019-01-06,64.0
2019-01-13,87.0
2019-01-20,79.0
2019-01-27,72.0
2019-02-03,75.0
2019-02-10,71.0
2019-02-17,56.0
2019-02-24,67.0
2019-03-03,84.0
2019-03-10,71.0
2019-03-17,83.0
2019-03-24,61.0
2019-03-31,79.0
2019-04-07,42.0
2019-04-14,54.0
2019-04-21,69.0
2019-04-28,43.0
2019-05-05,59.0
2019-05-12,75.0
2019-05-19,53.0
2019-05-26,96.0
2019-06-02,58.0
2019-06-09,66.0
2019-06-16,63.0
2019-06-23,59.0
2019-06-30,77.0
2019-07-07,59.0
2019-07-14,73.0
2019-07-21,66.0
2019-07-28,84.0
2019-08-04,69.0
2019-08-11,53.0
2019-08-18,80.0
2019-08-25,54.0
2019-09-01,42.0
2019-09-08,59.0
2019-09-15,58.0
2019-09-22,83.0
2019-09-29,53.0
2019-10-06,60.0
2019-10-13,80.0
2019-10-20,54.0
2019-10-27,64.0
2019-11-03,85.0
2019-11-10,63.0
2019-11-17,83.0
2019-11-24,56.0
2019-12-01,76.0
2019-12-08,78.0
2019-12-15,89.0
2019-12-22,76.0
2019-12-29,87.0
2020-01-05,83.5716492854384
2020-01-12,63.021243723445345
2020-01-19,56.17110853611433
2020-01-26,58.911162611046734
2020-02-02,63.021243723445345
2020-02-09,86.3117033603708
2020-02-16,78.09154113557358
2020-02-23,83.5716492854384
2020-03-01,52.06102742371572
2020-03-08,67.13132483584396
2020-03-15,46.58091927385091
2020-03-22,31.510621861722672
2020-03-29,47.95094631131711
2020-04-05,46.58091927385091
2020-04-12,83.5716492854384
2020-04-19,69.87137891077636
2020-04-26,42.4708381614523
2020-05-03,54.801081498648124
2020-05-10,46.58091927385091
2020-05-17,52.06102742371572
2020-05-24,60.281189648512935
2020-05-31,71.24140594824256
2020-06-07,58.911162611046734
2020-06-14,56.17110853611433
2020-06-21,41.10081112398609
2020-06-28,43.8408651989185
2020-07-05,68.50135187331016
2020-07-12,80.83159521050598
2020-07-19,49.32097334878331
2020-07-26,72.61143298570876
2020-08-02,100.01197373503283
2020-08-09,68.50135187331016
2020-08-16,57.54113557358053
2020-08-23,38.36075704905369
2020-08-30,42.4708381614523
2020-09-06,49.32097334878331
2020-09-13,60.281189648512935
2020-09-20,52.06102742371572
2020-09-27,53.43105446118192
2020-10-04,47.95094631131711
2020-10-11,57.54113557358053
2020-10-18,71.24140594824256
2020-10-25,56.17110853611433
2020-11-01,72.61143298570876
2020-11-08,78.09154113557358
2020-11-15,61.65121668597914
2020-11-22,46.58091927385091
2020-11-29,61.65121668597914
2020-12-06,58.911162611046734
2020-12-13,73.98146002317498
2020-12-20,116.45229818462727
2020-12-27,105.49208188489764
2021-01-03,72.61143298570876
2021-01-10,58.911162611046734
2021-01-17,58.911162611046734
2021-01-24,123.30243337195829
2021-01-31,64.39127076091155
2021-02-07,60.281189648512935
2021-02-14,67.13132483584396
2021-02-21,72.61143298570876
2021-02-28,65.76129779837775
2021-03-07,80.83159521050598
2021-03-14,94.53186558516802
2021-03-21,63.021243723445345
2021-03-28,101.38200077249903
2021-04-04,71.24140594824256
2021-04-11,79.46156817303978
2021-04-18,105.49208188489764
2021-04-25,67.13132483584396
2021-05-02,68.50135187331016
2021-05-09,82.20162224797218
2021-05-16,98.64194669756662
2021-05-23,89.0517574353032
2021-05-30,94.53186558516802
2021-06-06,101.38200077249903
2021-06-13,67.13132483584396
2021-06-20,93.16183854770182
2021-06-27,115.08227114716107
2021-07-04,86.3117033603708
2021-07-11,72.61143298570876
2021-07-18,98.64194669756662
2021-07-25,98.64194669756662
2021-08-01,83.5716492854384
2021-08-08,117.82232522209347
2021-08-15,97.27191966010042
2021-08-22,100.01197373503283
2021-08-29,82.20162224797218
2021-09-05,80.83159521050598
2021-09-12,102.75202780996524
2021-09-19,110.97219003476245
2021-09-26,80.83159521050598
2021-10-03,82.20162224797218
2021-10-10,65.76129779837775
2021-10-17,98.64194669756662
2021-10-24,98.64194669756662
2021-10-31,121.93240633449209
2021-11-07,102.75202780996524
2021-11-14,119.19235225955967
2021-11-21,83.5716492854384
2021-11-28,83.5716492854384
2021-12-05,84.9416763229046
2021-12-12,110.97219003476245
2021-12-19,137.0027037466203
2021-12-26,119.19235225955967
2022-01-02,72.61143298570876
2022-01-09,79.46156817303978
