,Cruises & Charters
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,32.874586092715234
2020-07-05,0.0
2020-07-12,35.50455298013245
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,32.874586092715234
2020-08-30,0.0
2020-09-06,26.299668874172188
2020-09-13,0.0
2020-09-20,23.66970198675497
2020-09-27,27.614652317880797
2020-10-04,32.874586092715234
2020-10-11,34.189569536423846
2020-10-18,32.874586092715234
2020-10-25,34.189569536423846
2020-11-01,26.299668874172188
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,26.299668874172188
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,24.98468543046358
2020-12-20,28.929635761589406
2020-12-27,0.0
2021-01-03,40.76448675496689
2021-01-10,28.929635761589406
2021-01-17,42.0794701986755
2021-01-24,26.299668874172188
2021-01-31,38.13451986754967
2021-02-07,32.874586092715234
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,40.76448675496689
2021-03-07,38.13451986754967
2021-03-14,35.50455298013245
2021-03-21,0.0
2021-03-28,65.74917218543047
2021-04-04,47.33940397350994
2021-04-11,44.70943708609272
2021-04-18,36.819536423841065
2021-04-25,34.189569536423846
2021-05-02,35.50455298013245
2021-05-09,42.0794701986755
2021-05-16,46.02442052980133
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,35.50455298013245
2021-06-13,32.874586092715234
2021-06-20,35.50455298013245
2021-06-27,31.559602649006628
2021-07-04,39.44950331125828
2021-07-11,60.48923841059603
2021-07-18,30.244619205298015
2021-07-25,51.28435430463577
2021-08-01,47.33940397350994
2021-08-08,28.929635761589406
2021-08-15,43.394453642384114
2021-08-22,39.44950331125828
2021-08-29,43.394453642384114
2021-09-05,51.28435430463577
2021-09-12,55.22930463576159
2021-09-19,35.50455298013245
2021-09-26,56.544288079470206
2021-10-03,47.33940397350994
2021-10-10,78.89900662251657
2021-10-17,0.0
2021-10-24,44.70943708609272
2021-10-31,59.174254966887425
2021-11-07,61.80422185430464
2021-11-14,59.174254966887425
2021-11-21,47.33940397350994
2021-11-28,80.21399006622518
2021-12-05,61.80422185430464
2021-12-12,84.158940397351
2021-12-19,92.04884105960267
2021-12-26,52.599337748344375
2022-01-02,77.58402317880795
2022-01-09,56.544288079470206
2022-01-16,57.85927152317881
2022-01-23,43.394453642384114
2022-01-30,60.48923841059603
2022-02-06,55.22930463576159
2022-02-13,65.74917218543047
2022-02-20,74.95405629139074
2022-02-27,65.74917218543047
2022-03-06,80.21399006622518
2022-03-13,81.52897350993378
2022-03-20,74.95405629139074
2022-03-27,85.47392384105962
2022-04-03,49.96937086092716
2022-04-10,65.74917218543047
2022-04-17,73.63907284768213
2022-04-24,67.06415562913908
2022-05-01,86.78890728476823
2022-05-08,61.80422185430464
2022-05-15,69.6941225165563
2022-05-22,60.48923841059603
2022-05-29,71.0091059602649
2022-06-05,80.21399006622518
2022-06-12,93.36382450331126
2022-06-19,82.84395695364239
2022-06-26,81.52897350993378
2022-07-03,68.37913907284769
2022-07-10,67.06415562913908
2022-07-17,85.47392384105962
2022-07-24,64.43418874172187
2022-07-31,86.78890728476823
2022-08-07,82.84395695364239
2022-08-14,63.119205298013256
2022-08-21,69.6941225165563
2022-08-28,71.0091059602649
2022-09-04,55.22930463576159
2022-09-11,68.37913907284769
2022-09-18,57.85927152317881
2022-09-25,67.06415562913908
2022-10-02,43.394453642384114
2022-10-09,48.65438741721855
2022-10-16,68.37913907284769
2022-10-23,71.0091059602649
2022-10-30,74.95405629139074
2022-11-06,64.43418874172187
2022-11-13,77.58402317880795
2022-11-20,86.78890728476823
2022-11-27,59.174254966887425
2022-12-04,84.158940397351
