,Government
2014-12-28,41.0
2015-01-04,42.0
2015-01-11,46.0
2015-01-18,45.0
2015-01-25,47.0
2015-02-01,41.0
2015-02-08,42.0
2015-02-15,36.0
2015-02-22,36.0
2015-03-01,37.0
2015-03-08,40.0
2015-03-15,44.0
2015-03-22,42.0
2015-03-29,39.0
2015-04-05,34.0
2015-04-12,26.0
2015-04-19,38.0
2015-04-26,36.0
2015-05-03,40.0
2015-05-10,40.0
2015-05-17,40.0
2015-05-24,39.0
2015-05-31,35.0
2015-06-07,39.0
2015-06-14,40.0
2015-06-21,40.0
2015-06-28,39.0
2015-07-05,45.0
2015-07-12,44.0
2015-07-19,40.0
2015-07-26,36.0
2015-08-02,41.0
2015-08-09,39.0
2015-08-16,41.0
2015-08-23,38.0
2015-08-30,43.0
2015-09-06,41.0
2015-09-13,42.0
2015-09-20,40.0
2015-09-27,44.0
2015-10-04,50.0
2015-10-11,42.0
2015-10-18,40.0
2015-10-25,41.0
2015-11-01,47.0
2015-11-08,37.0
2015-11-15,41.0
2015-11-22,38.0
2015-11-29,38.0
2015-12-06,40.0
2015-12-13,39.0
2015-12-20,34.0
2015-12-27,38.0
2016-01-03,47.0
2016-01-10,43.0
2016-01-17,42.0
2016-01-24,40.0
2016-01-31,39.0
2016-02-07,42.0
2016-02-14,42.0
2016-02-21,40.0
2016-02-28,44.0
2016-03-06,41.0
2016-03-13,41.0
2016-03-20,41.0
2016-03-27,42.0
2016-04-03,39.0
2016-04-10,27.0
2016-04-17,39.0
2016-04-24,41.0
2016-05-01,47.0
2016-05-08,43.0
2016-05-15,38.0
2016-05-22,43.0
2016-05-29,45.0
2016-06-05,45.0
2016-06-12,43.0
2016-06-19,43.0
2016-06-26,44.0
2016-07-03,47.0
2016-07-10,47.0
2016-07-17,43.0
2016-07-24,44.0
2016-07-31,47.0
2016-08-07,46.0
2016-08-14,42.0
2016-08-21,45.0
2016-08-28,45.0
2016-09-04,47.0
2016-09-11,41.0
2016-09-18,46.0
2016-09-25,52.0
2016-10-02,50.0
