,Acting & Theater
2014-12-28,74.0
2015-01-04,65.0
2015-01-11,46.0
2015-01-18,36.0
2015-01-25,53.0
2015-02-01,51.0
2015-02-08,61.0
2015-02-15,62.0
2015-02-22,61.0
2015-03-01,55.0
2015-03-08,65.0
2015-03-15,57.0
2015-03-22,44.0
2015-03-29,49.0
2015-04-05,38.0
2015-04-12,53.0
2015-04-19,55.0
2015-04-26,52.0
2015-05-03,56.0
2015-05-10,62.0
2015-05-17,66.0
2015-05-24,73.0
2015-05-31,62.0
2015-06-07,54.0
2015-06-14,61.0
2015-06-21,55.0
2015-06-28,66.0
2015-07-05,72.0
2015-07-12,68.0
2015-07-19,57.0
2015-07-26,52.0
2015-08-02,44.0
2015-08-09,62.0
2015-08-16,51.0
2015-08-23,56.0
2015-08-30,58.0
2015-09-06,56.0
2015-09-13,45.0
2015-09-20,72.0
2015-09-27,68.0
2015-10-04,100.0
2015-10-11,72.0
2015-10-18,72.0
2015-10-25,66.0
2015-11-01,75.0
2015-11-08,72.0
2015-11-15,63.0
2015-11-22,56.0
2015-11-29,59.0
2015-12-06,52.0
2015-12-13,77.0
2015-12-20,75.0
2015-12-27,66.0
2016-01-03,65.0
2016-01-10,68.0
2016-01-17,63.0
2016-01-24,58.0
2016-01-31,66.0
2016-02-07,69.0
2016-02-14,72.0
2016-02-21,74.0
2016-02-28,80.0
2016-03-06,73.0
2016-03-13,67.0
2016-03-20,71.0
2016-03-27,70.0
2016-04-03,72.0
2016-04-10,62.0
2016-04-17,59.0
2016-04-24,62.0
2016-05-01,80.0
2016-05-08,74.0
2016-05-15,74.0
2016-05-22,76.0
2016-05-29,87.0
2016-06-05,64.0
2016-06-12,85.0
2016-06-19,82.0
2016-06-26,77.0
2016-07-03,83.0
2016-07-10,99.0
2016-07-17,84.0
2016-07-24,65.0
2016-07-31,84.0
2016-08-07,84.0
2016-08-14,90.0
2016-08-21,76.0
2016-08-28,74.0
2016-09-04,86.0
2016-09-11,87.0
2016-09-18,90.0
2016-09-25,77.0
2016-10-02,97.0
2016-10-09,100.0
2016-10-16,88.0
2016-10-23,81.0
2016-10-30,70.0
2016-11-06,81.0
2016-11-13,63.0
2016-11-20,82.0
2016-11-27,56.0
2016-12-04,59.0
2016-12-11,73.0
2016-12-18,62.0
2016-12-25,65.0
2017-01-01,73.0
2017-01-08,64.0
2017-01-15,59.0
