,Retail Trade
2014-12-28,0.0
2015-01-04,0.0
2015-01-11,59.0
2015-01-18,0.0
2015-01-25,74.0
2015-02-01,86.0
2015-02-08,52.0
2015-02-15,50.0
2015-02-22,0.0
2015-03-01,0.0
2015-03-08,0.0
2015-03-15,47.0
2015-03-22,74.0
2015-03-29,0.0
2015-04-05,0.0
2015-04-12,0.0
2015-04-19,50.0
2015-04-26,0.0
2015-05-03,0.0
2015-05-10,0.0
2015-05-17,55.0
2015-05-24,55.0
2015-05-31,0.0
2015-06-07,0.0
2015-06-14,0.0
2015-06-21,0.0
2015-06-28,47.0
2015-07-05,72.0
2015-07-12,0.0
2015-07-19,67.0
2015-07-26,0.0
2015-08-02,64.0
2015-08-09,0.0
2015-08-16,87.0
2015-08-23,54.0
2015-08-30,52.0
2015-09-06,52.0
2015-09-13,42.0
2015-09-20,43.0
2015-09-27,46.0
2015-10-04,0.0
2015-10-11,0.0
2015-10-18,54.0
2015-10-25,0.0
2015-11-01,0.0
2015-11-08,48.0
2015-11-15,58.0
2015-11-22,50.0
2015-11-29,56.0
2015-12-06,49.0
2015-12-13,78.0
2015-12-20,71.0
2015-12-27,77.0
2016-01-03,0.0
2016-01-10,0.0
2016-01-17,54.0
2016-01-24,0.0
2016-01-31,55.0
2016-02-07,0.0
2016-02-14,69.0
2016-02-21,46.0
2016-02-28,46.0
2016-03-06,0.0
2016-03-13,69.0
2016-03-20,67.0
2016-03-27,0.0
2016-04-03,0.0
2016-04-10,53.0
2016-04-17,59.0
2016-04-24,70.0
2016-05-01,60.0
2016-05-08,64.0
2016-05-15,58.0
2016-05-22,49.0
2016-05-29,49.0
2016-06-05,75.0
2016-06-12,80.0
2016-06-19,69.0
2016-06-26,0.0
2016-07-03,0.0
2016-07-10,68.0
2016-07-17,50.0
2016-07-24,0.0
2016-07-31,93.0
2016-08-07,52.0
2016-08-14,60.0
2016-08-21,0.0
2016-08-28,0.0
2016-09-04,0.0
2016-09-11,51.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,0.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,0.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,0.0
2017-02-05,46.0
2017-02-12,59.0
2017-02-19,58.0
2017-02-26,0.0
2017-03-05,74.0
2017-03-12,57.0
2017-03-19,52.0
2017-03-26,0.0
2017-04-02,0.0
2017-04-09,60.0
2017-04-16,50.0
2017-04-23,65.0
2017-04-30,57.0
2017-05-07,52.0
2017-05-14,45.0
2017-05-21,0.0
2017-05-28,0.0
2017-06-04,0.0
2017-06-11,0.0
2017-06-18,0.0
2017-06-25,57.0
2017-07-02,57.0
2017-07-09,0.0
2017-07-16,67.0
2017-07-23,0.0
2017-07-30,46.0
2017-08-06,62.0
2017-08-13,58.0
2017-08-20,49.0
2017-08-27,0.0
2017-09-03,43.0
2017-09-10,43.0
2017-09-17,63.0
2017-09-24,0.0
2017-10-01,49.0
2017-10-08,0.0
2017-10-15,0.0
2017-10-22,50.0
2017-10-29,40.0
2017-11-05,42.0
2017-11-12,42.0
2017-11-19,0.0
2017-11-26,0.0
2017-12-03,0.0
2017-12-10,50.0
2017-12-17,48.0
2017-12-24,0.0
2017-12-31,43.0
2018-01-07,61.0
2018-01-14,0.0
2018-01-21,73.0
2018-01-28,53.0
2018-02-04,62.0
2018-02-11,55.0
2018-02-18,88.0
2018-02-25,0.0
2018-03-04,0.0
2018-03-11,39.0
2018-03-18,46.0
2018-03-25,62.0
2018-04-01,47.0
2018-04-08,83.0
2018-04-15,69.0
2018-04-22,52.0
2018-04-29,71.0
2018-05-06,40.0
2018-05-13,62.0
2018-05-20,57.0
2018-05-27,0.0
2018-06-03,0.0
2018-06-10,40.0
2018-06-17,51.0
2018-06-24,57.0
2018-07-01,41.0
2018-07-08,0.0
2018-07-15,59.0
2018-07-22,46.0
2018-07-29,77.0
2018-08-05,42.0
2018-08-12,60.0
2018-08-19,44.0
2018-08-26,39.0
2018-09-02,56.0
2018-09-09,65.0
2018-09-16,40.0
2018-09-23,0.0
2018-09-30,72.0
