,Boats & Watercraft
2020-05-24,25.996172248803823
2020-05-31,22.9377990430622
2020-06-07,25.996172248803823
2020-06-14,29.05454545454545
2020-06-21,27.52535885167464
2020-06-28,29.05454545454545
2020-07-05,27.52535885167464
2020-07-12,29.05454545454545
2020-07-19,25.996172248803823
2020-07-26,30.583732057416263
2020-08-02,25.996172248803823
2020-08-09,25.996172248803823
2020-08-16,32.11291866028708
2020-08-23,30.583732057416263
2020-08-30,25.996172248803823
2020-09-06,29.05454545454545
2020-09-13,27.52535885167464
2020-09-20,30.583732057416263
2020-09-27,25.996172248803823
2020-10-04,27.52535885167464
2020-10-11,33.64210526315789
2020-10-18,32.11291866028708
2020-10-25,42.81722488038277
2020-11-01,59.63827751196172
2020-11-08,42.81722488038277
2020-11-15,38.22966507177033
2020-11-22,27.52535885167464
2020-11-29,35.1712918660287
2020-12-06,30.583732057416263
2020-12-13,27.52535885167464
2020-12-20,35.1712918660287
2020-12-27,29.05454545454545
2021-01-03,22.9377990430622
2021-01-10,29.05454545454545
2021-01-17,30.583732057416263
2021-01-24,32.11291866028708
2021-01-31,27.52535885167464
2021-02-07,29.05454545454545
2021-02-14,119.27655502392344
2021-02-21,93.2803827751196
2021-02-28,29.05454545454545
2021-03-07,33.64210526315789
2021-03-14,32.11291866028708
2021-03-21,36.70047846889952
2021-03-28,32.11291866028708
2021-04-04,35.1712918660287
2021-04-11,29.05454545454545
2021-04-18,33.64210526315789
2021-04-25,41.28803827751196
2021-05-02,36.70047846889952
2021-05-09,42.81722488038277
2021-05-16,47.40478468899521
2021-05-23,59.63827751196172
2021-05-30,61.167464114832526
2021-06-06,47.40478468899521
2021-06-13,44.34641148325358
2021-06-20,35.1712918660287
2021-06-27,35.1712918660287
2021-07-04,36.70047846889952
2021-07-11,39.75885167464114
2021-07-18,38.22966507177033
2021-07-25,35.1712918660287
2021-08-01,33.64210526315789
2021-08-08,35.1712918660287
2021-08-15,42.81722488038277
2021-08-22,50.46315789473684
2021-08-29,47.40478468899521
2021-09-05,41.28803827751196
2021-09-12,42.81722488038277
2021-09-19,32.11291866028708
2021-09-26,36.70047846889952
2021-10-03,38.22966507177033
2021-10-10,35.1712918660287
2021-10-17,35.1712918660287
2021-10-24,38.22966507177033
2021-10-31,38.22966507177033
2021-11-07,41.28803827751196
2021-11-14,35.1712918660287
2021-11-21,35.1712918660287
2021-11-28,33.64210526315789
2021-12-05,32.11291866028708
2021-12-12,35.1712918660287
2021-12-19,33.64210526315789
2021-12-26,33.64210526315789
2022-01-02,42.81722488038277
2022-01-09,47.40478468899521
2022-01-16,36.70047846889952
2022-01-23,44.34641148325358
2022-01-30,44.34641148325358
2022-02-06,38.22966507177033
2022-02-13,42.81722488038277
2022-02-20,41.28803827751196
2022-02-27,45.8755980861244
2022-03-06,42.81722488038277
2022-03-13,41.28803827751196
2022-03-20,47.40478468899521
2022-03-27,38.22966507177033
2022-04-03,32.11291866028708
2022-04-10,32.11291866028708
2022-04-17,38.22966507177033
2022-04-24,36.70047846889952
2022-05-01,36.70047846889952
2022-05-08,39.75885167464114
2022-05-15,39.75885167464114
2022-05-22,38.22966507177033
2022-05-29,48.93397129186602
2022-06-05,44.34641148325358
2022-06-12,41.28803827751196
2022-06-19,47.40478468899521
2022-06-26,50.46315789473684
2022-07-03,47.40478468899521
2022-07-10,45.8755980861244
2022-07-17,39.75885167464114
2022-07-24,42.81722488038277
2022-07-31,41.28803827751196
2022-08-07,44.34641148325358
2022-08-14,44.34641148325358
2022-08-21,42.81722488038277
2022-08-28,44.34641148325358
2022-09-04,41.28803827751196
2022-09-11,45.8755980861244
2022-09-18,45.8755980861244
2022-09-25,42.81722488038277
2022-10-02,41.28803827751196
2022-10-09,41.28803827751196
2022-10-16,36.70047846889952
2022-10-23,38.22966507177033
2022-10-30,39.75885167464114
2022-11-06,38.22966507177033
2022-11-13,47.40478468899521
2022-11-20,44.34641148325358
2022-11-27,44.34641148325358
2022-12-04,44.34641148325358
2022-12-11,44.34641148325358
2022-12-18,44.34641148325358
2022-12-25,50.46315789473684
2023-01-01,47.40478468899521
2023-01-08,39.75885167464114
2023-01-15,41.28803827751196
2023-01-22,39.75885167464114
2023-01-29,39.75885167464114
2023-02-05,41.28803827751196
2023-02-12,42.81722488038277
2023-02-19,45.8755980861244
2023-02-26,47.40478468899521
2023-03-05,42.81722488038277
2023-03-12,42.81722488038277
2023-03-19,41.28803827751196
2023-03-26,39.75885167464114
2023-04-02,41.28803827751196
2023-04-09,38.22966507177033
2023-04-16,38.22966507177033
2023-04-23,38.22966507177033
2023-04-30,36.70047846889952
2023-05-07,36.70047846889952
2023-05-14,44.34641148325358
2023-05-21,41.28803827751196
2023-05-28,38.22966507177033
2023-06-04,36.70047846889952
2023-06-11,42.81722488038277
2023-06-18,45.8755980861244
2023-06-25,44.34641148325358
2023-07-02,41.28803827751196
2023-07-09,55.05071770334928
2023-07-16,51.99234449760765
2023-07-23,56.57990430622009
2023-07-30,48.93397129186602
2023-08-06,55.05071770334928
2023-08-13,45.8755980861244
2023-08-20,47.40478468899521
2023-08-27,44.34641148325358
2023-09-03,39.75885167464114
2023-09-10,41.28803827751196
2023-09-17,39.75885167464114
2023-09-24,45.8755980861244
2023-10-01,36.70047846889952
2023-10-08,39.75885167464114
2023-10-15,35.1712918660287
2023-10-22,33.64210526315789
2023-10-29,38.22966507177033
2023-11-05,42.81722488038277
2023-11-12,45.8755980861244
2023-11-19,42.81722488038277
2023-11-26,48.93397129186602
2023-12-03,42.81722488038277
2023-12-10,39.75885167464114
2023-12-17,45.8755980861244
2023-12-24,48.93397129186602
2023-12-31,44.34641148325358
2024-01-07,50.781896541489054
2024-01-14,39.49703064338038
2024-01-21,45.139463592434716
2024-01-28,50.781896541489054
2024-02-04,45.139463592434716
2024-02-11,45.139463592434716
2024-02-18,45.139463592434716
2024-02-25,45.139463592434716
2024-03-03,50.781896541489054
2024-03-10,50.781896541489054
2024-03-17,50.781896541489054
2024-03-24,50.781896541489054
2024-03-31,50.781896541489054
2024-04-07,45.139463592434716
2024-04-14,45.139463592434716
2024-04-21,45.139463592434716
2024-04-28,45.139463592434716
2024-05-05,45.139463592434716
2024-05-12,39.49703064338038
2024-05-19,45.139463592434716
2024-05-26,50.781896541489054
2024-06-02,50.781896541489054
2024-06-09,45.139463592434716
2024-06-16,45.139463592434716
2024-06-23,45.139463592434716
2024-06-30,50.781896541489054
2024-07-07,39.49703064338038
2024-07-14,39.49703064338038
2024-07-21,45.139463592434716
2024-07-28,564.2432949054339
2024-08-04,67.70919538865208
2024-08-11,50.781896541489054
2024-08-18,45.139463592434716
2024-08-25,50.781896541489054
2024-09-01,45.139463592434716
2024-09-08,45.139463592434716
2024-09-15,39.49703064338038
2024-09-22,45.139463592434716
2024-09-29,45.139463592434716
2024-10-06,45.139463592434716
2024-10-13,45.139463592434716
2024-10-20,45.139463592434716
2024-10-27,45.139463592434716
2024-11-03,39.49703064338038
2024-11-10,45.139463592434716
2024-11-17,45.139463592434716
2024-11-24,45.139463592434716
2024-12-01,45.139463592434716
2024-12-08,50.781896541489054
2024-12-15,50.781896541489054
2024-12-22,50.781896541489054
2024-12-29,45.139463592434716
2025-01-05,50.781896541489054
2025-01-12,45.139463592434716
2025-01-19,50.781896541489054
2025-01-26,50.781896541489054
2025-02-02,50.781896541489054
2025-02-09,39.49703064338038
2025-02-16,45.139463592434716
2025-02-23,50.781896541489054
2025-03-02,50.781896541489054
2025-03-09,50.781896541489054
2025-03-16,56.42432949054339
2025-03-23,50.781896541489054
2025-03-30,50.781896541489054
2025-04-06,45.139463592434716
2025-04-13,45.139463592434716
2025-04-20,39.49703064338038
2025-04-27,45.139463592434716
2025-05-04,39.49703064338038
2025-05-11,45.139463592434716
2025-05-18,45.139463592434716
2025-05-25,39.49703064338038
2025-06-01,45.139463592434716
2025-06-08,45.139463592434716
2025-06-15,50.781896541489054
2025-06-22,56.42432949054339
2025-06-29,50.781896541489054
2025-07-06,50.781896541489054
2025-07-13,50.781896541489054
2025-07-20,50.781896541489054
2025-07-27,62.06676243959773
2025-08-03,62.06676243959773
2025-08-10,45.139463592434716
2025-08-17,56.42432949054339
2025-08-24,45.139463592434716
2025-08-31,45.139463592434716
2025-09-07,39.49703064338038
2025-09-14,39.49703064338038
2025-09-21,39.49703064338038
2025-09-28,33.85459769432604
2025-10-05,50.781896541489054
2025-10-12,39.49703064338038
2025-10-19,45.139463592434716
2025-10-26,45.139463592434716
2025-11-02,45.139463592434716
2025-11-09,45.139463592434716
2025-11-16,45.139463592434716
2025-11-23,45.139463592434716
2025-11-30,56.42432949054339
2025-12-07,50.781896541489054
2025-12-14,50.781896541489054
2025-12-21,50.781896541489054
2025-12-28,50.781896541489054
