,Accounting & Auditing
2014-12-28,52.0
2015-01-04,43.0
2015-01-11,54.0
2015-01-18,50.0
2015-01-25,47.0
2015-02-01,44.0
2015-02-08,52.0
2015-02-15,55.0
2015-02-22,54.0
2015-03-01,48.0
2015-03-08,47.0
2015-03-15,61.0
2015-03-22,73.0
2015-03-29,55.0
2015-04-05,54.0
2015-04-12,33.0
2015-04-19,52.0
2015-04-26,50.0
2015-05-03,47.0
2015-05-10,61.0
2015-05-17,51.0
2015-05-24,50.0
2015-05-31,55.0
2015-06-07,50.0
2015-06-14,51.0
2015-06-21,58.0
2015-06-28,54.0
2015-07-05,51.0
2015-07-12,53.0
2015-07-19,63.0
2015-07-26,55.0
2015-08-02,54.0
2015-08-09,46.0
2015-08-16,43.0
2015-08-23,51.0
2015-08-30,52.0
2015-09-06,52.0
2015-09-13,53.0
2015-09-20,54.0
2015-09-27,62.0
2015-10-04,64.0
2015-10-11,52.0
2015-10-18,55.0
2015-10-25,47.0
2015-11-01,48.0
2015-11-08,51.0
2015-11-15,56.0
2015-11-22,48.0
2015-11-29,52.0
2015-12-06,50.0
2015-12-13,46.0
2015-12-20,40.0
2015-12-27,48.0
2016-01-03,62.0
2016-01-10,51.0
2016-01-17,60.0
2016-01-24,54.0
2016-01-31,53.0
2016-02-07,49.0
2016-02-14,57.0
2016-02-21,49.0
2016-02-28,56.0
2016-03-06,60.0
2016-03-13,59.0
2016-03-20,53.0
2016-03-27,77.0
2016-04-03,54.0
2016-04-10,37.0
2016-04-17,54.0
2016-04-24,75.0
2016-05-01,72.0
2016-05-08,74.0
2016-05-15,50.0
2016-05-22,57.0
2016-05-29,65.0
2016-06-05,63.0
2016-06-12,63.0
2016-06-19,63.0
2016-06-26,68.0
2016-07-03,62.0
2016-07-10,69.0
2016-07-17,67.0
2016-07-24,69.0
2016-07-31,64.0
2016-08-07,60.0
2016-08-14,56.0
2016-08-21,59.0
2016-08-28,63.0
2016-09-04,64.0
2016-09-11,56.0
2016-09-18,80.0
2016-09-25,89.0
2016-10-02,68.0
2016-10-09,65.0
2016-10-16,68.0
2016-10-23,67.0
2016-10-30,69.0
2016-11-06,63.0
2016-11-13,65.0
2016-11-20,66.0
2016-11-27,62.0
2016-12-04,54.0
2016-12-11,50.0
2016-12-18,56.0
2016-12-25,61.0
2017-01-01,63.0
2017-01-08,59.0
2017-01-15,75.0
2017-01-22,73.0
2017-01-29,67.0
2017-02-05,55.0
2017-02-12,64.0
2017-02-19,58.0
2017-02-26,65.0
2017-03-05,61.0
2017-03-12,65.0
2017-03-19,69.0
2017-03-26,97.0
2017-04-02,59.0
2017-04-09,30.0
2017-04-16,62.0
2017-04-23,74.0
2017-04-30,54.0
2017-05-07,49.0
2017-05-14,58.0
2017-05-21,51.0
2017-05-28,54.0
2017-06-04,51.0
2017-06-11,57.0
2017-06-18,63.0
2017-06-25,63.0
2017-07-02,60.0
2017-07-09,68.0
2017-07-16,69.0
2017-07-23,60.0
2017-07-30,61.0
2017-08-06,53.0
2017-08-13,60.0
2017-08-20,58.0
2017-08-27,52.0
2017-09-03,55.0
2017-09-10,60.0
2017-09-17,83.0
2017-09-24,63.0
2017-10-01,53.0
2017-10-08,60.0
2017-10-15,64.0
2017-10-22,64.0
2017-10-29,58.0
2017-11-05,58.0
2017-11-12,66.0
2017-11-19,61.0
2017-11-26,52.0
2017-12-03,52.0
2017-12-10,54.0
2017-12-17,55.0
2017-12-24,54.0
2017-12-31,58.0
2018-01-07,60.0
2018-01-14,67.0
2018-01-21,64.0
2018-01-28,60.0
2018-02-04,49.0
2018-02-11,56.0
2018-02-18,60.0
2018-02-25,52.0
2018-03-04,56.0
2018-03-11,57.0
2018-03-18,91.0
2018-03-25,64.0
2018-04-01,72.0
2018-04-08,38.0
2018-04-15,48.0
2018-04-22,69.0
2018-04-29,55.0
2018-05-06,55.0
2018-05-13,62.0
2018-05-20,59.0
2018-05-27,56.0
2018-06-03,63.0
2018-06-10,64.0
2018-06-17,57.0
2018-06-24,63.0
2018-07-01,78.0
2018-07-08,70.0
2018-07-15,72.0
2018-07-22,61.0
2018-07-29,65.0
2018-08-05,61.0
2018-08-12,70.0
2018-08-19,59.0
2018-08-26,62.0
2018-09-02,63.0
2018-09-09,67.0
2018-09-16,87.0
2018-09-23,58.0
2018-09-30,59.0
2018-10-07,66.0
2018-10-14,66.0
2018-10-21,58.0
2018-10-28,60.0
2018-11-04,54.0
2018-11-11,58.0
2018-11-18,52.0
2018-11-25,60.0
2018-12-02,59.0
2018-12-09,59.0
2018-12-16,54.0
2018-12-23,49.0
2018-12-30,57.0
2019-01-06,61.0
2019-01-13,64.0
2019-01-20,64.0
2019-01-27,67.0
2019-02-03,53.0
2019-02-10,61.0
2019-02-17,63.0
2019-02-24,66.0
2019-03-03,66.0
2019-03-10,68.0
2019-03-17,67.0
2019-03-24,93.0
2019-03-31,57.0
2019-04-07,48.0
2019-04-14,40.0
2019-04-21,44.0
