,Bank
2020-09-27,39.222972972972975
2020-10-04,23.533783783783782
2020-10-11,31.37837837837838
2020-10-18,31.37837837837838
2020-10-25,23.533783783783782
2020-11-01,18.304054054054056
2020-11-08,39.222972972972975
2020-11-15,28.763513513513516
2020-11-22,18.304054054054056
2020-11-29,31.37837837837838
2020-12-06,33.99324324324324
2020-12-13,28.763513513513516
2020-12-20,33.99324324324324
2020-12-27,20.91891891891892
2021-01-03,26.14864864864865
2021-01-10,26.14864864864865
2021-01-17,31.37837837837838
2021-01-24,36.60810810810811
2021-01-31,31.37837837837838
2021-02-07,26.14864864864865
2021-02-14,41.83783783783784
2021-02-21,28.763513513513516
2021-02-28,28.763513513513516
2021-03-07,33.99324324324324
2021-03-14,36.60810810810811
2021-03-21,31.37837837837838
2021-03-28,33.99324324324324
2021-04-04,44.4527027027027
2021-04-11,36.60810810810811
2021-04-18,33.99324324324324
2021-04-25,33.99324324324324
2021-05-02,23.533783783783782
2021-05-09,33.99324324324324
2021-05-16,15.68918918918919
2021-05-23,20.91891891891892
2021-05-30,20.91891891891892
2021-06-06,33.99324324324324
2021-06-13,31.37837837837838
2021-06-20,23.533783783783782
2021-06-27,33.99324324324324
2021-07-04,41.83783783783784
2021-07-11,41.83783783783784
2021-07-18,44.4527027027027
2021-07-25,31.37837837837838
2021-08-01,23.533783783783782
2021-08-08,31.37837837837838
2021-08-15,28.763513513513516
2021-08-22,28.763513513513516
2021-08-29,31.37837837837838
2021-09-05,28.763513513513516
2021-09-12,26.14864864864865
2021-09-19,33.99324324324324
2021-09-26,36.60810810810811
2021-10-03,33.99324324324324
2021-10-10,31.37837837837838
2021-10-17,36.60810810810811
2021-10-24,47.067567567567565
2021-10-31,62.75675675675676
2021-11-07,31.37837837837838
2021-11-14,36.60810810810811
2021-11-21,36.60810810810811
2021-11-28,60.141891891891895
2021-12-05,54.91216216216216
2021-12-12,65.37162162162163
2021-12-19,44.4527027027027
2021-12-26,36.60810810810811
2022-01-02,44.4527027027027
2022-01-09,49.682432432432435
2022-01-16,57.52702702702703
2022-01-23,54.91216216216216
2022-01-30,54.91216216216216
2022-02-06,44.4527027027027
2022-02-13,52.2972972972973
2022-02-20,78.44594594594595
2022-02-27,133.3581081081081
2022-03-06,96.75
2022-03-13,81.0608108108108
2022-03-20,91.52027027027027
2022-03-27,261.4864864864865
2022-04-03,141.2027027027027
2022-04-10,104.5945945945946
2022-04-17,75.83108108108108
2022-04-24,81.0608108108108
2022-05-01,49.682432432432435
2022-05-08,81.0608108108108
2022-05-15,67.98648648648648
2022-05-22,57.52702702702703
2022-05-29,54.91216216216216
2022-06-05,60.141891891891895
2022-06-12,57.52702702702703
2022-06-19,57.52702702702703
2022-06-26,67.98648648648648
2022-07-03,65.37162162162163
2022-07-10,62.75675675675676
2022-07-17,62.75675675675676
2022-07-24,65.37162162162163
2022-07-31,60.141891891891895
2022-08-07,41.83783783783784
2022-08-14,52.2972972972973
2022-08-21,60.141891891891895
2022-08-28,39.222972972972975
2022-09-04,39.222972972972975
2022-09-11,47.067567567567565
2022-09-18,57.52702702702703
2022-09-25,62.75675675675676
2022-10-02,44.4527027027027
2022-10-09,49.682432432432435
2022-10-16,47.067567567567565
2022-10-23,33.99324324324324
2022-10-30,44.4527027027027
2022-11-06,41.83783783783784
2022-11-13,44.4527027027027
2022-11-20,44.4527027027027
2022-11-27,57.52702702702703
2022-12-04,54.91216216216216
2022-12-11,57.52702702702703
2022-12-18,78.44594594594595
2022-12-25,60.141891891891895
2023-01-01,52.2972972972973
2023-01-08,36.60810810810811
2023-01-15,49.682432432432435
2023-01-22,54.91216216216216
2023-01-29,62.75675675675676
2023-02-05,57.52702702702703
2023-02-12,54.91216216216216
2023-02-19,54.91216216216216
2023-02-26,44.4527027027027
2023-03-05,33.99324324324324
2023-03-12,41.83783783783784
2023-03-19,39.222972972972975
2023-03-26,44.4527027027027
2023-04-02,33.99324324324324
2023-04-09,39.222972972972975
2023-04-16,33.99324324324324
2023-04-23,41.83783783783784
2023-04-30,44.4527027027027
2023-05-07,44.4527027027027
2023-05-14,36.60810810810811
2023-05-21,44.4527027027027
2023-05-28,47.067567567567565
2023-06-04,47.067567567567565
2023-06-11,57.52702702702703
2023-06-18,47.067567567567565
2023-06-25,39.222972972972975
2023-07-02,54.91216216216216
2023-07-09,39.222972972972975
2023-07-16,39.222972972972975
2023-07-23,65.37162162162163
2023-07-30,44.4527027027027
2023-08-06,57.52702702702703
2023-08-13,62.75675675675676
2023-08-20,47.067567567567565
2023-08-27,62.75675675675676
2023-09-03,52.2972972972973
2023-09-10,52.2972972972973
2023-09-17,44.4527027027027
2023-09-24,57.52702702702703
2023-10-01,54.91216216216216
2023-10-08,36.60810810810811
2023-10-15,47.067567567567565
2023-10-22,49.682432432432435
2023-10-29,47.067567567567565
2023-11-05,62.75675675675676
2023-11-12,52.2972972972973
2023-11-19,62.75675675675676
2023-11-26,54.91216216216216
2023-12-03,62.75675675675676
2023-12-10,60.141891891891895
2023-12-17,86.29054054054055
2023-12-24,62.75675675675676
2023-12-31,54.91216216216216
2024-01-07,54.63144108323034
2024-01-14,59.91835473644618
2024-01-21,44.05761377679867
2024-01-28,54.63144108323034
2024-02-04,56.39374563430229
2024-02-11,65.20526838966202
2024-02-18,54.63144108323034
2024-02-25,52.8691365321584
2024-03-03,47.58222287894256
2024-03-10,45.81991832787061
2024-03-17,42.29530922572672
2024-03-24,52.8691365321584
2024-03-31,54.63144108323034
2024-04-07,56.39374563430229
2024-04-14,56.39374563430229
2024-04-21,47.58222287894256
2024-04-28,56.39374563430229
2024-05-05,56.39374563430229
2024-05-12,49.34452743001451
2024-05-19,61.68065928751813
2024-05-26,56.39374563430229
2024-06-02,65.20526838966202
2024-06-09,49.34452743001451
2024-06-16,44.05761377679867
2024-06-23,51.10683198108645
2024-06-30,56.39374563430229
2024-07-07,56.39374563430229
2024-07-14,45.81991832787061
2024-07-21,54.63144108323034
2024-07-28,54.63144108323034
2024-08-04,58.15605018537424
2024-08-11,56.39374563430229
2024-08-18,54.63144108323034
2024-08-25,66.96757294073397
2024-09-01,61.68065928751813
2024-09-08,58.15605018537424
2024-09-15,51.10683198108645
2024-09-22,61.68065928751813
2024-09-29,47.58222287894256
2024-10-06,65.20526838966202
2024-10-13,61.68065928751813
2024-10-20,54.63144108323034
2024-10-27,59.91835473644618
2024-11-03,65.20526838966202
2024-11-10,68.72987749180592
2024-11-17,51.10683198108645
2024-11-24,65.20526838966202
2024-12-01,79.3037047982376
2024-12-08,72.2544865939498
2024-12-15,54.63144108323034
2024-12-22,70.49218204287786
2024-12-29,49.34452743001451
2025-01-05,63.442963838590074
2025-01-12,70.49218204287786
2025-01-19,54.63144108323034
2025-01-26,56.39374563430229
2025-02-02,63.442963838590074
2025-02-09,63.442963838590074
2025-02-16,61.68065928751813
2025-02-23,84.59061845145344
2025-03-02,68.72987749180592
2025-03-09,58.15605018537424
2025-03-16,59.91835473644618
2025-03-23,54.63144108323034
2025-03-30,65.20526838966202
2025-04-06,58.15605018537424
2025-04-13,79.3037047982376
2025-04-20,74.01679114502176
2025-04-27,70.49218204287786
2025-05-04,77.54140024716565
2025-05-11,42.29530922572672
2025-05-18,61.68065928751813
2025-05-25,81.06600934930954
2025-06-01,63.442963838590074
2025-06-08,63.442963838590074
2025-06-15,61.68065928751813
2025-06-22,68.72987749180592
2025-06-29,63.442963838590074
2025-07-06,63.442963838590074
2025-07-13,58.15605018537424
2025-07-20,77.54140024716565
2025-07-27,66.96757294073397
2025-08-03,86.35292300252539
2025-08-10,72.2544865939498
2025-08-17,65.20526838966202
2025-08-24,66.96757294073397
2025-08-31,65.20526838966202
2025-09-07,74.01679114502176
2025-09-14,59.91835473644618
2025-09-21,70.49218204287786
2025-09-28,81.06600934930954
2025-10-05,58.15605018537424
2025-10-12,58.15605018537424
2025-10-19,82.82831390038149
2025-10-26,68.72987749180592
2025-11-02,82.82831390038149
2025-11-09,82.82831390038149
2025-11-16,70.49218204287786
2025-11-23,128.6482322282521
2025-11-30,176.23045510719467
2025-12-07,116.31210037074848
2025-12-14,88.11522755359734
2025-12-21,91.63983665574122
2025-12-28,58.15605018537424
