,Beauty & Fitness
2014-12-28,39.0
2015-01-04,37.0
2015-01-11,38.0
2015-01-18,38.0
2015-01-25,38.0
2015-02-01,39.0
2015-02-08,37.0
2015-02-15,43.0
2015-02-22,41.0
2015-03-01,40.0
2015-03-08,41.0
2015-03-15,42.0
2015-03-22,43.0
2015-03-29,44.0
2015-04-05,48.0
2015-04-12,42.0
2015-04-19,50.0
2015-04-26,52.0
2015-05-03,54.0
2015-05-10,52.0
2015-05-17,58.0
2015-05-24,50.0
2015-05-31,43.0
2015-06-07,50.0
2015-06-14,44.0
2015-06-21,50.0
2015-06-28,52.0
2015-07-05,54.0
2015-07-12,60.0
2015-07-19,55.0
2015-07-26,53.0
2015-08-02,55.0
2015-08-09,55.0
2015-08-16,56.0
2015-08-23,51.0
2015-08-30,50.0
2015-09-06,52.0
2015-09-13,48.0
2015-09-20,53.0
2015-09-27,47.0
2015-10-04,51.0
2015-10-11,52.0
2015-10-18,50.0
2015-10-25,50.0
2015-11-01,52.0
2015-11-08,52.0
2015-11-15,52.0
2015-11-22,47.0
2015-11-29,53.0
2015-12-06,53.0
2015-12-13,59.0
2015-12-20,62.0
2015-12-27,54.0
2016-01-03,55.0
2016-01-10,54.0
2016-01-17,55.0
2016-01-24,52.0
2016-01-31,50.0
2016-02-07,56.0
2016-02-14,54.0
2016-02-21,53.0
2016-02-28,55.0
2016-03-06,55.0
2016-03-13,55.0
2016-03-20,57.0
2016-03-27,54.0
2016-04-03,58.0
2016-04-10,50.0
2016-04-17,60.0
2016-04-24,59.0
2016-05-01,62.0
2016-05-08,62.0
2016-05-15,57.0
2016-05-22,62.0
2016-05-29,62.0
2016-06-05,57.0
2016-06-12,56.0
2016-06-19,57.0
2016-06-26,58.0
2016-07-03,72.0
2016-07-10,62.0
2016-07-17,62.0
2016-07-24,65.0
2016-07-31,68.0
2016-08-07,65.0
2016-08-14,69.0
2016-08-21,66.0
2016-08-28,64.0
2016-09-04,64.0
2016-09-11,68.0
2016-09-18,68.0
2016-09-25,60.0
2016-10-02,60.0
2016-10-09,62.0
2016-10-16,62.0
2016-10-23,63.0
2016-10-30,63.0
2016-11-06,60.0
2016-11-13,59.0
2016-11-20,61.0
2016-11-27,64.0
2016-12-04,63.0
2016-12-11,64.0
2016-12-18,73.0
2016-12-25,67.0
2017-01-01,62.0
2017-01-08,60.0
2017-01-15,60.0
2017-01-22,56.0
2017-01-29,58.0
2017-02-05,57.0
2017-02-12,58.0
2017-02-19,56.0
2017-02-26,59.0
2017-03-05,62.0
2017-03-12,60.0
2017-03-19,58.0
2017-03-26,60.0
2017-04-02,65.0
2017-04-09,65.0
2017-04-16,71.0
2017-04-23,72.0
2017-04-30,75.0
2017-05-07,67.0
2017-05-14,75.0
2017-05-21,65.0
2017-05-28,64.0
2017-06-04,59.0
2017-06-11,60.0
2017-06-18,66.0
2017-06-25,70.0
2017-07-02,64.0
2017-07-09,61.0
2017-07-16,64.0
2017-07-23,63.0
2017-07-30,61.0
2017-08-06,67.0
2017-08-13,68.0
2017-08-20,67.0
2017-08-27,68.0
2017-09-03,62.0
2017-09-10,61.0
2017-09-17,63.0
2017-09-24,59.0
2017-10-01,58.0
2017-10-08,60.0
2017-10-15,61.0
2017-10-22,61.0
2017-10-29,62.0
2017-11-05,58.0
2017-11-12,60.0
2017-11-19,63.0
2017-11-26,58.0
2017-12-03,66.0
2017-12-10,63.0
2017-12-17,68.0
2017-12-24,64.0
2017-12-31,61.0
2018-01-07,61.0
2018-01-14,60.0
2018-01-21,60.0
2018-01-28,59.0
2018-02-04,58.0
2018-02-11,58.0
2018-02-18,57.0
2018-02-25,57.0
2018-03-04,57.0
2018-03-11,56.0
2018-03-18,58.0
2018-03-25,60.0
2018-04-01,62.0
2018-04-08,65.0
2018-04-15,73.0
2018-04-22,73.0
2018-04-29,74.0
2018-05-06,82.0
2018-05-13,90.0
2018-05-20,75.0
2018-05-27,66.0
2018-06-03,56.0
2018-06-10,66.0
2018-06-17,57.0
2018-06-24,54.0
2018-07-01,59.0
2018-07-08,61.0
2018-07-15,59.0
2018-07-22,60.0
2018-07-29,58.0
2018-08-05,64.0
2018-08-12,66.0
2018-08-19,69.0
2018-08-26,57.0
2018-09-02,62.0
2018-09-09,60.0
2018-09-16,60.0
2018-09-23,55.0
2018-09-30,57.0
2018-10-07,63.0
2018-10-14,56.0
2018-10-21,57.0
2018-10-28,58.0
2018-11-04,55.0
2018-11-11,57.0
2018-11-18,59.0
2018-11-25,58.0
2018-12-02,62.0
2018-12-09,67.0
2018-12-16,68.0
2018-12-23,67.0
2018-12-30,58.0
2019-01-06,59.0
2019-01-13,58.0
2019-01-20,61.0
2019-01-27,59.0
2019-02-03,56.0
2019-02-10,59.0
2019-02-17,61.0
2019-02-24,59.0
2019-03-03,60.0
2019-03-10,60.0
2019-03-17,59.0
2019-03-24,80.0
2019-03-31,87.0
2019-04-07,87.0
2019-04-14,85.0
2019-04-21,80.0
2019-04-28,100.0
2019-05-05,91.0
2019-05-12,73.0
2019-05-19,58.0
2019-05-26,60.0
2019-06-02,67.0
2019-06-09,60.0
2019-06-16,60.0
2019-06-23,59.0
2019-06-30,62.0
2019-07-07,60.0
2019-07-14,63.0
2019-07-21,63.0
2019-07-28,67.0
2019-08-04,65.0
2019-08-11,72.0
2019-08-18,62.0
2019-08-25,63.0
2019-09-01,59.0
2019-09-08,60.0
2019-09-15,55.0
2019-09-22,56.0
2019-09-29,55.0
2019-10-06,56.0
2019-10-13,56.0
2019-10-20,58.0
2019-10-27,57.0
2019-11-03,54.0
2019-11-10,53.0
2019-11-17,54.0
2019-11-24,56.0
2019-12-01,63.0
2019-12-08,66.0
2019-12-15,68.0
2019-12-22,67.0
2019-12-29,63.0
2020-01-05,55.32588774341351
2020-01-12,59.141466208476515
2020-01-19,59.141466208476515
2020-01-26,55.32588774341351
2020-02-02,57.233676975945016
2020-02-09,55.32588774341351
2020-02-16,55.32588774341351
2020-02-23,55.32588774341351
2020-03-01,57.233676975945016
2020-03-08,55.32588774341351
2020-03-15,47.694730813287514
2020-03-22,41.97136311569301
2020-03-29,43.87915234822451
2020-04-05,49.60252004581901
2020-04-12,45.78694158075601
2020-04-19,49.60252004581901
2020-04-26,49.60252004581901
2020-05-03,45.78694158075601
2020-05-10,47.694730813287514
2020-05-17,59.141466208476515
2020-05-24,57.233676975945016
2020-05-31,57.233676975945016
2020-06-07,57.233676975945016
2020-06-14,59.141466208476515
2020-06-21,62.957044673539514
2020-06-28,62.957044673539514
2020-07-05,61.049255441008015
2020-07-12,64.86483390607101
2020-07-19,61.049255441008015
2020-07-26,70.58820160366551
2020-08-02,62.957044673539514
2020-08-09,61.049255441008015
2020-08-16,59.141466208476515
2020-08-23,59.141466208476515
2020-08-30,57.233676975945016
2020-09-06,57.233676975945016
2020-09-13,59.141466208476515
2020-09-20,70.58820160366551
2020-09-27,82.03493699885452
2020-10-04,91.57388316151201
2020-10-11,101.11282932416952
2020-10-18,97.29725085910653
2020-10-25,104.92840778923252
2020-11-01,89.66609392898052
2020-11-08,76.31156930126002
2020-11-15,57.233676975945016
2020-11-22,57.233676975945016
2020-11-29,57.233676975945016
2020-12-06,61.049255441008015
2020-12-13,62.957044673539514
2020-12-20,64.86483390607101
2020-12-27,59.141466208476515
2021-01-03,59.141466208476515
2021-01-10,55.32588774341351
2021-01-17,59.141466208476515
2021-01-24,59.141466208476515
2021-01-31,57.233676975945016
2021-02-07,55.32588774341351
2021-02-14,59.141466208476515
2021-02-21,55.32588774341351
2021-02-28,59.141466208476515
2021-03-07,57.233676975945016
2021-03-14,57.233676975945016
2021-03-21,53.41809851088201
2021-03-28,64.86483390607101
2021-04-04,70.58820160366551
2021-04-11,76.31156930126002
2021-04-18,99.20504009163803
2021-04-25,103.02061855670102
2021-05-02,74.40378006872852
2021-05-09,66.77262313860251
2021-05-16,61.049255441008015
2021-05-23,57.233676975945016
2021-05-30,62.957044673539514
2021-06-06,61.049255441008015
2021-06-13,62.957044673539514
2021-06-20,64.86483390607101
2021-06-27,62.957044673539514
2021-07-04,64.86483390607101
2021-07-11,66.77262313860251
2021-07-18,74.40378006872852
2021-07-25,64.86483390607101
2021-08-01,61.049255441008015
2021-08-08,59.141466208476515
2021-08-15,61.049255441008015
2021-08-22,57.233676975945016
2021-08-29,59.141466208476515
2021-09-05,62.957044673539514
2021-09-12,66.77262313860251
2021-09-19,106.83619702176402
2021-09-26,122.09851088201603
2021-10-03,131.63745704467354
2021-10-10,104.92840778923252
2021-10-17,61.049255441008015
2021-10-24,62.957044673539514
2021-10-31,64.86483390607101
2021-11-07,64.86483390607101
2021-11-14,62.957044673539514
2021-11-21,61.049255441008015
2021-11-28,61.049255441008015
2021-12-05,74.40378006872852
2021-12-12,68.68041237113401
2021-12-19,68.68041237113401
2021-12-26,68.68041237113401
