,Autos & Vehicles
2020-05-24,63.29295154185023
2020-05-31,70.07433920704847
2020-06-07,71.20457048458151
2020-06-14,72.33480176211455
2020-06-21,79.11618942731279
2020-06-28,77.98595814977975
2020-07-05,80.24642070484583
2020-07-12,80.24642070484583
2020-07-19,82.50688325991192
2020-07-26,82.50688325991192
2020-08-02,83.63711453744494
2020-08-09,87.02780837004407
2020-08-16,92.67896475770927
2020-08-23,83.63711453744494
2020-08-30,88.15803964757711
2020-09-06,91.54873348017622
2020-09-13,89.28827092511015
2020-09-20,93.80919603524231
2020-09-27,97.19988986784143
2020-10-04,93.80919603524231
2020-10-11,93.80919603524231
2020-10-18,94.93942731277535
2020-10-25,100.59058370044055
2020-11-01,81.37665198237887
2020-11-08,82.50688325991192
2020-11-15,81.37665198237887
2020-11-22,82.50688325991192
2020-11-29,83.63711453744494
2020-12-06,82.50688325991192
2020-12-13,89.28827092511015
2020-12-20,98.33012114537446
2020-12-27,90.4185022026432
2021-01-03,88.15803964757711
2021-01-10,82.50688325991192
2021-01-17,85.89757709251103
2021-01-24,84.76734581497799
2021-01-31,87.02780837004407
2021-02-07,90.4185022026432
2021-02-14,83.63711453744494
2021-02-21,84.76734581497799
2021-02-28,83.63711453744494
2021-03-07,81.37665198237887
2021-03-14,84.76734581497799
2021-03-21,79.11618942731279
2021-03-28,81.37665198237887
2021-04-04,81.37665198237887
2021-04-11,84.76734581497799
2021-04-18,70.07433920704847
2021-04-25,76.8557268722467
2021-05-02,65.55341409691631
2021-05-09,72.33480176211455
2021-05-16,71.20457048458151
2021-05-23,72.33480176211455
2021-05-30,77.98595814977975
2021-06-06,82.50688325991192
2021-06-13,87.02780837004407
2021-06-20,88.15803964757711
2021-06-27,90.4185022026432
2021-07-04,91.54873348017622
2021-07-11,93.80919603524231
2021-07-18,98.33012114537446
2021-07-25,93.80919603524231
2021-08-01,90.4185022026432
2021-08-08,93.80919603524231
2021-08-15,92.67896475770927
2021-08-22,83.63711453744494
2021-08-29,85.89757709251103
2021-09-05,84.76734581497799
2021-09-12,83.63711453744494
2021-09-19,84.76734581497799
2021-09-26,83.63711453744494
2021-10-03,89.28827092511015
2021-10-10,76.8557268722467
2021-10-17,76.8557268722467
2021-10-24,75.72549559471368
2021-10-31,77.98595814977975
2021-11-07,74.59526431718064
2021-11-14,74.59526431718064
2021-11-21,75.72549559471368
2021-11-28,71.20457048458151
2021-12-05,76.8557268722467
2021-12-12,76.8557268722467
2021-12-19,80.24642070484583
2021-12-26,80.24642070484583
2022-01-02,87.02780837004407
2022-01-09,76.8557268722467
2022-01-16,80.24642070484583
2022-01-23,84.76734581497799
2022-01-30,90.4185022026432
2022-02-06,80.24642070484583
2022-02-13,91.54873348017622
2022-02-20,91.54873348017622
2022-02-27,92.67896475770927
2022-03-06,88.15803964757711
2022-03-13,89.28827092511015
2022-03-20,94.93942731277535
2022-03-27,101.72081497797359
2022-04-03,99.4603524229075
2022-04-10,96.06965859030839
2022-04-17,91.54873348017622
2022-04-24,101.72081497797359
2022-05-01,93.80919603524231
2022-05-08,97.19988986784143
2022-05-15,91.54873348017622
2022-05-22,113.02312775330398
2022-05-29,97.19988986784143
2022-06-05,94.93942731277535
2022-06-12,99.4603524229075
2022-06-19,100.59058370044055
2022-06-26,105.1115088105727
2022-07-03,99.4603524229075
2022-07-10,98.33012114537446
2022-07-17,102.85104625550663
2022-07-24,99.4603524229075
2022-07-31,106.24174008810574
2022-08-07,105.1115088105727
2022-08-14,102.85104625550663
2022-08-21,110.76266519823791
2022-08-28,99.4603524229075
2022-09-04,99.4603524229075
2022-09-11,100.59058370044055
2022-09-18,102.85104625550663
2022-09-25,105.1115088105727
2022-10-02,100.59058370044055
2022-10-09,100.59058370044055
2022-10-16,94.93942731277535
2022-10-23,96.06965859030839
2022-10-30,98.33012114537446
2022-11-06,94.93942731277535
2022-11-13,94.93942731277535
2022-11-20,92.67896475770927
2022-11-27,97.19988986784143
2022-12-04,93.80919603524231
2022-12-11,93.80919603524231
2022-12-18,99.4603524229075
2022-12-25,106.24174008810574
2023-01-01,98.33012114537446
2023-01-08,99.4603524229075
2023-01-15,99.4603524229075
2023-01-22,98.33012114537446
2023-01-29,98.33012114537446
2023-02-05,98.33012114537446
2023-02-12,101.72081497797359
2023-02-19,105.1115088105727
2023-02-26,98.33012114537446
2023-03-05,93.80919603524231
2023-03-12,98.33012114537446
2023-03-19,106.24174008810574
2023-03-26,99.4603524229075
2023-04-02,102.85104625550663
2023-04-09,98.33012114537446
2023-04-16,96.06965859030839
2023-04-23,100.59058370044055
2023-04-30,99.4603524229075
2023-05-07,94.93942731277535
2023-05-14,98.33012114537446
2023-05-21,94.93942731277535
2023-05-28,96.06965859030839
2023-06-04,99.4603524229075
2023-06-11,99.4603524229075
2023-06-18,106.24174008810574
2023-06-25,107.37197136563879
2023-07-02,105.1115088105727
2023-07-09,103.98127753303967
2023-07-16,102.85104625550663
2023-07-23,105.1115088105727
2023-07-30,103.98127753303967
2023-08-06,102.85104625550663
2023-08-13,103.98127753303967
2023-08-20,96.06965859030839
2023-08-27,101.72081497797359
2023-09-03,99.4603524229075
2023-09-10,93.80919603524231
2023-09-17,98.33012114537446
2023-09-24,94.93942731277535
2023-10-01,93.80919603524231
2023-10-08,96.06965859030839
2023-10-15,93.80919603524231
2023-10-22,90.4185022026432
2023-10-29,89.28827092511015
2023-11-05,91.54873348017622
