,Textiles & Nonwovens
2014-12-28,63.0
2015-01-04,47.0
2015-01-11,50.0
2015-01-18,54.0
2015-01-25,60.0
2015-02-01,60.0
2015-02-08,46.0
2015-02-15,55.0
2015-02-22,50.0
2015-03-01,62.0
2015-03-08,57.0
2015-03-15,57.0
2015-03-22,67.0
2015-03-29,57.0
2015-04-05,57.0
2015-04-12,42.0
2015-04-19,64.0
2015-04-26,58.0
2015-05-03,64.0
2015-05-10,69.0
2015-05-17,57.0
2015-05-24,62.0
2015-05-31,58.0
2015-06-07,71.0
2015-06-14,53.0
2015-06-21,65.0
2015-06-28,63.0
2015-07-05,60.0
2015-07-12,63.0
2015-07-19,65.0
2015-07-26,62.0
2015-08-02,63.0
2015-08-09,56.0
2015-08-16,53.0
2015-08-23,61.0
2015-08-30,59.0
2015-09-06,71.0
2015-09-13,66.0
2015-09-20,60.0
2015-09-27,59.0
2015-10-04,66.0
2015-10-11,65.0
2015-10-18,66.0
2015-10-25,67.0
2015-11-01,61.0
2015-11-08,67.0
2015-11-15,60.0
2015-11-22,65.0
2015-11-29,60.0
2015-12-06,60.0
2015-12-13,63.0
2015-12-20,51.0
2015-12-27,69.0
2016-01-03,68.0
2016-01-10,59.0
2016-01-17,59.0
2016-01-24,59.0
2016-01-31,60.0
2016-02-07,58.0
2016-02-14,64.0
2016-02-21,68.0
2016-02-28,69.0
2016-03-06,62.0
2016-03-13,66.0
2016-03-20,66.0
2016-03-27,85.0
2016-04-03,76.0
2016-04-10,47.0
2016-04-17,62.0
2016-04-24,65.0
2016-05-01,76.0
2016-05-08,68.0
2016-05-15,61.0
2016-05-22,69.0
2016-05-29,84.0
2016-06-05,73.0
2016-06-12,71.0
2016-06-19,90.0
2016-06-26,70.0
2016-07-03,77.0
2016-07-10,85.0
2016-07-17,74.0
2016-07-24,70.0
2016-07-31,70.0
2016-08-07,74.0
2016-08-14,65.0
2016-08-21,73.0
2016-08-28,71.0
2016-09-04,68.0
2016-09-11,73.0
2016-09-18,78.0
2016-09-25,82.0
2016-10-02,82.0
2016-10-09,73.0
2016-10-16,76.0
2016-10-23,78.0
2016-10-30,69.0
2016-11-06,73.0
2016-11-13,78.0
2016-11-20,75.0
2016-11-27,75.0
2016-12-04,82.0
2016-12-11,71.0
2016-12-18,60.0
2016-12-25,65.0
2017-01-01,73.0
2017-01-08,65.0
2017-01-15,63.0
2017-01-22,75.0
2017-01-29,65.0
2017-02-05,74.0
2017-02-12,68.0
2017-02-19,78.0
2017-02-26,82.0
2017-03-05,77.0
2017-03-12,75.0
2017-03-19,82.0
2017-03-26,75.0
2017-04-02,83.0
2017-04-09,63.0
2017-04-16,74.0
2017-04-23,74.0
2017-04-30,80.0
2017-05-07,59.0
2017-05-14,78.0
2017-05-21,80.0
2017-05-28,75.0
2017-06-04,62.0
2017-06-11,77.0
2017-06-18,83.0
2017-06-25,65.0
2017-07-02,81.0
2017-07-09,80.0
2017-07-16,64.0
2017-07-23,71.0
2017-07-30,77.0
2017-08-06,76.0
2017-08-13,75.0
2017-08-20,71.0
2017-08-27,64.0
2017-09-03,69.0
2017-09-10,71.0
2017-09-17,67.0
2017-09-24,74.0
2017-10-01,62.0
2017-10-08,84.0
2017-10-15,83.0
2017-10-22,70.0
2017-10-29,67.0
2017-11-05,77.0
2017-11-12,86.0
2017-11-19,74.0
2017-11-26,81.0
2017-12-03,77.0
2017-12-10,74.0
2017-12-17,75.0
2017-12-24,74.0
2017-12-31,76.0
2018-01-07,67.0
2018-01-14,67.0
2018-01-21,66.0
2018-01-28,66.0
2018-02-04,70.0
2018-02-11,66.0
2018-02-18,75.0
2018-02-25,67.0
2018-03-04,75.0
2018-03-11,62.0
2018-03-18,83.0
2018-03-25,75.0
2018-04-01,75.0
2018-04-08,58.0
2018-04-15,66.0
2018-04-22,70.0
2018-04-29,70.0
2018-05-06,77.0
2018-05-13,78.0
2018-05-20,74.0
2018-05-27,70.0
2018-06-03,81.0
2018-06-10,83.0
2018-06-17,84.0
2018-06-24,82.0
2018-07-01,78.0
2018-07-08,71.0
2018-07-15,86.0
2018-07-22,81.0
2018-07-29,71.0
2018-08-05,82.0
2018-08-12,77.0
2018-08-19,82.0
2018-08-26,78.0
2018-09-02,82.0
2018-09-09,88.0
2018-09-16,77.0
2018-09-23,73.0
2018-09-30,84.0
2018-10-07,75.0
2018-10-14,67.0
2018-10-21,76.0
2018-10-28,72.0
2018-11-04,78.0
2018-11-11,74.0
2018-11-18,76.0
2018-11-25,75.0
2018-12-02,81.0
2018-12-09,89.0
2018-12-16,84.0
2018-12-23,79.0
2018-12-30,83.0
2019-01-06,76.0
2019-01-13,79.0
2019-01-20,75.0
2019-01-27,76.0
2019-02-03,66.0
2019-02-10,76.0
2019-02-17,72.0
2019-02-24,80.0
2019-03-03,81.0
2019-03-10,81.0
2019-03-17,75.0
2019-03-24,83.0
2019-03-31,84.0
2019-04-07,70.0
2019-04-14,68.0
2019-04-21,56.0
2019-04-28,62.0
2019-05-05,66.0
2019-05-12,63.0
2019-05-19,82.0
2019-05-26,83.0
2019-06-02,74.0
2019-06-09,82.0
2019-06-16,75.0
2019-06-23,81.0
2019-06-30,81.0
2019-07-07,81.0
2019-07-14,84.0
2019-07-21,98.0
2019-07-28,95.0
2019-08-04,100.0
2019-08-11,89.0
2019-08-18,80.0
2019-08-25,90.0
2019-09-01,87.0
2019-09-08,77.0
2019-09-15,76.0
2019-09-22,75.0
2019-09-29,83.0
2019-10-06,87.0
2019-10-13,81.0
2019-10-20,78.0
2019-10-27,80.0
2019-11-03,74.0
2019-11-10,78.0
2019-11-17,84.0
2019-11-24,82.0
2019-12-01,99.0
2019-12-08,90.0
2019-12-15,99.0
2019-12-22,85.0
2019-12-29,79.0
2020-01-05,72.49983855343882
2020-01-12,71.15724895059736
2020-01-19,79.21278656764612
2020-01-26,79.21278656764612
2020-02-02,77.87019696480466
2020-02-09,80.55537617048758
2020-02-16,77.87019696480466
2020-02-23,80.55537617048758
2020-03-01,81.89796577332903
2020-03-08,71.15724895059736
2020-03-15,53.70358411365839
2020-03-22,36.24991927671941
2020-03-29,33.56474007103649
2020-04-05,38.93509848240233
2020-04-12,37.59250887956087
2020-04-19,46.99063609945109
2020-04-26,45.64804649660963
2020-05-03,46.99063609945109
2020-05-10,65.78689053923152
2020-05-17,60.416532127865686
2020-05-24,57.731352922182765
2020-05-31,64.44430093639006
2020-06-07,72.49983855343882
2020-06-14,73.84242815628028
2020-06-21,80.55537617048758
2020-06-28,77.87019696480466
2020-07-05,79.21278656764612
2020-07-12,87.26832418469488
2020-07-19,88.61091378753633
2020-07-26,84.58314497901196
2020-08-02,77.87019696480466
2020-08-09,88.61091378753633
2020-08-16,81.89796577332903
2020-08-23,89.9535033903778
2020-08-30,89.9535033903778
2020-09-06,89.9535033903778
2020-09-13,87.26832418469488
2020-09-20,95.32386180174363
2020-09-27,88.61091378753633
2020-10-04,69.8146593477559
2020-10-11,77.87019696480466
2020-10-18,75.18501775912173
2020-10-25,65.78689053923152
2020-11-01,51.018404907975466
2020-11-08,69.8146593477559
2020-11-15,73.84242815628028
2020-11-22,77.87019696480466
2020-11-29,83.2405553761705
2020-12-06,89.9535033903778
2020-12-13,98.00904100742656
2020-12-20,92.63868259606072
2020-12-27,79.21278656764612
2021-01-03,93.98127219890218
2021-01-10,87.26832418469488
2021-01-17,95.32386180174363
2021-01-24,83.2405553761705
2021-01-31,87.26832418469488
2021-02-07,96.6664514045851
2021-02-14,89.9535033903778
2021-02-21,92.63868259606072
2021-02-28,95.32386180174363
2021-03-07,96.6664514045851
2021-03-14,92.63868259606072
2021-03-21,98.00904100742656
2021-03-28,124.86083306425574
2021-04-04,111.43493703584116
2021-04-11,76.5276073619632
2021-04-18,111.43493703584116
2021-04-25,98.00904100742656
2021-05-02,83.2405553761705
2021-05-09,73.84242815628028
2021-05-16,73.84242815628028
2021-05-23,68.47206974491445
2021-05-30,75.18501775912173
2021-06-06,79.21278656764612
2021-06-13,76.5276073619632
2021-06-20,89.9535033903778
2021-06-27,87.26832418469488
2021-07-04,89.9535033903778
2021-07-11,103.37939941879239
2021-07-18,99.35163061026802
2021-07-25,85.92573458185342
2021-08-01,96.6664514045851
2021-08-08,91.29609299321926
2021-08-15,81.89796577332903
2021-08-22,76.5276073619632
2021-08-29,87.26832418469488
2021-09-05,83.2405553761705
2021-09-12,98.00904100742656
2021-09-19,83.2405553761705
2021-09-26,83.2405553761705
2021-10-03,91.29609299321926
2021-10-10,100.69422021310947
2021-10-17,85.92573458185342
2021-10-24,91.29609299321926
2021-10-31,98.00904100742656
2021-11-07,89.9535033903778
2021-11-14,92.63868259606072
2021-11-21,89.9535033903778
2021-11-28,100.69422021310947
2021-12-05,99.35163061026802
2021-12-12,106.06457862447532
2021-12-19,104.72198902163386
2021-12-26,93.98127219890218
2022-01-02,123.51824346141429
2022-01-09,111.43493703584116
2022-01-16,102.03680981595093
2022-01-23,108.74975783015823
2022-01-30,108.74975783015823
2022-02-06,118.14788505004844
2022-02-13,126.20342266709721
2022-02-20,120.83306425573137
2022-02-27,124.86083306425574
2022-03-06,131.57378107846304
2022-03-13,128.88860187278013
2022-03-20,134.25896028414596
2022-03-27,116.80529544720699
2022-04-03,115.46270584436553
2022-04-10,99.35163061026802
2022-04-17,110.09234743299969
2022-04-24,114.12011624152407
2022-05-01,118.14788505004844
2022-05-08,89.9535033903778
2022-05-15,89.9535033903778
2022-05-22,108.74975783015823
2022-05-29,107.40716822731677
2022-06-05,102.03680981595093
2022-06-12,96.6664514045851
2022-06-19,96.6664514045851
2022-06-26,89.9535033903778
2022-07-03,89.9535033903778
2022-07-10,91.29609299321926
2022-07-17,95.32386180174363
2022-07-24,88.61091378753633
2022-07-31,99.35163061026802
2022-08-07,98.00904100742656
2022-08-14,99.35163061026802
2022-08-21,106.06457862447532
2022-08-28,98.00904100742656
2022-09-04,100.69422021310947
2022-09-11,99.35163061026802
2022-09-18,103.37939941879239
2022-09-25,103.37939941879239
2022-10-02,96.6664514045851
2022-10-09,112.77752663868262
2022-10-16,102.03680981595093
2022-10-23,106.06457862447532
2022-10-30,99.35163061026802
2022-11-06,108.74975783015823
2022-11-13,112.77752663868262
2022-11-20,107.40716822731677
2022-11-27,110.09234743299969
2022-12-04,107.40716822731677
2022-12-11,104.72198902163386
2022-12-18,112.77752663868262
2022-12-25,110.09234743299969
2023-01-01,100.69422021310947
2023-01-08,108.74975783015823
2023-01-15,103.37939941879239
2023-01-22,108.74975783015823
2023-01-29,96.6664514045851
2023-02-05,108.74975783015823
2023-02-12,99.35163061026802
2023-02-19,110.09234743299969
2023-02-26,106.06457862447532
2023-03-05,103.37939941879239
2023-03-12,108.74975783015823
2023-03-19,118.14788505004844
2023-03-26,122.17565385857283
2023-04-02,127.54601226993867
2023-04-09,96.6664514045851
2023-04-16,111.43493703584116
2023-04-23,107.40716822731677
2023-04-30,91.29609299321926
2023-05-07,100.69422021310947
2023-05-14,108.74975783015823
2023-05-21,108.74975783015823
2023-05-28,102.03680981595093
2023-06-04,108.74975783015823
2023-06-11,111.43493703584116
2023-06-18,114.12011624152407
2023-06-25,112.77752663868262
2023-07-02,106.06457862447532
2023-07-09,110.09234743299969
2023-07-16,111.43493703584116
2023-07-23,106.06457862447532
2023-07-30,104.72198902163386
2023-08-06,111.43493703584116
2023-08-13,107.40716822731677
2023-08-20,89.9535033903778
2023-08-27,103.37939941879239
2023-09-03,108.74975783015823
2023-09-10,100.69422021310947
2023-09-17,107.40716822731677
2023-09-24,106.06457862447532
2023-10-01,106.06457862447532
2023-10-08,93.98127219890218
2023-10-15,104.72198902163386
2023-10-22,98.00904100742656
2023-10-29,91.29609299321926
2023-11-05,112.77752663868262
2023-11-12,106.06457862447532
2023-11-19,111.43493703584116
2023-11-26,118.14788505004844
2023-12-03,120.83306425573137
2023-12-10,120.83306425573137
2023-12-17,118.14788505004844
2023-12-24,108.74975783015823
2023-12-31,111.43493703584116
2024-01-07,101.30736307020402
2024-01-14,111.73606220978385
2024-01-21,95.34810641901555
2024-01-28,110.24624804698674
2024-02-04,104.28699139579825
2024-02-11,119.18513302376944
2024-02-18,107.26661972139249
2024-02-25,108.75643388418962
2024-03-03,108.75643388418962
2024-03-10,113.22587637258097
2024-03-17,128.12401800055216
2024-03-24,148.9814162797118
2024-03-31,123.65457551216079
2024-04-07,99.8175489074069
