,Advertising & Marketing
2020-05-24,91.32583868665238
2020-05-31,94.32012847965737
2020-06-07,100.30870806566737
2020-06-14,94.32012847965737
2020-06-21,103.30299785867237
2020-06-28,89.82869379014988
2020-07-05,97.31441827266238
2020-07-12,98.81156316916487
2020-07-19,100.30870806566737
2020-07-26,94.32012847965737
2020-08-02,88.33154889364738
2020-08-09,100.30870806566737
2020-08-16,97.31441827266238
2020-08-23,92.82298358315488
2020-08-30,88.33154889364738
2020-09-06,89.82869379014988
2020-09-13,86.83440399714489
2020-09-20,85.33725910064238
2020-09-27,83.8401142041399
2020-10-04,82.34296930763739
2020-10-11,88.33154889364738
2020-10-18,91.32583868665238
2020-10-25,89.82869379014988
2020-11-01,86.83440399714489
2020-11-08,92.82298358315488
2020-11-15,94.32012847965737
2020-11-22,92.82298358315488
2020-11-29,91.32583868665238
2020-12-06,92.82298358315488
2020-12-13,91.32583868665238
2020-12-20,97.31441827266238
2020-12-27,86.83440399714489
2021-01-03,92.82298358315488
2021-01-10,82.34296930763739
2021-01-17,88.33154889364738
2021-01-24,86.83440399714489
2021-01-31,83.8401142041399
2021-02-07,79.3486795146324
2021-02-14,86.83440399714489
2021-02-21,82.34296930763739
2021-02-28,86.83440399714489
2021-03-07,83.8401142041399
2021-03-14,88.33154889364738
2021-03-21,89.82869379014988
2021-03-28,94.32012847965737
2021-04-04,89.82869379014988
2021-04-11,70.36581013561741
2021-04-18,101.80585296216987
2021-04-25,86.83440399714489
2021-05-02,97.31441827266238
2021-05-09,101.80585296216987
2021-05-16,103.30299785867237
2021-05-23,98.81156316916487
2021-05-30,107.79443254817986
2021-06-06,110.78872234118485
2021-06-13,107.79443254817986
2021-06-20,112.28586723768736
2021-06-27,116.77730192719484
2021-07-04,106.29728765167737
2021-07-11,106.29728765167737
2021-07-18,106.29728765167737
2021-07-25,104.80014275517486
2021-08-01,100.30870806566737
2021-08-08,101.80585296216987
2021-08-15,109.29157744468236
2021-08-22,109.29157744468236
2021-08-29,109.29157744468236
2021-09-05,107.79443254817986
2021-09-12,115.28015703069235
2021-09-19,124.26302640970734
2021-09-26,115.28015703069235
2021-10-03,110.78872234118485
2021-10-10,107.79443254817986
2021-10-17,95.81727337615987
2021-10-24,115.28015703069235
2021-10-31,115.28015703069235
2021-11-07,113.78301213418985
2021-11-14,110.78872234118485
2021-11-21,115.28015703069235
2021-11-28,110.78872234118485
2021-12-05,113.78301213418985
2021-12-12,103.30299785867237
2021-12-19,116.77730192719484
2021-12-26,110.78872234118485
2022-01-02,127.25731620271233
2022-01-09,107.79443254817986
2022-01-16,107.79443254817986
2022-01-23,115.28015703069235
2022-01-30,116.77730192719484
2022-02-06,124.26302640970734
2022-02-13,113.78301213418985
2022-02-20,122.76588151320485
2022-02-27,118.27444682369735
2022-03-06,112.28586723768736
2022-03-13,112.28586723768736
2022-03-20,119.77159172019984
2022-03-27,110.78872234118485
2022-04-03,115.28015703069235
2022-04-10,100.30870806566737
2022-04-17,128.75446109921484
2022-04-24,128.75446109921484
2022-05-01,142.22876516773732
2022-05-08,125.76017130620984
2022-05-15,128.75446109921484
2022-05-22,140.73162027123482
2022-05-29,134.74304068522483
2022-06-05,134.74304068522483
2022-06-12,131.74875089221982
2022-06-19,143.72591006423983
2022-06-26,133.24589578872232
2022-07-03,130.25160599571734
2022-07-10,142.22876516773732
2022-07-17,148.2173447537473
2022-07-24,122.76588151320485
2022-07-31,125.76017130620984
2022-08-07,131.74875089221982
2022-08-14,139.2344753747323
2022-08-21,139.2344753747323
2022-08-28,130.25160599571734
2022-09-04,136.24018558172733
2022-09-11,136.24018558172733
2022-09-18,136.24018558172733
2022-09-25,136.24018558172733
2022-10-02,130.25160599571734
2022-10-09,131.74875089221982
2022-10-16,134.74304068522483
2022-10-23,136.24018558172733
2022-10-30,131.74875089221982
2022-11-06,134.74304068522483
2022-11-13,133.24589578872232
2022-11-20,136.24018558172733
2022-11-27,128.75446109921484
2022-12-04,134.74304068522483
2022-12-11,133.24589578872232
2022-12-18,136.24018558172733
2022-12-25,133.24589578872232
2023-01-01,128.75446109921484
