,Libraries & Museums
2014-12-28,49.0
2015-01-04,33.0
2015-01-11,36.0
2015-01-18,35.0
2015-01-25,45.0
2015-02-01,40.0
2015-02-08,37.0
2015-02-15,41.0
2015-02-22,26.0
2015-03-01,44.0
2015-03-08,46.0
2015-03-15,44.0
2015-03-22,45.0
2015-03-29,44.0
2015-04-05,35.0
2015-04-12,28.0
2015-04-19,44.0
2015-04-26,33.0
2015-05-03,42.0
2015-05-10,45.0
2015-05-17,54.0
2015-05-24,44.0
2015-05-31,49.0
2015-06-07,50.0
2015-06-14,57.0
2015-06-21,52.0
2015-06-28,46.0
2015-07-05,46.0
2015-07-12,45.0
2015-07-19,47.0
2015-07-26,40.0
2015-08-02,45.0
2015-08-09,37.0
2015-08-16,30.0
2015-08-23,43.0
2015-08-30,54.0
2015-09-06,52.0
2015-09-13,55.0
2015-09-20,36.0
2015-09-27,37.0
2015-10-04,40.0
2015-10-11,51.0
2015-10-18,53.0
2015-10-25,39.0
2015-11-01,57.0
2015-11-08,53.0
2015-11-15,42.0
2015-11-22,45.0
2015-11-29,41.0
2015-12-06,47.0
2015-12-13,43.0
2015-12-20,43.0
2015-12-27,46.0
2016-01-03,49.0
2016-01-10,44.0
2016-01-17,51.0
2016-01-24,48.0
2016-01-31,45.0
2016-02-07,60.0
2016-02-14,52.0
2016-02-21,40.0
2016-02-28,48.0
2016-03-06,48.0
2016-03-13,47.0
2016-03-20,44.0
2016-03-27,63.0
2016-04-03,52.0
2016-04-10,37.0
2016-04-17,40.0
2016-04-24,40.0
2016-05-01,51.0
2016-05-08,45.0
2016-05-15,54.0
2016-05-22,56.0
2016-05-29,50.0
2016-06-05,47.0
2016-06-12,40.0
2016-06-19,58.0
2016-06-26,55.0
2016-07-03,62.0
2016-07-10,49.0
2016-07-17,50.0
2016-07-24,52.0
2016-07-31,54.0
2016-08-07,54.0
2016-08-14,53.0
2016-08-21,61.0
2016-08-28,43.0
2016-09-04,66.0
2016-09-11,51.0
2016-09-18,55.0
2016-09-25,55.0
2016-10-02,47.0
2016-10-09,42.0
2016-10-16,44.0
2016-10-23,49.0
2016-10-30,66.0
2016-11-06,51.0
2016-11-13,53.0
2016-11-20,48.0
2016-11-27,52.0
2016-12-04,61.0
2016-12-11,56.0
2016-12-18,59.0
2016-12-25,62.0
2017-01-01,51.0
2017-01-08,54.0
2017-01-15,57.0
2017-01-22,57.0
2017-01-29,58.0
2017-02-05,43.0
2017-02-12,51.0
2017-02-19,45.0
2017-02-26,52.0
2017-03-05,54.0
