,Travel
2020-05-24,34.47107438016529
2020-05-31,37.12269548633185
2020-06-07,37.12269548633185
2020-06-14,35.79688493324857
2020-06-21,37.12269548633185
2020-06-28,37.12269548633185
2020-07-05,37.12269548633185
2020-07-12,35.79688493324857
2020-07-19,37.12269548633185
2020-07-26,37.12269548633185
2020-08-02,37.12269548633185
2020-08-09,41.100127145581695
2020-08-16,41.100127145581695
2020-08-23,38.448506039415136
2020-08-30,43.75174825174825
2020-09-06,43.75174825174825
2020-09-13,46.40336935791481
2020-09-20,57.00985378258106
2020-09-27,57.00985378258106
2020-10-04,55.68404322949778
2020-10-11,59.66147488874762
2020-10-18,66.29052765416402
2020-10-25,54.358232676414495
2020-11-01,51.70661157024794
2020-11-08,46.40336935791481
2020-11-15,57.00985378258106
2020-11-22,53.032422123331216
2020-11-29,51.70661157024794
2020-12-06,58.33566433566434
2020-12-13,59.66147488874762
2020-12-20,68.94214876033058
2020-12-27,67.6163382072473
2021-01-03,62.31309599491418
2021-01-10,57.00985378258106
2021-01-17,59.66147488874762
2021-01-24,57.00985378258106
2021-01-31,59.66147488874762
2021-02-07,58.33566433566434
2021-02-14,59.66147488874762
2021-02-21,57.00985378258106
2021-02-28,54.358232676414495
2021-03-07,55.68404322949778
2021-03-14,54.358232676414495
2021-03-21,53.032422123331216
2021-03-28,53.032422123331216
2021-04-04,50.38080101716466
2021-04-11,64.96471710108074
2021-04-18,57.00985378258106
2021-04-25,50.38080101716466
2021-05-02,37.12269548633185
2021-05-09,34.47107438016529
2021-05-16,34.47107438016529
2021-05-23,38.448506039415136
2021-05-30,39.774316592498415
2021-06-06,43.75174825174825
2021-06-13,68.94214876033058
2021-06-20,98.10998092816276
2021-06-27,54.358232676414495
2021-07-04,58.33566433566434
2021-07-11,58.33566433566434
2021-07-18,60.9872854418309
2021-07-25,62.31309599491418
2021-08-01,58.33566433566434
2021-08-08,59.66147488874762
2021-08-15,54.358232676414495
2021-08-22,58.33566433566434
2021-08-29,57.00985378258106
2021-09-05,55.68404322949778
2021-09-12,59.66147488874762
2021-09-19,75.57120152574699
2021-09-26,76.89701207883027
2021-10-03,70.26795931341387
2021-10-10,82.20025429116339
2021-10-17,63.638906547997465
2021-10-24,58.33566433566434
2021-10-31,71.59376986649714
2021-11-07,78.22282263191354
2021-11-14,82.20025429116339
2021-11-21,106.06484424666243
2021-11-28,111.36808645899556
2021-12-05,79.54863318499683
2021-12-12,67.6163382072473
2021-12-19,80.8744437380801
2021-12-26,95.4583598219962
2022-01-02,75.57120152574699
2022-01-09,60.9872854418309
2022-01-16,53.032422123331216
2022-01-23,57.00985378258106
2022-01-30,64.96471710108074
2022-02-06,62.31309599491418
2022-02-13,70.26795931341387
2022-02-20,74.2453909726637
2022-02-27,72.91958041958043
2022-03-06,71.59376986649714
2022-03-13,72.91958041958043
2022-03-20,75.57120152574699
2022-03-27,82.20025429116339
2022-04-03,80.8744437380801
2022-04-10,94.13254926891291
2022-04-17,84.85187539732995
2022-04-24,83.52606484424666
2022-05-01,91.48092816274635
2022-05-08,94.13254926891291
2022-05-15,91.48092816274635
2022-05-22,90.15511760966307
2022-05-29,92.80673871582962
2022-06-05,88.8293070565798
2022-06-12,87.5034965034965
2022-06-19,86.17768595041323
2022-06-26,86.17768595041323
2022-07-03,83.52606484424666
2022-07-10,86.17768595041323
2022-07-17,82.20025429116339
2022-07-24,83.52606484424666
2022-07-31,80.8744437380801
2022-08-07,87.5034965034965
2022-08-14,83.52606484424666
2022-08-21,78.22282263191354
2022-08-28,80.8744437380801
2022-09-04,75.57120152574699
2022-09-11,79.54863318499683
2022-09-18,82.20025429116339
2022-09-25,80.8744437380801
2022-10-02,82.20025429116339
2022-10-09,79.54863318499683
2022-10-16,84.85187539732995
2022-10-23,76.89701207883027
2022-10-30,82.20025429116339
2022-11-06,76.89701207883027
2022-11-13,88.8293070565798
2022-11-20,121.9745708836618
2022-11-27,95.4583598219962
2022-12-04,76.89701207883027
2022-12-11,88.8293070565798
2022-12-18,92.80673871582962
2022-12-25,99.43579148124603
2023-01-01,86.17768595041323
2023-01-08,79.54863318499683
2023-01-15,103.41322314049587
2023-01-22,103.41322314049587
2023-01-29,94.13254926891291
2023-02-05,78.22282263191354
2023-02-12,76.89701207883027
2023-02-19,83.52606484424666
2023-02-26,79.54863318499683
2023-03-05,74.2453909726637
2023-03-12,78.22282263191354
2023-03-19,78.22282263191354
2023-03-26,82.20025429116339
2023-04-02,98.10998092816276
2023-04-09,90.15511760966307
2023-04-16,86.17768595041323
2023-04-23,95.4583598219962
2023-04-30,96.78417037507947
2023-05-07,88.8293070565798
2023-05-14,92.80673871582962
2023-05-21,91.48092816274635
2023-05-28,103.41322314049587
2023-06-04,92.80673871582962
2023-06-11,88.8293070565798
2023-06-18,90.15511760966307
2023-06-25,92.80673871582962
2023-07-02,88.8293070565798
2023-07-09,88.8293070565798
2023-07-16,82.20025429116339
2023-07-23,82.20025429116339
2023-07-30,79.54863318499683
2023-08-06,86.17768595041323
2023-08-13,82.20025429116339
2023-08-20,76.89701207883027
2023-08-27,80.8744437380801
2023-09-03,78.22282263191354
2023-09-10,74.2453909726637
2023-09-17,76.89701207883027
2023-09-24,84.85187539732995
2023-10-01,79.54863318499683
2023-10-08,74.2453909726637
2023-10-15,82.20025429116339
2023-10-22,87.5034965034965
2023-10-29,71.59376986649714
2023-11-05,71.59376986649714
2023-11-12,95.4583598219962
2023-11-19,79.54863318499683
2023-11-26,88.8293070565798
2023-12-03,86.17768595041323
